date,state,statename,positive,death,totaltestresults,death_pos,pos_test,statefips,negative,pending,hospitalizedcurrently,hospitalizedcumulative,inicucurrently,inicucumulative,onventilatorcurrently,onventilatorcumulative,recovered,dataqualitygrade,lastupdateet,hospitalized,total,posneg,deathincrease,hospitalizedincrease,negativeincrease,positiveincrease,totaltestresultsincrease,lockdown,d_State_of_emergency,d_K_12_schools,d_day_cares,d_banned_visitors_to_nursing_,d_homeshelter,d_non_essential_businesses,d_Reopen_businesses,d_facemask_ind,d_facemask_employe,d_restaurants_except_take_o,d_gyms,d_movie_theaters,d_waive_oneweek_unin,d_freezing_utility_shut_offs,d_Froze_mortgage_payments,religious,open_liquor,firearms_open,waive_worksearch_unin,expand_elegib_unin_quarant,expand_elegib_unin_school,extend_time_unin,Paid_sick_leave,pop_density_per_square_mi,pop_2018_,Number_Homeless__2019_,Percent_Unemployed__2018_,percent_poverty_federal,percent_risk_illness,All_cause_deaths_2018,fips,mobility_index,google_grocery_pharmacy,google_parks,google_residential,google_retail_recreation,google_transit_stations,google_workplace,TotalHospitalBeds,TotalICUBeds,AvailableHospitalBeds,PotentiallyAvailableHospitalB,AvailableICUBeds,PotentiallyAvailableICUBeds,AdultPopulation,Population65,governorpoliticalaffiliation,statesenatemajoritypoliticalaffi,statehousemajoritypoliticalaffil,stateattorneygeneralpoliticalaff,stateinsurancecommissionerpoliti,paidfamilyleave,paidsickleave,anypaidtimeoff,governor,numberofregisteredvotersinthousa,registeredvotersasashareofthevot,numberofindividualswhovotedintho,individualswhovotedasashareofthe,unemployed,propertytaxes,salesandgrossreceiptstaxes,licensetaxes,incometaxes,othertaxes,totaltax,averagemonthlysnapparticipants,atriskadultsofseriousillnessifin,shareofadultsunderage60atriskofs,olderadultsasashareofallatriskad,white,black,hispanic,americanindianalaskanative,asian,nativehawaiianotherpacificisland,twoormoreraces,children018povertyrate,adults1964povertyrate,adults65povertyrate,povertyrate,children018,adults1925,adults2634,adults3554,adults5564,adults65,totalresidents,stategeneralfundsmedicaidexpendi,stategeneralandotherfundsmedicai,federalfundsmedicaidexpenditures,totalstatemedicaidexpenditures,irscollections,adults1964,medicarebeneficiariesasashareoft,expensesperinpatientday,employerhealthinsurancecoverage,nongrouphealthinsurancecoverage,medicaidhealthinsurancecoverage,medicarehealthinsurancecoverage,militaryhealthinsurancecoverage,uninsuredhealthinsurancecoverage,healthspendingpercapita,hospitalcare,physicianandotherprofessionalser,prescriptiondrugsandothermedical,nursinghomecare,dentalservices,homehealthcare,medicaldurables,otherhealthresidentialandpersona,totalhealthspending,individuals,peopleinfamilieswithchildren,totalpeopleexperiencinghomelessn,medianannualhouseholdincome,professionalsmanagersadultworker,otheroccupationsadultworkers,atleast1fulltimeworker,parttimeworkers,nonworkers,totalgrossstateproduct,malepopulation,femalepopulation,adultswithchildren,adultswithnochildren,percapitastatespending,totalstateexpendituresinmillions,communitysupervision,incarcerated,totalpopulationinusadultcorrecti,citizen,noncitizen,trumpelectoralvote,clintonelectoralvote,trumpshareofpopularvote2016,clintonshareofpopularvote20,othersshareofpopularvote201,trumpstate,whitedeathshare,blackafricanamericadeathshare,americanindianalaskdeathshare,asiandeathshare,hispaniclatinodeathshare,otherdeathshare,whitedeathshunw,blackafricanamericadeathshunw,americanindianalaskdeathshunw,asiandeathshunw,hispaniclatinodeathshunw,otherdeathshunw,whitedeathshw,blackafricanamericadeathshw,americanindianalaskdeathshw,asiandeathshw,hispaniclatinodeathshw,otherdeathshw,tot_pop,tot_pop_lockdown,share_pop_lockdown,weight,tmp,weighted_mobility_index
3/25/20,CA,California,2355,53,18276,.022505308,.12885752,6,15921,48600,,,,,,,,B,3/24/2020 00:00,,66876,18276,13,0,2469,253,2722,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0,1,241.65,39557045,151278,5.5,12.8,33.3,268818,6,15,-18.340136,-29.60915,22.443054,-42.388382,-52.325748,-50.478035,2836.4167,337.70834,941.04169,1888.6666,139.58333,238.70833,1237806.75,213178.75,Democrat,Democrat,Democrat,Democrat,Democrat,Yes,Yes,Yes,Gavin Newsom (D),15690,.615,13240,.519,.04,2837386,53846346,10504521,107640534,188097,175016884,3949535,37,13.9,72.59999999999999,.37,.05,.39,.01,.15,.01,.03,.17,.12,.11,.13,.24,.09,.14,.26,.12,.14,38745900,.18,.18,.58,.32,456555954,.89,.16,3532,.47,.07,.26,.11,.01,.07,7549,.365,.291,.127,.051,.05,.039,.012,.066,291989,109008,20964,129972,71805,.36,.64,.8,.09,.11,2997733,.49,.51,.33,.67,6834,269667,333300,202700,536100,.87,.13,,55,31.61711467898836,61.72638863699762,6.656496684014022,0,48.099998,8,.40000001,16.299999,26.5,.80000001,36.799999,5.5999999,.40000001,14.7,39.299999,3.0999999,28.9,7.3000002,.2,16,45.200001,2.4000001,318498592,146739904,.46072388,.12165172,1.8247757,21.591461
3/25/20,CO,Colorado,912,11,7701,.012061403,.11842618,8,6789,,152,84,,,,,,A,3/24/2020 18:00,84,7701,7701,4,12,1285,192,1477,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,54.72,5695564,9619,3.9,9.6,31.3,38526,8,20,-7.5996308,32.764427,18.64365,-35.342827,-49.586464,-49.462009,1476.4286,185,631,1053.7142,73.14286,129.14285,616074.4285714285,104889,Democrat,Democrat,Democrat,Democrat,Appointed,No,No,No,Jared Polis  (D),2645,.656,2342,.581,.027,,5712243,816832,8170466,102722,14802263,449824,36.4,12.8,74.40000000000001,.6800000000000001,.04,.22,.01,.03,.01,.03,.12,.09,.07,.1,.24,.09,.14,.26,.13,.14,5555200,.25,.13,.54,.24,58707795,.85,.16,3045,.52,.07,.18,.12,.02,.08,6804,.403,.283,.1,.057,.062,.028,.023,.043,36398,7607,3250,10857,69117,.42,.58,.83,.08,.09,371750,.5,.5,.34,.66,6996,39815,90900,32100,121900,.95,.05,,9,43.25097734122184,48.15651271271941,8.592509946058749,0,76.5,2.5999999,0,5.1999998,15.7,0,67.900002,4,.60000002,3.3,21.700001,2.4000001,65.300003,5.6999998,.5,3.8,22,2.7,318498592,,,.017441835,.34883672,21.591461
3/25/20,CT,Connecticut,875,19,5898,.021714285,.14835538,9,5023,,113,,,,,,,A,3/25/2020 16:00,,5898,5898,7,0,341,257,598,1,1,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,1,0,1,644.54,3572665,3033,5.5,10.4,36,31230,9,5,-19.227301,-21.155041,22.358227,-46.263069,-50.699749,-48.867687,2344.6667,247,577,1460.6666,99.333336,173.33333,970847.3333333334,197252.6666666667,Democrat,Democrat,Democrat,Democrat,Appointed,Yes,Yes,Yes,Ned Lamont (D),1726,.6800000000000001,1370,.54,.036,,7699557,476434,10511490,393994,19081475,387329,40.8,14,76.40000000000001,.66,.1,.17,.01,.05,,.02,.14,.1,.08,.1,.22,.08,.11,.27,.15,.17,3466300,.24,.19,.58,.24,53729155,.89,.19,2836,.54,.05,.21,.14,.01,.05,9859,.337,.254,.15,.087,.048,.03,.014,.08,35413,2280,1696,3976,74168,.41,.59,.82,.09,.1,275727,.49,.51,.34,.66,9282,33152,44700,15000,59600,.9300000000000001,.07,,7,40.92691437881478,54.56630109670987,4.506784524475354,0,,,,,,,,,,,,,,,,,,,318498592,146739904,.46072388,.01088325,.05441625,21.591461
3/25/20,FL,Florida,1682,22,17056,.013079667,.098616324,12,15374,1233,,316,,,,,,A,3/25/2020 11:00,316,18289,17056,4,57,2247,270,2517,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0,323.9,21299325,28328,5.2,13.6,42.1,205426,12,31,-13.040881,-33.04253,16.599123,-38.184231,-48.596973,-40.343937,3161.4119,378.41177,1086.1177,2123.8235,124.29412,251.11765,971567.3529411765,234945.1176470588,Republican,Republican,Republican,Republican,Appointed,No,No,No,Ron DeSantis (R),9435,.627,7918,.526,.032,,38456615,2123462,2426900,2954227,45961204,3347518,46.5,17.9,74.90000000000001,.53,.15,.26,.01,.03,0,.02,.19,.12,.1,.13,.21,.08,.12,.25,.14,.21,20843500,.19,.22,.54,.32,205694126,.87,.21,2213,.4,.1,.18,.17,.02,.13,8076,.338,.309,.153,.061,.041,.036,.029,.032,160624,21443,9587,31030,52594,.35,.65,.79,.08,.13,1039236,.49,.52,.29,.71,3696,78523,218600,149800,366000,.91,.09,29,,49.02194141659074,47.82331580580505,3.154742777604211,1,64.099998,15.7,0,2.7,17,.40000001,53.5,15.5,.30000001,2.8,26.1,1.7,36.099998,19.200001,.2,2.7,40.5,1.3,318498592,,,.065442987,2.0287325,21.591461
3/25/20,GA,Georgia,1247,40,6179,.032076985,.2018126,13,4932,,,394,,,,,,A,3/25/2020 12:00,394,6179,6179,8,394,474,221,695,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,177.02,10519475,10443,4.8,14.3,36.2,85202,13,40,-8.0325718,18.313063,16.653975,-32.965599,-39.507912,-42.016399,3123,368.85715,954.42859,2038.5714,104.28571,236.57143,1071144.714285714,182897,Republican,Republican,Republican,Republican,Appointed,No,No,No,Brian Kemp (R),4840,.662,4084,.5590000000000001,.035,927590,9132965,719422,12648079,174454,23602510,1556452,39.5,16.8,69,.52,.31,.1,.01,.04,.01,.02,.2,.13,.1,.14,.26,.09,.12,.27,.12,.14,10212800,.12,.09,.52,.21,92804948,.85,.16,1845,.49,.06,.17,.12,.02,.14,6587,.371,.308,.143,.045,.048,.025,.02,.039,66447,6943,2556,9499,56183,.37,.63,.8100000000000001,.07,.12,592153,.48,.52,.34,.66,4889,51394,,91400,,.94,.06,16,,50.771326054771,45.63998335736082,3.588690587868177,1,,,,,,,,,,,,,,,,,,,318498592,,,.032065447,1.2826179,21.591461
3/25/20,IL,Illinois,1865,19,14209,.010187668,.13125484,17,12344,,,,,,,,,A,3/25/2020 00:00,,14209,14209,3,0,2410,330,2740,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,220,12741080,10199,5.5,12.1,36.2,110022,17,17,-12.194353,29.127129,20.782373,-43.225433,-49.685162,-50.216,1988.1538,238.92308,805.0769,1396.5385,96,167.46153,646116.9230769231,119004.6923076923,Democrat,Democrat,Democrat,Democrat,Appointed,No,No,No,J.B. Pritzker (D),6068,.6780000000000001,4740,.53,.039,59589,18699777,2751479,17883834,462390,39857069,1826011,39.7,15.1,72.90000000000001,.61,.14,.17,.01,.06,0,.02,.16,.11,.09,.12,.24,.09,.12,.26,.13,.15,12438400,.15,.17,.77,.31,161189282,.89,.18,2636,.54,.06,.19,.13,.01,.07,8262,.409,.268,.122,.063,.043,.026,.015,.053,106306,6752,3891,10643,62992,.38,.62,.82,.08,.1,865310,.49,.51,.34,.66,5720,72784,143400,60800,204200,.9300000000000001,.07,,20,38.76175307382528,55.8253666987933,5.412880227381429,0,,,,,,,,,,,,,,,,,,,318498592,146739904,.46072388,.039053235,.66390502,21.591461
3/25/20,IN,Indiana,477,14,3356,.029350106,.14213349,18,2879,,,1,,,,,,B,3/25/2020 00:59,1,3356,3356,2,0,313,112,425,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,183.74,6691878,5471,4.4,13.1,39.9,65693,18,19,-20.415771,60.526432,19.089771,-44.717014,-23.093187,-44.690323,1949.5555,261.22223,866.44446,1408,107.66666,184.44444,563305.8888888889,109219.3333333333,Republican,Republican,Republican,Republican,Appointed,No,No,No,Eric Holcomb (R),3131,.653,2364,.493,.032,12927,12119558,749114,6514797,1483,19397879,617032,42.8,18.9,69,.79,.09,.07,.01,.02,,.02,.18,.13,.08,.13,.25,.09,.12,.25,.13,.16,6487100,.14,.16,.6,.34,58698927,.79,.19,2591,.54,.05,.18,.15,.01,.08,8300,.421,.251,.135,.07,.04,.02,.019,.045,54741,3776,1482,5258,54181,.34,.66,.8100000000000001,.07,.12,366801,.49,.51,.35,.65,5021,33621,116700,43200,159900,.97,.03,11,,56.94003344841128,37.77483968675205,5.285126864836681,1,,,,,,,,,,,,,,,,,,,318498592,146739904,.46072388,.020367751,.38698727,21.591461
3/25/20,LA,Louisiana,1795,65,11451,.036211699,.15675487,22,9656,,491,,,,163,,,A,3/25/2020 13:00,,11451,11451,19,0,2441,407,2848,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,88.97,4659978,2941,6.4,18.6,42.1,46048,22,37,-13.825283,-6.4182091,16.877798,-39.073463,-35.02412,-42.607513,1448.4,157.2,633.79999,1041.1,64,110.5,366874.5,68457.10000000001,Democrat,Republican,Republican,Republican,Republican,No,No,No,John Bel Edwards (D),2263,.6800000000000001,1656,.498,.043,60172,6864723,393129,3604434,435228,11357686,867342,43.2,20,67.2,.59,.32,.05,.01,.02,,.02,.26,.17,.13,.19,.25,.09,.12,.25,.13,.15,4519300,.19,.16,.67,.36,41982123,.89,.19,2030,.42,.05,.29,.13,.02,.08,7815,.39,.25,.161,.051,.037,.036,.012,.061,36324,2540,519,3059,46145,.34,.66,.75,.08,.17,257288,.48,.52,.32,.6800000000000001,6707,31252,71000,45400,111000,.98,.02,8,,58.0886846535688,38.44956609851397,3.461749247917233,1,48.200001,45.799999,0,1.8,4.1999998,0,58.599998,32.299999,.60000002,1.8,5.1999998,1.5,48.700001,36.099998,.40000001,3.4000001,10,1.4,318498592,146739904,.46072388,.014189388,.52500737,21.591461
3/25/20,MA,Massachusetts,1739,33,19818,.018976424,.087748513,25,18079,,,103,,,,,,B,3/25/2020 16:00,103,19818,19818,7,9,5365,679,6044,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,653.98,6902149,18471,4.8,10,34.6,59152,25,0,-25.080753,-21.113144,25.889429,-52.036125,-69.688499,-57.267128,4450.6665,507,1157.6666,2804,184.66667,346,1758300,342405.3333333333,Republican,Democrat,Democrat,Democrat,Appointed,Yes,Yes,Yes,Charlie Baker (R),3345,.6800000000000001,2731,.5550000000000001,.029,7197,9022362,1154719,18689278,781247,29654803,770566,39,12.7,77.2,.71,.07,.12,.01,.07,,.03,.12,.1,.09,.1,.21,.09,.13,.26,.14,.17,6659900,.26,.22,.5600000000000001,.29,117998443,.91,.19,3038,.55,.06,.23,.13,.01,.03,10559,.372,.243,.118,.068,.046,.063,.015,.073,71274,6811,13257,20068,77385,.44,.5600000000000001,.8100000000000001,.09,.1,569488,.49,.51,.32,.6800000000000001,8300,57125,63600,19400,82900,.92,.08,,11,32.80835814000768,60.00506459158761,7.186577268404708,0,88.699997,2.0999999,0,2.0999999,5.1999998,2.0999999,71.400002,7.1999998,.2,7,12.3,1.9,67.099998,7.9000001,.1,8.8999996,14.1,1.9,318498592,146739904,.46072388,.020910297,0,21.591461
3/25/20,MI,Michigan,7060,43,14597,.0060906517,.48366103,26,7537,,,,,,,,,D,3/25/2020 15:00,,14597,14597,19,0,1741,619,2360,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,103.36,9995915,8575,5.3,14.1,41.2,98903,26,2,-21.893906,66.639633,23.094706,-53.512856,-46.469505,-57.781418,1607.4667,181.60001,585.20001,1096.4,64.333336,123,499343.4,101479.5333333333,Democrat,Republican,Republican,Democrat,Appointed,No,No,Yes,Gretchen Whitmer (D),5453,.734,4418,.595,.042,2161275,14692735,1948194,11333887,372270,30508361,1281862,43.3,17.3,72.5,.75,.14,.05,0,.03,,.03,.19,.14,.09,.14,.23,.09,.12,.25,.14,.17,9770000,.27,.14,.59,.3,83256186,.87,.21,2400,.51,.05,.22,.15,.01,.05,8055,.404,.249,.137,.059,.047,.036,.031,.034,79874,5209,3142,8351,54909,.35,.65,.78,.09,.13,527096,.49,.51,.33,.67,5671,56614,,56500,,.97,.03,16,,47.49756421999615,47.27453095086684,5.227904829137013,1,67,26.6,0,3.2,2.2,1,74.900002,13.8,.60000002,3.3,5.1999998,2.3,63.799999,23.1,.30000001,5.6999998,4.8000002,2.2,318498592,146739904,.46072388,.030675175,.061350349,21.591461
