barrio,population,category,23abr2020 ,30abr2020 ,07may2020 ,14may2020 ,21may2020 ,28may2020 ,04jun2020 ,11jun2020 ,18jun2020 ,25jun2020 ,02jul2020 ,09jul2020 ,16jul2020 ,23jul2020 ,30jul2020 
VILLA URQUIZA,92305.42969,Medium,2.166719675,5.416799545,0,1.083359838,9.750239372,21.66719818,16.25039864,24.91727829,48.751194,91.00222778,87.75215149,99.66911316,109.4193497,182.0044556,176.5876617
VILLA SOLDATI,46776.88281,Medium,2.137808084,6.413424492,6.413424492,4.275616169,44.89397049,117.5794449,211.6430054,322.809021,604.9996948,756.7840576,829.4695435,784.5755615,461.7665405,585.7593994,553.6923218
VILLA SANTA RITA,33083.35938,Medium,9.068002701,6.045335293,3.022667646,6.045335293,9.068002701,24.18134117,27.2040081,42.31734848,114.8613739,157.1787109,126.9520416,151.1333771,169.2693939,202.5187378,154.1560516
VILLA RIACHUELO,14055.28809,Medium,21.34428024,7.114759922,7.114759922,14.22951984,49.80331802,99.60663605,192.0985107,64.03283691,142.2951965,369.9675293,305.9346619,362.8527527,263.2461243,405.5413208,327.2789612
VILLA REAL,13459.81348,Medium,7.429523468,7.429523468,7.429523468,0,0,22.2885704,7.429523468,22.2885704,37.14761734,96.58380127,74.29523468,252.6037903,66.8657074,237.744751,267.4628296
VILLA PUEYRREDON,39654.52734,Medium,0,5.043560505,7.565340519,15.13068104,2.521780252,12.60890102,17.65246201,17.65246201,60.52272415,37.82670212,55.47916412,108.4365463,80.69696808,141.219696,146.2632446
VILLA ORTUZAR,21542.47656,Medium,0,4.641991615,0,0,4.641991615,13.9259758,18.56796646,37.13593292,23.20995903,37.13593292,83.5558548,143.9017487,143.9017487,102.1238174,120.6917877
VILLA LURO,32553.46094,Medium,0,0,3.071870089,9.21560955,6.143740177,9.21560955,33.79056931,52.22179031,73.7248764,144.3778839,159.7372437,150.521637,181.2403259,211.9590302,190.4559326
VILLA LUGANO,126474.6406,Medium,2.372016907,5.534706593,9.488067627,13.44143009,31.626894,60.88177109,135.2049713,192.924057,321.8036499,537.6571655,596.9576416,535.2851563,330.5010376,501.2862549,349.4771729
VILLA GRAL. MITRE,34930.35938,Medium,5.725678444,2.862839222,0,5.725678444,11.45135689,25.76555252,48.6682663,42.94258881,88.74801636,103.0622101,151.7304688,174.633194,211.8500977,237.6156464,174.633194
VILLA DEVOTO,66553.875,Medium,0,3.005084276,1.502542138,9.015253067,13.52287865,12.0203371,31.55338478,34.55846786,103.6754074,82.63981628,87.14744568,111.188118,105.177948,213.3609772,126.2135391
VILLA DEL PARQUE,55082.41797,Medium,3.630922556,5.446383953,1.815461278,5.446383953,12.70822906,10.89276791,14.52369022,49.01745605,45.38653183,90.77306366,59.91022491,112.5586014,121.63591,119.8204498,132.5286713
VILLA CRESPO,81803.53125,Medium,7.334646702,1.222441077,4.889764309,7.334646702,17.1141758,31.78346825,36.67323303,39.11811447,92.90552521,105.1299362,86.7933197,139.3582916,157.6949005,205.3701019,207.8149872
VERSALLES,13879.81152,Medium,.,0,0,0,0,14.40941715,43.22825241,28.8188343,57.63766861,115.2753372,28.8188343,100.865921,100.865921,108.0706329,122.4800491
VELEZ SARSFIELD,35120.87109,Medium,0,2.847309828,5.694619656,17.08385849,11.38923931,31.32040787,48.40426636,145.2127991,153.7547302,76.87736511,116.7397003,150.9074249,199.3116913,130.9762573,176.5332031
SAN TELMO,20225.81836,Medium,0,4.94417572,0,14.83252716,39.55340576,29.66505432,103.8276901,49.4417572,108.7718658,177.9903259,113.7160416,296.6505432,311.4830627,306.5388794,247.208786
SAN NICOLAS,29507.07031,Medium,6.778036594,0,6.778036594,16.94509125,13.55607319,54.22429276,40.66822052,67.78036499,118.6156387,152.5058289,108.4485855,294.844574,264.3434143,311.7896729,352.4578857
SAN CRISTOBAL,48638.83203,Medium,0,10.27985191,6.167911053,8.223881721,30.83955574,69.90299225,160.3656921,71.95896149,178.8694305,197.3731537,219.9888306,302.2276611,222.0447998,392.6903381,294.0037842
SAAVEDRA,50124.80469,Medium,3.990040541,1.99502027,0,0,11.97012138,17.95518303,15.96016216,33.91534424,43.89044571,61.84562683,31.92032433,125.6862717,115.711174,155.6115723,145.6364746
RETIRO,65411.21875,Low,7.643948555,102.4289093,324.1034241,781.2115479,911.1586914,1181.754517,672.6674805,204.8578186,131.4759216,143.7062378,105.4864883,194.1562958,136.0622864,195.6850891,166.6380768
RECOLETA,158635.4844,High,1.891127944,3.782255888,15.12902355,19.54165649,24.58466339,27.10616684,40.97443771,27.73654366,76.90586853,80.05774689,83.84000397,127.9663239,144.9864807,180.9179077,220.0012207
PUERTO MADERO,6737.257324,Medium,0,0,29.68567085,44.52850723,14.84283543,14.84283543,59.37134171,89.05701447,59.37134171,519.4992065,430.4422302,252.3282013,267.1710205,282.013855,282.013855
PATERNAL,19721.54883,Medium,0,0,5.070595741,10.14119148,20.28238297,96.34131622,207.8944244,111.5531082,187.6120453,319.4475403,552.6949463,425.9300232,197.7532349,436.071228,618.6126709
PARQUE PATRICIOS,40966.12891,Medium,2.441040993,4.882081985,0,17.0872879,48.82081985,112.2878876,134.2572479,97.64163971,231.8988953,270.9555359,290.4838867,361.2740784,300.2480469,414.9769592,319.7763672
PARQUE CHAS,17581.62891,Medium,5.687755108,0,5.687755108,5.687755108,22.75102043,34.12652969,22.75102043,51.18979645,79.62857056,51.18979645,45.50204086,119.4428558,85.31632996,199.0714264,193.383667
PARQUE CHACABUCO,56271.64453,Medium,1.777094007,1.777094007,14.21675205,10.66256428,24.87931633,35.54187775,49.75863266,85.30051422,119.0652924,149.2758942,129.7278595,175.9322968,159.9384613,261.2328186,241.6847839
PARQUE AVELLANEDA,53206.49609,Medium,5.638409138,39.46886444,0,7.517879009,30.07151604,52.62515259,46.98674393,71.41985321,125.9244766,304.4740906,327.0277405,321.3893127,249.9694824,370.2555542,278.1615295
PALERMO,225837.6406,High,6.199143887,7.527531624,5.756347656,10.62710381,11.95549107,29.6673317,41.62282181,38.08045578,59.33466339,92.5443573,85.90242004,153.2074127,168.7052765,205.4573364,210.7708893
NUÑEZ,52524.41016,Medium,1.903876662,1.903876662,1.903876662,-15.2310133,30.4620266,13.32713699,34.26977921,24.75039673,34.26977921,38.07753372,55.21242523,66.63568115,106.6170959,129.4636078,116.1364746
NUEVA POMPEYA,42228.77344,Medium,4.736107349,7.104160786,4.736107349,23.68053627,42.62496567,104.1943588,161.0276489,267.5900574,343.3677673,419.1454773,731.7285767,599.1175537,419.1454773,506.7634888,423.8815918
MONTE CASTRO,33743.60156,Medium,0,2.963524818,5.927049637,5.927049637,8.890574455,5.927049637,17.78114891,32.59877396,41.48934555,82.9786911,71.12459564,142.2491913,133.3586121,136.3221436,136.3221436
MONSERRAT,40374.33594,Medium,2.476820946,7.430462837,2.476820946,14.86092567,42.10595703,49.53641891,118.8874054,118.8874054,195.6688538,217.9602356,156.0397186,312.0794373,324.4635315,460.6886902,398.768158
