barrio,category,16apr2020,23apr2020,30apr2020,07may2020,14may2020,21may2020,28may2020,04jun2020,11jun2020,18jun2020,25jun2020,02jul2020,09jul2020,16jul2020,23jul2020,30jul2020
VILLA URQUIZA,Medium,27.1,29.25,34.66,34.7,35.75,45.5,67.16,83.41,108.32,157.07,248.06,335.8,435.45,544.86,726.85,903.41
VILLA SOLDATI,Medium,2.1,4.28,10.7,17.1,21.41,66.36,184.1,396.02,719.26,1325.06,2082.85,2913.42,3699.03,4161.41,4747.95,5302.38
VILLA SANTA RITA,Medium,27.2,36.27,42.32,45.3,51.39,60.46,84.64,111.85,154.17,269.04,426.23,553.19,704.34,873.62,1076.16,1230.33
VILLA RIACHUELO,Medium,7.1,28.46,35.58,42.7,56.93,106.73,206.36,398.48,462.52,604.83,974.85,1280.82,1643.72,1907,2312.59,2639.91
VILLA REAL,Medium,44.6,52,59.43,66.9,66.86,66.86,89.15,96.58,118.86,156.01,252.59,326.88,579.47,646.33,884.05,1151.5
VILLA PUEYRREDON,Medium,20.2,20.17,25.21,32.8,47.91,50.43,63.04,80.69,98.34,158.85,196.68,252.15,360.57,441.26,582.46,728.71
VILLA ORTUZAR,Medium,13.9,13.93,18.57,18.6,18.57,23.21,37.13,55.7,92.84,116.05,153.18,236.74,380.63,524.53,626.66,747.35
VILLA LURO,Medium,12.3,12.28,12.28,15.4,24.57,30.71,39.93,73.71,125.92,199.63,343.98,503.68,654.18,835.38,1047.29,1237.71
VILLA LUGANO,Medium,11.1,13.44,18.97,28.5,41.89,73.51,134.37,269.54,462.41,784.12,1321.63,1918.42,2453.55,2783.96,3285.1,3634.48
VILLA GRAL. MITRE,Medium,22.9,28.63,31.49,31.5,37.22,48.67,74.43,123.1,166.04,254.79,357.84,509.57,684.2,896.04,1133.65,1308.28
VILLA DEVOTO,Medium,28.5,28.55,31.55,33.1,42.07,55.6,67.62,99.17,133.73,237.41,320.05,407.2,518.39,623.57,836.94,963.16
VILLA DEL PARQUE,Medium,21.8,25.41,30.86,32.7,38.12,50.83,61.72,76.24,125.26,170.64,261.41,321.31,433.86,555.49,675.3,807.82
VILLA CRESPO,Medium,17.1,24.45,25.67,30.6,37.89,55.01,86.79,123.46,162.58,255.48,360.61,447.4,586.76,744.45,949.82,1157.63
VERSALLES,Medium,0,0,0,0,0,0,14.41,57.64,86.46,144.09,259.37,288.18,389.05,489.91,597.98,720.46
VELEZ SARSFIELD,Medium,19.9,19.93,22.78,28.5,45.56,56.95,88.27,136.68,281.9,435.66,512.54,629.28,780.2,979.52,1110.5,1287.04
SAN TELMO,Medium,34.6,34.61,39.55,39.6,54.38,93.93,123.6,227.42,276.85,385.62,563.6,677.31,973.94,1285.4,1591.91,1839.11
SAN NICOLAS,Medium,30.5,37.28,37.28,44.1,61,74.55,128.77,169.44,237.21,355.82,508.31,616.75,911.57,1175.89,1487.66,1840.09
SAN CRISTOBAL,Medium,28.8,28.78,39.06,45.2,53.46,84.3,154.2,314.57,386.53,565.4,762.78,982.77,1285.01,1507.06,1899.75,2193.76
SAAVEDRA,Medium,18,21.94,23.94,23.9,23.94,35.91,53.86,69.82,103.74,147.62,209.47,241.39,367.06,482.77,638.38,784.01
