comuna,ipcf,ranking_ipcf,poblacion,4/9/2020,4/16/2020,4/23/2020,4/30/2020,5/7/2020,5/14/2020,5/21/2020,5/28/2020,6/4/2020
15,20204,9,182379.349,4.934769154,4.386461735,4.934769154,1.644923091,3.838153839,6.031384468,14.80430794,35.63999939,59.76553726
10,17206,12,170157.0681,8.815384865,6.464615345,2.350769281,5.289230824,3.526153803,9.990769386,8.815384865,24.0953846,34.6738472
12,23304,5,213586.4729,6.554722309,4.68194437,2.340972185,3.745555639,1.87277782,4.213749886,10.30027771,22.94152832,16.38680649
9,14977,13,170349.9079,2.935135126,4.696216106,5.283243179,15.84972954,.5870270133,10.56648636,13.50162125,32.28648758,32.87351227
11,20827,8,189949.5071,5.791012764,7.370379925,3.685189962,4.211645603,1.579367042,6.843924046,12.10848141,16.84658241,28.42860794
6,24790,4,184597.6348,4.875468731,2.166874886,3.250312567,4.875468731,4.875468731,7.584062576,21.12703133,27.62765694,37.37859344
5,22502,6,186726.6592,5.355421543,4.284337521,2.677710772,7.497590542,2.677710772,9.639759064,20.3506031,48.19879532,63.72951889
8,10349,15,225755.1669,1.771831036,3.100704193,3.543662071,4.872535229,7.087324142,9.302112579,30.12112617,64.67182922,133.3302765
13,28922,3,235832.4534,3.816268682,7.208507538,11.02477646,8.056567192,4.664328575,7.632537365,9.32865715,19.92940331,49.18746185
2,31249,2,149855.182,5.338487625,7.340420246,2.001932859,4.003865719,16.01546288,20.68663788,26.0251255,28.69437027,44.70983124
14,34357,1,226890.7563,4.848148346,6.170370579,6.170370579,7.492592812,5.729629517,10.57777786,11.89999962,28.207407,40.98888779
3,19692,10,192574.1203,5.192805767,6.231367111,5.712086201,11.4241724,6.231367111,13.50129509,34.79179764,93.98978424,111.1260452
4,14176,14,238324.0438,1.678387046,6.293951511,2.517580748,7.972338676,7.552742004,21.81903267,53.70838547,135.1101685,172.0346832
7,17272,11,253402.6779,4.34091711,9.47109127,20.52069855,22.09921455,35.91122437,80.10964966,145.2234039,240.723587,271.5046387
1,22162,7,252052.5923,3.967426062,5.951138973,3.570683479,29.75569534,86.48988342,211.4638062,253.1217804,345.1660461,232.4911652
