comuna,barrio,14may2020,15may2020,16may2020,17may2020,18may2020,19may2020,20may2020,21may2020,22may2020,23may2020,24may2020,25may2020,26may2020,27may2020,28may2020,29may2020,30may2020,31may2020,01jun2020,02jun2020,03jun2020,04jun2020,05jun2020,06jun2020,07jun2020,08jun2020,09jun2020,10jun2020,11jun2020,12jun2020,13jun2020,14jun2020,15jun2020,16jun2020,17jun2020,18jun2020,19jun2020
Barracas,Villa Zavaleta,3,3,3,3,1,1,1,1,2,2,2,2,2,3,4,4,4,4,5,5,6,7,10,11,11,11,11,25,25,27,27,27,27,41,41,41,44
Villa Soldati,Villa Lacarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Villa Soldati,Villa Calacita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3
Retiro,Villa 31,628,673,764,764,913,966,1045,1045,1224,1387,1387,1387,1771,1854,1899,1972,2049,2049,2296,2296,2215,2275,2301,2317,2317,2317,2317,2377,2535,2546,2568,2568,2568,2568,2568,2568,2599
Nueva Pompeya,Villa 21-24,13,19,27,27,40,42,46,46,73,89,89,89,145,156,178,202,225,225,300,300,313,337,364,389,389,389,389,506,544,587,609,609,609,724,724,724,856
Villa Lugano,Villa 20,2,3,4,4,6,6,9,9,18,23,23,23,34,36,47,52,58,58,97,97,101,112,134,149,149,149,149,233,260,268,290,290,290,386,386,386,443
Villa Lugano,Villa 17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Villa Riachuelo,Villa 16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Villa Lugano,Villa 15 - Ciudad Oculta,9,10,11,11,11,11,12,12,13,15,15,15,20,21,24,28,31,31,48,48,43,48,56,64,64,64,64,103,112,119,129,129,129,157,157,157,195
Flores,Villa 1-11-14,226,254,267,267,340,373,427,427,528,577,577,577,830,885,926,1003,1074,1074,1332,1332,1328,1369,1443,1508,1508,1508,1508,1723,1902,1981,2030,2030,2030,2204,2204,2204,2284
