Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0069275596,.0346377976,.0588842556,.1143047363,.1246960759,.1454787552,.1454787552,.2424645871,.2424645871,.2667110562,.2840299308,.2805661559,.3117401898,.2563197017,.2874937356,.2667110562,.3221315145,.2251456827,.2528559268,.2390008122,.2390008122,.2216819078,.1801165491,.2008992285,.1593338698,.1662614346,.1246960759,.1246960759,.1108409539,.1212322935,.1246960759,.1177685112,.1316236258,.1350874156,.1350874156,.2078267932,.2944212854,.2944212854,.3810157776,.3706244528,.4225811362,.4468275905,.4364362657,.4191173613,.4329724908,.3533055484,.2597834766,.2667110562,.1731889844,.1974354535,.1593338698,.1350874156,.1316236258,.1870441139,.1801165491,.2043630034,.245928362,.2805661559,.3013488352,.2701748312,.2286094725,.3394504189,.3394504189,.4329724908,.554204762,.796669364,1.201931596,1.420149684,1.593338728,1.804629326,2.033238649,2.306877375,2.48699379,2.448892355,2.438500881,2.448892355,2.151007175,2.199500084,2.17525363,2.48699379,2.802197933,2.878401041,3.152039528,3.235170364,3.709708214,3.643896341,3.82054925,4.063013554,4.253521442,3.990274429,3.671606541,3.297518492,3.086227894,3.176285982,2.888792276,3.494953871,3.498417616,3.321764946,3.640432596,3.82054925,4.049158573,4.444029331,4.807726383,5.199133396,5.64249754,6.040832043,6.283296585,6.716269016,7.076502323,7.429807663,7.706910133,8.139882088,8.257651329,9.026610374,9.116668701,8.877667427,9.390307426,9.844061852,10.29088974,10.79313755,11.05638504,10.98018169,11.29192257,11.28845882,11.92579365,12.11630154,12.03663445,12.18904114,12.23060608,12.45575237,12.81252193,13.52952385,14.7314558,15.59047318,15.96456146,16.61575127,17.62371254,18.24372864,19.13738441,20.08992386,21.74907303,22.83670044,22.48339462,22.54574203
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1159655899,.1739483774,.2319311798,.8407505155,1.449569821,2.290320396,2.725191355,3.189053774,3.913838625,4.580640793,4.580640793,5.305425644,6.059202194,6.059202194,6.494072914,6.494072914,6.233150482,6.088193417,5.885253429,5.566348076,6.001219273,5.711305141,5.305425644,4.870554924,4.087787151,3.507959127,4.261735439,4.435683727,4.522657871,4.377700806,3.218044996,2.812165499,2.667208433,2.522251606,2.522251606,2.435277462,1.768475175,1.594526887,1.18864727,1.217638731,2.000406504,2.145363331,2.058389187,2.986114025,3.015105247,3.247036457,3.131070852,2.957122564,3.131070852,3.044096708,2.986114025,2.84115696,2.725191355,2.145363331,1.942423582,1.855449438,2.000406504,2.087380648,1.855449438,1.826457977,1.88444078,1.855449438,1.942423582,1.797466636,1.739483833,1.449569821,1.246630073,1.043690324,1.130664468,1.101673126,1.043690324,1.304612875,1.304612875,1.594526887,1.623518229,2.000406504,2.145363331,2.261328936,2.174354792,2.145363331,2.087380648,1.797466636,1.710492373,1.304612875,1.304612875,1.217638731,.9857075214,.8407505155,.7247849107,.6957935095,.6378107667,.6088193655,.5508365631,.4638623595,.4058795571,.1159655899,.1159655899,.1449569911,.2029397786,.3478967547,.8407505155,1.014698863,1.101673126,1.565535426,1.710492373,2.029397726,2.174354792,2.290320396,2.290320396,2.232337475,1.942423582,1.88444078,1.942423582,1.536544085,1.42057848,1.18864727,1.18864727,1.304612875,1.304612875,1.42057848,1.246630073,1.159655929,1.072681665,1.217638731,1.536544085,1.91343224,2.087380648,2.029397726,2.232337475,2.290320396,3.189053774,3.768881559,4.406692505,4.899546146,4.783580303,4.812572002,4.783580303,5.044503212,5.305425644,5.189460278,4.870554924,4.667614937,4.203752518,3.623924732,3.652915955
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1438995898,.1438995898,.2877991796,.3597489893,.5036485791,.6475481391,.6475481391,3.525540113,3.597489834,3.669439554,3.957238674,4.173088074,4.388937473,4.388937473,4.820636272,4.964535713,5.252335072,2.734092236,2.877991915,3.093841314,2.949941635,3.093841314,2.806041956,2.806041956,2.374343157,2.086544037,1.942644477,1.582895517,1.582895517,1.367046118,1.079246998,.7194979787,.7194979787,.6475481391,.5036485791,.5036485791,.3597489893,.3597489893,.2158493847,.1438995898,.1438995898,.1438995898,.0719497949,.0719497949,.1438995898,.1438995898,.1438995898,.1438995898,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,0,0,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,0,0,.0719497949,.2158493847,.2158493847,.2158493847,.5036485791,.5036485791,.5036485791,.5036485791,.5036485791,.7194979787,.6475481391,.5036485791,.5036485791,.5036485791,.2158493847,.2158493847,.2158493847,.2158493847,.2158493847,0,0,.2158493847,.2877991796,.2877991796,.2877991796,.4316987693,.5755983591,.5755983591,.6475481391,1.007297158,1.007297158,.8633975387,1.151196718,1.367046118,1.942644477,2.158493996,2.302393436,2.949941635,2.877991915,3.381640434
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.6944553256,.6944553256,.8680691719,.8680691719,1.041682959,1.215296865,1.215296865,1.215296865,1.215296865,1.215296865,.6944553256,.8680691719,.8680691719,.8680691719,.5208414793,.3472276628,.3472276628,.3472276628,.3472276628,.3472276628,.3472276628,.1736138314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.3472276628,.1736138314,.1736138314,.5208414793,2.083365917,5.72925663,7.465394974,10.93767166,12.32658195,13.71549225,15.27801704,19.09752083,20.13920403,21.35450172,21.00727272,21.52811432,23.09063911,21.18088722,21.87534332,24.13232231,23.61148071,24.13232231,25.86846161,27.0837574,27.604599,25.34762001,22.91702652,21.35450172,25.86846161,25.00039101,26.5629158,35.76445007,36.97974777,36.11167526,36.80613327,38.36865616,39.58395386,42.01454544,36.11167526,38.36865616,39.06311035,28.99350929,30.38241959,33.50746918,36.63251877,35.76445007,33.68108368,38.02143097,40.97286606,42.18815994,50.34801102,53.64667511,58.33424759,58.16063309,61.28568268,67.70939636,75.52201843,78.82067871,87.50137329,94.44592285,92.88339996,93.75147247,88.36943817,100.348793,91.66810608,90.10557556,101.39048,106.7725067,102.0849304,104.1682968
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0155745195,.0155745195,.0467235595,.0467235595,.0467235595,.0778725967,.1401706785,.2024687529,.2024687529,.2959158719,.3582139313,.4516610503,.4516610503,.4516610503,.5918317437,.6385552883,.7320023775,.7631514668,.8721730709,.9188966155,1.074641824,1.136939883,1.323834181,1.339408636,1.308259606,1.41728127,1.4484303,1.510728359,1.479579329,1.541877389,1.510728359,1.526302934,1.573026419,1.666473508,1.744346142,1.759920716,1.946814895,1.791069746,2.086985588,2.273879766,2.414050579,2.741115332,2.756689787,3.099329233,3.255074501,3.737884521,4.376440048,4.874824524,5.21746397,5.793721199,6.183084011,6.338829517,7.69381237,8.316793442,8.59713459,8.519262314,8.675006866,9.702925682,9.843095779,10.01441574,10.4505024,11.12020683,10.62182236,10.62182236,11.3226757,12.17927361,12.50633907,12.03910351,12.10140133,12.0079546,12.16369915,12.14812469,12.83340359,13.65885353,13.34736252,12.98914909,12.3038702,12.4284668,12.56863689,12.84897804,12.78668022,12.8645525,12.39731693,11.78991127,12.31944466,12.89570236,13.98591805,14.62447357,15.21630573,15.6835413,16.36882019,17.06967354,17.72380257,18.70499802,19.5148735,20.66738701,21.33709145,22.27156258,23.51752472,24.54544258,25.86927605,27.00621605,28.71941376,30.57278061,32.86223602,34.13934708,35.72794724,36.70914078,38.01740265,39.09204483,40.18225861,40.99213409,41.59954071,42.11349869,41.35034943,41.64626312,42.22252274,43.5463562,44.66772079,45.63334274,45.16610718,45.82023621,46.75470734,47.73590088,49.69829178,51.41148758,52.93778992,54.33949661,55.6944809,57.20520782,59.61925888,61.3324585,62.2202034,62.65629196,63.0768013,63.46616745,63.40386963,63.09237671,62.93663406
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0143759316,.0143759316,.0143759316,.0718796551,.0718796551,.0862555876,.0862555876,.0862555876,.1150074527,.1293833852,.1437593102,.1437593102,.1725111753,.1868871152,.2443908453,.2300149053,.3018945754,.4456538856,.4744057357,.6181650758,.6469169259,.6900447011,.7331725359,.675668776,.675668776,.7906762362,.9344355464,.848179996,.9056836963,.8769318461,.848179996,.8625559211,.8625559211,.9200596213,.9200596213,.8194280863,.7906762362,.9056836963,.8194280863,.8769318461,1.207578301,1.193202376,1.178826451,1.135698557,1.078194857,1.135698557,.9488114715,.9200596213,.9631873965,.7763003111,.4169020057,.5319094658,.4744057357,.8338040113,1.796991467,2.257021189,2.630795479,2.760178804,2.918314219,3.047697544,3.363967896,4.657801628,6.46916914,6.426041603,5.620989323,5.275967121,4.945320606,4.873440742,4.715305805,4.859065056,4.657801628,3.23458457,2.012630463,1.725111842,1.610104322,1.451969147,1.581352472,1.552600622,1.523848772,1.423217177,1.408841252,1.610104322,1.265082002,1.883247018,2.156389713,2.257021189,2.343276978,2.990193844,3.17708087,3.018945694,2.961441994,3.378344059,3.277712345,3.20583272,3.105201244,3.378344059,3.464599609,2.745802879,2.918314219,3.004569769,3.062073469,2.487036228,2.659547329,2.142013788,2.300148964,2.142013788,1.983878613,2.314524889,3.435847759,3.92462945,5.865380287,9.114340782,11.45761776,12.29142189,12.34892559,12.66519547,13.09647369,13.32648849,12.32017326,12.33454895,10.7100687,8.050521851,6.138522625,6.426041603,7.403604984,8.050521851,9.272476196,9.071212769,9.905016899,11.08384323,12.73707581,13.7290144,15.45412636,15.56913376,14.54844284,14.33280373,15.12347984,16.28793144,16.53232193,16.24480247,15.84227657,15.68414116,15.02284813,16.46044159,20.97448349,21.86579132,21.34825897,22.009552,21.56389809,21.90892029
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0031260496,.0031260496,.0187562983,.0218823478,.0343865454,.0343865454,.0468907431,.0875293911,.1187898815,.1344201267,.2657142282,.3626217544,.4345209002,.7096132636,.6971090436,.9596972466,1.087865233,1.147260189,1.181646705,1.366083622,1.544268489,1.61929369,1.64430213,1.931898594,2.238251448,2.335159063,3.001007557,3.185444593,3.68561244,3.957578659,5.317410469,6.020771503,7.136771202,10.90991306,13.46076965,15.10507202,17.27142334,19.08453178,25.59922028,26.74960709,28.74090004,31.04167175,32.93293381,31.50432777,32.42338562,32.59844589,34.35215759,36.67168808,34.7929306,35.46503067,43.31454468,46.9720192,47.54721451,52.42385101,57.21608734,64.55605316,70.71749115,72.78694153,78.19500732,80.41449738,80.83338928,85.34115601,93.24068451,95.83530426,97.17012787,94.81620789,88.66414642,92.2966156,94.96313477,103.8848801,104.1162109,105.4228973,105.4947968,103.4284744,107.7486801,114.766655,124.8763046,123.9134827,123.3164063,123.0256805,123.4289398,128.8245087,136.3957977,146.4429169,152.5574646,161.4635925,174.1428375,182.3768616,195.099884,184.2962494,185.1215363,180.2136383,174.5992432,171.1074524,160.7133331,150.2535706,138.6309204,139.8875885,114.4853134,130.7782898,145.4801025,142.5228577,141.9163971,138.7747192,139.7094116,138.1370087,132.9039917,125.5046387,133.3541565,125.2326736,109.2648087,111.3186264,110.0619507,109.6649475,109.5086441,107.6611481,105.894928,104.8508301,108.0268936,108.7521362,107.5079727,106.6483078,104.219368,104.0630646,104.6976547,106.5451508,107.639267,107.0140533,107.2922745,107.9237366,108.7458878,109.5148926,112.1720352,113.347435,114.3790283,116.1077347,118.899292,123.0944519,125.742218,128.0836334,131.5879364,119.4463577,107.4579544,138.1088715,142.250885,147.2150574,134.4263916,141.9382782,127.9867249,180.5418701,178.6193542,199.8452301
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0239413548,.1915308386,.2633548975,.6464165449,.8618887663,1.029478192,1.316774487,1.651953459,2.058956385,2.609607697,3.256024122,4.596739769,7.230288982,7.613350391,7.39787817,9.576541901,12.04250145,14.484519,16.75894737,18.96155167,20.39803314,23.48646736,20.7810955,23.27099609,27.05373001,29.44786453,29.75910378,31.4589386,31.4589386,32.2729454,36.84574509,37.611866,42.92684937,45.89557648,46.0871048,43.07049561,42.44802094,42.20860672,45.87163544,46.94899368,41.77766418,41.05942154,40.31724167,37.99493027,42.28042984,44.67456818,47.02082062,48.55306625,48.0024147,43.3577919,50.39654922,49.43889618,49.36707306,54.3229332,46.06316376,44.50697708,47.52358627,46.73352432,44.21968079,49.05583572,45.58433914,45.87163544,45.39280701,40.53271103,44.38727188,45.99134064,41.77766418,41.13124466,41.61007309,39.6468811,37.94704437,36.60633087,35.91202927,35.52896881,39.09622955,43.28596878,45.8476944,47.83482361,50.80355453,57.5789566,63.77976608,72.80565643,80.13171387,85.47063446,84.22568512,88.17601013,92.43756866,96.14847565,102.37323,102.8041763,103.4984741,100.9128036,105.9644318,113.6974869,122.4839706,130.4803772,152.6021881,142.6665344,142.6425934,147.766037,155.5469818,168.5710754,175.5619507,178.2194366,180.541748,173.694519,158.3002319,182.3134155,190.1661682,192.9912567,199.551178,203.7648621,199.3835907,201.8974457,203.142395,207.8348999,214.3469391,218.1536102,225.7430267,230.6270599,228.999054,225.7909088,232.3987274,236.2772217,248.8943176,267.6164551,266.0602722,265.6053772,264.2886047,266.1560364,263.5942993,269.3881226,267.4009705,259.069397,245.9495239,230.8904114,236.9475861,230.3397675,237.5700531,240.2275391,238.5037689,234.6492157,233.787323,241.8795013,250.8335724,254.6402435,250.4983826,252.820694
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0154666761,.0154666761,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0618667044,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0618667044,.0618667044,.0309333522,.0309333522,.0464000292,.0309333522,.0464000292,.0618667044,.0618667044,.0618667044,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0309333522,.0154666761,.0309333522,.0309333522,.0464000292,.0618667044,.0618667044,.0618667044,.0464000292,.0618667044,.0618667044,.0618667044,.0618667044,.0618667044,.0618667044,.0464000292,.0464000292,.0464000292,.0464000292,.0309333522,.0309333522,.1701334417,.1546667665,.1546667665,.1392000914,.1392000914,.1392000914,.1392000914,3.681068897,3.681068897,4.067735672,3.9285357,3.9285357,3.9285357,3.9285357,11.35254002,11.35254002,11.35254002,7.810671329,7.810671329,7.424004555,7.424004555,12.97654152,12.97654152,12.97654152,5.552536964,5.552536964,5.552536964,5.552536964,10.90400696,10.90400696,10.90400696,5.351469994,5.351469994,5.351469994,5.351469994,10.90400696,10.90400696,10.90400696,5.552536964,5.552536964,5.552536964,5.552536964,10.91947365,10.91947365,10.91947365,5.366936684,5.366936684,5.366936684,5.366936684,10.76480675,10.76480675,10.76480675,5.397870064,5.397870064,5.397870064,5.397870064,10.45547295,10.45547295,10.45547295,5.057603359,5.057603359,5.057603359,5.057603359,9.713072777,9.713072777,9.713072777,4.655469418,4.655469418,4.655469418,4.655469418,9.171738625,9.171738625,9.171738625,4.516269684,4.516269684,4.516269684,4.516269684,8.120004654,8.120004654,8.120004654,3.603735685,3.603735685,3.603735685,3.603735685,7.161071301
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0007924509,.0031698034,.0039622542,.0039622542,.0039622542,.0039622542,.0039622542,.0047547054,.0047547054,.0055471561,.0047547054,.0023773527,.0023773527,.0055471561,.0166414678,.0285282321,.0380376428,.0602262653,.0689432248,.0879620463,.1244147867,.1553203762,.1925655603,.2409050614,.2702257335,.2884521186,.3344142735,.3986027837,.494489342,.5784891248,.6569417715,.7060737014,.7639226317,.8415828347,.9057713151,1.016714454,1.121317983,1.234638453,1.36460042,1.534977317,1.733882546,1.859882236,2.083353281,2.251353025,2.497012615,2.635691643,2.78071022,2.935238123,3.057275534,3.241124153,3.420217991,3.819613218,3.905197859,4.185725689,4.661988258,5.245232105,5.921985149,6.335644722,6.640738487,6.857869625,7.334132671,7.558396339,8.282696724,8.905563354,9.148053169,9.381032944,9.535561562,9.654428482,10.26778603,11.16325569,11.70449924,12.41057301,12.51913929,12.35272408,12.86623192,13.24581623,14.01845551,15.06211376,15.46071625,15.53441429,15.93697929,16.55112839,17.09474945,18.41655731,19.1796875,20.34221458,20.62353325,20.6615715,21.72583389,22.82575417,23.58888435,23.99620438,24.50099564,24.64284515,24.4930706,24.93842888,25.8481617,27.39898872,28.10506248,28.20808029,28.29287338,28.11219406,29.15347481,30.52520752,32.12516403,33.17991638,32.84867477,32.61489868,31.88663864,32.68384552,33.82972717,35.94002533,36.5985527,36.46700287,36.90522766,36.39410019,38.6082077,39.63046646,41.75185776,42.41910172,42.00702667,40.729599,39.75884628,40.32544708,40.59329605,42.30815887,42.6663475,43.83679581,42.71072388,42.28359222,43.74804306,46.08181,48.83557892,49.99176407,50.31904602,48.52890015,46.90041351,47.0089798,48.17071152,49.36255646,50.15421677,50.64553452,49.08520126,47.72297668,48.32920074,49.54719925,52.52126694,52.93492508,53.41197968,52.67817307,50.86821365,50.54568481,50.89515686,52.92224503,54.18937683,56.99227524,54.15133667,51.92771912,51.44987106
