Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,1,1,.6666666865,0,0,0,.6666666865,1.333333373,1.333333373,.6666666865,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,.3333333433,.6666666865,.6666666865,.3333333433,.6666666865,1,1,1.333333373,1,3,2,2.333333254,.6666666865,.6666666865,.3333333433,1,1,1,.3333333433,1,1,1,.3333333433,.3333333433,2.666666746,2.666666746,.6666666865,-2,-2,0,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,2,1.666666627,2.333333254,1.333333373,1.333333373,1.333333373,1.666666627,1.666666627,2.666666746,1.666666627,1.666666627,0,25.33333397,31,31,14,9.666666985,18,10.66666698,14.66666698,11.33333302,19.66666603,19,15,7.333333492,11.66666698,12.66666698,15,9.666666985,12,17,14.66666698,11.66666698,6,25.33333397,29.33333397,26,8.666666985,11,15.33333302,13.66666698,13,12,12.33333302,5.333333492,4.333333492,8,12.66666698,14.33333302,11.33333302,31,33,36.33333206,29.66666603,56.33333206,50.33333206,51.66666794,32.33333206,33.33333206,21.5
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,.3333333433,.3333333433,.3333333433,3,4.333333492,6.333333492,5.333333492,4.333333492,4.333333492,2.333333254,2.333333254,1.333333373,1.333333373,1,0,0,0,0,0,.3333333433,.3333333433,1.333333373,1.666666627,1.666666627,1.666666627,1,2.333333254,3,4.333333492,4.333333492,4.333333492,4.333333492,3.666666746,4.666666508,3.333333254,4,1.333333373,3.666666746,3,6,4.666666508,7.333333492,6,9.333333015,6.333333492,7.333333492,5.333333492,9.666666985,35.33333206,38,33.33333206,63,59.66666794,129,71,77.66666412,33,35.66666794,31,26.33333397,35,49.33333206,29.33333397,18,0,0,45.66666794,45.66666794,45.66666794,0,0,10.66666698,10.66666698,10.66666698,0,0,0,0,37,37,37,0,40.33333206,52.33333206,52.66666794,20.33333397,16,18,11.33333302,8.333333015,6,4.666666508,0,15.66666698,19.66666603,22.33333397,18,14,20,12.33333302,21,25,21.33333397,12.66666698,0,0,0,87.66666412,87.66666412,87.66666412,0,0,0,0
Yemen,YEM,Asia,Western Asia,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666627,1.666666627,2,1.333333373,1.333333373,1.666666627,4,5,4.333333492,4,3,8.666666985,7.333333492,10.33333302,6.333333492,9.666666985,13.66666698,17.33333397,14.33333302,8,15,18.66666603,22.33333397,14,9.333333015,8.333333015,8,12.33333302,11.33333302,15,11.33333302,18,15,23.66666603,29.66666603,32,33,23.33333397,21,10.33333302,9,14,25.33333397,31.66666603,36,48.33333206,45.66666794,70.66666412,60,58,21.66666603,11.33333302,6.666666508,10.66666698,16,23.33333397,24.66666603,36.33333206,32.33333206,29.33333397,14,13,18.33333397,24,31,27.33333397,19.33333397,14.66666698,14.66666698,16.33333397,17.66666603,24,27.66666603,23.66666603,36.33333206,42.5
Western Sahara,ESH,Africa,Northern Africa,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,1.333333373,1.333333373,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,1,.6666666865,0,0,0,0,0,0,1.333333373,1.333333373,2,.6666666865,.6666666865,.6666666865,.6666666865,1.666666627,1,1.333333373,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,4.666666508,4.666666508,4.333333492,2.666666746,3,5.333333492,5,5.666666508,4.666666508,4.333333492,6.333333492,8,8.333333015,6.333333492,9.333333015,10.66666698,13.33333302,9.333333015,10,9.666666985,11,11.66666698,13.33333302,12.66666698,10,10,8.333333015,7.333333492,2.666666746,2.666666746,3,3.333333254,3.333333254,2.666666746,2.333333254,2.333333254,2.666666746,2.666666746,1.666666627,1,.6666666865,.3333333433,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,5.666666508,5.666666508,5.666666508,0,0,0,0,8,8.666666985,10,2.666666746,3.333333254,2,1.333333373,0,0,.3333333433,.3333333433,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,.3333333433,0,0,0,0,0,.3333333433,1,1.333333373,1,.3333333433,0,.3333333433,.6666666865,.6666666865,.3333333433,0,.3333333433,2.666666746,5,4.666666508,2.333333254,0,0,1,1,1.333333373,1,1,.6666666865,0,0,0,0,0,0,4.666666508,4.666666508,4.666666508,0,.3333333433,.3333333433,1,1
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,3.333333254,5.666666508,10.33333302,8.666666985,8.333333015,3,11.33333302,9.333333015,11.66666698,4.666666508,7,10,7.666666508,9.333333015,4,9.333333015,5.333333492,8,3.666666746,6,4,4.333333492,4,3.333333254,2.666666746,2,2,2.666666746,3.333333254,6,4.666666508,5.333333492,5,5,10,17.33333397,17.33333397,19.33333397,10.66666698,18.33333397,11,11.66666698,4.666666508,3.666666746,2,2,1.333333373,2,4.666666508,8,7.333333492,5.333333492,7.333333492,8,9,7.666666508,11,11.33333302,7,3,11,12,27,28.66666603,53,81.66666412,94.33333588,88,65,62,79.66666412,77.66666412,67,41.33333206,49.33333206,53,71.33333588,61.66666794,97.33333588,120,147.3333282,141.6666718,108.6666641,121.3333359,96.66666412,109.3333359,105.3333359,120.3333359,113.6666641,82.33333588,55.33333206,54.66666794,61,82,136,140.3333282,147,134.3333282,144.6666718,152.3333282,132.6666718,149.6666718,171.6666718,197.3333282,254.6666718,244.6666718,250.3333282,234,255,247.6666718,235,229.3333282,298.6666565,291.3333435,314.3333435,279.6666565,320.3333435,370,390,364.3333435,331
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,2,3.333333254,4.666666508,5.666666508,7.666666508,9.333333015,6.666666508,4.333333492,2.333333254,5.666666508,9.666666985,12.66666698,14.66666698,23,20.33333397,22.66666603,12.33333302,18.66666603,18.33333397,28.33333397,45.66666794,76.66666412,84.66666412,67.66666412,41.66666794,34.66666794,74,94.33333588,124.6666641,132.6666718,145.6666718,117,80,62.66666794,72,74,62.66666794,50.33333206,43.66666794,42,48.66666794,37,33.33333206,25.66666603,44.33333206,45,49,38.66666794,36.66666794,34.33333206,29.66666603,28,36.33333206,39.33333206,38.66666794,40,53.66666794,56.66666794,64.66666412,53,55.66666794,42,36,35,39,62,57.66666794,57.66666794,58.66666794,66.66666412,53.66666794,58.33333206,68.33333588,85,59.33333206,59,59.66666794,78,71.33333588,73.33333588,79,82.33333588,83.66666412,130.6666718,144.3333282,142,97.33333588,100.3333359,116.3333359,114.3333359,113,131.3333282,175.6666718,200.6666718,168,151,157,182.6666718,171.6666718,169.6666718,225,238.6666718,255,230.6666718,257,265,273.6666565,277.6666565,285.3333435,297.6666565,309,314,322,376.6666565,357.3333435,400.6666565,396.3333435,473.6666565,477.6666565,485
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,2,2.666666746,8.333333015,14.66666698,23.66666603,21.66666603,20,18.66666603,21.33333397,17.33333397,18,19.66666603,25.33333397,28.33333397,28.66666603,23.66666603,15.33333302,11.66666698,13.66666698,16.33333397,16,16.66666603,12.33333302,9.666666985,8,16.66666603,19.33333397,23.33333397,15,2.333333254,-3.666666746,-3,4.333333492,6.333333492,5.333333492,8,8.666666985,9,8.666666985,7,7.333333492,6.666666508,15.66666698,16.33333397,19,9.666666985,8,7.666666508,7.666666508,7.333333492,4,3,6,6,9,8,9.666666985,7.666666508,5.666666508,5,4,4.333333492,5,4.666666508,3.333333254,1.666666627,1.666666627,4,4,5,6,6.666666508,11.33333302,8.333333015,11.33333302,8,9,6,4,3,1.666666627,1.666666627,2.333333254,2.666666746,5.666666508,4.333333492,3.666666746,.3333333433,.6666666865,.6666666865,.3333333433,0,.3333333433,.3333333433,.6666666865,.3333333433,.6666666865,1.333333373,3.333333254,8.666666985,9.666666985,8.666666985,8.666666985,8.333333015,11.33333302,7.333333492,7.333333492,4.333333492,4,4.666666508,5,5.333333492,4,3,2.666666746,3.333333254,6,5.666666508,6.666666508,4,3.333333254,1
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,.5,.3333333433,1.333333373,1,1,0,0,.6666666865,1,1,1.333333373,1,1,0,0,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,.3333333433,.3333333433,3,4.666666508,12.33333302,16.33333397,24.66666603,40.33333206,49.66666794,77.66666412,92.33333588,99,124.6666641,219.3333282,347.3333435,482,587,469,734.333313,1090.333374,1983,3265.666748,4446,5636,6534.666504,8123.666504,9429,10764.66699,13413.66699,16054.66699,18671.33398,19038,20143.66602,22218.33398,24333.33398,27301,29274.33398,31831.33398,30987.66602,30222.66602,29431,30704.33398,32409,33317,32761,30693.33398,27956.66602,26969.66602,27150.66602,29153,31039.33398,30787.66602,29034.33398,27240,26297,27015.66602,29300.33398,32893.33203,34469,32300.33398,27697,24896.33398,24802.66602,27222.66602,30437,31032.66602,29648,25752.33398,24082.33398,23972,25774.33398,26772,26931,24225,21458.33398,20198.66602,20675,23588,24703.33398,26006,23135,21958,20407.33398,21946.33398,23203.66602,24434.33398,23835,22259,20542.33398,19562.33398,18718.66602,19993.33398,21867,23849.66602,22954.33398,20571,19459.33398,19402.33398,20734.66602,22177.66602,23102.33398,21895.66602,19292.33398,17757.33398,18778.33398,20623.66602,23026,24613.33398,23571.33398,21680,21063,22974.66602,25691,28282.66602,30679,30222.33398,29907.66602,30721.33398,33553.33203,36665.66797,40021,42611,42331.66797,41038,42051.66797,46098,50460.33203,52982.33203,51217.66797,49691.66797,46905.33203,51619,54525,60623,62825,63742,62332,60184.5
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,2,2,2.333333254,.3333333433,.3333333433,1.333333373,1.666666627,1.666666627,.6666666865,.6666666865,1,1,.6666666865,.3333333433,.3333333433,.3333333433,.6666666865,1,1.333333373,1,2,2.333333254,3.666666746,3,4.666666508,7.333333492,8,16.66666603,26,42.66666794,50.33333206,53.33333206,61.33333206,61,62.66666794,85.33333588,153,272,386,459.6666565,444,428.3333435,472.6666565,607.333313,793,940.666687,1102.666626,1168.666626,1275.666626,1636,2027.333374,2466.333252,2716,2992.666748,3035.666748,2960,3317.333252,3881.666748,4567.333496,4764.666504,4898,4600,4176.333496,4296.333496,4773,5284.666504,5143.666504,4765.333496,4248,3795.666748,3751.666748,4001,4524.333496,4896,5109.333496,4993,4511,4475.333496,4490,5036,5131,5202,4621.333496,4063,3972.666748,4297,4952.666504,5037.333496,5039.333496,4301.333496,3640.666748,3191,3345.333252,3631,3760.666748,3549,2988.666748,2506.666748,2684.666748,3097.666748,3423.333252,3098.666748,2808,2397,2136,2155,2480.333252,2773.666748,2763,2426,2026.333374,1628.333374,1487.333374,1535,1686.333374,1728.666626,1680,1445.666626,1224,1200.666626,1323.333374,1414.333374,1347.666626,1227,1043.333374,871,864.666687,985.333313,1140.333374,1112,1078.666626,980.333313,915.666687,906.666687,970,1033.333374,1031.333374,999,888.666687,756,726.666687,798.666687,849.333313,784.333313,703,656,555.333313,544,467.3333435,355.6666565,155.6666718,188.6666718,376.6666565,547.333313,497.3333435,483,521,617.666687,594.666687,658,660.666687,735
