Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.023085596,.0692567825,.0692567825,.0461711921,0,0,0,.0461711921,.0923423842,.0923423842,.0461711921,.023085596,.023085596,.0461711921,.023085596,.023085596,0,.023085596,.0461711921,.0461711921,.023085596,.0461711921,.0692567825,.0692567825,.0923423842,.0692567825,.2077703625,.1385135651,.1615991741,.0461711921,.0461711921,.023085596,.0692567825,.0692567825,.0692567825,.023085596,.0692567825,.0692567825,.0692567825,.023085596,.023085596,.1846847683,.1846847683,.0461711921,-.1385135651,-.1385135651,0,0,0,0,.023085596,.0461711921,.0461711921,.023085596,.023085596,.023085596,.1385135651,.1154279783,.1615991741,.0923423842,.0923423842,.0923423842,.1154279783,.1154279783,.1846847683,.1154279783,.1154279783,0,1.754505277,2.146960258,2.146960258,.969595015,.6694822907,1.246622205,.7387390733,1.015766144,.7849102616,1.362050176,1.315878987,1.038851738,.5078830719,.8079958558,.8772526383,1.038851738,.6694822907,.83108145,1.177365422,1.015766144,.8079958558,.415540725,.4847975075
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.038420558,.038420558,.038420558,0,.019210279,.019210279,.019210279,.1728925109,.2497336268,.3649953008,.3073644638,.2497336268,.2497336268,.1344719529,.1344719529,.076841116,.076841116,.057630837,0,0,0,0,0,.019210279,.019210279,.076841116,.0960513949,.0960513949,.0960513949,.057630837,.1344719529,.1728925109,.2497336268,.2497336268,.2497336268,.2497336268,.2113130689,.2689439058,.1921027899,.2305233479,.076841116,.2113130689,.1728925109,.3457850218,.2689439058,.4226261377,.3457850218,.5378878117,.3649953008,.4226261377,.3073644638,.5570980906,2.036289454,2.189971685,1.921027899,3.63074255,3.438639879,7.43437767,4.091789246,4.475995064,1.90181756,2.055499792,1.786555886,1.51761198,2.017079353,2.84312129,1.690504551,1.037355065,0,0,2.631808281,2.631808281,2.631808281,0,0,.6147289276,.6147289276,.6147289276,0,0,0,0,2.132340908,2.132340908,2.132340908,0,2.324443817,3.016013861,3.035223961,1.171826959,.9220933914,1.037355065,.8644625545
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0057690465,.0057690465,.0057690465,.011538093,.011538093,.0346142799,.0576904677,.0807666555,.0980737954,.1442261636,.1961475909,.2192237824,.1384571195,.3749880493,.5076761246,.8076665401,.715361774,.715361774,1.153809309,1.811480641,2.509535313,3.028749466,3.553732872,2.757604361,2.036473513,.8999713063,.9576617479,.5769046545,.7845903635,.8768951297,1.182654619,1.11342597,1.04419744,.9461236596,1.096118927,1.430723548,1.465337873,1.055735588,1.37880218,1.551873565,2.232621193,1.92109251,1.92109251,2.123009205,3.046056747,3.190282822,2.982597113,2.486459017,2.751835346,3.767187595,4.355630398,4.188327789,3.421044588,3.305663824,3.663344622,4.63831377,4.926765919,5.509439468,5.688280106,6.553637028,7.320920467,7.130541801,5.913272858,5.838275433,7.632448673,9.299703598,10.28621006,10.13621521,11.13426018,11.87846756,12.04000092,12.54190731,13.1591959,16.0148735,16.78215599,16.41293716,14.35338783,15.59950256,16.87446213,19.26861572,19.88013458,20.13397217,16.85138512,19.3493824,21.85314941,28.70677567,29.01830482,30.46056747,29.52021217,27.95103073,27.93372345,37.12381744,43.97167587,48.73690796,43.22746658,42.95055389,40.48717117,41.16791916,44.35820007,51.55220032,59.50771713,66.1709671,66.95555878,61.14035797,59.84809113,59.52790833
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0116964448,.0116964448,.0116964448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.058482226,.058482226,.0701786727,.0467857793,.0467857793,.058482226,.1403573453,.1754466742,.1520537883,.1403573453,.1052680016,.3041075766,.257321775,.3625898063,.222232461,.3391968906,.4795542359,.6082151532,.5029471517,.2807146907,.5263400078,.6550009251,.7836618423,.4912506938,.3275004625,.2924111187,.2807146907,.4327684641,.3976791203,.5263400078,.3976791203,.6316080093,.5263400078,.8304476142,1.040983558,1.122858763,1.157948017,.8187511563,.7368760109,.3625898063,.3158040047,.4912506938,.8889298439,1.111162305,1.263216019,1.695984483,1.602412939,2.479646444,2.105360031,2.035181522,1.017590761
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.82537651,15.53496265,16.43815804,4.154699326,1.445112824,3.793421268,5.599812031,5.599812031,2.528947353,1.806391001,3.612782001,3.432142973,6.322368622,7.044925213,7.044925213,14.45112801,17.88327217,17.88327217,5.961090565,18.7864666,18.7864666,29.98609161,16.79943657,22.21861076,20.23157883,21.31541443,16.98007584,12.46409798,12.82537651,17.88327217,18.2445488,16.98007584,13.90921116,10.65770721,6.503007889,4.69661665,2.890225649,4.335338593,8.128759384,8.851316452,5.961090565,.9031955004,1.083834648,.9031955004,1.083834648,1.625751972,4.154699326,10.29642868,8.851316452,10.83834648,4.515977859,4.515977859,1.987030149,1.987030149,8.128759384,6.141729355,8.670677185,2.70958662,6.503007889,5.238533974,6.141729355,2.348308325,2.70958662,1.806391001,1.806391001,3.070864677,2.890225649,2.890225649,0,14.08985043,14.08985043,14.08985043,0,0,21.85733223,21.85733223,28.17970085,11.38026333,11.38026333,25.10883522,20.05094147,28.90225601,8.851316452,8.851316452,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,.0104667768,.006977851,0,0,0,0,0,0,.0139557021,.0139557021,.0209335536,.006977851,.006977851,.006977851,.006977851,.0174446274,.0104667768,.0139557021,.006977851,.006977851,.006977851,.0034889255,.0034889255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006977851,.0488449559,.0488449559,.0453560315,.0279114041,.0314003304,.0558228083,.0523338839,.0593117326,.0488449559,.0453560315,.0662895888,.0837342143,.0872231349,.0662895888,.0976899117,.1116456166,.1395570189,.0976899117,.1046677679,.1011788398,.1151345447,.1221123934,.1395570189,.1325791776,.1046677679,.1046677679,.0872231349,.0767563581,.0279114041,.0279114041,.0314003304,.0348892547,.0348892547,.0279114041,.0244224779,.0244224779,.0279114041,.0279114041,.0174446274,.0104667768,.006977851,.0034889255,0,0,0,0,0,.006977851,.006977851,.006977851,0,0,0,0,0,0,.0034889255,.0034889255,.0034889255,0,.0593117326,.0593117326,.0593117326,0,0,0,0,.0837342143,.090712063,.1046677679,.0279114041,.0348892547,.0209335536,.0139557021,0,0,.0034889255,.0034889255,.006977851,.006977851,.006977851,.0034889255,.0034889255,.0034889255,.0034889255,0,0,0,0,0,.0034889255,.0104667768,.0139557021,.0104667768,.0034889255,0,.0034889255,.006977851,.006977851,.0034889255,0,.0034889255,.0052333884
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0230918657,.1154593304,.196280852,.3579239249,.3001942635,.2886483073,.1039133966,.3925617039,.3232861161,.4041076303,.1616430581,.2424645871,.3463779688,.2655564547,.3232861161,.1385511905,.3232861161,.1847349256,.277102381,.1270052642,.2078267932,.1385511905,.1500971317,.1385511905,.1154593304,.0923674628,.0692755952,.0692755952,.0923674628,.1154593304,.2078267932,.1616430581,.1847349256,.1731889844,.1731889844,.3463779688,.6003885269,.6003885269,.6696640849,.3694698513,.6350262761,.3810157776,.4041076303,.1616430581,.1270052642,.0692755952,.0692755952,.0461837314,.0692755952,.1616430581,.277102381,.2540105283,.1847349256,.2540105283,.277102381,.3117401898,.2655564547,.3810157776,.3925617039,.2424645871,.1039133966,.3810157776,.4156535864,.9352205396,.992950201,1.83580327,2.828753471,3.26749897,3.048126221,2.251456976,2.14754343,2.759477854,2.690202236,2.320732594,1.4316957,1.708798051,1.83580327,2.470829487,2.135997534,3.371412277,4.156535625,5.103302479,4.907021523,3.763973951,4.202719688,3.348320484,3.787065983,3.648514748,4.16808176,3.937163115,2.851845264,1.916624784,1.893532991,2.112905741,2.840299368,4.710740566,5.611323357
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.010114681,.0606880859,.1011468098,.1416055262,.1719495654,.2326376587,.2832110524,.2022936195,.1314908415,.0708027631,.1719495654,.293325752,.3843578696,.445045948,.697912991,.6169955134,.6877982616,.3742431998,.5664221048,.556307435,.8597478867,1.385711312,2.326376677,2.56912899,2.053280115,1.264335036,1.051926732,2.24545908,2.862454653,3.782890558,4.025642872,4.420115471,3.550252914,2.427523375,1.901559949,2.184771061,2.24545908,1.901559949,1.527316809,1.325023174,1.274449825,1.47674334,1.12272954,1.011468053,.778830409,1.345252514,1.365481853,1.48685801,1.173303008,1.11261487,1.041812062,.9002065659,.8496331573,1.1025002,1.193532348,1.173303008,1.213761687,1.628463626,1.719495773,1.962248087,1.608234286,1.689151645,1.274449825,1.09238553,1.062041521,1.183417678,1.881330609,1.749839783,1.749839783,1.780183792,2.022936106,1.628463626,1.770069122,2.073509455,2.57924366,1.800413132,1.790298462,1.810527802,2.366835356,2.164541721,2.22522974,2.397179365,2.498326063,2.538784742,3.964954853,4.379656792,4.308854103,2.953486681,3.044518948,3.530023575,3.469335556,3.428876638,3.985184193,5.330436707,6.089037895,6.357076645
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,.0015305147,.001020343,.0040813722,.0030610294,.0030610294,0,0,.0020406861,.0030610294,.0030610294,.0040813722,.0030610294,.0030610294,0,0,0,0,0,.001020343,.001020343,.0020406861,.001020343,.001020343,0,0,0,0,0,.0020406861,.0020406861,.0020406861,0,0,0,.001020343,.001020343,.0091830874,.0142848035,.0377526954,.0499968119,.0755053908,.1234615147,.1520311236,.2377399355,.2826350331,.3030419052,.3816083074,.6713857651,1.063197494,1.475416064,1.796824217,1.435622692,2.247815847,3.337542295,6.066959858,9.992219925,13.6093359,17.24787903,20.00178528,24.86167908,28.86550522,32.94483948,41.05350494,49.12543869,57.14941788,58.27587509,61.66545486,68.00280762,74.48504639,83.56916046,89.62081146,97.44786835,94.87149811,92.51960754,90.08914948,93.98686218,99.20999908,101.984314,100.2711563,93.9480896,85.57311249,82.53249359,83.11408997,89.24124908,95.04598236,94.22154236,88.87494659,83.38243866,80.50099182,82.68758392,89.68917847,100.7027588,105.5187836,98.87124634,84.77520752,76.20840454,75.9227066,83.33550262,93.16854858,94.99189758,90.75339508,78.8286438,73.71672821,73.37899017,78.89598846,81.92845154,82.42229462,74.15343475,65.70601654,61.84095383,63.28678131,72.20355988,75.61966705,79.60512543,70.81690979,67.15184021,62.4552002,67.15694427,71.06383514,74.7768631,72.95555115,68.11096191,62.83884811,59.79924774,57.3269577,61.27160263,67.02633667,73.0259552,70.2638855,62.98476028,59.56150818,59.30846405,63.32963562,67.83955383,70.6995697,67.10388184,59.10541534,54.41489792,57.54020691,63.06638718,70.52407074,75.32580566,71.90153503,66.3631134,64.49078369,70.64039612,75.39927673
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3865519762,.5798279643,.7731039524,2.415949821,4.252071381,6.861297131,6.281469345,5.798279285,5.411727428,6.184831619,5.025175571,5.2184515,5.70164156,7.34448719,8.214229584,8.31086731,6.861297131,4.445347786,3.382329702,3.962157726,4.73526144,4.638623714,4.831899643,3.575605631,2.802501678,2.319311857,4.831899643,5.605003357,6.764659405,4.348709583,.6764659286,-1.063017845,-.8697419167,1.256293893,1.836121798,1.546207905,2.319311857,2.512587786,2.60922575,2.512587786,2.029397726,2.12603569,1.932759762,4.541985512,4.73526144,5.508365631,2.802501678,2.319311857,2.222673893,2.222673893,2.12603569,1.159655929,.8697419167,1.739483833,1.739483833,2.60922575,2.319311857,2.802501678,2.222673893,1.642845869,1.449569821,1.159655929,1.256293893,1.449569821,1.352931857,.9663798809,.4831899405,.4831899405,1.159655929,1.159655929,1.449569821,1.739483833,1.932759762,3.285691738,2.415949821,3.285691738,2.319311857,2.60922575,1.739483833,1.159655929,.8697419167,.4831899405,.4831899405,.6764659286,.7731039524,1.642845869,1.256293893,1.063017845,.0966379941,.1932759881,.1932759881,.0966379941,0,.0966379941,.0966379941,.1932759881,.0966379941,.1449569911
