Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.009896514,.0494825691,.0841203704,.1632924825,.1781372428,.2078267932,.2078267932,.3364814818,.2968954146,.2968954146,.252361089,.2721541226,.3216367066,.3216367066,.2424645871,.2424645871,.2869988978,.252361089,.2573093474,.192982018,.2276198119,.1781372428,.1979302764,.1484477073,.1484477073,.1187581643,.1237064227,.0890686214,.0989651382,.108861655,.1187581643,.1187581643,.1484477073,.1632924825,.1632924825,.2573093474,.3711192608,.3315332234,.4750326574,.4502913654,.52946347,.5641012788,.4750326574,.3414297104,.361222744,.21772331,.2127750516,.108861655,.0841203704,.108861655,.1583442241,.1385511905,.1583442241,.2375163287,.2375163287,.2622576058,.2820506394,.2820506394,.3216367066
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1656651199,.2484976947,.3313302398,1.201072216,2.070814133,3.271886349,3.893130541,4.390125751,5.342700481,6.212442398,5.508365631,5.756863117,5.715446949,5.963944435,6.792270184,6.957935333,6.253858566,6.543772697,6.171025753,5.508365631,5.425532818,4.638623714,4.017379284,4.017379284,3.934546709,3.561800241,4.390125751,4.307293415,4.472958565,4.183044434,3.064804792,2.816307068,2.816307068,1.532402396,1.201072216,.5798279643,.6626604795,1.987981558,2.153646708,2.112230301,2.319311857,2.277895451,2.277895451,3.271886349,3.230469942,3.520383835,3.396135092,3.354718924,3.561800241,3.520383835,2.319311857,2.029397726,1.532402396,1.863732696,1.780900121,1.698067546,1.905148983,2.070814133,2.153646708,2.236479282
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2055708468,.2055708468,.4111416936,.5139271021,.7194979787,.9250687957,.9250687957,4.830914974,4.933700085,4.830914974,5.344841957,5.447627544,5.755983829,5.85876894,2.56963563,2.877991915,3.1863482,3.083562613,3.083562613,2.980777264,3.289133549,2.980777264,2.672420979,2.364064693,2.055708408,1.747352242,1.541781306,1.130639672,.9250687957,.9250687957,.8222833872,.6167125106,.7194979787,.5139271021,.5139271021,.2055708468,.1027854234,.1027854234,.2055708468,.1027854234,.1027854234,.1027854234,.1027854234,.1027854234,.2055708468,.1027854234,.1027854234,.1027854234,.1027854234,.1027854234,.1027854234,0,0,0,0,0,0,0,0
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2480197549,.2480197549,.2480197549,.2480197549,.2480197549,.2480197549,.9920790195,.7440592647,.9920790195,.9920790195,1.488118529,1.736138344,1.736138344,.9920790195,.9920790195,.7440592647,.7440592647,.4960395098,.4960395098,.4960395098,.4960395098,.4960395098,.4960395098,.4960395098,.2480197549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0222493131,.0222493131,.0667479411,.0667479411,.0667479411,.1112465635,.2002438158,.2669917643,.2669917643,.3559890091,.4672355652,.6007314324,.6007314324,.5117341876,.6229807734,.7342273593,.8232246041,.8454738855,.8677232265,1.023468375,1.357208133,1.379457474,1.579701185,1.379457474,1.401706696,1.512953281,1.579701185,1.468454719,1.357208133,1.334958792,1.601950526,1.690947771,1.802194357,1.690947771,1.735446453,1.913440943,2.158183336,1.868942261,2.158183336,2.336177826,2.669917583,3.114903927,3.226150513,3.33739686,3.826881886,4.271868229,5.161840439,5.384333611,5.695824146,6.67479372,7.07528162,7.520267963,8.877475739,8.966473579
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0205370449,.0205370449,.0205370449,.102685228,.102685228,.1232222691,.1232222691,.102685228,.1437593102,.1642963588,.1232222691,.1232222691,.1437593102,.2464445382,.3285927176,.2875186205,.3696668148,.5339632034,.6161113381,.8009447455,.7804077268,.7598706484,.8625559211,.7804077268,.6571854353,.7393336296,.8214818239,.8214818239,.924167037,1.006315231,1.02685225,1.02685225,.9652411342,.7598706484,.7598706484,.6161113381,.6982595325,.9036300182,.8625559211,1.02685225,1.437593222,1.417056084,1.478667259,1.252759814,1.006315231,1.067926407,.8009447455,.4928890765,.5339632034,.4518150091,.410740912,.6366484165,.5339632034,1.088463426,2.259074926,2.916260481,3.450223684,3.840427399,3.943112612,4.1279459,4.025260925,4.723520279,6.551317215,6.510243416,6.345946789
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0044657853,.0044657853,.0267947111,.0312604941,.0491236374,.0491236374,.0669867769,.1205761954,.1652340442,.1652340442,.3527970314,.4733732343,.5984151959,.978006959,.9199517369,1.250419855,1.42905128,1.379927635,1.335269809,1.49603796,1.545161605,1.790779829,1.576422095,2.183768988,2.478510857,2.898294449,3.764656782,3.724464893,4.287153721,4.800718784,6.381607056,7.194379807,8.435868263,13.48220539,17.157547,19.21180725,22.78443527,23.39178276,32.25636673,32.81905365,31.8544445,32.3099556,33.90423965,33.81492615,36.21305084,29.21070099,33.64522552,34.72147751,37.61530685,36.43634033,48.72618103,53.09371948,55.25962448,59.63162994,65.56219482,71.72943878,84.00588226,76.82489777,82.21956635,83.38960266,89.31123352,93.27238464,96.2376709,95.51421356,100.3953171,95.47402191,95.79109192
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0342019349,.2736154795,.3762212694,.9234521985,1.231269598,1.470683217,1.881106377,2.325731516,2.667750835,3.351789474,3.762212753,5.609117031,9.234521866,9.918560982,9.439733505,12.21009064,15.35666847,18.36643791,20.0423336,20.11073685,22.02604485,28.59281731,25.24102783,25.95926857,27.39575005,30.33711624,30.78174019,34.16773224,31.43157768,36.52766418,41.41854095,43.67586899,44.49671555,49.01137161,48.29313278,46.92505264,45.3175621,41.82896423,43.23124313,42.27359009,35.53580856,36.49346542,40.56349564,42.64981079,48.39573669,45.21495819,45.42016983,51.50811386,53.14980698,46.61723709,53.25241089,46.719841,47.26707458,53.08140182,44.83873749,40.22147369,51.37130356,46.27521896,45.69378281,46.17261124,40.76870728,46.44622803,48.53254318
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0220952518,.0220952518,.0441905037,.0441905037,.0441905037,.0441905037,.0441905037,.0220952518,.0220952518,.0441905037,.0441905037,.0441905037,.0662857518,.0662857518,.0662857518,.0662857518,.0220952518,.0441905037,.0441905037,.0220952518,.0220952518,.0441905037,.0441905037,.0662857518,.0662857518,.0662857518,.0662857518,.0662857518,.0441905037,.0441905037,.0220952518,.0220952518,.0220952518,.0220952518,.0220952518,.0441905037,.0441905037,.0662857518,.0662857518,.0662857518,.0662857518,.0662857518,.0662857518,.0662857518,.0441905037,.0441905037,.0441905037,.0662857518,.0662857518,.0441905037,.0441905037,.0441905037,.0220952518,.0220952518
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0011320726,.0045282906,.0056603635,.0056603635,.0056603635,.0056603635,.0056603635,.0056603635,.0022641453,.0022641453,.0022641453,.0022641453,.0033962179,.0079245083,.0226414539,.0396225452,.0520753413,.084905453,.0973582491,.1245279908,.1720750481,.2003768682,.2377352566,.2977351248,.322640717,.3532066643,.4041499496,.4766025841,.5818853378,.6758474112,.7664132118,.8230168223,.9169788361,1.02226162,1.047167182,1.099242568,1.17961967,1.301883578,1.522637725,1.777354121,2.041126966,2.186032295,2.440748692,2.636597157,2.850558996,2.915087223,2.959238052,3.018105745,3.233199596,3.431312323,3.710934162,4.075461388,4.254329205,4.643762112,5.317345142,6.040740013,6.789039612,7.183001041,7.263378143,7.649415016,8.208659172,8.213187218,8.593564034,8.906015396,9.335071564,9.955447197,10.61431313,10.49771023,11.13393497,11.76449966,12.20713997,12.87392998,13.07657146,12.93053436
