Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0098938262,.0296814796,.0296814796,.0296814796,.0296814796,.0296814796,.0296814796,.0395753048,.0395753048,.0395753048,.0395753048,.049469132,.049469132,.0593629591,.0395753048,.0197876524,.0197876524,.0296814796,.0296814796,.0296814796,.0197876524,.0395753048,.049469132,.049469132,.0692567825,.0593629591,.1187259182,.1187259182,.1088320911,.1088320911,.1088320911,.0791506097,.1088320911,.049469132,.049469132,.049469132,.0593629591,.0593629591,.0692567825,.0395753048,.0395753048,.1187259182,.1088320911,.0296814796,.0296814796,.0197876524,.0197876524,.0197876524,-.0593629591,-.0593629591,.0098938262,.0197876524,.0197876524,.0197876524,.0296814796,.0296814796,.0791506097,.0692567825,.0791506097,.098938264,.098938264,.1088320911,.1385135651,.0890444368,.1385135651,.1187259182,.098938264,.098938264,.83108145,.969595015,.969595015,1.167471528,1.207046866,1.454392552,1.484073997,.8904443979,.8706567287,1.147683859,1.038851738,1.028957963,.83108145,1.068533301,.969595015,.9399135113,.771718502,.7618246675,.9992764592,.9893826842,.7618246675,.8013999462,1.296091318,1.345560431,1.216940641,1.048745632,1.236728311,1.325772762,1.276303649,.8706567287,.8112937808,.8706567287,.771718502,.6134172678,.6529925466,.7420369983,.6529925466,.6332048774,1.296091318,1.474180222,1.583012223,1.93919003,2.77027154,2.651545525,3.136343002,2.80984664,2.661439419,2.968147993,2.740589857,2.018340588,4.719355106,4.729249001,4.907338142,6.193535328,6.717908382,7.47973299,9.349666595,7.539095879,8.666992188,9.458498001,8.914338112,9.804781914,9.864145279,8.360283852
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0164659526,.0164659526,.0164659526,.0164659526,.0246989299,.0246989299,.0246989299,.082329765,.1152616739,.1646595299,.2140573859,.2140573859,.2634552419,.2634552419,.1975914389,.1893584579,.1399606019,.0905627385,.082329765,.0329319052,.0329319052,.0246989299,0,.0082329763,.0082329763,.0329319052,.0493978597,.0493978597,.0740967914,.0740967914,.0987957194,.1399606019,.1481935829,.1646595299,.2058244199,.2140573859,.2305233479,.2634552419,.2222903669,.2222903669,.1893584579,.2058244199,.1893584579,.2469892949,.2058244199,.2881541848,.2963871658,.4034158587,.3540180027,.4034158587,.3869498968,.4775126278,1.094985843,1.177315593,1.070286989,2.494591951,2.469892979,4.12472105,4.009459496,3.515480995,4.001226425,4.067090511,2.725115299,3.177928925,1.745391011,2.189971685,1.98414731,1.374907136,1.309043288,1.218480587,1.852419734,1.57249856,1.127917767,1.127917767,1.127917767,1.391373038,1.391373038,.2634552419,.2634552419,.2634552419,.2634552419,.2634552419,.9138603806,.9138603806,.9138603806,.9138603806,1.910050511,2.206437826,2.214670658,1.498401761,1.687760234,1.745391011,1.778322935,.8973944187,.6010072827,.5927743316,.3951828778,.5927743316,.6339392066,.6668711305,.8315306306,.8315306306,1.045588017,1.136150718,.9632582664,1.177315593,1.111451864,.8315306306,.8315306306,.6174732447,.5269104838,2.478126049,2.165272951,2.165272951,2.165272951,2.165272951,2.165272951,2.165272951,0,0,0,7.533173561,8.932779312,8.932779312,11.78138924,12.27536774,13.89726448,15.5932579,8.611693382,11.09805202,12.35769749,10.09362888,13.30449009,13.71613884
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0024724486,.0024724486,.0024724486,.0074173459,.0074173459,.0173071399,.0321418308,.0395591781,.056866318,.0914805979,.1186775342,.1458744705,.1359846741,.2546622157,.3288356662,.4400958419,.4994346201,.5513560176,.8406324983,1.216444731,1.466161966,1.92109251,2.393330336,2.34140873,2.48728323,2.284542561,1.975486398,1.659013033,1.322759986,.8282702565,.9840345383,.9271682501,.8900814652,.9790896177,1.149688601,1.166995764,1.231279373,1.095294714,1.28072834,1.448854923,1.646650791,1.634288549,1.659013033,1.928509951,2.48728323,2.435361862,2.541677237,2.596071005,2.791394472,3.332860708,3.552908659,3.280939341,3.431758642,3.691365719,3.785318851,4.240249157,4.188327789,4.279808521,4.883086205,5.530867577,6.000632763,6.369027615,6.077278614,6.391279697,7.278888702,7.625031471,7.990953922,8.485443115,9.340910912,10.54746532,11.14332581,11.44496441,12.20153427,13.59846687,14.29322529,14.46382427,14.65914726,15.81872654,16.32063293,17.27747154,17.47526741,17.75712585,17.4653759,19.61640739,20.43725967,22.53636932,23.79484558,24.97173119,26.55904198,28.55183601,28.65073395,33.10361481,35.09393692,37.1015625,38.57514191,40.8497963,42.47419357,44.24694061,43.9502449,45.72299194,48.86300278,53.78317261,56.010849,57.71436691,61.78896332,62.60734177,63.75950241,66.62012482,67.40883636,69.36949158,73.61468506,77.59532928,85.26239014,91.17153931,96.71971893,100.9550171,105.5092697,111.509903,117.5327911,122.846077,129.887619,138.8947449,144.9250488,151.9492798,159.8339081,161.530014,173.7587433,181.8807373,188.4178925,196.5398865,202.9262238,203.8212433,213.5800018,212.3388367,214.8730927,214.348938,217.7881012,212.21521,206.4642944,207.4359589,207.2678375,208.6796112,206.0068817,200.5279388,195.0786591,192.7595062,188.3387756
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,0,0,0,0,0,0,0,0,0,0,0,0,.0250638109,.0250638109,.0300765727,.0451148599,.0451148599,.0551403835,.1052680016,.095242478,.095242478,.1353445798,.1203062907,.2055232525,.2205615342,.2155487686,.2255742997,.300765723,.3609188795,.4411230683,.3859826922,.3709444106,.5113017559,.5714548826,.5614293814,.5163145065,.4511485994,.4711996317,.5163145065,.411046505,.3609188795,.4060337245,.3709444106,.4912506938,.5062890053,.6065441966,.7519143224,.8170801997,.877233386,.9323737621,.8621950746,.8070546985,.7118121982,.6265952587,.7067994475,.6917611957,.8170801997,1.117846012,1.223114014,1.744441271,1.809607148,1.714364648,1.594058394,1.438662767,1.087769389,1.067718387,.6165697575,.5363655686,.566442132,.8371312618,.8521695733,.9073099494,.8872588873,.8070546985,.8321185112,.877233386,.7268505096,.756927073,.7268505096,.7368760109,.7819908857,.6967739463,.6416335702,.6767228842,.7017866969,.7067994475,1.00255239,1.072731137,1.09779489,1.042654514,.9825013876,.9825013876,.9624503255,.7067994475,.6065441966,.566442132,.5714548826,.5113017559,.4912506938,.4661868811,.3759571612,.3609188795,.3709444106,.3559060991
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1548335254,.3870837986,1.006417871,1.238668203,1.470918417,1.548335195,1.625751972,1.70316875,2.012835741,1.548335195,3.483754158,3.4063375,3.948254824,5.032089233,4.954672813,4.645005703,4.722422123,3.483754158,3.793421268,4.180504799,3.096670389,3.638587713,3.793421268,3.948254824,4.567588806,5.574006557,7.664258957,7.819092751,8.902927399,11.07059669,16.79943657,16.41235352,15.71560192,15.40593529,17.18651962,17.8058548,17.57360458,15.40593529,17.10910416,16.79943657,16.02526855,17.03168678,17.263937,17.10910416,15.6381855,14.08985043,14.39951706,13.0834322,10.60609627,8.515843391,7.122341633,6.812674999,5.806256771,5.10950613,4.722422123,4.257921696,3.793421268,3.638587713,2.554753065,3.096670389,4.877255917,5.186923027,6.503007889,7.19975853,8.361009598,7.819092751,7.19975853,5.419173241,5.883673668,4.567588806,5.419173241,4.180504799,4.103088379,3.870837927,4.490171909,3.483754158,3.716004372,3.019253731,2.941836834,3.483754158,5.574006557,5.883673668,7.277175426,7.354592323,7.277175426,9.59967804,11.68993092,11.84476376,11.30284691,12.07701492,13.85760021,17.49618721,18.81227303,19.50902367,27.2507,37.70196152,41.41796494,45.67588806,47.53388977,49.23706055,52.8756485,46.52747345,39.63738251,41.03088379,39.94704819,38.39871216,40.02446365,39.32771301,45.13397217,47.22422409,48.61772537,48.92739105,52.95306396,59.30123901,64.33332825,69.98474884,78.03609467,85.85518646,96.22903442,103.2739563,105.2093735,110.1640472,109.5447159,104.5900421,98.24186707,90.19052124,85.54551697,78.96509552,73.23625183,71.76533508,81.21018219,85.00360107,93.51944733,100.6417847,108.5382996,118.9121399,124.4087296,120.7701416
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,.0029905075,0,0,.005981015,.005981015,.0089715226,.0089715226,.0089715226,.0119620301,.0119620301,.0104667768,.0104667768,.0089715226,.0104667768,.0104667768,.0089715226,.0089715226,.0044857613,.0044857613,.0029905075,.0014952538,.0014952538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0029905075,.0209335536,.0209335536,.0224288069,.0328955837,.034390837,.046352867,.0523338839,.0388766006,.046352867,.0523338839,.0553243905,.0687816739,.0657911673,.0613054074,.0852294639,.0927057341,.1016772613,.0986867473,.1016772613,.1076582745,.1196203008,.1121440381,.1196203008,.1166297942,.1151345447,.1196203008,.1106487811,.0986867473,.0792484507,.0628006607,.0553243905,.0493433736,.0328955837,.0299050752,.0269145686,.0314003304,.0299050752,.0254193153,.0239240602,.0194383003,.0164477918,.0149525376,.0089715226,.0044857613,.0029905075,.0014952538,0,.0029905075,.0029905075,.0029905075,.0029905075,.0029905075,.0029905075,.0029905075,0,0,.0014952538,.0014952538,.0014952538,.0014952538,.0269145686,.0269145686,.0269145686,.0254193153,.0254193153,.0254193153,.0254193153,.0358860902,.0388766006,.0448576137,.0478481203,.0538291372,.0538291372,.0538291372,.0179430451,.0149525376,.0104667768,.0074762688,.0029905075,.0044857613,.0044857613,.0044857613,.005981015,.0044857613,.0044857613,.0029905075,.0014952538,.0014952538,.0014952538,0,.0014952538,.0044857613,.005981015,.005981015,.005981015,.005981015,.0074762688,.0074762688,.0044857613,.0029905075,.0029905075,.0044857613,.0149525376,.0239240602,.0224288069,.0224288069,.0224288069,.0224288069,.0254193153,.0149525376,.005981015,.0089715226,.0089715226,.0089715226,.0089715226,.0044857613,.0044857613,.0029905075,0,0,.0209335536,.0209335536,.0209335536,.0209335536,.0224288069,.0224288069,.0254193153,.005981015,.005981015,.0179430451,.0179430451,.0179430451,.0179430451,.0164477918,.0164477918,.0418671072,.0403718539,.046352867,.0493433736,.0523338839,.0553243905,.0702769309,.0672864243,.0762579441
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.009896514,.0494825691,.0841203704,.1632924825,.1781372428,.2078267932,.2078267932,.3364814818,.2968954146,.2968954146,.252361089,.2721541226,.3216367066,.3216367066,.2424645871,.2424645871,.2869988978,.252361089,.2573093474,.192982018,.2276198119,.1781372428,.1979302764,.1484477073,.1484477073,.1187581643,.1237064227,.0890686214,.0989651382,.108861655,.1187581643,.1187581643,.1484477073,.1632924825,.1632924825,.2573093474,.3711192608,.3315332234,.4750326574,.4502913654,.52946347,.5641012788,.4750326574,.3414297104,.361222744,.21772331,.2127750516,.108861655,.0841203704,.108861655,.1583442241,.1385511905,.1583442241,.2375163287,.2375163287,.2622576058,.2820506394,.2820506394,.3216367066,.3067919314,.21772331,.3661710024,.3513262272,.504722178,.628428638,.9698583484,1.613131762,1.984251022,2.112905741,2.39990449,2.503818035,2.869988918,2.766075611,2.286094666,2.08321619,2.192077875,2.107957363,2.221767426,1.924871922,2.39990449,3.008540154,3.498417616,3.770571709,3.834899187,4.240656376,4.290138721,4.013036251,4.022933006,3.88932991,3.597382784,3.632020473,2.909574986,2.973902464,2.914523363,2.563197136,3.20647049,3.310383797,3.523158789,4.379207134,4.646413326,4.878981113,5.131342411,4.849291801,5.344117641,5.878529072,6.635612488,6.828594685,7.333316803,8.139882088,8.392243385,8.461519241,8.699035645,8.016176224,9.263136864,9.307671547,9.208705902,9.629307747,10.38639164,11.21275043,12.01436806,11.36119747,11.36119747,11.46511078,11.97478199,12.2815733,11.81643772,11.40573215,12.00447083,12.99907112,13.67698193,13.53843117,13.65224075,15.20104504,17.05169296,17.67517281,18.08093071,18.78853226,19.76333809
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0043348633,.0260091797,.0433486328,.0650229454,.0997018516,.1430504769,.1863991171,.1820642501,.173394531,.173394531,.1950688362,.2254128903,.2384174764,.2644266486,.4378211796,.4464909136,.5288532972,.5245184302,.5635322332,.6025459766,.702247858,.8583028913,1.335137844,1.508532405,1.577890158,1.634243369,1.720940709,2.17176652,2.267133474,2.345160961,2.795986652,3.281491518,3.324840069,3.385528088,3.134106159,3.034404278,2.726629019,2.223784685,1.794633389,1.772958994,1.729610443,1.612569094,1.317798376,1.200757146,1.131399274,1.239770889,1.218096495,1.222431421,1.109724998,1.213761687,1.235435963,1.161743283,1.001353383,1.12272954,1.036032319,1.001353383,1.16607821,1.287454367,1.352477312,1.642913103,1.504197478,1.564885616,1.686261773,1.452179193,1.322133303,1.456514001,1.417500257,1.382821321,1.482523203,1.634243369,1.781628728,1.725275517,1.885665417,1.863991141,2.080734253,1.907339811,1.868326068,1.989702225,2.223784685,2.037385702,2.05472517,2.145757198,2.336491346,2.375504971,3.069083214,3.199129105,3.294496059,3.381193161,3.476560354,3.736652136,3.780000687,3.246812582,3.567592382,4.217822075,4.590620041,4.44756937,4.668647766,5.14548254,5.353556156,5.193166256,5.067454815,5.67000103,6.112156868,6.419932365,6.628005981,7.078831673,7.633694172,7.980483055,7.763740063,8.240574837,8.535345078,8.782432556,8.981836319,9.276607513,10.12190533,10.017869,10.77647018,11.40502453,12.15929127,12.9048872,13.99727345,14.07530022,15.1243372,15.18069077,15.51881027,15.92195225,16.27741051,15.42344284,16.45514107,16.46380997,16.99266434,16.26874161,16.32509422,16.38144875,17.59954453,16.55050659,18.23243523
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,.0017491595,.0017491595,.0021864495,.0026237394,.0013118697,.0026237394,.0026237394,.0026237394,.0026237394,.0017491595,.0013118697,.0013118697,0,.0004372899,.0004372899,.0008745798,.0008745798,.0008745798,.0008745798,.0008745798,.0004372899,.0004372899,0,.0008745798,.0008745798,.0008745798,.0008745798,.0008745798,.0008745798,.0013118697,.0004372899,.003935609,.0065593487,.0166170169,.0253628138,.0389188007,.0690918043,.0900817215,.1368717402,.1840990484,.2037770897,.2789909542,.439476341,.60652107,.8461559415,1.107655287,1.100658655,1.679630518,2.374484062,3.41435957,5.508103371,7.574735641,10.03798962,13.46546745,17.26857758,20.97723389,24.98587036,30.58143234,36.2062912,42.08652878,46.98417664,51.97496414,58.86446762,64.78450012,70.19333649,76.20694733,82.04870605,85.86974335,89.42928314,91.51078033,94.22766113,96.13031006,96.81423187,95.44726563,95.7441864,93.84153748,92.21831512,91.08223724,89.57009125,89.23031616,88.4934845,87.39369965,88.29013824,87.650383,87.21659851,88.48342133,90.04323578,92.04602814,92.76799011,90.63576508,90.16917419,89.91379547,87.91713715,86.98614502,85.35680389,84.43761444,84.44199371,84.28894043,83.29891205,82.53497314,79.48093414,77.96704102,75.42070007,73.84777069,72.97537231,71.09590149,70.98001862,70.15879059,69.8824234,69.55008698,70.81428528,70.05296326,71.29880524,70.30965424,69.80283356,68.36940002,69.16046143,67.94566345,67.26087189,64.844841,63.73412704,63.89286423,65.04162598,64.6467514,63.93134689,64.81117249,65.54406738,64.90387726,65.21872711,64.46746063,63.51460648,63.54084396,62.33042908,62.69600296,63.39522934,63.44158173,64.67649078,65.59173584,66.57344818,69.01265717,71.09634399,73.22113037,75.91046143,79.05589294,81.94856262,86.70452881,91.72592926,95.82595825,101.1014252,107.1250916,111.4787521,117.2361069,121.7262039,126.3431091,133.4442596,139.8234406,143.3466949,144.7350769,149.2295532,151.043869,157.2861786,160.5339355,164.3759613,170.7074738,176.9642181,180.9584351,187.1950531,190.4292603,194.2454834,200.371048,202.0183105,203.5531921,204.7907257,205.7536469,204.4929352,206.0593109,202.3161011,203.2593384,204.4579468,201.4432678,199.2555084,199.8392944,199.7807007
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1656651199,.2484976947,.3313302398,1.201072216,2.070814133,3.271886349,3.893130541,4.390125751,5.342700481,6.212442398,5.508365631,5.756863117,5.715446949,5.963944435,6.792270184,6.957935333,6.253858566,6.543772697,6.171025753,5.508365631,5.425532818,4.638623714,4.017379284,4.017379284,3.934546709,3.561800241,4.390125751,4.307293415,4.472958565,4.183044434,3.064804792,2.816307068,2.816307068,1.532402396,1.201072216,.5798279643,.6626604795,1.987981558,2.153646708,2.112230301,2.319311857,2.277895451,2.277895451,3.271886349,3.230469942,3.520383835,3.396135092,3.354718924,3.561800241,3.520383835,2.319311857,2.029397726,1.532402396,1.863732696,1.780900121,1.698067546,1.905148983,2.070814133,2.153646708,2.236479282,1.94656527,1.905148983,1.656651258,1.573818684,1.283904672,1.118239641,1.076823354,.8697419167,1.118239641,1.035407066,.8697419167,1.283904672,1.449569821,2.070814133,2.112230301,2.360728025,2.567809343,2.60922575,2.360728025,2.236479282,1.573818684,1.532402396,1.035407066,.8697419167,.7454930544,.9939907789,.9111582041,.8283256292,.8283256292,.7869093418,.6212442517,.5384116769,.0828325599,.1242488474,.1242488474,.1242488474,.0828325599,.1242488474,.2484976947,.4969953895,1.159655929,1.408153534,1.490986109,2.195062876,2.360728025,2.733474493,2.692058325,2.195062876,2.070814133,2.112230301,1.698067546,1.656651258,1.366737247,1.283904672,1.118239641,1.159655929,1.201072216,1.283904672,1.242488503,1.366737247,1.283904672,1.283904672,1.201072216,1.325320959,1.449569821,2.029397726,2.153646708,2.402144432,2.7748909,3.106221199,4.100212097,4.472958565,4.762872219,5.342700481,5.38411665,5.715446949,5.715446949,5.05278635,4.969954014
