Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020,12/24/2020,12/25/2020,12/26/2020,12/27/2020,12/28/2020,12/29/2020,12/30/2020,12/31/2020,1/1/2120,1/2/2120,1/3/2120,1/4/2120,1/5/2120,1/6/2120,1/7/2120,1/8/2120,1/9/2120,1/10/2120,1/11/2120,1/12/2120,1/13/2120,1/14/2120,1/15/2120,1/16/2120,1/17/2120,1/18/2120,1/19/2120,1/20/2120,1/21/2120,1/22/2120,1/23/2120,1/24/2120,1/25/2120,1/26/2120,1/27/2120,1/28/2120,1/29/2120,1/30/2120,1/31/2120,2/1/2120,2/2/2120,2/3/2120,2/4/2120,2/5/2120,2/6/2120,2/7/2120,2/8/2120,2/9/2120,2/10/2120,2/11/2120,2/12/2120,2/13/2120,2/14/2120
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,16,3,6,0,28,0,7,7,7,16,0,12,0,16,0,8,3,7,2,4,6,0,2,4,0,4,6,8,0,8,7,0,23,29,0,29,3,23,7,5,2,4,0,2,2,2,10,12,0,4,18,2,7,14,12,8,1,0,32,4,45,37,77,131,75,58,62,66,111,56,34,34,80,45,89,51,152,157,133,135,58,171,61,96,159,106,76,65,25,74,84,88,236,97,108,198,128,131,139,179,197,216,351,167,233,302,230,211,264,213,419,242,282,315,364,431,375,287,242,303,418,426,337,292,408,443,440,390,449,650,666,534,525,583,587,701,715,869,763,548,684,861,981,886,795,844,995,1138,1150,1281,1012,1226,1148,1047,895,1171,699,652,738,607,774,820,807,933,981,1067,922,860,1028,1127,994,1096,1192,1124,1061,1213,1188,1072,840,967,910,1029,1086,761,868,890,775,707,787,1010,986,967,867,667,751,837,835,759,907,791,826,788,683,679,608,615,677,757,684,619,635,614,464,289,531,347,0,1008,391,381,302,424,423,482,353,476,404,309,424,312,380,395,380,441,384,393,185,266,296,305,390,301,492,419,387,311,300,315,352,418,400,308,355,319,398,309,236,280,354,227,446,481,329,300,265,462,480,468,428,435,462,609,339,355,237,364,314,386,294,438,315,196,221,358,348,365,320,225,260,437,326,199,147,177,255,246,414,345,505,438,373,316,512,604,441,450,497,641,673,574,569,535,450,464,403,413,433,406,412,547,604,419,406,563,460,456,412,473,480,500,380,352,431,484,475
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,21,21,29,15,16,25,23,4,27,28,21,36,29,6,11,18,12,19,17,14,6,9,9,32,17,21,7,-21,3,9,1,9,6,9,11,7,8,6,8,6,33,10,14,5,5,13,5,4,3,2,13,3,11,10,8,5,4,6,2,5,8,1,1,3,1,8,3,4,11,5,18,2,14,8,5,5,2,2,1,2,4,2,11,0,0,1,1,0,0,0,1,0,1,0,1,3,6,17,6,3,17,5,12,5,5,3,4,7,4,5,3,1,4,5,9,3,8,1,1,2,8,12,17,11,7,10,10,32,21,24,25,8,18,10,16,19,6,21,14,8,5,9,9,9,7,10,18,11,21,8,16,12,13,6,17,28,8,13,10,5,6,6,3,7,8,5,14,15,10,16,15,10,17,16,10,14,19,29,18,14,7,28,4,15,29,20,14,14,13,10,7,12,13,8,31,10,2,23,13,15,36,25,23,10,22,29,20,25,17,26,19,24,51,29,33,51,30,29,63,40,38,58,48,44,21,44,65,63,38,42,25,16,31,49,64,61,71,73,46,60,80,95,88,74,73,74,104,88,81,100,87,135,64,107,118,129,186,208,205,141,167,201,230,276,234,338,202,301,298,383,362,331,528,321,389,475,543,514,607,491,429,524,709,747,391,370,510,578,656,518,639,634,522,548,603,678,944,759,532,635,1212,715,945,629,1514,957,723,709,485,583,848,698,1178,797,666,408,639,648,559,642,652,557,390,539,548,589,499,509,499,339,503,625,476,574,631,450
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,2,2,0,40,1,1,6,3,5,1,8,4,4,5,3,4,4,5,1,1,2,0,2,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,2,0,1,5,0,1,5,3,8,5,4,9,0,12,5,11,15,50,4,2,19,26,78,22,71,55,36,41,57,81,97,66,77,92,153,159,18,125,91,38,76,38,123,64,56,190,20,27,114,197,110,127,168,49,99,82,104,107,217,202,48,44,81,110,99,42,35,50,24,77,68,39,59,86,48,4,79,41,76,58,22,0,73,11,27,40,47,40,16,1,35,59,54,41,16,8,24,33,26,42,32,24,12,0,50,10,10,24,40,11,0,31,24,26,50,97,3,16,39,45,53,28,63,126,25,13,15,67,16,44,30,9,16,19,21,10,16,16,8,7,26,25,19,12,15,6,15,17,23,15,19,26,12,12,47,18,8,7,8,3,12,5,18,8,4,6,10,8,10,14,9,25,21,8,13,19,15,23,27,23,6,16,15,20,6,6,11,17,6,13,11,13,9,22,2,12,8,21,0,5,4,0,1,14,1,5,5,0
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,9,21,10,20,8,8,10,22,6,9,7,24,19,9,12,21,7,25,16,16,10,11,5,0,38,16,16,78,23,11,14,20,12,14,4,29,20,20,31,29,32,15,0,39,21,36,67,39,58,28,50,52,45,58,71,76,58,44,27,97,0,43,110,89,44,88,69,46,107,103,85,98,70,94,108,77,123,55,61,139,79,71,94,109,38,25,66,26,69,55,106,55,25,55,60,66,37,68,26,14,59,28,30,52,50,3,29,14,20,26,20,18,14,17,19,20,10,28,14,4,1,27,14,14,8,25,17,13,11,14,25,14,17,16,7,14,11,11,19,10,7,3,11,6,4,1,11,4,10,7,5,5,4,2,7,2,6,2,5,2,7,5,2,4,9,7,7,6,0,1,3,4,2,5,6,1,1,3,5,2,4,1,0,0,7,1,2,0,2,0,1,1,7,4,2,1,13,6,22,20,27,31,52,41,31,86,65,76,70,58,40,35,85,83,29,67,66,50,100,93,80,84,104,94,60,56,114,69,53,109,60,58,97,85,74,97,65,55,57,55,62,69,50,71,39,35,11,48,59,39,24,31,21,19,20,29,26,13,16,9
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,0,4,13,10,5,43,31,28,89,0,84,45,32,21,64,100,55,36,181,98,115,258,91,181,151,535,280,393,1388,914,641,951,671,2265,519,1172,1016,998,931,1208,697,1512,1413,1664,734,3683,2186,1182,2491,2741,3045,3483,2075,3394,1444,3817,3628,3709,3321,3168,2292,1515,3237,4247,4298,3891,4046,3732,2660,4550,4537,4749,2929,4056,4205,4020,5772,6154,5874,6506,7386,8805,5563,8126,749,4284,4202,4358,4757,3181,4040,5087,5965,0,5961,8987,3256,4164,3752,3480,3537,3413,3598,2511,3363,3879,3913,3762,3625,3430,2946,2848,3264,3527,3595,3481,3638,2985,3575,3633,3537,3198,3064,3616,3797,3744,3884,3835,3951,3963,4090,4091,4406,4463,4546,4865,0,0,13756,5288,5678,0,6809,0,21358,4250,6790,7734,7785,8466,0,14149,5109,6547,0,8875,17741,0,9507,10143,5547,7828,9099,8639,9008,9169,9090,6112,6944,5996,8619,7964,9474,7731,4871,5092,0,13016,6703,6854,6275,1598,4615,6586,7291,6603,6162,6787,4241,4160,6380,5698,6314,6453,6030,0,7651,6149,11889,0,5558,5160,3412,3054,3061,3468,3267,0,6605,1830,2930,2733,2952,7474,3283,1800,2803,0,5766,0,2677,3132,3126,2201,3242,5758,0,3240,5599,0,1859,1923,2431,2666,2586,2323,0,0,9284,2935,0,2781,2507,2323,1194,1904,2575,2231,2413,2249,2112,1257,1663,0,3986,4164,0,1589,887,1882,0,3908,4021,2162,0,1075,0,3470,0,3785,1828,1224,0,2709,2490,0,1832,0,4030,1157,0,3327,0,0,6442,1618,958,1678,0,3829,1564,0,2111,1251,1588,4641,0,0,2962,1376,0,2543,0,4162,0,0,9004,2166,2881,0,15792,0,4544,0,0,12647,0,9693,0,11031,0,13301,0,6731,5715,13337,5217,0,4477,15621,0,6715,7993,13653,0,10080,0,6724,8807,8439,14550
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,2,1,2,0,2,5,4,0,5,10,4,11,4,3,5,1,4,8,15,4,8,9,2,4,5,5,4,1,13,12,2,13,25,3,4,2,0,5,0,10,5,0,0,11,0,27,67,37,26,19,16,9,22,101,126,24,11,13,3,14,5,19,8,2,41,4,3,2,12,12,3,12,7,16,17,47,22,9,18,57,16,1,3,45,10,42,15,28,24,7,28,7,7,5,22,6,26,17,13,30,106,41,142,231,185,64,30,39,43,46,36,42,29,46,52,84,98,84,128,32,94,124,144,115,172,92,27,69,183,113,111,104,116,104,126,192,341,131,147,159,80,128,208,315,133,197,202,327,285,499,371,633,359,410,344,471,527,684,719,438,259,369,626,644,418,583,601,631,557,676,800,821,695,1217,615,867,861,812,605,881,812,493,550,931,1121,694,1014,888,505,740,568,743,833,822,696,762,748,669,657,1041,885,768,730,533,932,788,881,959,703,697,669,853,648,751,886,533,709,728,621,746,707,733,784,551,515,448,733,760,546,589,546,425,472,630,520,703,460,648,359,549,609,547,739,673,509,525,758,782,856,563,799,619,596,819,987,639,919,695,775,518,1055,1003,995,1022,714,707,803,698,725,812,1155,800,669,641,1130,856,819,1268,861,632,823,932,827,958,559,274,260,952,762,822,974,417,369,355,764,959,898,1162,1138,1032,707,802,1055,1002,1048,1149,859,512,428,771,1088,1071,852,711,571,714,1028,769,754,969,662,679,554,701,747,794,867,713,515,827,874,978,978,823,845,599
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,3,16,9,7,12,14,17,23,28,63,113,32,0,98,115,116,112,115,88,192,0,136,158,198,128,187,112,149,279,224,222,260,166,72,102,177,265,194,63,194,191,163,345,172,200,241,242,0,357,154,188,370,0,107,326,208,137,202,212,166,168,167,161,174,150,181,157,120,141,110,139,151,310,349,257,264,281,403,400,487,445,374,258,514,435,419,541,421,429,379,656,697,625,848,1359,4,540,635,754,923,948,808,722,562,716,1007,868,753,1028,1099,765,913,774,758,988,1166,1185,957,960,965,1041,1075,1301,1540,923,1147,1130,1035,853,1207,958,727,753,911,1176,871,1432,1146,781,1046,922,1065,1127,1070,1003,968,807,1187,1142,1091,841,902,1070,913,1069,956,1263,1275,603,247,964,101,537,1088,1420,585,896,701,900,642,713,728,917,570,532,830,682,709,738,535,829,635,673,615,711,704,459,628,634,672,741,722,602,607,474,706,736,705,677,447,722,576,742,747,620,691,633,633,683,698,754,787,825,647,489,494,832,755,615,609,638,436,558,696,792,639,649,685,551,671,825,798,822,731,738,579,677,432,543,1193,746,1021,804,971,1163,887,1125,832,1344,1014,1054,1112,1256,1200,1288,1206,875,1272,1602,1755,1457,1709,1276,1077,1505,2028,1880,2388,2300,1812,1511,1936,1811,2447,2355,2806,2422,1612,2368,2960,3348,3015,3274,2755,1699,3164,3059,3413,2986,2064,2633,2348,4574,4465,4046,2943,2031,1972,2494,3540,5186,4135,3946,3735,2424,2157,3740,3315,2877,2307,2677,1750,1342,2173,2243,1975,2041,2058,1393,914,1676,1566,1408,1445,1200,926,724,1098,1181,1107,998,977,627,563,822,891,708,910,707,487
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,229,0,25,0,0,0,0,480,0,0,0,0,0,0,359,0,0,0,0,0,0,346,0,0,0,0,0,0,359,0,0,0,0,0,0,347,0,0,0,0,0,0,349,0,0,0,0,0,0,327,0,0,0,0,0,0,301,0,0,0,0,0,0,292,0,0,0,0,0,0,233,0,0,0,0,0,0,230,0,0,0,0,0,0,213,0,0,0,0,0,0,196,0,0,0,0,0,0,183,0,0,0,0,0,0,174,0,0,0,0,0,0,150,0,0,0,0,0,0,143,0,0,0,0,0,0,112,0,0,0,0,0,0,97,0,0,0,0,0,0,94,0,0,0,0,0,0,89,0,0,0,0,0,0,81,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,77,0,0,0,0,70,0,0,0,0,0,0,64,0,0,0,0,0,0,59,0,0,0,0,0,0,54,0,0,0,0,0,0,49,0,0,0,0,0,0,0,51,0,0,0,0,0,0,53,0,0,0,0,0,55,0,0,0,0,0,0,51,0,0,0,0,0,0,55,0,0,0,0,0,0,52,0,0,0,0,0,0,49,0,0,0,0,0,0,46,0,0,0,0,0,0,48,0,0,0,0,0
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,1,0,0,1,4,14,15,12,29,11,25,46,39,48,65,51,38,70,110,132,131,145,101,121,163,132,178,202,253,296,346,396,260,403,375,442,353,385,448,450,578,622,764,511,729,1043,1089,1239,970,835,852,1223,1047,1425,1515,1349,1383,1434,1120,1609,1982,1906,1938,1562,1305,1997,1862,2409,2437,2112,2075,2414,2713,2248,2973,2960,3329,2764,2485,3455,3463,3377,3227,2885,3152,2771,3891,3912,4442,4346,3593,3484,2999,4199,4883,4790,5222,3494,4147,3427,4599,4930,5662,5030,4717,5343,4577,6288,5437,6104,5441,4410,4050,3805,5432,5681,6741,6740,6914,4683,4902,6258,6995,7280,6891,6094,4482,4685,7051,6149,6406,7257,7615,5311,5172,6859,6019,8438,7573,6751,5480,4973,7208,5752,7730,8458,9556,4853,4767,6148,6139,6590,6717,6495,4376,5558,6686,5858,7371,5618,6345,4448,3571,5506,5792,6775,5928,6482,3948,3541,4916,5267,6026,5824,5974,4129,3719,6476,4921,5937,6196,6319,4614,3486,5351,4461,5043,5935,5674,4408,3335,4771,4444,3182,4841,5167,3542,2917,4683,4786,5408,5401,5573,3886,3400,4446,5053,5099,4775,4863,3712,28115,4828,4580,5300,5532,4308,3175,3542,4295,4056,5514,6751,5447,4119,3699,5788,6845,6612,6604,6025,4360,4166,5942,5595,5948,6000,6151,4430,3763,5250,5225,5567,5931,6810,5887,4960,5746,7646,5658,5558,5860,3269,2874,1757,3918,4472,6426,6719,9187,7483,10794,10335,8107,12081,10728,5668,6472,8819,11251,11030,12127,11625,7455,6399,11006,11974,11897,12253,12057,8608,5930,11228,10297,11799,12248,12129,6870,5370,12511,11653,12485,9679,4974,6217,5996,12099,12406,12159,11091,6359,5211,6464,11271,13345,13734,14362,16105,10003,7594,14395,15873,16468,21366,20523,11170,8074,18894,20548,22339,21007,20057,10872,8521,17165,17944,18670,16374,15337,7030,5448,4384,12153,0,26626,13209,6065,3868,10738,11138,10677,10388,9741,4099
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,2,0,2,1,2,1,0,3,0,2,5,0,0,4,2,4,0,8,3,0,6,5,0,5,0,0,0,2,4,4,0,52,18,0,20,10,50,0,10,24,31,17,45,14,0,32,26,10,31,6,2,2,5,10,2,0,12,3,2,2,0,2,6,3,0,0,9,5,10,6,2,4,8,5,0,6,6,5,2,2,1,0,4,1,2,1,6,0,6,3,1,2,4,0,5,12,14,5,2,6,5,8,6,2,4,6,2,4,5,8,6,7,4,5,8,6,2,0,5,0,1,3,1,2,3,6,16,19,1,6,5,10,6,5,11,2,1,8,14,5,11,11,15,8,30,29,16,20,8,16,18,6,11,0,31,16,17,46,98,56,0,183,83,120,72,66,141,102,244,102,0,224,213,68,60,79,80,140,114,74,0,112,148,162,109,122,210,197,187,230,155,127,125,193,135,131,163,153,238,74,73,149,91,100,117,97,82,82,90,196,159,95,97,79,78,65,63,79,47,53,71,155,38,32,44,35,38,64,76,78,89,37,126,39,30,47,53,46,34,36,31,8,53,89,57,104,45,30,60,69,63,89,44,59,79,66,53,59,69,40,54,47,54,47,76,76,57,64,87,98,74,66,99,102,82,83,32,61,71,96,89,65,65,69,96,78,87,39,9,20,41,34,88,16,118,154,43,84,38,43,44,93,89,123,92,63,77,104,65,113,145,68,63,108,114,107,133,141,88,194,27,65,126,125,195,100,177,263,328,244,213,403,207,329,290,303,205
