Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692755952,.3463779688,.5888425708,1.143047333,1.246960759,1.454787493,1.454787493,2.424645901,2.424645901,2.667110443,2.909574986,3.152039528,3.706244469,3.706244469,4.121898174,4.121898174,4.676102638,4.676102638,4.953205109,5.057118416,5.299582958,5.368858814,5.507410049,5.715236664,5.715236664,5.78451252,5.923063278,5.923063278,6.061614513,6.269441605,6.546544075,6.546544075,6.823646069,7.066110611,7.066110611,7.862780094,8.867276192,8.867276192,9.871772766,9.975686073,10.77235508,11.0148201,11.18800926,11.25728416,11.39583588,11.39583588,11.46511078,11.53438663,11.60366249,11.95004082,12.36569405,12.36569405,12.5042448,13.1277256,13.19700146,13.43946552,13.92439461,14.34004879,14.61715126,14.65178871,14.65178871,15.76019859,15.89874935,17.45745087,18.739048,21.40615845,25.94371033,28.54154587,30.55053711,32.69808197,34.98417664,38.82897186,40.7686882,41.94637299,43.12405777,45.89508438,47.45378494,50.53654861,52.30307388,57.56801987,63.00615311,67.6129837,72.28908539,74.29808044,80.221138,82.33404541,85.65927124,91.16668701,94.83829498,97.47076416,99.72222137,100.5881653,103.1513596,106.060936,109.1090622,117.2835846,120.6434479,124.3843307,131.2426147,135.6762543,140.2138062,145.0284576,151.2286224,158.0522766,165.5340424,177.6919098,183.4764099,191.5470276,202.0076447,209.9743347,217.2829132,226.4272919,233.80513,248.3183746,256.7007141,266.4685669,277.3794861,289.9876404,304.9165344,317.9057007,327.8467712,336.2290955,346.7243652,361.2029724,375.9586487,387.6315918,397.7458496,411.8780518,427.2225952,442.4632263,455.9719849,471.524353,494.0389099,517.107666,535.604248,553.7891235,573.9829712,594.3153687,618.5964355,643.3624878,673.4627075,699.8913574,718.8728638,742.5651245,772.3882446,806.3679199,837.0570068,864.5940552,893.8283691,928.2929688,967.7108154,1007.54425,1051.915283,1086.96875,1129.434692,1169.198853
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159655929,1.739483833,2.319311857,8.407505035,14.49569893,22.90320396,27.25191307,31.89053726,39.13838577,45.80640793,46.96606445,54.79373932,62.91133118,68.99952698,79.43643188,87.84393311,89.5834198,92.77246857,97.99092102,101.4698868,106.9782562,111.9067917,115.9655914,117.7050705,120.3143005,122.9235229,132.2007751,137.129303,143.2174988,145.2469025,139.1587067,140.0284424,142.6376801,142.9275818,145.5368195,147.2762909,149.8855286,153.0745697,155.1039734,157.4232941,159.1627655,161.4820862,163.2215729,172.7887268,175.6878662,179.7466583,181.196228,182.6457977,186.4146881,187.8642578,189.0239105,189.8936462,190.4734802,194.2423553,195.1121063,198.3011627,201.2003021,203.5196075,204.9691772,206.12883,207.8683167,208.4481506,209.8977203,212.2170258,212.5069427,212.7968597,213.6665955,213.9565125,216.2758179,217.1455688,218.3052216,221.494278,222.9438477,228.1622925,228.7421265,232.8009186,235.120224,236.5697937,238.0193634,238.5991974,239.1790314,239.4689331,240.0487671,241.2084198,241.7882538,244.9773102,244.9773102,244.9773102,245.2672272,245.5571289,245.5571289,245.5571289,245.5571289,245.8470459,245.8470459,246.1369629,246.1369629,246.4268799,247.2966156,249.0361023,253.9646454,255.7041168,256.5738525,261.5024109,262.9519653,266.4309387,267.8805237,269.3300781,270.1998291,271.3594666,273.3888855,274.5485229,275.9981079,276.8678284,277.1577454,278.3174133,279.7669678,282.3762207,283.2459412,285.5652771,285.8551636,286.1450806,286.7249146,289.04422,292.5231934,297.4517212,300.6407776,302.6701965,305.5693359,308.4684753,317.7457275,323.8338928,330.7918396,338.0397034,340.3590088,345.5774536,348.476593,353.1152039,358.6235962,360.3630676,366.4512634,370.5100403,372.8293762,374.2789307,376.8881531,379.4973755,382.1066284,384.1360168,387.0351563,392.2536011,395.4426575,401.5308533,403.8501587,408.4888,411.9677429,415.7366333,417.4761047
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438995957,1.438995957,2.877991915,3.597489834,5.036485672,6.47548151,6.47548151,35.25540161,35.97489929,36.69439697,41.01138306,43.1698761,46.76736832,47.486866,53.24284744,56.12084198,58.9988327,62.59632111,64.75481415,67.63280487,70.51080322,74.10829163,74.82778931,75.54728699,76.98628235,76.98628235,78.42527771,78.42527771,80.58377075,81.30326843,81.30326843,81.30326843,82.02276611,82.02276611,82.02276611,82.02276611,82.02276611,82.02276611,82.74226379,82.74226379,82.74226379,82.74226379,82.74226379,82.74226379,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,89.21775055,90.65674591,90.65674591,90.65674591,93.53473663,93.53473663,93.53473663,93.53473663,93.53473663,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,95.69322968,97.85172272,98.5712204,98.5712204,98.5712204,100.0102158,101.4492111,101.4492111,102.1687088,105.7661972,105.7661972,106.4856949,110.0831909,112.241684,117.9976654,121.5951538,124.4731445,130.9486237,130.9486237,139.5826111,143.1800995,151.094574,161.8870392,197.8619385,200.7399292,202.1789246,215.8493805,234.5563354,290.6771851,306.506134,357.5904846,397.1628723
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736138344,1.736138344,1.736138344,1.736138344,1.736138344,1.736138344,6.944553375,6.944553375,8.680691719,8.680691719,12.15296841,13.88910675,13.88910675,13.88910675,13.88910675,13.88910675,13.88910675,15.62524509,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,20.83366013,20.83366013,20.83366013,24.30593681,39.93118286,76.39008331,93.75147247,128.4742279,142.3633423,156.2524414,173.6138306,211.8088684,222.225708,237.8509521,250.0039215,291.6712341,324.6578674,340.2831116,361.1167603,397.5756836,409.7286377,453.1321106,480.9103088,508.6885376,526.0499268,545.1474609,553.828125,553.828125,619.8013916,647.5795898,675.3577881,810.7766113,850.7077637,869.8052979,894.1112061,928.8339844,949.6676636,973.9735718,980.9181519,1031.266113,1065.988892,1100.71167,1154.531982,1204.880005,1260.436401,1286.478516,1286.478516,1354.187866,1390.646729,1453.147827,1569.468994,1637.178467,1737.874512,1786.486328,1873.293213,1963.572388,2041.698608,2142.394775,2265.6604,2397.606934,2498.302979,2574.693115,2621.568848,2789.974365,2789.974365,2864.628174,3055.603516,3210.119629,3286.509766,3439.290039,3559.083496,3638.945801,3824.712646,4003.534912,4151.106934,4321.248047,4442.777832,4605.975098,4793.478027,4927.160645,5140.705566,5236.193359
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1557451934,.1557451934,.4672355652,.4672355652,.4672355652,.7787259817,1.401706696,2.024687529,2.024687529,2.959158659,3.737884521,4.672355652,4.983846188,4.983846188,6.385552883,7.164278984,8.721731186,9.656202316,10.746418,12.14812469,14.48430252,16.04175568,18.22218704,18.3779335,19.46814919,21.33709145,23.20603371,24.76348495,25.54221153,27.56689835,29.59158707,31.30478287,33.95245361,35.04266739,36.91160965,38.93629837,42.67418289,42.67418289,46.41206741,50.30569839,53.73209,58.71593857,61.51935196,66.03596497,69.46235657,76.3151474,86.43858337,91.42242432,98.58670807,108.2429123,115.5629349,122.1042328,138.4574738,149.2038879,155.4337006,161.5077667,173.1886597,188.4516754,197.0176697,208.3870697,220.0679626,233.3063049,244.6756897,255.4221191,268.6604614,283.3005066,298.2520447,308.8427124,318.0316772,328.4666138,341.7049561,354.7875366,373.0097351,392.0106506,402.1340942,413.1919861,421.290741,433.1273804,443.7180481,456.9563904,469.5717468,483.433075,496.9829102,509.9097595,525.3285522,542.1489868,561.1499023,579.3721313,595.8811035,613.7918091,633.2599487,654.1298218,674.2209473,696.9597168,720.4772339,748.822876,774.520813,802.0877686,831.0563354,859.2462158,891.9526978,924.1919556,961.4151001,1002.687561,1049.099609,1090.216309,1131.800293,1169.179199,1211.230347,1250.166626,1293.775269,1334.113281,1377.410522,1423.82251,1462.603149,1506.678955,1554.025513,1604.6427,1657.907593,1706.500122,1745.436401,1792.315674,1844.95752,1901.181519,1959.58606,2020.793823,2083.40332,2148.037598,2214.852295,2278.552246,2341.628906,2405.640137,2467.159668,2527.744385,2590.354004,2655.455566,2717.442139,2778.961426,2844.21875,2912.59082,2978.782471,3043.884033,3111.477539,3180.78418,3250.713623,3312.544434,3370.948975,3425.303955,3475.29834,3522.800537,3568.433838
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1437593102,.1437593102,.1437593102,.7187966108,.7187966108,.8625559211,.8625559211,.8625559211,1.150074482,1.293833852,1.581352472,1.581352472,1.868871093,2.587667704,3.162704945,3.162704945,3.881501436,5.319094658,5.894132137,7.475484371,8.050521851,8.481800079,9.200595856,9.344355583,9.919392586,11.06946754,13.22585678,13.80089474,14.95096874,16.24480247,16.53232193,17.10735893,17.82615471,18.54495239,19.1199894,19.26374817,21.13261986,22.85773087,23.14525032,25.01412201,28.60810471,29.03938293,29.61441994,29.90193748,29.90193748,30.62073517,30.62073517,32.05832672,32.7771225,32.7771225,32.7771225,34.35847855,34.35847855,38.23997879,47.87185287,53.19094849,56.92868805,59.6601181,61.96026611,63.2541008,66.41680145,80.93649292,99.0501709,102.5003891,104.081749,105.9506149,106.381897,108.3945236,109.1133194,111.8447495,112.9948196,113.282341,119.1764755,119.7515106,120.182785,120.4703064,122.1954193,123.9205322,124.3518066,126.0769196,127.0832367,129.3833923,131.827301,138.5839844,141.7466888,143.0405273,145.6281891,153.822464,156.1226196,156.2663727,156.6976624,163.1668243,164.6044159,170.6423035,172.7987061,176.8239594,180.2741852,181.2805023,185.3057556,186.3120728,187.3183899,188.0371857,191.1998901,192.0624542,195.8001862,198.2440948,200.1129761,204.4257507,219.6642303,225.5583649,245.9721985,279.180603,305.776062,314.9766541,319.2894287,324.8960571,331.0776978,337.6906433,342.8659668,348.9038696,353.072876,359.6858215,367.1612854,379.2370911,393.3255005,405.4012756,423.8024597,428.402771,441.9161377,459.7423096,480.443634,496.9759521,521.7025757,534.9284058,538.8099365,548.7293091,575.0372925,591.2820435,607.2393799,622.1903076,638.866394,653.8173828,671.9310303,699.5328369,748.5547485,767.387207,788.5198364,811.3775635,822.8783569,841.279541,871.1814575,916.4656372,935.5856323,963.906189,992.9456177,1039.954956,1080.92627,1152.662231,1205.996948,1296.996582,1348.606201,1407.547485
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0312604941,.0312604941,.1875629723,.2188234776,.3438654542,.3438654542,.4689074457,.8752939105,1.187898874,1.344201326,2.688402653,3.657478094,4.532772064,7.314956188,7.314956188,9.94083786,11.34755993,12.34789562,13.00436592,15.00503826,18.13108826,19.85041428,20.97579193,26.63394165,29.69747162,33.29242706,41.3576355,44.20233917,49.86049271,54.58082581,71.30519104,80.05812836,92.34350586,135.733078,164.3051605,184.3431396,214.0718689,235.0476685,305.8526917,322.0768738,358.7142029,390.4748535,421.672821,450.7763367,488.539032,510.3276062,557.5934448,601.7645264,653.7819824,676.7272339,791.8596191,860.1950684,897.1449585,975.0148926,1060.699829,1155.888062,1264.768433,1329.633911,1435.732056,1480.872192,1600.193481,1713.606567,1829.551758,1933.36792,2032.401123,2104.050293,2151.409912,2252.600098,2385.363281,2519.720947,2641.355713,2767.835449,2884.499756,2967.652588,3109.887939,3251.716797,3400.172852,3491.734863,3618.527344,3749.977783,3875.64502,4056.080566,4248.45752,4432.082031,4635.462402,4866.352539,5141.601074,5315.503418,5569.526367,5592.94043,5726.860352,5858.216797,5994.450195,6143.15625,6242.596191,6368.888184,6527.910645,6714.379395,6714.379395,6900.723145,7181.661133,7283.445313,7413.614258,7530.90332,7639.689941,7750.258301,7856.950684,7969.425781,8047.920898,8153.049805,8274.30957,8396.631836,8514.233398,8627.552734,8734.776367,8826.870117,8915.899414,9017.933594,9128.189453,9240.571289,9349.388672,9463.115234,9556.427734,9668.183594,9781.75293,9892.321289,9992.291992,10088.07422,10201.1123,10319.80859,10436.84766,10558.26367,10678.14746,10801.6582,10925.54297,11053.39844,11181.28516,11319.01953,11458.53516,11600.64453,11752.72754,11752.72754,11752.72754,12182.74707,12348.05176,12525.54883,12525.54883,12738.40234,12738.40234,13406.06348,13538.9209,13751.17969,13992.94824,14236.31152,14500.96289,14500.96289,14943.26758,15102.97754,15307.63965,15307.63965,15585.07617,16139.66895,16139.66895,16436.86328
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2394135445,1.915308356,2.633548975,6.464165688,8.618887901,10.29478264,13.16774464,16.51953506,20.58956528,26.09607506,32.79965591,47.8827095,74.93643951,82.59767151,82.59767151,106.0601959,133.5927582,161.3647308,188.1790466,215.7115936,236.7799835,282.7473755,282.7473755,315.3076172,353.1349792,400.5388489,431.1837769,475.9541321,502.7684326,538.44104,605.2374268,658.8660889,712.0158691,774.2633667,814.0060425,831.2438354,855.6640015,898.0401611,961.4848022,1007.93103,1023.014038,1069.460327,1115.188232,1154.212646,1236.810303,1277.989502,1325.872192,1383.570801,1441.508911,1441.508911,1526.979614,1563.849243,1608.859009,1697.442017,1697.442017,1723.059204,1801.108032,1850.906128,1883.705688,1932.067261,1982.822876,2022.565552,2062.787109,2102.769043,2141.314697,2182.972656,2218.884766,2262.218506,2299.806396,2328.536133,2362.293457,2388.628906,2421.907471,2458.058838,2532.2771,2615.832275,2677.361572,2740.566895,2807.842041,2904.325684,3000.091064,3116.685547,3223.224365,3312.765137,3374.533936,3497.592285,3601.737305,3702.051514,3831.574219,3932.367432,4035.075684,4125.813477,4282.868652,4449.740234,4599.373535,4802.395996,5127.759277,5128.716797,5258,5410.027832,5590.54541,5811.524414,6038.488281,6231.93457,6404.791016,6539.341309,6710.761719,6951.851074,7159.662109,7339.94043,7586.057617,7849.172852,8032.324219,8250.90918,8436.214844,8617.69043,8854.230469,9133.386719,9417.091797,9646.210938,9876.047852,10107.08203,10356.31152,10613.68066,10925.1582,11293.85449,11514.83398,11789.44141,12059.97852,12307.77148,12511.99121,12800.96289,13030.32129,13204.375,13384.65332,13602.75879,13884.30957,14092.83887,14435.67871,14710.04688,14897.02832,15147.45508,15368.19434,15623.16992,15892.98926,16149.16113,16389.29297,16621.04492,16814.25195,17098.43555,17371.8457,17633.04688,17834.39258,18050.34375,18306.51758,18525.10156,18781.03516,19009.91406,19312.29297,19617.54492
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1546667665,.1546667665,.309333533,.309333533,.309333533,.309333533,.309333533,.309333533,.309333533,.6186670661,.6186670661,.6186670661,.7733337879,.7733337879,.7733337879,.7733337879,.7733337879,.9280005693,.9280005693,.9280005693,.9280005693,1.082667351,1.082667351,1.237334132,1.392000914,1.392000914,1.392000914,1.392000914,1.392000914,1.392000914,1.392000914,1.546667576,1.546667576,1.546667576,1.546667576,1.701334357,1.701334357,1.856001139,2.010667801,2.010667801,2.010667801,2.010667801,2.165334702,2.165334702,2.165334702,2.320001364,2.320001364,2.474668264,2.474668264,2.474668264,2.474668264,2.474668264,2.474668264,2.474668264,3.866669178,3.866669178,3.866669178,3.866669178,3.866669178,3.866669178,3.866669178,39.28535843,39.28535843,43.15202713,43.15202713,43.15202713,43.15202713,43.15202713,117.3920746,117.3920746,117.3920746,117.3920746,117.3920746,117.3920746,117.3920746,172.9174347,172.9174347,172.9174347,172.9174347,172.9174347,172.9174347,172.9174347,226.4321442,226.4321442,226.4321442,226.4321442,226.4321442,226.4321442,226.4321442,281.9575195,281.9575195,281.9575195,281.9575195,281.9575195,281.9575195,281.9575195,335.6268616,335.6268616,335.6268616,335.6268616,335.6268616,335.6268616,335.6268616,389.6055603,389.6055603,389.6055603,389.6055603,389.6055603,389.6055603,389.6055603,440.1816101,440.1816101,440.1816101,440.1816101,440.1816101,440.1816101,440.1816101,486.7362976,486.7362976,486.7362976,486.7362976,486.7362976,486.7362976,486.7362976,531.8989868,531.8989868,531.8989868,531.8989868,531.8989868,531.8989868,531.8989868,567.9363403,567.9363403,567.9363403,567.9363403,567.9363403,567.9363403,567.9363403,603.5097046,603.5097046,603.5097046,603.5097046,603.5097046,603.5097046,603.5097046,636.4537354,636.4537354,636.4537354,636.4537354,636.4537354,636.4537354
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0079245083,.0316980332,.0396225452,.0396225452,.0396225452,.0396225452,.0396225452,.0475470535,.0475470535,.0554715618,.0554715618,.0554715618,.0633960664,.0950941071,.2060372233,.3249048591,.4199989736,.6498097181,.7369793057,.935092032,1.299619436,1.608675241,1.9890517,2.504144669,2.908294678,3.209425926,3.76414156,4.635837555,5.681872845,6.719983578,7.869037151,8.669412613,9.628277779,10.91997337,11.96600819,13.3765707,14.97732162,16.9822216,19.32787704,22.06975746,25.20786285,27.26823425,30.46181107,33.4335022,36.93613434,39.73348618,42.78442383,46.33460236,49.90063095,54.48099899,59.41004181,65.4643631,69.51379395,75.29075623,83.55602264,92.18580627,102.0042725,109.6910477,116.3080139,123.0596924,132.7513733,141.0483246,152.3407593,164.3463898,175.0365448,185.9961395,197.3598938,206.2353363,218.9858704,234.6922455,249.7963562,265.1540527,277.532135,287.8736267,303.6988831,318.4543152,337.5444336,356.8564758,373.5930481,390.0364075,409.1661682,430.6653442,448.4796448,472.0392151,495.4957581,521.8764648,543.7797852,563.472168,590.8513794,618.2939453,645.0549927,670.6273804,693.489624,718.4676514,740.4264526,771.2607422,802.2614136,837.4620972,871.9019775,900.3747559,927.9837646,951.7493286,985.024353,1023.719727,1061.678101,1103.059937,1130.748169,1163.611084,1190.768433,1227.213135,1266.281006,1311.149536,1351.009888,1388.389771,1430.730469,1467.000854,1516.8302,1559.915771,1608.286987,1651.404175,1686.351318,1718.445557,1748.598267,1791.644287,1836.66333,1890.08252,1943.493652,1998.283691,2035.394165,2074.240234,2123.831787,2179.263672,2236.954102,2291.561768,2339.85376,2375.371582,2412.497803,2468.373535,2517.101318,2567.865723,2625.373779,2685.718994,2727.806152,2768.791748,2823.145752,2870.843506,2937.710449,2997.722656,3051.221191,3094.647461,3134.055908,3191.175781,3236.757568,3298.01416,3365.039551,3440.766113,3479.223877,3517,3565.719971,3614.368408,3666.59082,3719.819824,3771.289551,3805.967285,3850.011719,3902.994873,3949.416748,4007.828125,4052.348145,4102.628906,4137.877441
