Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159655929,1.739483833,2.319311857,8.407505035,14.49569893,22.90320396,27.25191307,31.89053726,39.13838577,45.80640793,46.96606445,54.79373932,62.91133118,68.99952698,79.43643188,87.84393311,89.5834198,92.77246857,97.99092102,101.4698868,106.9782562,111.9067917,115.9655914,117.7050705,120.3143005,122.9235229,132.2007751,137.129303,143.2174988,145.2469025,139.1587067,140.0284424,142.6376801,142.9275818,145.5368195,147.2762909,149.8855286,153.0745697,155.1039734,157.4232941,159.1627655,161.4820862,163.2215729,172.7887268,175.6878662,179.7466583,181.196228,182.6457977,186.4146881,187.8642578,189.0239105,189.8936462,190.4734802,194.2423553,195.1121063,198.3011627,201.2003021,203.5196075,204.9691772,206.12883,207.8683167,208.4481506,209.8977203,212.2170258,212.5069427,212.7968597,213.6665955,213.9565125,216.2758179,217.1455688,218.3052216,221.494278,222.9438477,228.1622925,228.7421265,232.8009186,235.120224,236.5697937,238.0193634,238.5991974,239.1790314,239.4689331,240.0487671,241.2084198,241.7882538,244.9773102,244.9773102,244.9773102,245.2672272,245.5571289,245.5571289,245.5571289,245.5571289,245.8470459,245.8470459,246.1369629,246.1369629,246.4268799,247.2966156,249.0361023,253.9646454,255.7041168,256.5738525,261.5024109,262.9519653,266.4309387,267.8805237,269.3300781,270.1998291,271.3594666,273.3888855,274.5485229,275.9981079,276.8678284,277.1577454,278.3174133
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.438995957,1.438995957,2.877991915,3.597489834,5.036485672,6.47548151,6.47548151,35.25540161,35.97489929,36.69439697,41.01138306,43.1698761,46.76736832,47.486866,53.24284744,56.12084198,58.9988327,62.59632111,64.75481415,67.63280487,70.51080322,74.10829163,74.82778931,75.54728699,76.98628235,76.98628235,78.42527771,78.42527771,80.58377075,81.30326843,81.30326843,81.30326843,82.02276611,82.02276611,82.02276611,82.02276611,82.02276611,82.02276611,82.74226379,82.74226379,82.74226379,82.74226379,82.74226379,82.74226379,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,83.46176147,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,84.18125916,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,88.49824524,89.21775055,90.65674591,90.65674591,90.65674591,93.53473663,93.53473663,93.53473663,93.53473663,93.53473663,95.69322968,95.69322968
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736138344,1.736138344,1.736138344,1.736138344,1.736138344,1.736138344,6.944553375,6.944553375,8.680691719,8.680691719,12.15296841,13.88910675,13.88910675,13.88910675,13.88910675,13.88910675,13.88910675,15.62524509,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,17.36138344,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,19.09752083,20.83366013,20.83366013,20.83366013,24.30593681,39.93118286,76.39008331,93.75147247,128.4742279,142.3633423,156.2524414,173.6138306,211.8088684,222.225708,237.8509521,250.0039215,291.6712341,324.6578674,340.2831116,361.1167603,397.5756836,409.7286377,453.1321106,480.9103088,508.6885376,526.0499268,545.1474609,553.828125,553.828125,619.8013916,647.5795898,675.3577881,810.7766113,850.7077637,869.8052979,894.1112061,928.8339844,949.6676636,973.9735718,980.9181519,1031.266113,1065.988892
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1557451934,.1557451934,.4672355652,.4672355652,.4672355652,.7787259817,1.401706696,2.024687529,2.024687529,2.959158659,3.737884521,4.672355652,4.983846188,4.983846188,6.385552883,7.164278984,8.721731186,9.656202316,10.746418,12.14812469,14.48430252,16.04175568,18.22218704,18.3779335,19.46814919,21.33709145,23.20603371,24.76348495,25.54221153,27.56689835,29.59158707,31.30478287,33.95245361,35.04266739,36.91160965,38.93629837,42.67418289,42.67418289,46.41206741,50.30569839,53.73209,58.71593857,61.51935196,66.03596497,69.46235657,76.3151474,86.43858337,91.42242432,98.58670807,108.2429123,115.5629349,122.1042328,138.4574738,149.2038879,155.4337006,161.5077667,173.1886597,188.4516754,197.0176697,208.3870697,220.0679626,233.3063049,244.6756897,255.4221191,268.6604614,283.3005066,298.2520447,308.8427124,318.0316772,328.4666138,341.7049561,354.7875366,373.0097351,392.0106506,402.1340942,413.1919861,421.290741,433.1273804,443.7180481,456.9563904,469.5717468,483.433075,496.9829102,509.9097595,525.3285522,542.1489868,561.1499023,579.3721313,595.8811035,613.7918091,633.2599487,654.1298218,674.2209473,696.9597168,720.4772339,748.822876,774.520813,802.0877686,831.0563354,859.2462158,891.9526978,924.1919556,961.4151001,1002.687561,1049.099609,1090.216309,1131.800293,1169.179199,1211.230347,1250.166626
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1437593102,.1437593102,.1437593102,.7187966108,.7187966108,.8625559211,.8625559211,.8625559211,1.150074482,1.293833852,1.581352472,1.581352472,1.868871093,2.587667704,3.162704945,3.162704945,3.881501436,5.319094658,5.894132137,7.475484371,8.050521851,8.481800079,9.200595856,9.344355583,9.919392586,11.06946754,13.22585678,13.80089474,14.95096874,16.24480247,16.53232193,17.10735893,17.82615471,18.54495239,19.1199894,19.26374817,21.13261986,22.85773087,23.14525032,25.01412201,28.60810471,29.03938293,29.61441994,29.90193748,29.90193748,30.62073517,30.62073517,32.05832672,32.7771225,32.7771225,32.7771225,34.35847855,34.35847855,38.23997879,47.87185287,53.19094849,56.92868805,59.6601181,61.96026611,63.2541008,66.41680145,80.93649292,99.0501709,102.5003891,104.081749,105.9506149,106.381897,108.3945236,109.1133194,111.8447495,112.9948196,113.282341,119.1764755,119.7515106,120.182785,120.4703064,122.1954193,123.9205322,124.3518066,126.0769196,127.0832367,129.3833923,131.827301,138.5839844,141.7466888,143.0405273,145.6281891,153.822464,156.1226196,156.2663727,156.6976624,163.1668243,164.6044159,170.6423035,172.7987061,176.8239594,180.2741852,181.2805023,185.3057556,186.3120728,187.3183899,188.0371857,191.1998901,192.0624542,195.8001862,198.2440948,200.1129761,204.4257507,219.6642303,225.5583649,245.9721985,279.180603,305.776062,314.9766541,319.2894287,324.8960571,331.0776978,337.6906433,342.8659668,348.9038696,353.072876
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0312604941,.0312604941,.1875629723,.2188234776,.3438654542,.3438654542,.4689074457,.8752939105,1.187898874,1.344201326,2.688402653,3.657478094,4.532772064,7.314956188,7.314956188,9.94083786,11.34755993,12.34789562,13.00436592,15.00503826,18.13108826,19.85041428,20.97579193,26.63394165,29.69747162,33.29242706,41.3576355,44.20233917,49.86049271,54.58082581,71.30519104,80.05812836,92.34350586,135.733078,164.3051605,184.3431396,214.0718689,235.0476685,305.8526917,322.0768738,358.7142029,390.4748535,421.672821,450.7763367,488.539032,510.3276062,557.5934448,601.7645264,653.7819824,676.7272339,791.8596191,860.1950684,897.1449585,975.0148926,1060.699829,1155.888062,1264.768433,1329.633911,1435.732056,1480.872192,1600.193481,1713.606567,1829.551758,1933.36792,2032.401123,2104.050293,2151.409912,2252.600098,2385.363281,2519.720947,2641.355713,2767.835449,2884.499756,2967.652588,3109.887939,3251.716797,3400.172852,3491.734863,3618.527344,3749.977783,3875.64502,4056.080566,4248.45752,4432.082031,4635.462402,4866.352539,5141.601074,5315.503418,5315.503418,5592.94043,5726.860352,5858.216797,5994.450195,6143.15625,6242.596191,6368.888184,6527.910645,6714.379395,6714.379395,6900.723145,7181.661133,7283.445313,7413.614258,7530.90332,7639.689941,7750.258301,7856.950684,7969.425781,8047.920898,8153.049805,8274.30957,8396.631836,8514.233398,8627.552734,8734.776367,8826.870117,8915.899414,9017.933594,9128.189453,9240.571289,9349.388672,9463.115234,9556.427734
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2394135445,1.915308356,2.633548975,6.464165688,8.618887901,10.29478264,13.16774464,16.51953506,20.58956528,26.09607506,32.79965591,47.8827095,74.93643951,82.59767151,82.59767151,106.0601959,133.5927582,161.3647308,188.1790466,215.7115936,236.7799835,282.7473755,282.7473755,315.3076172,353.1349792,400.5388489,431.1837769,475.9541321,502.7684326,538.44104,605.2374268,658.8660889,712.0158691,774.2633667,814.0060425,831.2438354,855.6640015,898.0401611,961.4848022,1007.93103,1023.014038,1069.460327,1115.188232,1154.212646,1236.810303,1277.989502,1325.872192,1383.570801,1441.508911,1441.508911,1526.979614,1563.849243,1608.859009,1697.442017,1697.442017,1723.059204,1801.108032,1850.906128,1883.705688,1932.067261,1982.822876,2022.565552,2062.787109,2102.769043,2141.314697,2182.972656,2218.884766,2262.218506,2299.806396,2328.536133,2362.293457,2388.628906,2421.907471,2458.058838,2532.2771,2615.832275,2677.361572,2740.566895,2807.842041,2904.325684,3000.091064,3116.685547,3223.224365,3312.765137,3374.533936,3497.592285,3601.737305,3702.051514,3831.574219,3932.367432,4035.075684,4125.813477,4282.868652,4449.740234,4599.373535,4802.395996,5127.759277,5128.716797,5258,5410.027832,5590.54541,5811.524414,6038.488281,6231.93457,6404.791016,6539.341309,6710.761719,6951.851074,7159.662109,7339.94043,7586.057617,7849.172852,8032.324219,8250.90918,8436.214844,8617.69043,8854.230469,9133.386719,9417.091797
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0079245083,.0316980332,.0396225452,.0396225452,.0396225452,.0396225452,.0396225452,.0475470535,.0475470535,.0554715618,.0554715618,.0554715618,.0633960664,.0950941071,.2060372233,.3249048591,.4199989736,.6498097181,.7369793057,.935092032,1.299619436,1.608675241,1.9890517,2.504144669,2.908294678,3.209425926,3.76414156,4.635837555,5.681872845,6.719983578,7.869037151,8.669412613,9.628277779,10.91997337,11.96600819,13.3765707,14.97732162,16.9822216,19.32787704,22.06975746,25.20786285,27.26823425,30.46181107,33.4335022,36.93613434,39.73348618,42.78442383,46.33460236,49.90063095,54.48099899,59.41004181,65.4643631,69.51379395,75.29075623,83.55602264,92.18580627,102.0042725,109.6910477,116.3080139,123.0596924,132.7513733,141.0483246,152.3407593,164.3463898,175.0365448,185.9961395,197.3598938,206.2353363,218.9858704,234.6922455,249.7963562,265.1540527,277.532135,287.8736267,303.6988831,318.4543152,337.5444336,356.8564758,373.5930481,390.0364075,409.1661682,430.6653442,448.4796448,472.0392151,495.4957581,521.8764648,543.7797852,563.472168,590.8513794,618.2939453,645.0549927,670.6273804,693.489624,718.4676514,740.4264526,771.2607422,802.2614136,837.4620972,871.9019775,900.3747559,927.9837646,951.7493286,985.024353,1023.719727,1061.678101,1103.059937,1130.748169,1163.611084,1190.768433,1227.213135,1266.281006,1311.149536,1351.009888,1388.389771,1430.730469,1467.000854,1516.8302,1559.915771,1608.286987,1651.404175,1686.351318,1718.445557,1748.598267,1791.644287,1836.66333,1890.08252,1943.493652,1998.283691,2035.394165,2074.240234
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,2934855,2.934854984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.340732336,.6814646721,2.725858688,2.725858688,3.40732336,3.40732336,4.088788033,4.429520607,5.110985279,5.451717377,5.451717377,6.473914623,6.473914623,7.155379295,8.859041214,8.859041214,8.859041214,10.22197056,10.90343475,12.2663641,12.2663641,14.99222279,16.01441956,16.01441956,18.0588131,19.76247597,19.76247597,21.46613693,21.46613693,21.46613693,21.46613693,22.14760208,23.51053047,24.87346077,24.87346077,42.59154129,48.72472382,48.72472382,55.53937149,58.94669342,75.98331451,75.98331451,79.39063263,87.56821442,98.13091278,103.9233627,119.2563171,124.0265732,124.0265732,134.9300079,143.7890472,147.1963654,157.759079,159.8034668,160.4849243,161.1663971,162.8700562,166.2773743,166.958847,166.958847,171.0476379,172.0698242,172.751297,173.4327545,173.4327545,174.1142273,176.1586151,177.1808167,177.1808167,177.1808167,180.247406,181.9510651,185.3583984,187.4027863,188.0842438,189.4471741,192.1730347,193.8766937,193.8766937,195.9210968,197.9654846,199.6691437,200.3506165,201.032074,201.372818,201.372818,202.7357483,203.0764771,203.7579346,204.0986633,206.1430664,206.1430664,208.1874542,209.2096558,209.5503845,210.2318573,211.5947876,211.5947876,213.2984467,217.3872375,222.157486,223.861145,224.5426178,226.5870056,228.2906647,231.0165253,233.0609131,233.7423859,235.1053162,237.149704,237.8311768,239.1941071,240.8977661,243.6236267,245.6680145,248.0531464,249.4160767,251.1197357
Haiti,HTI,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/ht/flat/64.png,11123176,11.12317562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1798047721,.1798047721,.1798047721,.5394142866,.6293166876,.7192190886,.7192190886,.7192190886,.7192190886,1.348535776,1.348535776,1.348535776,1.438438177,1.438438177,1.61824286,1.798047662,1.887950063,2.157657146,2.247559547,2.427364349,2.697071552,2.786973953,2.966778755,2.966778755,3.596095324,3.596095324,3.685997725,3.685997725,3.865802526,3.955704927,4.225411892,5.124435902,5.124435902,5.573947906,6.472971439,6.472971439,6.472971439,6.652776241,6.832581043,6.832581043,6.832581043,7.282093048,7.641702652,7.641702652,7.911409855,8.99023819,9.080141068,9.080141068,11.59740734,13.12574768,13.57526016,16.36223412,18.78959846,18.78959846,21.03715706,24.54335022,27.86973953,32.18505478,40.99548721,47.91796875,47.91796875,53.58182144,65.98834991,73.00073242,77.76556396,77.76556396,86.1264801,105.5453949,118.6711426,118.6711426,142.4053802,167.6679382,190.9526672,200.1227112,200.1227112,225.3852692,237.3422852,246.3325348,276.1801147,299.7345581,318.074646,329.2225342,341.2694397,354.3052979,354.3052979,374.4434204,374.4434204,399.2564697,408.7861328,421.4623718,441.9601135,447.7138672,456.4343872,456.4343872,468.4813232,478.6402893,488.0800476,498.3289185,514.4214478,519.3660889,519.3660889,533.3908691,537.166748,543.010376,548.4944458,560.0918579,565.8455811,569.3518066,572.7680664
