Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692567825,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.3462839425,.4847975075,.4847975075,.4847975075,.5540542603,.5540542603,.6233111024,.6233111024,.6233111024,.6233111024,.6925678849,.7618246675,.7618246675,.7618246675,.9003382325,.969595015,.969595015,1.177365422,1.177365422,1.592906117,1.592906117,1.6621629,1.731419683,1.731419683,1.731419683,1.93919003,1.93919003,1.93919003,2.008446693,2.146960258,2.146960258,2.216217041,2.216217041,2.216217041,2.77027154,2.77027154,2.354730844,2.354730844,2.354730844,2.354730844,2.354730844,2.354730844,2.354730844,2.423987627,2.49324441,2.49324441,2.49324441,2.562501192,2.562501192,2.908785105,2.908785105,3.04729867,3.185812235,3.185812235,3.3243258,3.532096148,3.532096148,3.87838006,3.87838006,3.87838006,3.87838006,9.141896248,10.31926155,10.31926155,12.05068111,12.32770824,14.05912781,14.26689816,15.37500668,16.41385841,18.35304832,19.32264328,19.53041458,19.87669754,21.74663162,22.16217232,22.99325371,23.75507736,24.65541649,26.52534866,26.80237579,27.07940292,27.77197075,32.06589127,33.17399979,33.17399979,33.86656952,35.45947266,36.35981369,36.70609665,38.16048813,38.85305786,39.26859665,39.26859665,39.75339508,40.93075943,41.90035629,42.73143768,43.28549194,48.34123611,49.58786011,50.83448029,54.50509262,61.2922554,61.2922554,65.23989105,68.01016235,68.21793365,71.61151886,73.68922424,75.42063904,94.32774353,98.34463501,102.3615265,111.5726852,118.6368713
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1152616739,.1152616739,.1152616739,.1152616739,.1728925109,.1728925109,.1728925109,.6915700436,.9220933914,1.267878413,1.613663435,1.671294212,2.017079353,2.017079353,2.074710131,2.247602701,2.247602701,2.247602701,2.247602701,2.247602701,2.247602701,2.247602701,2.247602701,2.305233479,2.305233479,2.478126049,2.593387604,2.593387604,2.766280174,2.766280174,2.996803522,3.284957647,3.515480995,3.746004343,4.034158707,4.264681816,4.379943371,4.840990067,4.840990067,5.071513653,5.071513653,5.474929333,5.590190887,6.108868599,6.281761169,6.85806942,7.146223545,7.895424366,7.953055382,8.414101601,8.817518234,9.624349594,14.5229702,15.38743305,15.38743305,25.41519928,25.70335197,37.69056702,37.69056702,39.13133621,43.39601898,43.85706711,44.49100494,47.94885635,49.90830231,53.02037048,53.02037048,53.02037048,53.02037048,53.02037048,60.91579437,60.91579437,60.91579437,60.91579437,60.91579437,62.75997925,62.75997925,62.75997925,62.75997925,62.75997925,62.75997925,62.75997925,69.15700531,69.15700531,69.15700531,69.15700531,76.13033295,78.20504761,78.26267242,79.64581299,80.97132111,81.3747406,81.60526276,82.41209412,82.41209412,82.41209412,82.41209412,85.1207428,85.81231689,86.27336121,88.23281097,88.23281097,89.7312088,90.36515045,91.86355591,94.05352783,94.05352783,94.05352783,94.05352783,94.05352783,94.05352783,109.210434,109.210434,109.210434,109.210434,109.210434,109.210434,109.210434,109.210434,109.210434,109.210434,161.9426422,171.7398834,171.7398834,191.6801605
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0173071399,.0173071399,.0173071399,.0519214198,.0519214198,.1211499795,.2249928266,.2942213714,.4153713584,.6576713324,.882664144,1.073042631,1.073042631,2.007628202,2.596071005,3.496042252,4.153713703,4.742156506,6.957470417,9.588155746,12.27076244,16.04371834,20.24935341,20.54357529,22.15313911,22.94926834,23.41656113,23.88385391,25.30303955,26.04724503,27.43181801,28.64331627,29.17983818,30.27018738,31.93167305,33.47200775,34.66620255,35.09888077,37.6084137,39.32182312,41.7967453,43.37169266,45.08509827,48.16577148,52.50986481,54.65594864,57.11356354,59.9692421,62.91145325,68.41512299,73.03613281,75.47644043,78.6782608,82.953125,86.46646881,92.59320068,97.73342133,102.9947891,109.6580429,117.3943329,124.95755,131.0496674,135.1341553,142.4723816,153.9470062,163.0332642,173.3310089,184.3556519,196.4360352,208.9664154,220.4756622,234.0617676,248.4440002,268.5202942,284.4082336,297.6828003,311.5804443,331.2067261,348.3061829,369.3862915,390.8471375,408.7080994,419.9404602,448.8952942,474.2675476,506.060791,535.9501953,565.649231,594.6213989,619.8032837,649.4504395,705.9928589,751.7183228,795.6611328,835.6752319,880.5700073,917.1226807,959.1790161,1013.644592,1071.779297,1137.702148,1212.157471,1272.645996,1321.123291,1391.701782,1451.895996,1518.095825,1604.043091,1684.019409,1758.232422,1836.426025,1934.869019,2048.732666,2156.296631,2281.081055,2390.70459,2496.797363,2616.995361,2757.598633,2908.655273,3065.51001,3253.344238,3405.179932,3560.442139,3735.832764,3888.308594,4124.966309,4338.674805,4572.269531,4780.958984,4980.925781,5162.581543,5383.368652,5611.338379,5842.786621,6072.711914,6305.475586,6466.432129
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.0350893363,.2105360031,.2105360031,.2456253469,.3508933485,.3508933485,.4210720062,.7719653845,.877233386,.877233386,1.193037391,1.193037391,1.789556026,1.965002775,2.28080678,2.456253529,2.982593536,3.719469547,4.280899048,4.491435051,4.56161356,5.859919071,6.456437588,6.912599087,7.333671093,7.438939095,7.789832592,8.175814629,8.737244606,8.982870102,9.754835129,9.930281639,10.87769413,11.33385563,12.42162418,14.00064468,14.70243168,15.89546871,16.45689774,16.91305923,16.98323822,17.40431023,18.38681221,19.65002823,20.73779678,22.17646027,24.7379818,25.54503632,29.61539841,31.05406189,31.65057945,31.8962059,32.24709702,32.3523674,33.01906586,33.93138504,34.80862045,35.61567688,37.75612259,38.21228409,38.70353699,39.22987747,39.58076859,40.63344955,41.75630951,42.84407806,43.51077652,43.79148865,44.38800812,45.05470657,45.51086807,46.2477417,47.58113861,48.42328262,48.73908615,51.40587616,52.5638237,53.19543076,53.54632568,54.45864868,55.30079269,55.47623825,56.35347366,56.80963516
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.47612762,46.60488892,49.31447601,50.94022751,50.94022751,60.6947403,67.73966217,67.73966217,68.28157806,73.15883636,78.57801056,78.57801056,92.12594604,99.71278381,99.71278381,135.4793243,153.3625946,153.3625946,153.3625946,209.7220001,209.7220001,243.3208771,260.1203003,276.3778381,304.015625,324.0665588,327.3180542,341.4078979,362.5426941,380.967865,396.141571,413.4829102,422.6954956,428.1146851,432.9919434,436.7853699,436.7853699,445.9979553,461.1716309,463.3392944,463.8812256,463.8812256,466.5908203,466.5908203,467.1327209,471.4680786,479.0549011,498.0220032,498.0220032,511.5699463,511.5699463,511.5699463,517.5310059,517.5310059,535.9562378,535.9562378,543.5430908,544.0849609,555.465271,559.258667,562.5101929,562.5101929,567.3874512,567.9293213,567.9293213,576.6000366,576.6000366,576.6000366,576.6000366,618.8695679,618.8695679,618.8695679,618.8695679,618.8695679,684.4415894,684.4415894,703.4086914,718.5823364,718.5823364,778.7351685,778.7351685,805.2891235,805.2891235,805.2891235,805.2891235,805.2891235,805.2891235,805.2891235,1175.418701,1175.418701,1175.418701,1175.418701,1175.418701,1175.418701,1175.418701,1450.712646,1559.638062,1620.874634,1660.434692,1660.434692,1660.434692,1818.674561,1901.045898,2006.719849,2105.890625,2221.861084,2334.037842,2555.140137,2672.194336,2773.532715,2773.532715,2838.020996,2838.020996,2965.371582,3043.949463,3107.895752,3184.848145
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,.0209335536,.0209335536,.0209335536,.0209335536,.0209335536,.0209335536,.0209335536,.0209335536,.0209335536,.0628006607,.0628006607,.0837342143,.0837342143,.0837342143,.1046677679,.1046677679,.1360680908,.1360680908,.146534875,.1570016444,.1570016444,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1674684286,.1884019822,.3140032887,.3140032887,.324470073,.3977375031,.4082042873,.4919385016,.5547391772,.5861395001,.6384733915,.6908072829,.7850082517,.8896760345,.9524766803,.9838770032,1.182745814,1.287413478,1.402548075,1.475815535,1.601416826,1.706084609,1.821219087,1.967754006,2.124755621,2.218956709,2.281757355,2.43875885,2.480626106,2.51202631,2.522493124,2.56436038,2.606227398,2.627161026,2.669028044,2.689961672,2.700428486,2.742295504,2.773695707,2.784162521,2.794629335,2.805096149,2.805096149,2.805096149,2.805096149,2.805096149,2.805096149,2.805096149,2.805096149,2.826029778,2.826029778,2.826029778,2.826029778,2.826029778,2.826029778,2.826029778,2.826029778,2.826029778,2.836496353,2.836496353,2.836496353,2.836496353,3.014431715,3.014431715,3.014431715,3.014431715,3.014431715,3.014431715,3.014431715,3.265634298,3.286567926,3.328434944,3.349368572,3.39123559,3.39123559,3.39123559,3.39123559,3.39123559,3.401702404,3.401702404,3.412169218,3.422636032,3.422636032,3.422636032,3.433102846,3.433102846,3.433102846,3.433102846,3.433102846,3.433102846,3.433102846,3.433102846,3.443569422,3.46450305,3.474969864,3.474969864,3.474969864,3.474969864,3.485436678,3.495903492,3.495903492,3.495903492,3.495903492,3.506370068,3.579637527,3.652904987,3.652904987,3.652904987,3.652904987,3.652904987,3.684305429,3.684305429,3.694772243,3.715705633,3.715705633,3.715705633,3.715705633,3.715705633,3.715705633,3.715705633,3.715705633,3.715705633,3.862240553,3.862240553,3.862240553,3.862240553,3.872707367,3.872707367,3.893640995,3.904107571,3.904107571,3.987841845,3.987841845,3.998308659,3.998308659,4.008775234,4.019242287
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692755952,.3463779688,.5888425708,1.143047333,1.246960759,1.454787493,1.454787493,2.424645901,2.424645901,2.667110443,2.909574986,3.152039528,3.706244469,3.706244469,4.121898174,4.121898174,4.676102638,4.676102638,4.953205109,5.057118416,5.299582958,5.368858814,5.507410049,5.715236664,5.715236664,5.78451252,5.923063278,5.923063278,6.061614513,6.269441605,6.546544075,6.546544075,6.823646069,7.066110611,7.066110611,7.862780094,8.867276192,8.867276192,9.871772766,9.975686073,10.77235508,11.0148201,11.18800926,11.25728416,11.39583588,11.39583588,11.46511078,11.53438663,11.60366249,11.95004082,12.36569405,12.36569405,12.5042448,13.1277256,13.19700146,13.43946552,13.92439461,14.34004879,14.61715126,14.65178871,14.65178871,15.76019859,15.89874935,17.45745087,18.739048,21.40615845,25.94371033,28.54154587,30.55053711,32.69808197,34.98417664,38.82897186,40.7686882,41.94637299,43.12405777,45.89508438,47.45378494,50.53654861,52.30307388,57.56801987,63.00615311,67.6129837,72.28908539,74.29808044,80.221138,82.33404541,85.65927124,91.16668701,94.83829498,97.47076416,99.72222137,100.5881653,103.1513596,106.060936,109.1090622,117.2835846,120.6434479,124.3843307,131.2426147,135.6762543,140.2138062,145.0284576,151.2286224,158.0522766,165.5340424,177.6919098,183.4764099,191.5470276,202.0076447,209.9743347,217.2829132,226.4272919,233.80513,248.3183746,256.7007141,266.4685669,277.3794861,289.9876404,304.9165344,317.9057007,327.8467712,336.2290955,346.7243652,361.2029724,375.9586487,387.6315918,397.7458496,411.8780518,427.2225952
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0303440429,.1820642501,.3034404218,.4551606178,.697912991,1.001353383,1.304793835,1.304793835,1.395825982,1.517202139,1.820642471,2.275803089,2.670275688,3.155780315,4.369542122,4.521262169,5.219175339,5.492271423,6.220528603,6.888097763,8.071515083,10.37766266,13.86722755,15.77890205,16.53750229,17.66023254,18.93468285,23.27388,26.24759674,30.28335381,35.35080719,39.5079422,40.93411255,42.63338089,45.2126236,47.48842621,49.36975479,50.91730118,52.07037735,53.34482574,54.74065018,56.50060654,56.71301651,57.77505493,58.83709717,60.74877167,61.87150192,63.29767227,64.26868439,65.20934296,66.42311096,66.96929932,67.75824738,69.73060608,70.54989624,71.27815247,73.37189484,75.43528748,76.43664551,79.25863647,80.25999451,81.50409698,83.08198547,83.53714752,84.69022369,86.6322403,89.18113708,89.93974304,91.88175964,94.52169037,96.00855255,96.76715088,99.83190155,102.2290802,104.5048828,105.233139,107.5999756,109.9364624,112.3336411,114.0935974,116.6121521,119.5251846,121.5885773,124.228508,131.4200439,134.7275543,137.1550751,140.2805023,143.8610992,147.7451477,150.6885071,154.1477356,159.7006989,166.6798248,172.4148407,174.9940948,180.4256744,186.7068939,191.6226196,196.0528564,202.1520081,212.1048584,217.7791901,225.3652039,233.1029358,241.1744537,249.4887085,258.0153809,266.4510193,275.4632263,285.1126099,294.5799561,304.0473022,314.4249573,328.8687134,336.5761108,350.8984985,364.9477844,379.6950073,394.3815002,412.4058838,427.3958435,442.4464722,457.1633301,473.5794678,491.1486511,508.3233948,520.3699951
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,.0030610294,.0030610294,.0061220587,.0061220587,.0153051466,.0153051466,.0153051466,.0153051466,.0153051466,.0214272048,.0244882349,.0244882349,.0336713232,.0336713232,.0336713232,.0336713232,.0336713232,.0336713232,.0336713232,.0336713232,.0367323495,.0367323495,.0397933796,.0397933796,.0397933796,.0397933796,.0397933796,.0397933796,.0397933796,.0397933796,.0459154397,.0459154397,.0459154397,.0459154397,.0459154397,.0459154397,.0489764698,.0489764698,.0734646991,.0918308794,.1622345448,.2234551311,.3183470368,.5326191187,.679548502,1.031566858,1.380524158,1.588674188,2.17639184,3.394681454,4.778266907,6.602640152,8.785154343,9.085134506,13.34608746,18.79778099,27.29519844,43.33499146,59.62578964,79.0510788,103.3434067,134.2261353,165.6384125,202.1962891,257.4049988,313.0698242,373.6567688,432.2326355,498.0509033,577.6896973,655.6878052,748.7583618,846.5184326,947.9976807,1033.320801,1124.055908,1218.265137,1315.281372,1421.670532,1524.21814,1616.12854,1703.530151,1780.946655,1863.793335,1952.857056,2048.661133,2148.830322,2235.583008,2315.286133,2398.977539,2477.346191,2563.373291,2668.045166,2779.133057,2879.905029,2964.661865,3033.427979,3108.530273,3192.769775,3283.465088,3388.035889,3477.402832,3555.725342,3624.521973,3698.552979,3775.862305,3861.209961,3944.402588,4023.171875,4083.670166,4141.456055,4209.380371,4273.533691,4358.069824,4435.51416,4512.349121,4570.520996,4637.15625,4699.751465,4772.625,4850.237793,4924.133789,4990.93457,5054.644043,5112.775879,5170.577148,5226.539063,5296.376465,5371.383789,5446.226074,5507.171387,5560.29541,5624.255371,5685.347656,5750.703613,5827.915039,5897.498535,5951.773438,6005.081543,6060.568359,6124.219727,6194.470215,6272.006348,6350.233887,6410.915527,6471.095703,6543.657227,6621.894043,6707.018066,6803.379395,6903.625,6984.555664,7078.027344,7185.73877,7292.675781,7414.728027,7553.254883,7683.976074,7805.208496,7930.110352,8070.140625,8226.785156,8393.492188,8556.681641,8697.12207,8849.81543,8987.417969,9171.143555,9350.523438,9544.124023,9751.633789,9935.871094,10116.52441,10297.7832,10504.14844,10710.24121,10946.72168,11165.7627,11360.74414,11550.05957,11723.77246
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.159655929,1.739483833,2.319311857,8.407505035,14.49569893,22.90320396,27.25191307,31.89053726,39.13838577,45.80640793,46.96606445,54.79373932,62.91133118,68.99952698,79.43643188,87.84393311,89.5834198,92.77246857,97.99092102,101.4698868,106.9782562,111.9067917,115.9655914,117.7050705,120.3143005,122.9235229,132.2007751,137.129303,143.2174988,145.2469025,139.1587067,140.0284424,142.6376801,142.9275818,145.5368195,147.2762909,149.8855286,153.0745697,155.1039734,157.4232941,159.1627655,161.4820862,163.2215729,172.7887268,175.6878662,179.7466583,181.196228,182.6457977,186.4146881,187.8642578,189.0239105,189.8936462,190.4734802,194.2423553,195.1121063,198.3011627,201.2003021,203.5196075,204.9691772,206.12883,207.8683167,208.4481506,209.8977203,212.2170258,212.5069427,212.7968597,213.6665955,213.9565125,216.2758179,217.1455688,218.3052216,221.494278,222.9438477,228.1622925,228.7421265,232.8009186,235.120224,236.5697937,238.0193634,238.5991974,239.1790314,239.4689331,240.0487671,241.2084198,241.7882538,244.9773102,244.9773102,244.9773102,245.2672272,245.5571289,245.5571289,245.5571289,245.5571289,245.8470459,245.8470459,246.1369629,246.1369629,246.4268799,247.2966156,249.0361023,253.9646454,255.7041168,256.5738525,261.5024109,262.9519653,266.4309387,267.8805237,269.3300781,270.1998291,271.3594666,273.3888855,274.5485229,275.9981079,276.8678284,277.1577454,278.3174133,279.7669678,282.3762207,283.2459412,285.5652771,285.8551636,286.1450806,286.7249146,289.04422,292.5231934,297.4517212,300.6407776,302.6701965,305.5693359,308.4684753
