Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034637798,.0069275596,.0069275596,.0103913397,.0103913397,.0103913397,.0173188988,.024246458,.024246458,.024246458,.0207826793,.0173188988,.024246458,.0207826793,.0207826793,.0207826793,.0138551192,.0069275596,.0069275596,.0069275596,.0069275596,.0069275596,0,0,0,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.024246458,0,0,0,0,0,0,0,0,0,-.0207826793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034637798,.0034637798,.0034637798,.0138551192,.0138551192,.0138551192,.024246458,.0277102385,.0346377976,.0346377976,.031174019,.0381015763,.0381015763
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0289913975,.0289913975,.0289913975,.0289913975,.0579827949,.1159655899,.1159655899,.1449569911,.1739483774,.1739483774,.1739483774,.1739483774,.1739483774,.1739483774,.1449569911,.0869741887,.1159655899,.0869741887,.0869741887,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.1449569911,.1449569911,.1159655899,.1159655899,.1449569911,.1739483774,.1739483774,.1739483774,.1449569911,.2029397786,.1449569911,.1449569911,.1449569911,.1449569911,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0579827949,.0579827949,.0289913975,.0289913975,.0289913975,.0869741887,.0869741887,.0869741887,.0869741887,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0719497949,.0719497949,.1438995898,.2158493847,.2158493847,.2158493847,.2158493847,.3597489893,.3597489893,.4316987693,.3597489893,.4316987693,.4316987693,.3597489893,.3597489893,.3597489893,.3597489893,.2158493847,.2158493847,.1438995898,.1438995898,.0719497949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0155745195,.0155745195,.031149039,.031149039,.0467235595,.0467235595,.0622980781,.0622980781,.0778725967,.093447119,.0778725967,.0778725967,.0622980781,.0622980781,.0467235595,.0467235595,.031149039,.0467235595,.031149039,.0155745195,.0155745195,.0155745195,.0155745195,.031149039,.031149039,.031149039,.031149039,.0155745195,.0155745195,.031149039,.0467235595,.0467235595,.0622980781,.0467235595,.0778725967,.093447119,.1090216339,.1090216339,.1245961562,.1245961562,.1090216339,.1245961562,.1401706785,.1401706785,.1557451934,.1713197082,.1713197082,.2336177826,.2180432677,.2024687529,.2180432677,.2336177826,.2024687529,.2024687529,.186894238,.1557451934,.1557451934,.1401706785,.1401706785,.186894238,.2336177826,.2024687529,.2024687529,.2491923124,.2491923124,.2647668123,.2647668123,.2180432677,.2180432677
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0143759316,.0143759316,.0143759316,.0287518632,.0431277938,.0431277938,.0431277938,.0431277938,.0431277938,.0431277938,.0287518632,.0287518632,.0287518632,.0143759316,0,0,.0287518632,.0287518632,.0287518632,.0287518632,.0431277938,.0431277938,.0431277938,.0431277938,.0575037263,.0718796551,.0431277938,.0431277938,.0431277938,.0431277938,.0287518632,.0287518632,.0431277938,.0431277938,.0287518632,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0287518632,.0287518632,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,0,0,0,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0093781492,.0156302471,.0156302471,.0156302471,.0218823478,.0281344466,.0281344466,.0343865454,.0500167944,.0562688932,.0656470433,.0781512409,.1031596363,.1563024819,.1688066721,.2000671774,.2313276678,.2532100081,.2844704986,.321983099,.3563696444,.4345209002,.4470250905,.4313948452,.4845376909,.4907897711,.5345544815,.5689409971,.6033275723,.7096132636,.8190249801,.8627896905,.9471930265,1.053478718,1.112873673,1.262924075,1.394218087,1.419226527,1.506755948,1.58178103,1.697444916,1.894386053,2.000671625,2.094453335,2.231999397,2.219495296,2.325780869,2.516469955,2.641511917,2.688402653,2.722789288,2.619629622,2.616503477,2.679024458,2.760301828,2.88534379,2.963495016,3.094789028,3.191696644,3.360503197,3.438654423,3.548066378,3.71062088,3.71062088,3.763763666,3.716872931,3.866923332,3.954452753,4.173276424,4.095124722,4.113881111,4.210788727,4.245175362,4.345209122,3.941948414,4.495259285,4.382721424,4.295192242,4.1201334,4.270183563
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,.0239413548,0,.0478827097,.1197067723,.1197067723,.1675894707,.1675894707,.1915308386,.3112376034,.3830616772,.5506511331,.6942992806,.6464165449,.6224752069,.7421819568,.7900646925,.9097714424,1.077360988,.9815955162,1.005536914,.9337127805,.8618887663,1.05341959,1.125243664,1.197067738,1.268891811,1.17312634,1.17312634,1.29283309,1.364657164,1.364657164,1.436481237,1.484363914,1.484363914,1.41253984,1.436481237,1.532246709,1.484363914,1.388598561,1.221009016,1.388598561,1.484363914,1.340715766,1.340715766,1.221009016,1.101302266,1.221009016,1.268891811,1.388598561,1.532246709,1.41253984,1.340715766,1.364657164,1.316774487,1.41253984,1.436481237,1.340715766,1.221009016,1.197067738,1.149184942,1.05341959,1.029478192,1.005536914,1.029478192,1.029478192,1.101302266,1.05341959,1.05341959,.9576541781,.9815955162,1.077360988,1.029478192,1.077360988,1.17312634,1.268891811,1.221009016,1.268891811,1.364657164,1.699836135,1.747718811
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,0,0,0,0,0,0,0,0,0,0,0,0,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0154666761,.0154666761,.0154666761,.0154666761,.0154666761,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0309333522,.0773333833,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.1856001168,.1856001168,.1856001168,.1392000914,.1392000914,.1392000914,.1392000914,.4176002443,.4176002443,.4176002443,.2784001827,.2784001827,.2784001827,.2784001827,.4485336244,.4485336244,.4485336244,.1701334417,.1701334417,.1701334417
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0007924509,.0015849017,.0015849017,.0023773527,.0031698034,.0039622542,.0047547054,.0063396068,.0095094107,.0126792137,.0150565663,.020603722,.0213961732,.0269433297,.0364527404,.0435847975,.0578489117,.0681507736,.0895469487,.0990563557,.1220374331,.1315468401,.1616599709,.1870184094,.1949429214,.2155466378,.2591314316,.2813200653,.2860747576,.3209426105,.3772066236,.3898858428,.3795839548,.4627912939,.5341118574,.5840362906,.6458474398,.6783379316,.685469985,.7036963701,.7282623649,.8289036155,.9089411497,.8835827112,.8645638824,.8598092198,.8320733905,.9525259733,1.072185993,1.210072517,1.260789394,1.284562826,1.27267611,1.268713832,1.47792089,1.637203455,1.748146653,1.790938973,1.855127454,1.756071091,1.721203327,1.83293891,2.080183506,2.327428102,2.427277088,2.344862223,2.311579227,2.271164179,2.447880745,2.710181952,2.941577673,2.97089839,2.923351288,2.710181952,2.518408775,2.740295172,3.435274601,3.892518759,3.990782499,3.894103527,3.688858747
