Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,0,0,0,0,0,.0069256788,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0069256788,0,0,0,0,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,.0069256788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0207770355,.0207770355,.0069256788,.0069256788,.0069256788,.0138513576,.0138513576,.0207770355,.0207770355,.0207770355,.0138513576,.041554071,.0761824623,.0761824623,.083108142,.083108142,.083108142,.0969595015,.1038851812,.110810861,.110810861,.0900338218,.0554054305,.0554054305
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0115261674,.0115261674,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0115261674,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,0,0,0,0,0,0,0,.0057630837,.0057630837,.0057630837,.0230523348,.0230523348,.0230523348,.0230523348,.0230523348,.0230523348,.0230523348,.0172892511,.0172892511,.0172892511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0172892511,.0172892511,.0172892511,.0172892511,.0172892511,.0172892511,.0230523348,.0230523348,.0230523348,.0230523348,.0057630837,.0057630837,.0057630837,.0057630837,.0057630837,.0461046696,.0403415859,.0403415859,.057630837,.057630837,.0633939207,.0633939207,.0749200881,.1094985902,.1094985902,.0691570044,.0691570044,.0691570044,.0518677533,.1210247576,.1152616739,.1152616739,.1037355065,.0691570044,.0691570044,.0691570044,.0691570044,.0691570044,.0691570044,.3861266077,.4495205283,.4495205283,.4956251979,.4956251979,.4956251979
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.001730714,.001730714,.003461428,.005192142,.00865357,.00865357,.00865357,.0155764259,.0155764259,.0190378539,.0190378539,.0207685679,.0276914239,.0259607099,.0328835659,.0346142799,.0346142799,.0311528519,.0311528519,.0398064218,.0623057038,.0640364215,.0588442758,.0623057038,.0588442758,.0571135618,.0692285597,.0830742717,.0899971277,.0899971277,.0674978495,.0692285597,.0709592775,.0848049894,.0778821334,.1003814116,.1003814116,.0969199836,.1021121293,.1073042676,.1142271236,.1228806973,.1471106857,.1436492652,.1574949771,.1557642668,.1436492652,.1523028314,.1730713993,.1713406891,.1869171113,.178263545,.1869171113,.2180699706,.2509535253,.2821063697,.3305663764,.3253742456,.3305663764,.404987067,.455177784,.4984456301,.5036377907,.5174834728,.526137054,.5434442163,.533059895,.6022884846,.6282491684,.6351720691,.6645941734,.6922855973,.7286306024,.811704874,.8982405663,.912086308,1.002083421,1.036697745,1.092080593,1.093811274,1.14227128,1.164770484,1.169962645,1.13707912,1.157847643,1.154386282,1.118041277,1.102464795,1.175154805,1.254767656,1.253036976,1.237460494,1.27899766,1.244383335,1.20803833,1.349956989,1.41745472,1.476299047,1.471106887,1.4209162,1.569757581,1.678792596,1.884747505,1.983398318,2.061280489,2.082048893,2.114932537,2.13743186,2.111471176,2.284542561,2.170315266,2.352040291,2.253389597,2.329540968,2.272427559,2.272427559,2.417807579,3.220858812
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0070178672,.0070178672,.0070178672,.0070178672,.0070178672,.0140357343,.0175446682,.0175446682,.0245625339,.0245625339,.0210536011,.0245625339,.0280714687,.0350893363,.0350893363,.0385982692,.045616135,.0526340008,.045616135,.0736876056,.0771965384,.0842144042,.0807054713,.0947412029,.1052680016,.1017590687,.1087769419,.1157948077,.1298305392,.1298305392,.1649198681,.1649198681,.1789556146,.1684288085,.1859734803,.2070270777,.2175538838,.2035181373,.1929913461,.1649198681,.1754466742,.1719377339,.18246454,.18246454,.228080675,.2140449435,.3403665423,.3614201546,.4631792307,.4772149622,.4351077676,.438616693,.4210720062,.4140541553,.3544022739,.3859826922,.2807146907,.2772057354,.18246454,.1894824058,.1859734803,.2035181373,.2175538838,.2386074811,.2596610785,.2210628092,.1754466742,.18246454,.18246454,.1719377339,.2000092119,.18246454,.1649198681,.3228218853,.3122950792,.3228218853,.3333486915,.3263308108,.3228218853,.3228218853,.2947504222,.291241467,.3193129599,.1438662708
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,0,0,.1625752002,.2167669237,.2167669237,.3251504004,.3251504004,.3251504004,.3251504004,.379342109,.379342109,.5419173241,.4335338473,.379342109,.379342109,.4335338473,.5961090326,.5961090326,.6503008008,.5961090326,.6503008008,.5419173241,.5419173241,.5419173241,.5419173241,.379342109,.2167669237,.2167669237,.1625752002,.379342109,.3251504004,.270958662,.270958662,.270958662,.3251504004,.3251504004,.3251504004,.379342109,.379342109,.1625752002,.1625752002,.1625752002,.1083834618,.1083834618,.0541917309,.0541917309,.0541917309,0,0,0,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,0,0,0,0,.0541917309,.0541917309,.0541917309,.0541917309,.0541917309,.1083834618,.1083834618,.1625752002,.1625752002,.1625752002,.1083834618,.1083834618,.1083834618,.1083834618,.3251504004,.270958662,.270958662,.2167669237,.2167669237,.2167669237,.2167669237,.8670676947,.9754511714,1.138026357,.9754511714,.9754511714,.9754511714,1.571560264,2.059285879,2.276052713,2.438627958,2.005094051,2.330244541,2.547011375,2.547011375,2.872161865,2.872161865,2.492819548,2.005094051,2.438627958,2.601203203,2.655394793,2.438627958,2.059285879,2.601203203
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034637798,.0069275596,.0069275596,.0103913397,.0103913397,.0103913397,.0173188988,.024246458,.024246458,.024246458,.0207826793,.0173188988,.024246458,.0207826793,.0207826793,.0207826793,.0138551192,.0069275596,.0069275596,.0069275596,.0069275596,.0069275596,0,0,0,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.0034637798,.024246458,0,0,0,0,0,0,0,0,0,-.0207826793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034637798,.0034637798,.0034637798,.0138551192,.0138551192,.0138551192,.024246458,.0277102385,.0346377976,.0346377976,.031174019,.0381015763,.0381015763,.0277102385,.031174019,.031174019,.0207826793,.0173188988,.0138551192,.0173188988,.0207826793,.0173188988,.0207826793,.0207826793,.024246458,.0346377976,.0346377976,.0415653586,.0381015763,.0450291373,.0450291373,.0484929159,.0484929159,.0554204769,.062348038,.062348038,.0727393776,.0762031525,.0831307173,.0831307173,.0900582746,.0935220569,.1004496142,.1073771715,.1108409539,.1108409539,.1073771715,.1108409539,.1177685112,.1177685112,.1212322935,.1246960759,.1246960759,.1212322935,.1108409539,.1143047363,.1212322935,.1212322935
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0030344042,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0030344042,0,.0030344042,.0030344042,.0030344042,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0091032125,.0091032125,.012137617,.012137617,.012137617,.012137617,.0091032125,.012137617,.012137617,.0091032125,.0060688085,.0091032125,.0060688085,.0060688085,.0060688085,.0060688085,.0060688085,.0030344042,.0030344042,.0030344042,.0030344042,.0030344042,.0030344042,.0030344042,.0030344042,.0060688085,.0091032125,.0091032125,.0091032125,.0091032125,.0091032125,.0060688085,.0060688085,.0060688085,.0091032125,.0060688085,.0030344042,.0030344042,.0030344042,.0060688085,.0060688085,.0060688085,.0091032125,.0091032125,.0060688085,.0091032125,.0091032125,.012137617,.012137617,.012137617,.012137617,.012137617,.0091032125,.0091032125,.0091032125,.0060688085,.0060688085,.0030344042,.0030344042,0,0,0,0,0,.0030344042,.0030344042,.0030344042,.0091032125,.012137617,.0212408286,.0212408286,.024275234,.0303440429,.03641285,.0424816571,.0515848733,.0637224913,.0697912946,.0849633142,.0849633142,.0940665305,.1001353413,.1062041447,.1092385501,.1122729555,.1153073609,.1153073609,.1153073609,.1092385501,.1092385501,.1153073609,.1153073609
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0003061029,.0003061029,.0018366176,.0021427204,.0033671323,.0036732352,.0042854408,.00520375,.0064281616,.0067342645,.0082647791,.0097952932,.0113258082,.0137746315,.0143868374,.0177539699,.0254065432,.034895733,.0511191897,.074383013,.1022383794,.1294815391,.1708054394,.2240673453,.2947771251,.3866080046,.5047637224,.6639372706,.8405586481,1.008915305,1.230227709,1.576123953,1.911612749,2.341075182,2.671054125,2.968586206,3.282647848,3.623646498,4.136368752,4.592155933,4.976315498,5.24231863,5.488731384,5.545360565,5.702391624,6.045226574,6.385001183,6.521216869,6.614578247,6.697226048,6.438262939,6.347043991,6.472852707,6.662024021,6.848440647,6.760895252,6.485708714,6.234704494,5.870748043,5.819628716,6.210522175,6.363879681,6.183891296,5.928907394,5.518423557,5.270786285,5.471895695,5.828505993,5.979720592,5.829118252,5.514750481,5.081002712,4.81897831,4.837038517,5.037535667,5.179873943,4.982131004,4.604094028,4.246871948,3.95393157,3.975970984,4.18687582,4.251157284,4.145246029,3.952400923,3.595484972,3.244078875,3.079395533,3.311115265,3.437229872,3.319380045,3.136024475,2.94103694,2.788903713,2.761966705,2.878898144,3.030725002,3.117964506,2.864205122,2.640443802,2.438109875,2.429232836,2.530552864,2.563918114,2.499330282,2.42586565,2.208226442,2.030992985,2.079663277,2.171494246,2.232408762,2.150372982,2.056399345,1.864778996,1.737440228,1.764071226,1.904572368,2.526267529,2.454639435,2.374440432,2.232714653,2.134149551,2.16812706,2.296077967,2.385460138,2.324851751,2.168739319,1.510311842,1.424602985,1.640711665,1.817945242,2.013851166,2.041400433,2.042318821,1.959670901,1.874574304,2.074459553,2.281997204,2.471168995,2.383317471,2.393418789,2.217409611,2.08517313,2.20945096,2.444231987
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0289913975,.0289913975,.0289913975,.0289913975,.0579827949,.1159655899,.1159655899,.1449569911,.1739483774,.1739483774,.1739483774,.1739483774,.1739483774,.1739483774,.1449569911,.0869741887,.1159655899,.0869741887,.0869741887,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.1449569911,.1449569911,.1159655899,.1159655899,.1449569911,.1739483774,.1739483774,.1739483774,.1449569911,.2029397786,.1449569911,.1449569911,.1449569911,.1449569911,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0579827949,.0579827949,.0289913975,.0289913975,.0289913975,.0869741887,.0869741887,.0869741887,.0869741887,.0579827949,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,.0289913975,0,0,0,0,0,.0289913975,.0289913975,.0289913975,.0289913975,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.0579827949,.0869741887,.0869741887,.0869741887,.0579827949,.0579827949,.0869741887,.0869741887,.0579827949,.0579827949,.0579827949,.0579827949,.0869741887,.0869741887,.0869741887,.0869741887,.0869741887,.0869741887,.1159655899,.1159655899,.1159655899,.0869741887,.0869741887
