Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,1.333333373,3,3,2,.6666666865,.6666666865,1.333333373,1.333333373,1.666666627,.6666666865,.6666666865,.3333333433,.3333333433,.6666666865,2,2.666666746,2,1.333333373,2,2.333333254,5.666666508,9,9.333333015,5.666666508,4.333333492,4,3.666666746,1.333333373,7,7,6.666666508,.6666666865,1
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,2.333333254,2.333333254,2.333333254,1,1,1.333333373,.3333333433,1,2.666666746,2.666666746,2,0,0,0,4,4,4,0,0,0,0,0,0,0,22.33333397,26,26,6.333333492,2.666666746,2.666666746,2,2.666666746,3.666666746,1.666666627,1.333333373,1,2.333333254,3,3,6.333333492,7,6.666666508,2.666666746,2,9.333333015,9,9,12,13.66666698,19
Yemen,YEM,Asia,Western Asia,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,.6666666865,1,1,1,.6666666865,1,.6666666865,1,1.333333373,1,1.666666627,2,2.666666746,1.666666627,3.333333254,3.333333254,4.333333492,1.666666627,3,3,3.666666746,3.333333254,3.666666746,4.333333492,5.333333492,8,7.666666508,6.333333492,3.333333254,5,6.333333492,8,5.333333492,3,.3333333433,5.333333492,5.666666508,8,4,10.33333302,9.333333015,23,18,26.66666603,13.33333302,12.33333302,3.333333254,2.666666746,2,2.333333254,6,10.33333302,10.66666698,7.333333492,4.666666508,3.666666746,5.333333492,5.333333492,7,7.666666508,6.333333492,4.333333492,3.333333254,3.666666746,4.333333492,5.333333492,5.333333492,4.666666508,18.66666603,20,21.33333397,5.333333492,4.666666508,3.666666746,3.333333254,2.333333254,2.333333254,4.333333492,4.333333492,4.666666508,4.333333492,5.333333492,6,4.666666508,3.333333254,2,1.333333373,3,3,3.333333254,2,4,3.666666746,3,2,1.333333373,2.333333254,2,3
Western Sahara,ESH,Africa,Northern Africa,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1.333333373,1.666666627,1,1,.6666666865,.3333333433,1,1.666666627,2.5
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,.6666666865,1.333333373,1.333333373,.6666666865,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,2,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,1,1,1,1,1.333333373,2,1,.6666666865,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,0,.3333333433,.6666666865,1,1,1,.6666666865,1,1.666666627,1.666666627,1.666666627,.6666666865,1.666666627,1.333333373,2,1.333333373,1.666666627,2.333333254,3,3.333333254,3,2.666666746,2.666666746,2.666666746,3,3,3.333333254,4,4,3.333333254,3,3.333333254,3.666666746,3.666666746,3.666666746,3.666666746,3.333333254,2.666666746,3,3.333333254,4,4.333333492,4.666666508,4.666666508,4.333333492,4,4.333333492,4.666666508,4,4.333333492,4.333333492,5.333333492,5.333333492,6,7,7.333333492,7,6.666666508,7,7,7
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,0,0,0,0,.3333333433,.3333333433,.3333333433,.3333333433,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.6666666865,.6666666865,.3333333433,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.6666666865,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,.6666666865,1,2,1.333333373,1.333333373,1,1.666666627,2.333333254,2.666666746,3.333333254,3.666666746,4.666666508,4.333333492,4,3,3.333333254,3.333333254,3.666666746,3.666666746,4,4,4,3.666666746,4,3.666666746,4.333333492,3.666666746,4.333333492,4.333333492,5,4.333333492,5,5,5.666666508,5.333333492,5,5.333333492,6,6.666666508,6,5.333333492,5.333333492,6.333333492,6.333333492,6.5
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,1,1,1,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,.3333333433,.3333333433,1,.6666666865,.6666666865,0,.6666666865,1,1,.3333333433,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.6666666865,.6666666865,.3333333433,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,0,0,0,0,0
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,2,2,3.333333254,2,2.333333254,2,3,2.666666746,3.666666746,4,7,8,8.333333015,9,15,24.66666603,40.33333206,57.33333206,78.66666412,90.66666412,114,143.3333282,192.3333282,248.3333282,326.6666565,433.6666565,546.333313,617,707.333313,907.666687,1119,1378.666626,1406,1425.666626,1388.666626,1522.666626,1873.333374,2100,2237.333252,2159.666748,2140.333252,2040,1960,2071,2324,2413.666748,2483.333252,2428.666748,2129,1851.666626,1871.333374,2256.333252,2468,2351.333252,2106.666748,1727,1498,1679.333374,2076.333252,2362,2245.333252,1969,1568,1382,1590.666626,2004.666626,2205.666748,2015.333374,1723.666626,1376.333374,1132.333374,1178.333374,1468,1724,1742.333374,1560,1218.333374,916.666687,1029.666626,1303.333374,1456,1362,1212.333374,1005.666687,755.666687,610.666687,912,1135,1293.666626,1114,913.666687,782.333313,803.666687,943.666687,1025.666626,994.333313,886.333313,694.333313,549,635,792,917,879.333313,827.666687,634.333313,487.3333435,514,662,768.333313,711.333313,665,523,428,506,666,723.333313,645,557,454.3333435,371.6666565,450,595.333313,715.333313,688,549.333313,407.6666565,307,624.666687,808.333313,1028.666626,897.333313,844.333313,657.333313,510.3333435,589.333313,761.666687,949.666687,947,914.333313,745,609.666687,689.333313,944.666687,1147,1151.666626,1048.333374,833.666687,834.333313,990,1309.666626,1340,1299.333374,1191,921,685.333313,774.333313,1096.333374,1333.333374,1288.333374,1189.666626,944.666687,705.333313,520
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.6666666865,.6666666865,.6666666865,1.666666627,1.666666627,2,1,7,11.33333302,18.33333397,17.66666603,24,31,37.66666794,45,42.33333206,55,86,136.6666718,173,218,253.6666718,264,294,323.3333435,475.3333435,568,678.666687,708.666687,706,657.333313,750,880,1060.666626,1098.666626,1034,892.666687,756.666687,825.666687,877.666687,972.666687,935.666687,1026.666626,849.666687,724,743.333313,856.333313,912.333313,856.666687,858.666687,756.333313,533.666687,556.333313,681.333313,793.333313,736.333313,678.333313,558.666687,408,432.3333435,544.666687,628.666687,606.333313,504,413.6666565,275,370,445.6666565,518,436,430.6666565,344.6666565,270,292.6666565,359,418.3333435,355,326.3333435,360.6666565,282,233,233.6666718,331.6666565,410.6666565,339.6666565,239.3333282,152,184,267.3333435,289.3333435,300,247.3333282,214,113,140.3333282,198,230.3333282,202,179.6666718,141,85.66666412,103.3333359,152.6666718,185.6666718,164.6666718,146.6666718,115.3333359,62.66666794,76.33333588,113.3333359,158,162.3333282,144.3333282,106.6666641,53.66666794,72,118.6666641,140,133.6666718,97.33333588,75,35,64.33333588,99,122,86.33333588,93.66666412,72.33333588,60,56.66666794,78,96.33333588,88.33333588,73.33333588,60.33333206,26.33333397,49.66666794,67,80.66666412,85,79,66,27.33333397,46.66666794,69.66666412,80,80.33333588,77.33333588,67.33333588,30.33333397,12,54.33333206,67.66666412,94,67.33333588,53.66666794,5,-20
