Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0115459329,.0230918657,.0230918657,.0230918657,.0115459329,.0115459329,.0230918657,.0461837314,.0461837314,.0230918657,0,0,.0230918657,.0230918657,.0230918657,0,0,0,0,0,0,0,0,0,0,.0115459329,.0115459329,.0115459329,0,0,0,0,0,0,.0692755952,0,0,-.0692755952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0115459329,.0115459329,.0115459329,.0346377976,.0346377976,.0346377976,.0346377976,.0461837314,.0692755952,.0346377976,.0230918657,.0230918657,.0230918657,.0230918657,.0115459329,.0115459329,.0115459329,0,.0115459329,.0230918657,.0346377976,.0346377976,.0346377976,.0230918657,.0346377976,.0577296652,.0577296652,.0577296652,.0230918657,.0577296652,.0461837314,.0692755952,.0461837314,.0577296652,.080821529,.1039133966,.1154593304,.1039133966,.0923674628,.0923674628,.0923674628,.1039133966,.1039133966,.1154593304,.1385511905,.1385511905,.1154593304,.1039133966,.1154593304,.1270052642,.1270052642,.1270052642,.1270052642,.1154593304,.0923674628,.1039133966,.1154593304,.1385511905,.1500971317,.1616430581,.1616430581,.1500971317,.1385511905,.1500971317,.1616430581,.1385511905,.1500971317,.1500971317,.1847349256,.1847349256,.2078267932,.2424645871,.2540105283,.2424645871,.2309186608,.2424645871,.2424645871,.2655564547,.277102381,.3463779688,.3232861161,.3348320425,.2540105283,.2540105283,.2424645871,.2540105283,.2655564547,.2309186608,.2309186608,.2078267932,.2309186608,.2309186608,.2540105283,.2424645871,.2655564547,.277102381,.2655564547,.2309186608,.1847349256,.196280852,.1847349256,.2424645871,.2540105283,.3001942635,.277102381,.277102381,.277102381,.277102381,.277102381,.2886483073,.2886483073,.2944212854
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.2899139822,.2899139822,.2899139822,.1932759881,.1932759881,.1932759881,.0966379941,.0966379941,0,0,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,.0966379941,.0966379941,.2899139822,.1932759881,.1932759881,0,.1932759881,.2899139822,.2899139822,.0966379941,0,.1932759881,.1932759881,.1932759881,0,0,0,0,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,0,0,0,.0966379941,.0966379941,.0966379941,0,0,0,.1932759881,.1932759881,.1932759881,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0,0,0,0,0,0,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.0966379941,.0966379941,.0966379941,.0966379941,.0966379941,0,0,.0966379941,.0966379941,.0966379941,0,0,.0966379941,.1932759881,.1932759881,.0966379941,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,.0966379941,.0966379941,.0966379941,0,0,.0966379941,.0966379941,.0966379941,0,0,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,.1932759881,.1932759881,.1932759881,.0966379941,.1932759881,.1932759881,.0966379941,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.0966379941,.0966379941,0,0,0,.0966379941,.0966379941,.0966379941,0,0,0,0,0,0,0,0
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2398326546,.2398326546,.4796653092,.4796653092,.4796653092,.2398326546,0,.4796653092,.4796653092,.7194979787,.2398326546,.4796653092,.4796653092,.4796653092,.2398326546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.4796653092,.4796653092,.7194979787,.4796653092,.4796653092,.2398326546,0,0,.2398326546,.4796653092,.7194979787,.4796653092,.2398326546,0,.9593306184,.9593306184,1.438995957,.7194979787,1.918661237,1.678828597,1.678828597,.9593306184,1.199163318,1.199163318,1.438995957,1.438995957,1.199163318,1.438995957,2.638159275,2.877991915,2.398326635,1.079246998
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5787127614,.5787127614,.5787127614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5787127614,.5787127614,.5787127614,0,.5787127614,.5787127614,.5787127614,1.157425523,1.736138344,1.736138344,1.157425523,1.157425523,1.157425523,.5787127614,0,.5787127614,1.157425523,1.157425523,.5787127614,.5787127614,.5787127614,1.736138344,1.157425523,1.157425523,0,0,.5787127614,.5787127614,.5787127614,.5787127614,1.736138344,1.736138344,1.736138344,.5787127614,.5787127614,0,0,0,0,.5787127614,1.157425523,1.736138344,1.157425523,.5787127614,0,1.157425523,1.157425523,1.157425523,0,.5787127614,.5787127614,1.736138344,1.157425523,1.157425523,0,.5787127614,.5787127614,.5787127614,0,1.157425523,1.157425523,1.157425523,0,.5787127614,5.787127495,5.787127495,5.787127495,1.157425523,1.736138344,4.050989628,4.050989628,6.944553375,4.050989628,4.050989628,1.157425523,1.736138344,1.736138344,2.314851046,2.314851046,2.314851046,3.472276688,2.893563747,2.893563747,.5787127614,2.893563747,2.893563747,2.893563747,1.157425523,1.736138344,2.314851046,6.944553375,9.259404182,8.680691719,4.050989628,1.157425523,1.157425523,.5787127614,0,0
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0519150645,.0519150645,.1038301289,.0519150645,.1038301289,.0519150645,.1038301289,.0519150645,.1038301289,.1038301289,.1038301289,.0519150645,0,0,0,0,0,.0519150645,.0519150645,.0519150645,0,0,0,.0519150645,.0519150645,.0519150645,0,0,0,.0519150645,.1038301289,.1038301289,.1038301289,.0519150645,.1557451934,.1557451934,.2076602578,.1038301289,.1038301289,.1038301289,.1038301289,.1038301289,.1557451934,.1557451934,.2595753074,.2595753074,.3114903867,.3634054363,.2595753074,.2076602578,.0519150645,.1557451934,.1557451934,.1038301289,.1038301289,.1038301289,.1557451934,.2076602578,.2076602578,.3114903867,.3634054363,.3634054363,.2076602578,.1557451934,.2595753074,.3114903867,.2076602578,.1038301289,.0519150645,.1557451934,.3634054363,.5710657239,.6229807734,.4153205156,.4153205156,.3114903867,.3114903867,.2076602578,.2595753074,.4153205156,.5191506147,.7268108726,.8306410313,1.090216398,1.038301229,1.090216398,.9863862395,1.038301229,1.245961547,1.349791646,1.609367013,1.609367013,1.557451963,1.401706696,1.453621745,1.453621745,1.349791646,1.090216398,.9863862395,.9344711304,1.038301229,1.038301229,.9863862395,.8825560808,.9344711304,1.245961547,1.349791646,1.609367013,1.609367013,1.972772479,1.92085743,1.817027211,1.453621745,1.453621745,1.453621745,1.401706696,1.401706696,1.453621745,1.505536914,1.401706696,1.557451963,1.609367013,1.609367013,1.505536914,1.453621745,1.505536914,1.401706696,1.609367013,1.868942261,1.765112162,1.972772479,1.868942261,2.232347727,1.765112162,1.453621745,1.090216398,1.297876596,1.349791646,1.453621745,1.194046497,1.142131448,1.090216398,1.142131448,1.090216398,1.090216398,1.090216398,1.194046497,1.245961547,1.349791646,1.297876596,1.245961547,1.090216398,.9863862395,.7787259817,.8306410313,.9344711304,1.142131448,1.038301229,1.090216398,1.038301229,1.038301229,.674895823,.5710657239,.5191506147,.6229807734,.6229807734,.5710657239,.6229807734
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0479197726,.0479197726,.0479197726,.0479197726,.0958395451,.0958395451,.0479197726,0,0,0,0,0,0,0,0,0,.0958395451,.0958395451,.0958395451,0,.0479197726,.0479197726,.0479197726,0,.0479197726,.0958395451,.0958395451,.0479197726,0,0,0,0,.0479197726,.0479197726,.0479197726,0,0,0,0,0,.0479197726,.0479197726,.0479197726,0,0,0,0,0,0,0,0,0,0,.0479197726,.0479197726,.0479197726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0479197726,.0958395451,.0958395451,.0479197726,0,0,0,0,0,0,0,0,.0958395451,.0958395451,.1437593102,.0958395451,.1916790903,.1437593102,.0958395451,.0479197726,.0479197726,.0479197726,0,0,0,0,.0479197726,.0958395451,.2395988554,.1916790903,.1437593102,.0958395451,.1437593102,.1916790903,.1916790903,.2395988554,.2875186205,.2395988554,.1437593102,.1437593102,.1916790903,.2395988554,.2395988554,.2395988554,.2395988554,.1916790903,.1916790903,.2875186205,.2395988554,.2875186205,.3354384005,.4312779605,.5271174908,.4791977108,.5271174908,.4312779605,.6229570508,.670876801,.8625559211,.7187966108,1.054234982,1.629272223,1.964710712,1.773031592,1.629272223,1.293833852,1.197994351,1.006315231,1.293833852,1.677191973,1.773031592,1.868871093,2.012630463,2.204309464,2.348068953,2.252229214,2.060550213,2.204309464,2.587667704,2.395988703,2.252229214,2.395988703,2.587667704,2.971025944,2.443908453,2.443908453,1.868871093,1.725111842,1.581352472,1.916790843,1.916790843,2.084510088
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0312604941,.0521008261,.0521008261,.02084033,.02084033,.0416806601,.0416806601,.0416806601,.0729411542,.0937814862,.13546215,.1458823085,.2084033042,.3230251372,.3230251372,.3647057712,.291764617,.3230251372,.3542856276,.3959662914,.4793275893,.6460502744,.6252099276,.5731090903,.4897477627,.5105881095,.6356300712,.6043695807,.7294115424,.9794955254,1.312940836,1.510923982,1.41714251,1.35462153,1.323361039,1.563024759,1.771428108,1.62554574,1.542184472,1.604705453,2.240335464,2.80302453,2.813444614,2.677982569,2.448738813,2.292436361,2.542520285,2.573780775,2.94890666,2.813444614,2.928066492,2.730083227,2.573780775,2.532100201,2.91764617,3.188570499,3.49075532,3.688738585,3.970082998,4.136805534,4.074284554,3.917982101,3.740839243,3.438654423,3.636637688,3.209410906,4.011763573,4.324368477,5.491426945,4.897477627,4.605712891,4.043024063,4.241007328,4.209746838,4.126385212,4.043024063,4.136805534,4.115965366,4.241007328,4.522351742,4.261847496,4.553612232,4.564032555,5.387225628,3.647057772,4.22016716,6.252099037,8.04436779,7.79428339,5.929073811,6.26251936,6.29377985,6.29377985,6.08537674,5.86655283,5.658149719,5.637309551,5.606049061,5.57478857,5.7206707,5.793612003,5.887393475,5.647729397,5.658149719,5.637309551,5.7206707,5.75193119,5.668570042,5.68941021,5.626889229,5.668570042,5.647729397,5.710250378,5.7206707,5.793612003,5.772771358,5.699830532,5.699830532,5.845712662,5.939494133,6.054116249,5.960334301,6.095796585,6.054116249,6.043695927,5.949914455,5.887393475,3.928402424,1.969411254,5.991594791,8.0131073,10.13882065,4.147225857,4.261847496,2.136133909,8.315292358,8.231930733,10.27428341,6.397981644,6.387561321,6.689745903,4.386889458,6.752266884,6.533443451,8.877981186,4.470251083,4.553612232,4.449410439,4.449410439,4.522351742,4.428570271,6.512603283,6.074956417,5.762351513,5.762351513,6.11663723,6.450082302,6.554284096,5.918653965,5.710250378,4.803696156,4.834956646,4.897477627,5.032939911,5.324704647,4.928738117,4.803696156,2.91764617,4.803696156,5.064200401,6.450082302,4.511931419,4.39730978,4.54319191,4.147225857,3.834620714,3.615797281,3.021847963,2.844705105
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0798045099,.0798045099,.0798045099,0,0,0,0,0,0,0,0,.1596090198,.3990225792,.3990225792,.3990225792,.1596090198,.2394135445,.4788270891,.7182406187,1.197067738,1.276872158,1.037458658,.638436079,.5586315989,.8778496385,1.117263198,1.356676698,1.117263198,1.037458658,.7182406187,.8778496385,1.197067738,1.276872158,1.675894737,1.596090317,1.276872158,1.276872158,1.197067738,1.675894737,1.356676698,1.356676698,1.596090317,1.675894737,1.596090317,1.436481237,1.436481237,1.516285777,1.037458658,.638436079,1.037458658,1.675894737,1.995112777,1.516285777,.7182406187,.638436079,1.037458658,1.675894737,1.995112777,1.675894737,1.516285777,1.516285777,1.436481237,1.197067738,.9576541781,.8778496385,1.117263198,1.037458658,1.197067738,1.037458658,.9576541781,.9576541781,.9576541781,1.117263198,.9576541781,1.197067738,1.197067738,1.117263198,.7182406187,.7980451584,1.037458658,1.197067738,1.276872158,1.436481237,1.755699277,1.675894737,1.516285777,1.436481237,2.314330816,2.394135475,2.234526396,1.356676698,1.596090317,1.596090317,1.436481237,1.276872158,1.516285777,2.154721975,2.234526396,2.633548975,2.154721975,2.234526396,1.835503817,2.074917316,2.872962475,3.431594133,3.671007633,3.431594133,3.112375975,3.591203213,3.192180634,3.591203213,3.112375975,3.271985054,3.750812054,5.34690237,5.985338688,6.384361267,5.74592495,6.30455637,5.74592495,5.506511211,5.107488632,5.905533791,5.586316109,5.506511211,5.34690237,5.82572937,5.426706791,6.224751949,7.102601528,7.661233425,7.102601528,7.022797108,6.703578949,6.543970108,7.262210846,7.581428528,6.783383846,5.74592495,5.905533791,6.384361267,5.985338688,5.74592495,5.985338688,5.905533791,6.065143108,5.82572937,6.543970108,6.144947529,5.506511211,4.469052792,5.18729353,5.82572937,5.666120529,5.107488632,4.628661633,4.309443951,3.431594133,3.591203213,4.309443951,5.027684212,4.78827095,4.469052792,3.990225554,4.070030212,3.830616713,3.750812054,3.271985054,3.192180634,3.351789474,3.750812054,4.070030212,3.750812054,2.872962475,2.793158054,2.793158054,3.511398554,3.591203213,3.591203213,3.192180634,2.872962475,2.553744316,2.394135475,2.234526396,2.633548975,3.112375975,3.112375975,3.112375975
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0515555888,.0515555888,.0515555888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0515555888,.0515555888,.0515555888,0,0,.0515555888,.0515555888,.0515555888,0,0,0,0,0,0,0,.1031111777,.1031111777,.1031111777,0,0,0,0,0,0,.1546667665,.1546667665,.1546667665,0,0,0,0,.4640002847,.4640002847,.4640002847,0,0,0,0,.9280005693,.9280005693,.9280005693,0,0,0,0,.5671114922,.5671114922,.5671114922,0,0,0,0,.4640002847,.4640002847,.4640002847,0,0,0,0,.4640002847,.4640002847,.4640002847,0,0,0,0,.5155558586,.5155558586,.5155558586,0,0,0,0,.4640002847,.4640002847,.4640002847,0,0,0,0,.4124447107,.4124447107,.4124447107,0,0,0,0,.4124447107,.4124447107,.4124447107,0,0,0,0,.4640002847,.4640002847,.4640002847,0,0,0,0,.4124447107,.4124447107,.4124447107,0,0,0,0,.360889107,.360889107,.360889107,0,0,0,0,.2577779293,.2577779293,.2577779293,0,0,0,0,.2577779293,.2577779293,.2577779293,0,0,0,0,.2062223554,.2062223554,.2062223554,0,0,0,0,.2062223554,.2062223554,.2062223554,0,0,0,0,.1546667665,.1546667665,.1546667665,0,0,0,0
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002641503,.005283006,.005283006,.005283006,.005283006,.0079245083,.0079245083,.010566012,.0184905212,.0264150295,.0316980332,.042264048,.034339536,.0449055508,.0581130646,.0818865895,.1109431237,.1162261292,.1716976911,.1637731791,.2113202363,.1822637022,.2430182695,.2615087926,.2694332898,.2615087926,.3513198793,.4041499496,.4067914486,.3698104024,.5309420824,.5283005834,.4384894669,.5467910767,.750186801,.9430165291,.961507082,.8849034905,.7449038029,.5626401305,.6973567605,1.006412625,1.122638702,1.064525723,.8690544367,.77924335,.7898093462,1.178110242,1.452826619,1.822636962,1.724901438,1.714335442,1.331317425,1.090940714,1.513581157,1.994334698,2.387918711,2.221503973,2.179239988,1.849052072,1.492449164,1.640373349,2.411692142,3.111690521,3.4947083,2.876596689,2.335088491,1.701127887,2.522635221,3.177727938,3.727160692,3.383765221,3.122256517,2.340371609,1.986410141,2.266409397,4.752063751,6.281493664,6.690927029,4.707158089,3.048294306,2.332447052,3.006030321,4.379611969,4.995081902,4.752063751,4.001876831,3.161879063,2.990181208,3.798481226,5.121874332,5.724136829,5.504891872,4.493196487,5.489043236,5.784891129,6.857341766,6.601115704,6.540361404,6.344890118,5.433571339,4.19470644,3.544896841,3.666405916,4.918478489,5.462627888,5.478477001,4.902629375,3.830179214,3.370557785,4.353196621,5.697721958,6.358097553,5.750551701,5.10866642,3.909424305,3.433953762,4.21848011,5.018855572,5.502250671,5.238100052,5.235458851,4.252819538,3.103765965,3.993952274,5.298854828,6.400361538,5.930173874,5.769042492,4.680743217,3.637349606,3.967537403,4.440366268,5.224892616,4.786403179,5.576212406,4.612063885,3.497349739,3.690179586,5.15621376,6.616964817,6.450550079,6.096588612,4.704516888,4.469422817,5.079609871,6.255078793,6.049041748,5.227534294,4.958100796,3.86716032,2.945275784,3.251690149,4.553950787,5.502250671,4.849799156,4.683384418,3.629425049,3.14338851,3.159237385,4.215838432,4.738856316,4.479989052,4.604139328,4.131310463,3.349425793,3.756217241,4.379611969,5.058477879,4.252819538,3.988669395,3.246407032,2.456597805,3.058860302,3.938480854,4.934327602,4.487913609,4.107536793,3.095841408,2.527918339
