Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.023085596,.023085596,.023085596,0,0,0,0,0,0,0,0,0,0,0,0,.023085596,.0461711921,.0461711921,.023085596,0,0,0,0,0,0,0,0,0,0,0,.023085596,.023085596,.023085596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.019210279,.019210279,.019210279,0,0,0,0,0,.019210279,.019210279,.019210279,0,0,0,0,0,0,.019210279,.019210279,.019210279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.019210279,.019210279,.019210279,.057630837,.057630837,.057630837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.057630837,.057630837,.057630837,0,0,0,.019210279,.019210279,.019210279,0,0,0
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0057690465,.0057690465,.011538093,.011538093,.023076186,.0173071399,.011538093,.023076186,.023076186,.0346142799,.0173071399,.023076186,.0403833278,.0346142799,.0634595156,.0403833278,.0403833278,.0173071399,.011538093,.0519214198,.1211499795,.1326880753,.1038428396,.0346142799,.0461523719,.0346142799,.0634595156,.0980737954,.1211499795,.1211499795,.0692285597,.0634595156,.0403833278,.0923047438,.0749976039,.1326880753,.1153809354,.161533311,.1269190311,.1442261636,.1269190311,.1326880753,.1730713993,.1903785467,.1903785467,.161533311,.1153809354,.1442261636,.1846094877,.2365309149,.2422999591,.1499952078,.2249928266,.2942213714,.4326784909,.478830874,.4903689623,.3922951818,.3461427987,.4845999181,.6749784946,.7095927596,.5538284779,.5019070506,.5249832273,.6115189791,.5422903895,.646133244,.6288260818,.8249737024,.882664144,.923047483,.8653569818,.9922760129,1.21149981,1.223037958,1.176885486,1.107656956,1.228806973,1.130733132,1.234575987,1.165347457,1.119195104,.9749689102,.9691998363
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0233928896,.0233928896,.0233928896,0,0,.0233928896,.0350893363,.0350893363,.0350893363,.0233928896,.0350893363,.0233928896,.0350893363,.0467857793,.0350893363,.058482226,.0701786727,.0935715586,.058482226,.116964452,.116964452,.1520537883,.058482226,.1052680016,.1052680016,.1286608875,.116964452,.1286608875,.1520537883,.1871431172,.2807146907,.2690182328,.222232461,.116964452,.1754466742,.222232461,.2807146907,.1871431172,.1052680016,.0116964448,.1871431172,.1988395602,.2807146907,.1403573453,.3625898063,.3275004625,.8070546985,.6316080093,.9357156157,.4678578079,.5965186954
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1806391031,.1806391031,.1806391031,0,0,0,0,0,0,0,0,0,.5419173241,.7225564122,.7225564122,.5419173241,.3612782061,.3612782061,0,.1806391031,.1806391031,.7225564122,.7225564122,.7225564122,.1806391031,.5419173241,1.083834648,1.083834648,.7225564122,.1806391031,.3612782061,.3612782061,.5419173241,.3612782061,.1806391031,0,0,0,0,.7225564122,.7225564122,.7225564122,.1806391031,.1806391031,.3612782061,.1806391031,.1806391031,.1806391031,.1806391031,.1806391031,0,0,0,0,0,0,0,0,0,0,.1806391031,.1806391031,.1806391031,0,0,0,0,0,0,0,0,0,0,0,.1806391031,.1806391031,.1806391031,0,0,.1806391031,.1806391031,.3612782061,.1806391031,.1806391031,0,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0115459329,.0230918657,.0230918657,.0230918657,.0115459329,.0115459329,.0230918657,.0461837314,.0461837314,.0230918657,0,0,.0230918657,.0230918657,.0230918657,0,0,0,0,0,0,0,0,0,0,.0115459329,.0115459329,.0115459329,0,0,0,0,0,0,.0692755952,0,0,-.0692755952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0115459329,.0115459329,.0115459329,.0346377976,.0346377976,.0346377976,.0346377976,.0461837314,.0692755952,.0346377976,.0230918657,.0230918657,.0230918657,.0230918657,.0115459329,.0115459329,.0115459329,0,.0115459329,.0230918657,.0346377976,.0346377976,.0346377976,.0230918657,.0173188988
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.010114681,.020229362,.020229362,.010114681,0,0,0,0,0,0,0,0,.010114681,.010114681,.010114681,.010114681,.010114681,.010114681,0,0,0,0,.010114681,.010114681,.010114681,.010114681,.020229362,.020229362,.020229362,.010114681,.010114681,0,0,.010114681,.010114681,.010114681,0,.010114681,.010114681,.010114681,0,0,0,0,0,0,0,.010114681,.010114681,.010114681,0,.010114681,.020229362,.020229362,.010114681,0,0,0,0,0,.010114681,.010114681,.010114681,0,0,.010114681,.010114681,.010114681,.010114681,.010114681,.010114681,.010114681,.010114681,.020229362,.010114681,.020229362,.010114681,.010114681,0,0,0,0,0,0,0
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.001020343,.001020343,.0061220587,.0061220587,.0102034314,.0061220587,.0071424018,.0061220587,.0091830874,.0081627443,.0112237744,.0112237744,.0214272048,.0244882349,.0275492631,.0295899492,.0489764698,.0765257329,.1214208305,.1724379808,.2367195934,.2703909278,.3377335668,.4265034199,.5744531751,.7438300848,.9713666439,1.290734053,1.624386191,1.846820951,2.110069513,2.700848103,3.306931973,4.078311443,4.160959244,4.208915234,4.054843426,4.427268505,5.4874053,6.168994427,6.560806274,6.322045803,6.253682613,5.941457748,5.662904263,6.051654816,6.842420578,7.137300014,7.338307381,7.164849281,6.241438866,5.4047575,5.456794739,6.633250237,7.194438934,6.562846661,6.495503902,5.298641682,4.852751732,4.710924149,6.213889599,6.927109241,6.745488167,5.52617836,4.794592381,4.075250149,4.814999104,5.902684689,6.886295319,6.232255459,5.455774307,3.948727846,3.594668627,3.65997076,4.689496994,5.317008018,5.257827759,4.726229191,3.738537073,2.878387928,3.232446909,3.960971832,4.425228119,4.126267433,3.704865694,3.080415726,2.290670156,1.870288849,2.760028124,3.46508503,3.952809095,3.377335548,2.777373791,2.364135027,2.455965757,2.841655493,3.111026049,3.04878521,2.734519482,2.138639212,1.651935458,1.928448439,2.408009768,2.81104517,2.709010839,2.551877975,1.947834969,1.48766017,1.558063865,2.025381088,2.353931427,2.251387119
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0,.0966379941,.2899139822,.2899139822,.2899139822,.1932759881,.1932759881,.1932759881,.0966379941,.0966379941,0,0,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,.0966379941,.0966379941,.2899139822,.1932759881,.1932759881,0,.1932759881,.2899139822,.2899139822,.0966379941,0,.1932759881,.1932759881,.1932759881,0,0,0,0,0,.0966379941,.0966379941,.1932759881,.0966379941,.0966379941,0,0,0,0,.0966379941,.0966379941,.0966379941,0,0,0,.1932759881,.1932759881,.1932759881,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0,0,0,0,0,0,0,0,0,0,0,0,.0966379941,.0966379941,.0966379941,0
