Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,0,0,0,0,0,0,0,0,.0098938262,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0098938262,0,0,0,0,0,0,0,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,0,.0098938262,.0098938262,.0098938262,.0098938262,.0098938262,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0593629591,.098938264,.098938264,.098938264,.1088320911,.1088320911,.1385135651,.1088320911,.0692567825,.0692567825,.0692567825,.0593629591,.0593629591,.049469132,.0791506097,.0890444368,.0890444368
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,0,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,0,0,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,0,0,0,0,0,0,0,0,0,0,.0082329763,.0082329763,.0082329763,.0329319052,.0329319052,.0329319052,.0329319052,.0246989299,.0246989299,.0246989299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0246989299,.0246989299,.0246989299,.0246989299,.0246989299,.0246989299,.0329319052,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,.0082329763,0,0,.057630837,.057630837,.057630837,.082329765,.082329765,.0905627385,.0905627385,.0493978597,.0987957194,.0987957194,.0740967914,.0740967914,.0658638105,.0658638105,.1481935829,.0987957194,.0987957194,.0987957194,.0987957194,.0987957194,.0987957194,0,0,0,.5516094565,.6421721578,.6421721578,.7080360055,.7080360055,.7080360055,.7574338317,.2222903669,.156426549,.156426549
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0024724486,.0024724486,.0049448973,.0074173459,.0123622427,.0123622427,.0123622427,.019779589,.019779589,.0222520381,.0222520381,.019779589,.0321418308,.0321418308,.037086729,.0395591781,.0346142799,.037086729,.0346142799,.0395591781,.0741734579,.0642836615,.0667561144,.0717010126,.0766459033,.0766459033,.0766459033,.0667561144,.0717010126,.0840632543,.0815908015,.0791183561,.0865356997,.0939530432,.0692285597,.0914805979,.0914805979,.1087877378,.1186775342,.1359846741,.1236224324,.1434020251,.1532918066,.1557642668,.1557642668,.1681265086,.1434020251,.163181603,.1903785467,.170598954,.1854336411,.1730713993,.1977958828,.2620795369,.2966938317,.3238907754,.3708672822,.3609775007,.4079540074,.4821274877,.5241590738,.5266315341,.5142692924,.5291039944,.5834978819,.6280019283,.5538284779,.5711356401,.5933876634,.6700335741,.7343172431,.7639865875,.7788212895,.9271682501,1.006286621,1.033483505,1.077987552,1.102712035,1.164523244,1.191720247,1.20655489,1.144743681,1.147216201,1.120019197,1.179358006,1.122491717,1.112601876,1.045845747,1.179358006,1.312870145,1.372208953,1.258476377,1.325232387,1.300507903,1.330177307,1.372208953,1.345012069,1.364791632,1.513138533,1.515610933,1.837029338,1.930982351,2.089219093,2.108998537,2.165864944,2.244983435,2.336463928,2.175754786,2.13125062,2.086746693,2.104053736,2.346353769,2.333991528,2.41558218,2.358716011,2.474920988,2.526842356,3.676531076,3.520766735,3.805098295,4.220469952,4.292170525
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0100255245,.0100255245,.0100255245,.0100255245,.0100255245,.0200510491,.0250638109,.0150382863,.0250638109,.0250638109,.0300765727,.0350893363,.0300765727,.0350893363,.0350893363,.0401020981,.0551403835,.0601531453,.0551403835,.0902297199,.0902297199,.1052680016,.0902297199,.1052680016,.1102807671,.1203062907,.1052680016,.1152935326,.1203062907,.1604083925,.1904849559,.1904849559,.200510487,.1904849559,.2105360031,.2305870652,.2305870652,.1704339087,.1604083925,.1403573453,.200510487,.1704339087,.1654211432,.1403573453,.2456253469,.2606636286,.4812251627,.4361103177,.5764676332,.5614293814,.5614293814,.4711996317,.4611741304,.2456253469,.2355998158,.1503828615,.200510487,.2105360031,.2105360031,.2305870652,.2355998158,.255650878,.2205615342,.1854722053,.2105360031,.2055232525,.1804594398,.2055232525,.1804594398,.1654211432,.1804594398,.145370096,.1403573453,.3960082233,.3960082233,.4060337245,.411046505,.3859826922,.3809699118,.3909954429,.1403573453,.1152935326,.1353445798,.1253190488,.1152935326,.145370096,.155395627,.1704339087
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,0,0,0,0,0,.2322502732,.3096670508,.3096670508,.4645005465,.4645005465,.4645005465,.4645005465,.3096670508,.2322502732,.4645005465,.3870837986,.3870837986,.3870837986,.6193341017,.7741675973,.7741675973,.6193341017,.5419173241,.6193341017,.6967508197,.5419173241,.3096670508,.3096670508,.2322502732,.2322502732,.1548335254,.0774167627,.3096670508,.3096670508,.3096670508,.3870837986,.3870837986,.4645005465,.4645005465,.1548335254,.2322502732,.2322502732,.1548335254,.1548335254,.0774167627,.0774167627,.0774167627,0,0,0,0,0,0,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,0,0,0,0,0,0,0,.0774167627,.0774167627,.0774167627,.0774167627,.0774167627,.1548335254,.1548335254,.1548335254,.1548335254,.1548335254,.1548335254,.1548335254,.0774167627,.0774167627,.3096670508,.3096670508,.3096670508,.3096670508,.3096670508,.3096670508,.3096670508,.9290010929,1.083834648,1.316084862,1.393501639,1.393501639,1.393501639,2.245085955,2.012835741,2.167669296,2.167669296,2.39991951,3.019253731,3.561170816,2.787003279,2.554753065,2.245085955,2.322502851,2.012835741,2.322502851,2.245085955,2.554753065,2.39991951,2.39991951,2.941836834,3.561170816,3.096670389,3.019253731,2.632169724
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.004948257,.009896514,.009896514,.0148447705,.0148447705,.0148447705,.0247412845,.0296895411,.0247412845,.0247412845,.019793028,.019793028,.0296895411,.019793028,.009896514,.009896514,.009896514,.009896514,.009896514,0,0,0,0,0,0,.004948257,.004948257,.004948257,.004948257,.004948257,.004948257,.004948257,0,0,.0296895411,0,0,0,0,0,0,-.0296895411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.004948257,.004948257,.004948257,.019793028,.019793028,.019793028,.0346377976,.0346377976,.0445343107,.0445343107,.0296895411,.039586056,.039586056,.0247412845,.0247412845,.0148447705,.0148447705,.0148447705,.009896514,.0148447705,.019793028,.019793028,.0247412845,.0247412845,.0346377976,.0445343107,.039586056,.0445343107,.039586056,.0494825691,.0544308275,.0544308275,.0445343107,.0544308275,.0643273368,.079172112,.079172112,.0890686214,.0890686214,.0989651382,.1039133966,.0989651382,.0989651382,.1039133966,.1138099059,.1187581643,.1138099059,.1187581643,.1237064227,.1237064227,.1237064227,.1187581643,.1187581643,.1237064227,.1138099059,.1138099059,.1187581643,.1187581643,.1237064227,.1336029321,.1385511905,.1484477073
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0043348633,.0086697266,.0086697266,.0086697266,.0086697266,.0086697266,.0086697266,.0043348633,0,0,0,0,.0043348633,.0043348633,.0043348633,.0086697266,.0086697266,.0086697266,.0086697266,.0043348633,.0043348633,.0043348633,.0043348633,.0043348633,.0043348633,.0086697266,.0130045898,.0130045898,.0173394531,.0130045898,.0130045898,.0130045898,.0086697266,.0086697266,.0086697266,.0043348633,.0043348633,.0086697266,.0086697266,.0086697266,.0043348633,.0043348633,.0043348633,.0043348633,0,0,0,.0043348633,.0043348633,.0043348633,.0043348633,.0086697266,.0130045898,.0130045898,.0086697266,.0086697266,.0086697266,.0086697266,.0043348633,0,.0043348633,.0043348633,.0043348633,.0043348633,.0043348633,.0086697266,.0086697266,.0043348633,.0086697266,.0086697266,.0086697266,.0130045898,.0086697266,.0130045898,.0130045898,.0130045898,.0130045898,.0130045898,.0086697266,.0086697266,.0043348633,.0043348633,0,0,0,0,0,0,0,0,.0043348633,.0043348633,.0043348633,.0130045898,.0173394531,.0303440429,.0303440429,.0303440429,.0390137695,.047683496,.0520183593,.0606880859,.0650229454,.0823623985,.1040367186,.1083715782,.1127064452,.1127064452,.1170413047,.1127064452,.1127064452,.1040367186,.1083715782,.1127064452,.1170413047,.1127064452,.1213761717,.1170413047,.1213761717,.1170413047,.1213761717,.1257110387
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0004372899,.0004372899,.0026237394,.0030610294,.0048101889,.0052474788,.0061220587,.0069966381,.0087457979,.0069966381,.0091830874,.0096203778,.0135559868,.0166170169,.0179288853,.0214272048,.0327967405,.0450408608,.0677799359,.0970783532,.1355598718,.1740413755,.2322009355,.3004181683,.3891880214,.5006969571,.6476263404,.8474678397,1.083604336,1.294378042,1.572931767,2.004536867,2.410779238,2.92372036,3.25649786,3.540736198,3.895815611,4.266637325,4.741096973,5.123725891,5.337560654,5.677772045,6.010986805,6.15616703,6.226133347,6.267675877,6.457022667,6.473639488,6.701467514,6.850146294,6.613134861,6.598704338,6.621881008,6.551914692,6.693596363,6.476700783,6.154855251,6.182841778,6.021044731,5.916969776,5.968132496,5.90647459,5.797589302,5.756484032,5.670338154,5.619612217,5.658093929,5.637104034,5.472245693,5.410150528,5.376479149,5.281587601,5.152149677,4.849545002,4.540380955,4.47697401,4.448112965,4.336166382,4.280630589,4.174369335,4.146382809,4.066358566,3.825412035,3.653994322,3.609390736,3.546421051,3.434037447,3.055344582,3.029544353,3.011615515,2.966574669,2.900106668,2.89048624,3.003744364,3.155921221,2.928967714,2.853316545,2.767607689,2.64123106,2.582196951,2.465440512,2.424772501,2.392850399,2.336877108,2.272158384,2.302768707,2.235863209,2.186012268,2.141845942,2.069255829,1.991855502,1.926262021,1.865041375,1.846237898,1.85279727,1.85192275,1.854546428,2.605810404,2.576512098,2.523600101,2.517477989,2.492989779,2.44226408,2.405531645,1.651643991,1.666511774,1.560687661,1.573806286,1.562874079,1.770149469,1.834431171,1.962119818,2.037333727,2.224931002,2.293585539,2.309327841,2.180327415,2.236737728,2.216185093,2.258602381,2.336002588,2.330317974,2.387165546,2.472874403,2.580447674,2.655224323,2.752302647,2.77504158,2.799092531
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.04141628,.04141628,.04141628,.04141628,.0828325599,.1656651199,.1656651199,.1656651199,.2070814073,.2070814073,.2484976947,.2070814073,.1242488474,.1242488474,.0828325599,.04141628,.0828325599,.04141628,.0828325599,.0828325599,.0828325599,.0828325599,.1242488474,.0828325599,.1656651199,.1242488474,.1242488474,.1242488474,.2070814073,.2070814073,.2070814073,.1242488474,.1242488474,.2070814073,.2070814073,.1242488474,.0828325599,.0828325599,.0828325599,.0828325599,0,.04141628,.04141628,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,.04141628,.04141628,.04141628,.04141628,.04141628,.04141628,.04141628,.04141628,.1242488474,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,0,0,.04141628,.04141628,.04141628,.04141628,.04141628,.04141628,.04141628,0,0,0,0,0,0,0,0,.04141628,.04141628,.04141628,.04141628,.0828325599,.0828325599,.0828325599,.04141628,.0828325599,.0828325599,.0828325599,.04141628,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,.0828325599,.04141628,.0828325599,.0828325599,.04141628,.04141628,.04141628,.0828325599,.1242488474,.0828325599,.0828325599,.0828325599,.1242488474,.1242488474,.1242488474,.0828325599,.0828325599,.0828325599,.1242488474,.0828325599,.0828325599,.04141628,.04141628
