Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,4,5,0,1,1,0,3,1,1,0,1,0,0,2,4,2,0,2,4,1,12,14,2,1,10,1,0,3,18,0,2,0,0,18,6,0,2,2,3,6,9,1,1,1,2,0,11,13,10,6,1,0,6,1,3,0,0,0,0,4
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,3,0,1,0,2,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,67,11,0,8,0,0,6,2,3,0,1,2,4,3,2,14,5,1,2,3,23,1,3,32,6,0,5,0,10,4,0,4,0,5,5,3,2,1,0,2,0,0,1,1,3,1,2,2,0,0,0,3,0
Yemen,YEM,Asia,Western Asia,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,2,0,1,1,1,2,0,3,3,2,0,8,2,3,0,6,3,2,5,4,4,8,12,3,4,3,8,8,8,0,1,0,15,2,7,3,21,4,44,6,30,4,3,3,2,1,4,13,14,5,3,6,2,8,6,7,10,2,1,7,3,3,10,3,1,52,7,5,4,5,2,3,2,2,9,2,3,8,5,5,4,1,1,2,6,1,3,2,7,2,0,4,0,3,3,5,5,0,0,0,2,5,2,2,2,1,4,7,2,2,3,2,1,0,1,2,4,1,0,1,0,0,1
Western Sahara,ESH,Africa,Northern Africa,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,1,1,0,0,3,2,1,2,3,1,2,0,1,1,-1,0,0,1,1,0,0,3,0,0,2,0,2,0,0,1,0,0,0,0
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,1,2,0,0,2,0,0,1,0,0,0,1,1,1,1,1,0,2,3,0,2,0,3,1,2,1,2,4,3,3,3,2,3,3,3,3,4,5,3,2,4,4,3,4,4,3,3,2,4,4,4,5,5,4,4,4,5,5,2,6,5,5,6,7,8,7,6,7,8,6,9,9,12,7,10,5,7,9,6,8,6,6,6,8,6,8,7,8,9,6,5,5,7,4,10,8,8,8
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,0,1,2,2,3,3,4,4,6,3,3,3,4,3,4,4,4,4,4,3,5,3,5,3,5,5,5,3,7,5,5,6,4,6,8,6,4,6,6,7,6,4,7,5,4,5,7,4,6,6,4,8,7,6,7,4,7,7,4,5,6,7,3,4,4,7,5,4,5
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,4,1,2,3,4,1,6,5,10,8,7,12,27,35,59,74,99,99,110,189,239,324,408,520,633,586,692,1085,1172,1503,1392,1523,1590,1770,2571,2146,2228,2218,2119,1813,1946,2455,2609,2176,2093,1960,1931,2186,2548,2434,2469,2154,1698,1329,1466,2241,2521,2322,1891,1692,1120,1333,2318,2364,1934,1747,1488,893,1014,1627,1764,1783,1681,1216,758,1172,1552,1526,1217,1244,1109,622,548,662,1518,1178,1160,963,581,776,1068,1007,1023,914,659,438,519,950,901,871,828,759,308,394,838,744,718,670,604,285,389,847,759,551,617,504,273,377,625,694,727,660,265,288,355,1222,863,1003,824,690,459,367,926,968,943,930,868,447,514,1107,1216,1094,1132,899,472,1120,1374,1432,1209,1243,1115,403,530,1378,1376,1253,1242,1077,511,527,1064,1505,1070,1338,1034,571,446,1325,1353,1079,1105,982,450,442,1239,1225,1111,971,958,310,573,1067,1056,1070,965,783,403,267
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,0,2,1,19,14,22,17,34,46,32,58,36,76,148,191,181,288,292,212,374,403,672,657,736,756,599,567,1105,1030,1116,1122,843,657,724,1076,880,1036,913,1105,432,570,1224,847,682,1010,815,364,320,969,769,634,698,584,253,272,726,647,458,579,275,217,187,614,447,352,350,411,67,146,500,328,273,291,220,379,104,131,422,343,274,154,60,86,249,254,130,258,143,54,47,195,164,76,131,107,27,29,120,110,67,84,71,31,14,94,87,99,77,40,31,21,53,97,41,49,32,19,11,54,57,31,34,17,9,10,44,26,24,26,9,11,10,25,17,9,32,15,8,3,21,34,0,20,13,5,1,18,14,18,12,3,5,18,13,20,18,11,3,5,3,12,16,6,2,18,6,4,16,16,12,9,12,1,2,3,10,13,10,12,2,3
