date,country,iso3,confirmed,deaths,test_wom,test_million_wom,population,idb,population_million,deaths_million,confirmed_dif,deaths_dif,test_wom_dif,death_pos,pos_test,test_million
11/5/20,Mexico,MEX,949197,93772,2445709,18900,126190788,1,126.19079,743.09705,948689,93762,2156157,.098833233,.4399907,17086.484
11/5/20,Nicaragua,NIC,5591,157,,,6465513,1,6.4655132,24.282682,3512,132,,.037585422,,
11/5/20,Panama,PAN,136567,2756,694228,160027,4176873,1,4.1768732,659.82373,38529,1928,,.05004023,,
11/5/20,Paraguay,PRY,65778,1462,377309,52676,6956071,1,6.9560709,210.17612,-111941,-1731,-602780,.015463503,.18570788,-86655.242
11/5/20,Peru,PER,914722,34730,4611380,139188,31989256,1,31.989256,1085.677,826802,32877,4137942,.039764054,.19980995,129354.12
11/5/20,Spain,ESP,1306316,38486,18072174,386479,46796540,,46.796539,822.41125,1303135,38424,18009680,.029485816,.072357476,384850.69
11/5/20,Trinidad and Tobago,TTO,5774,111,33752,24090,1389858,1,1.389858,79.864273,2679,46,-120864,.017170586,-.022165408,-86961.398
11/5/20,United Kingdom,GBR,1123197,48120,35241533,518178,66460344,,66.460342,724.04083,946768,47528,17825808,.050200261,.053112205,268217.22
11/5/20,United States,USA,9645772,235878,153594821,463082,326687501,,326.6875,722.02948,7922530,174633,108782680,.02204258,.072828963,332986.97
11/5/20,Uruguay,URY,3309,61,334146,96076,3449299,1,3.4492991,17.684752,-14753691,-282238,-207126192,.019129993,.071230449,-60048776
11/5/20,Venezuela,VEN,93921,819,2168642,76340,28870195,1,28.870195,28.368357,19868,208,790727,.010469096,.025126245,27389.043
12/6/20,Argentina,ARG,1463110,39770,4101188,90382,44494502,1,44.494503,893.8183,246082,7004,958351,.028462058,.25677648,21538.639
12/6/20,Bahamas,BHS,7570,163,44502,112698,385640,1,.38564,422.67401,688,13,7410,.018895349,.092847504,19214.813
12/6/20,Belize,BLZ,7769,173,43194,107785,383071,1,.38307101,451.6134,3792,107,19019,.028217299,.19937956,49648.758
12/6/20,Bolivia,BOL,145560,8995,368251,31362,11353142,1,11.353142,792.29169,3359,227,31550,.067579634,.10646593,2778.9666
12/6/20,Brazil,BRA,6603540,176941,25700000,120534,209469333,1,209.46933,844.71075,1013515,15835,3800000,.015623843,.26671448,18141.08
12/6/20,Chile,CHL,560382,15628,5537774,288612,18729160,1,18.72916,834.42078,43800,1224,1075688,.027945206,.040718127,57433.863
12/6/20,Colombia,COL,1371103,37808,6737972,131811,49648685,1,49.648685,761.51062,253126,5599,1479734,.02211942,.17106183,29804.092
12/6/20,Costa Rica,CRI,143685,1773,404440,79079,4999441,1,4.9994411,354.63965,29318,329,77901,.011221775,.37634948,15581.941
12/6/20,Dominican Republic,DOM,148453,2345,753133,69125,10627165,1,10.627165,220.66092,19629,85,140375,.0043303277,.13983259,13209.073
12/6/20,Ecuador,ECU,197998,13778,672259,37855,17084357,1,17.084356,806.46881,26215,1048,113675,.039977111,.23061359,6653.748
12/6/20,El Salvador,SLV,40131,1159,564906,86902,6420744,1,6.4207439,180.50868,5349,162,77124,.030286035,.069355845,12011.692
12/6/20,France,FRA,2290891,54804,21041852,322053,66977107,,66.977104,818.24976,685720,16074,3986051,.023441054,.17202991,59513.637
12/6/20,Germany,DEU,1194550,18989,29141172,347328,82905782,,82.905785,229.04312,563378,7879,5747861,.013985282,.098015241,69330.039
12/6/20,Guatemala,GTM,125550,4250,556522,30818,17247807,1,17.247807,246.40814,15701,484,109633,.030826062,.14321418,6356.3447
12/6/20,Haiti,HTI,9370,233,34734,3030,11123176,1,11.123176,20.947256,261,1,1661,.0038314175,.15713425,149.32787
12/6/20,Honduras,HND,111023,2946,271223,27197,9587522,1,9.5875216,307.27441,11676,210,39573,.017985612,.29504967,4127.5527
12/6/20,Italy,ITA,1728878,60078,23125664,382731,60421760,,60.421761,994.31067,903999,19886,6408013,.021997811,.14107321,106054.72
12/6/20,Jamaica,JAM,11120,265,119099,40144,2934855,1,2.934855,90.294067,1747,48,20162,.027475672,.086648151,6869.8452
12/6/20,Japan,JPN,162917,2259,3740146,29612,126529100,,126.5291,17.853601,57953,453,952603,.0078166788,.060836464,7528.7266
