date,country,iso3,confirmed,deaths,death_pos,pos_test,test_wom,test_million_wom,population,idb,population_million,deaths_million
11/10/20,Argentina,ARG,1262476,34183,.027076159,.38375977,3289756,72549,44494502,1,44.494503,768.2522
11/10/20,Bahamas,BHS,7012,154,.02196235,.18309528,38297,97052,385640,1,.38564,399.33618
11/10/20,Belize,BLZ,4414,73,.016538287,.17539537,25166,62882,383071,1,.38307101,190.56519
11/10/20,Bolivia,BOL,142664,8808,.061739471,.41940263,340160,28999,11353142,1,11.353142,775.8205
11/10/20,Brazil,BRA,5699005,162802,.02856674,.26022854,21900000,102766,209469333,1,209.46933,777.21161
11/10/20,Chile,CHL,523907,14611,.027888538,.11278455,4645202,242247,18729160,1,18.72916,780.12042
11/10/20,Colombia,COL,1155356,33128,.028673414,.21003628,5500745,107692,49648685,1,49.648685,667.24829
11/10/20,Costa Rica,CRI,118566,1502,.01266805,.35232031,336529,65845,4999441,1,4.9994411,300.43359
11/10/20,Dominican Republic,DOM,131131,2269,.017303307,.20837763,629295,57802,10627165,1,10.627165,213.50945
11/10/20,Ecuador,ECU,175711,12849,.073125757,.30477497,576527,32500,17084357,1,17.084356,752.09155
11/10/20,El Salvador,SLV,35145,1020,.029022621,.071342155,492626,75811,6420744,1,6.4207439,158.86009
11/10/20,France,FRA,1810653,40678,.022465928,.099219128,18249032,279353,66977107,,66.977104,607.34186
11/10/20,Germany,DEU,715693,11781,.016460968,.030593917,23393311,278886,82905782,,82.905785,142.10106
11/10/20,Guatemala,GTM,112129,3832,.034174923,.24299063,461454,25588,17247807,1,17.247807,222.17317
11/10/20,Haiti,HTI,9137,232,.025391266,.27626765,33073,2888,11123176,1,11.123176,20.857353
11/10/20,Honduras,HND,100804,2780,.02757827,.41587353,242391,24334,9587522,1,9.5875216,289.96024
11/10/20,Italy,ITA,995463,42330,.042522926,.056113414,17740196,293569,60421760,,60.421761,700.57544
11/10/20,Jamaica,JAM,9573,224,.023399143,.09438967,101420,34196,2934855,1,2.934855,76.324043
11/10/20,Japan,JPN,110487,1840,.016653543,.038119722,2898421,22942,126529100,,126.5291,14.542109
11/10/20,Mexico,MEX,978531,95842,.097944774,.38885945,2516413,19444,126190788,1,126.19079,759.50079
11/10/20,Nicaragua,NIC,5661,158,.027910262,,,,6465513,1,6.4655132,24.437349
11/10/20,Panama,PAN,141302,2817,.019936023,.19422421,727520,167666,4176873,1,4.1768732,674.42792
11/10/20,Paraguay,PRY,68497,1516,.022132356,.17555231,390180,54463,6956071,1,6.9560709,217.93912
11/10/20,Peru,PER,923527,34943,.03783647,.19647467,4700489,141851,31989256,1,31.989256,1092.3354
11/10/20,Spain,ESP,1381218,39345,.028485728,.071217768,19394289,414750,46796540,,46.796539,840.76727
11/10/20,Trinidad and Tobago,TTO,5880,111,.018877551,.17168885,34248,24443,1389858,1,1.389858,79.864273
11/10/20,United Kingdom,GBR,1233775,49770,.040339608,.033517871,36809469,541193,66460344,,66.460342,748.86761
11/10/20,United States,USA,10252129,239671,.023377681,.063838176,160595579,484150,326687501,,326.6875,733.63995
11/10/20,Uruguay,URY,3620,62,.017127072,.010324303,350629,100810,3449299,1,3.4492991,17.974667
11/10/20,Venezuela,VEN,95445,834,.0087380167,.043056276,2216750,78037,28870195,1,28.870195,28.887924
