date,country,iso3,confirmed,deaths,test_wom,test_million_wom,population,idb,population_million,deaths_million,confirmed_dif,deaths_dif,test_wom_dif,death_pos,pos_test,test_million
11/6/20,Argentina,ARG,1228814,33136,3177564,70081,44494502,1,44.494503,744.72119,85014,2694,230220,.031688899,.36927286,5174.1221
11/6/20,Bahamas,BHS,6882,150,37092,94009,385640,1,.38564,388.96381,275,12,1911,.043636363,.14390372,4955.3989
11/6/20,Belize,BLZ,4016,67,24418,61025,383071,1,.38307101,174.9023,755,15,2427,.019867551,.31108364,6335.6401
11/6/20,Bolivia,BOL,142343,8781,336834,28719,11353142,1,11.353142,773.44232,859,76,5859,.088474974,.14661205,516.0686
11/6/20,Brazil,BRA,5631181,162015,21900000,102774,209469333,1,209.46933,773.45453,136805,3046,0,.022265268,,0
11/6/20,Chile,CHL,518390,14450,4502579,234831,18729160,1,18.72916,771.52417,11340,332,269956,.029276896,.042006847,14413.674
11/6/20,Colombia,COL,1127733,32405,5320872,104183,49648685,1,49.648685,652.68597,74611,1479,380158,.019822814,.19626313,7656.96
11/6/20,Costa Rica,CRI,115417,1453,326539,63897,4999441,1,4.9994411,290.63248,7847,96,18476,.012233974,.42471313,3695.613
11/6/20,Dominican Republic,DOM,129300,2261,616366,56620,10627165,1,10.627165,212.75665,3387,27,33658,.0079716565,.10062987,3167.1665
11/6/20,Ecuador,ECU,172508,12761,563159,31752,17084357,1,17.084356,746.94061,6206,139,25366,.02239768,.2446582,1484.7501
11/6/20,El Salvador,SLV,34966,1002,490212,75444,6420744,1,6.4207439,156.05669,1521,35,19299,.023011178,.078812376,3005.7266
11/6/20,France,FRA,1665403,39557,17367177,265860,66977107,,66.977104,590.6048,376925,3829,1774221,.010158519,.21244535,26489.963
11/6/20,Germany,DEU,653992,11240,23393311,278895,82905782,,82.905785,135.57558,155638,935,1510344,.0060075303,.10304805,18217.596
11/6/20,Guatemala,GTM,110502,3794,451077,25018,17247807,1,17.247807,219.97,3712,90,25836,.024245691,.14367549,1497.9296
11/6/20,Haiti,HTI,9127,232,33073,2888,11123176,1,11.123176,20.857353,70,0,897,0,.078037903,80.642441
11/6/20,Honduras,HND,99576,2741,231650,23260,9587522,1,9.5875216,285.89246,3426,80,6211,.023350846,.55160201,647.82123
11/6/20,Italy,ITA,862681,40638,16951896,280520,60421760,,60.421761,672.57227,246086,2516,1598406,.010224068,.15395713,26454.145
11/6/20,Jamaica,JAM,9426,218,99574,33575,2934855,1,2.934855,74.279648,499,16,5133,.032064129,.097214103,1748.9791
11/6/20,Japan,JPN,106136,1810,2818683,22310,126529100,,126.5291,14.30501,6462,62,160097,.0095945532,.040363029,1265.2979
11/6/20,Mexico,MEX,955128,94323,2465699,19054,126190788,1,126.19079,747.46344,42317,3550,120894,.083890632,.35003391,958.02557
11/6/20,Nicaragua,NIC,5591,157,,,6465513,1,6.4655132,24.282682,77,1,,.012987013,,
11/6/20,Panama,PAN,137760,2770,701637,161728,4176873,1,4.1768732,663.17548,5715,92,47373,.016097987,.12063834,11341.737
11/6/20,Paraguay,PRY,66481,1472,380237,53083,6956071,1,6.9560709,211.61371,4431,99,21543,.022342587,.20568167,3097.0071
11/6/20,Peru,PER,914722,34730,4635248,139903,31989256,1,31.989256,1085.677,19794,415,161765,.020965949,.12236269,5056.854
11/6/20,Spain,ESP,1328832,38833,18072174,386478,46796540,,46.796539,829.82629,168749,3194,1382098,.01892752,.12209626,29534.193
11/6/20,Trinidad and Tobago,TTO,5798,111,33861,24168,1389858,1,1.389858,79.864273,162,4,1000,.024691358,.162,719.49799
11/6/20,United Kingdom,GBR,1146484,48475,35600586,523450,66460344,,66.460342,729.38232,181144,2520,2510748,.013911584,.072147422,37778.137
11/6/20,United States,USA,9733816,236073,155148732,467759,326687501,,326.6875,722.62634,788859,7413,13479404,.0093971165,.058523286,41260.852
11/6/20,Uruguay,URY,3370,61,337189,96950,3449299,1,3.4492991,17.684752,326,4,22369,.012269938,.014573741,6485.0854
11/6/20,Venezuela,VEN,94305,821,2186865,76982,28870195,1,28.870195,28.437632,3025,32,83392,.010578512,.036274463,2888.5154
