Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.0692567825,.1385135651,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2077703625,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.2770271301,.415540725,.415540725,.415540725,.415540725,.415540725,.415540725,.415540725,.415540725,.4847975075,.4847975075,.4847975075,.4847975075,.4847975075,.5540542603,.5540542603,.6233111024,.6233111024,.6233111024,.6233111024,.9003382325,1.246622205,1.246622205,1.315878987,1.38513577,1.38513577,1.592906117,1.6621629,1.731419683,1.731419683,1.800676465,1.800676465,1.800676465,1.93919003,2.216217041,2.354730844,2.354730844,2.49324441,2.77027154,2.839528322,3.670609713,4.640204906,4.778718472,4.847975254,5.540543079,5.609799862
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.057630837,.057630837,.057630837,.057630837,.057630837,.057630837,.057630837,.057630837,.1152616739,.1152616739,.1152616739,.1152616739,.1152616739,.1152616739,.1152616739,.1152616739,.1152616739,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.1728925109,.2305233479,.2305233479,.2305233479,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.4034158587,.5763083696,.5763083696,.5763083696,.5763083696,.5763083696,.5763083696,.6339392066,.6339392066,.6339392066,.6339392066,.6339392066,.6339392066,.6339392066,.6339392066,.6339392066,1.037355065,1.037355065,1.037355065,1.210247517,1.210247517,1.267878413,1.267878413,1.383140087,1.728925109,1.728925109,1.728925109,1.728925109,1.728925109,1.728925109,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,2.420495033,6.281761169,6.915700436,6.915700436,7.376747131,7.376747131,7.376747131,7.722531796,7.837793827,8.010685921,8.010685921,8.068317413,8.183578491,8.414101601,8.586994171,8.702256203,9.509087563,9.797242165,9.854872704,9.970134735
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0173071399,.0173071399,.0346142799,.0519214198,.0865356997,.0865356997,.0865356997,.1557642668,.1557642668,.1903785467,.2076856792,.2249928266,.3115285337,.3115285337,.4153713584,.4326784909,.4326784909,.4672927856,.4672927856,.5884427428,.8307427168,.8653569818,.8999713063,.9345855713,1.003814101,1.003814101,1.124964118,1.298035502,1.367264032,1.488414049,1.505721211,1.557642579,1.609564066,1.78263545,1.78263545,2.007628202,2.128778219,2.267235279,2.388385296,2.56145668,2.647992373,2.786449671,3.080670834,3.219128132,3.357585192,3.565270901,3.565270901,3.790263653,4.11909914,4.27486372,4.517163754,4.569085121,4.949841976,5.399827957,5.867120743,6.386334896,6.870934486,7.044005871,7.424763203,8.324734688,9.068941116,9.553541183,9.986219406,10.57466221,11.1284914,11.82077694,12.20153427,13.06689072,13.70725536,14.67645454,15.71488285,16.47639656,17.27252579,18.69171143,20.11089706,20.94163895,22.22236824,23.43386841,24.62806129,25.6145668,27.13759613,28.12410355,28.97215271,30.06250191,31.68937302,32.48550034,33.40277863,34.45851517,36.37960815,38.16224289,39.66796494,40.49870682,41.76213074,42.50633621,43.76975632,45.98507309,47.57732773,49.22150803,51.09067917,52.37140656,55.36553955,57.28663254,60.60960388,62.34032059,64.38256073,66.80555725,68.72665405,70.5958252,72.20539093,75.21682739,77.06869507,80.80703735,83.14350128,85.63572693,87.10683441,89.52983856,92.90473175,102.8044128,105.4524078,109.7791901,115.1790161,117.1520309,122.3095627,125.5979156,129.7516327,135.2033844,138.5436554,141.1051178,144.7915344,147.785675,153.7566376
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0701786727,.0701786727,.0701786727,.0701786727,.0701786727,.1403573453,.1754466742,.1754466742,.2456253469,.2456253469,.2807146907,.3158040047,.3508933485,.4210720062,.4210720062,.5263400078,.6316080093,.7017866969,.7017866969,.9825013876,1.052680016,1.157948017,1.157948017,1.36848402,1.473752022,1.543930769,1.719377398,1.859734774,2.00009203,2.28080678,2.701878786,2.807146788,2.947504044,3.052772045,3.333486795,3.614201546,3.894916296,3.894916296,3.93000555,3.93000555,4.456345558,4.526524067,4.772149563,4.877417564,5.614293575,5.75465107,7.2985816,7.509117603,8.561798096,8.702155113,8.807422638,8.912691116,8.982870102,9.017958641,9.158316612,9.614478111,10.10572815,10.28117561,10.38644314,10.59697914,10.66715813,10.94787216,11.15840816,11.40403366,11.75492764,11.82510567,11.86019516,12.10582066,12.21108818,12.31635666,12.66724968,12.77251816,12.80760765,14.63225269,14.87787819,15.0533247,15.19368172,15.36912918,15.43930721,15.54457569,15.61475372,15.68493271,16.00073624,16.07091522,16.1761837,16.45689774,16.6323452,16.80779076,16.94814873,16.98323822,17.01832771,17.0885067,17.29904175,17.33413124,17.43939972,17.5095787,17.75520325
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,.5419173241,1.625751972,2.70958662,3.251503944,3.793421268,3.793421268,3.793421268,3.793421268,4.335338593,4.335338593,4.877255917,5.961090565,6.503007889,6.503007889,6.503007889,8.128759384,9.754511833,9.754511833,10.29642868,10.29642868,10.83834648,11.38026333,11.92218113,11.92218113,11.92218113,11.92218113,11.92218113,11.92218113,11.92218113,14.08985043,14.08985043,14.08985043,14.63176727,15.17368507,15.17368507,15.17368507,15.17368507,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,15.71560192,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.25751877,16.79943657,16.79943657,16.79943657,16.79943657,16.79943657,16.79943657,17.34135437,17.88327217,17.88327217,18.42518806,18.42518806,18.42518806,18.42518806,18.96710587,19.50902367,20.05094147,20.59285736,21.67669296,22.76052666,23.84436226,26.01203156,26.55394936,26.55394936,27.63778305,29.26353455,29.80545235,31.43120384,35.76654434,40.64379883,42.81146622,44.43722153,46.60488892,50.94022751,52.565979,54.73365021,55.2755661,58.52706909,60.6947403,63.94624329,67.19774628,70.44924927,73.15883636,75.32650757,78.03609467,81.28759766,85.62293243,88.87444305,91.58402252,95.91936493,100.2546997,104.0481262,106.2157974,114.8864746,114.8864746,114.8864746,134.9374084,138.730835,160.4075317
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0314003304,.0314003304,.0628006607,.0732674375,.0837342143
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0346377976,.0692755952,.0692755952,.1039133966,.1039133966,.1039133966,.1731889844,.2424645871,.2424645871,.2424645871,.2424645871,.2424645871,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3117401898,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.554204762,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3463779688,.3810157776,.3810157776,.3810157776,.4849291742,.4849291742,.4849291742,.5888425708,.6234803796,.6927559376,.6927559376,.6927559376,.7620315552,.7620315552,.7620315552,.796669364,.796669364,.796669364,.796669364,.8313071728,.8659449816,.9005827308,.9352205396,.9698583484,.9698583484,1.039133906,1.143047333,1.143047333,1.21232295,1.21232295,1.316236377,1.350874186,1.420149684,1.454787493,1.52406311,1.662614346,1.766527653,1.870441079,1.974354506,2.043630123,2.14754343,2.251456976,2.355370283,2.45928359,2.597834826,2.77102375,2.874937296,2.944212914,3.082764149,3.221315145,3.325228691,3.463779926,3.602330923,3.706244469,3.810157776,3.879433393,4.01798439,4.156535625,4.295086861,4.468276024,4.641465187,4.780015945,4.918567181,5.057118416,5.230307579,5.403496742,5.472772121,5.680598736,5.853787899,6.026977062,6.234803677,6.477268219
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0303440429,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0606880859,.0910321251,.0910321251,.0910321251,.1213761717,.1213761717,.1213761717,.1213761717,.1213761717,.1213761717,.1213761717,.1517202109,.1517202109,.1517202109,.1820642501,.2124082893,.2124082893,.2427523434,.2427523434,.2427523434,.2427523434,.2427523434,.2730963826,.2730963826,.2730963826,.2730963826,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.3034404218,.333784461,.333784461,.333784461,.333784461,.3641285002,.3944725394,.3944725394,.3944725394,.3944725394,.3944725394,.3944725394,.3944725394,.3944725394,.4248165786,.4248165786,.4248165786,.4248165786,.4248165786,.4551606178,.4551606178,.4551606178,.4855046868,.4855046868,.4855046868,.5158486962,.5158486962,.5461927652,.5461927652,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.5765367746,.6068808436,.6068808436,.6068808436,.667568922,.697912991,.7889450788,.7889450788,.8192891479,.8799772263,.9406653047,1.031697392,1.12272954,1.244105697,1.365481853,1.547546148,1.638578296,1.729610443,1.820642471,1.942018747,2.033050776,2.154427052,2.275803089,2.397179365,2.518555403,2.639931679,2.730963707,2.882683992,2.973716021,3.125436306,3.216468573,3.36818862,3.519908905,3.67162919,3.762661219,3.975069523,4.12678957,4.278510094,4.46057415,4.581950188,4.764014721,5.006766796
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0030610294,.0030610294,.0183661748,.0214272048,.0336713232,.0367323495,.0428544097,.0520374961,.0642816126,.0673426464,.0857088193,.1010139659,.1316242516,.1591735184,.1775396913,.214272052,.2969198525,.4009948373,.5754734874,.8111727834,1.108092546,1.39582932,1.839678645,2.399847031,3.125310898,4.08035183,5.344557285,7.040367126,8.981060028,10.90032482,13.41036892,17.15706825,20.95580673,25.81059837,29.83585167,33.76621246,38.17103577,43.27683258,50.34474945,56.82188797,63.17352295,69.5802536,75.84312439,81.26420593,86.8597641,94.21848297,102.0210419,108.4889984,116.4905319,123.7941437,127.5561523,133.050705,140.57164,147.8844452,155.3441772,161.8274384,166.8781281,170.8360443,175.1980133,181.9904327,189.661377,196.6894989,202.410553,207.1735229,210.5284119,214.5352936,221.5970917,229.121109,234.995224,240.2816162,244.8088837,247.499527,250.6003418,255.5438995,260.9037781,266.3340454,271.418396,275.1620483,277.4639282,279.8209229,284.568573,289.3682861,293.111908,296.9963684,300.4277649,302.2888794,303.8591919,305.9559937,310.5751038,314.1932373,317.7623901,320.7285156,322.5222778,324.8854065,328.0474548,331.0778503,334.1664429,337.1356506,339.2171326,340.5976563,342.1434937,345.0208435,347.8278198,350.5245972,353.040741,355.3365173,356.2487183,357.4455566,360.0137634,362.3126221,364.4675598,366.5245972,368.3918152,369.1723633,370.4151611,372.9772339,375.2944336,382.708252,384.5601807,386.0570068,386.7947083,387.8660889,390.0730896,392.1331482,394.2697449,396.2257385,396.9818115,397.8113708,398.8062134,402.4641418,404.9741821,408.0045776,410.4870911,412.5563354,413.8664551,414.9714966,417.7264099,420.6313477,423.5178833,426.2973022,428.9083557,430.1786804,431.6816406,435.0365295,438.694458,442.1044617,445.5634155,448.3336487,449.7723389,453.0690613,457.2381897,461.6705627,465.4447937,469.3016968,472.7698364,474.0371094,475.6900635,479.9724426
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2899139822,.2899139822,.2899139822,.2899139822,.5798279643,1.159655929,1.159655929,1.449569821,1.739483833,1.739483833,2.029397726,2.029397726,2.029397726,2.029397726,2.029397726,2.029397726,2.319311857,2.319311857,2.60922575,2.60922575,2.60922575,2.60922575,2.899139643,2.899139643,3.478967667,3.478967667,3.478967667,3.478967667,4.058795452,4.348709583,4.348709583,4.348709583,4.348709583,4.928537369,4.928537369,4.928537369,4.928537369,4.928537369,4.928537369,4.928537369,4.928537369,5.2184515,5.2184515,5.508365631,5.508365631,5.508365631,5.508365631,5.508365631,5.508365631,5.508365631,5.798279285,5.798279285,5.798279285,5.798279285,5.798279285,5.798279285,6.378107548,6.378107548,6.378107548,6.378107548,6.378107548,6.378107548,6.378107548,6.378107548,6.378107548,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.668021202,6.957935333,6.957935333,6.957935333,6.957935333,7.247849464,7.247849464,7.247849464,7.247849464,7.537763119,7.537763119,7.537763119,7.537763119,7.82767725,7.82767725,7.82767725,8.117590904,8.117590904,8.117590904,8.117590904,8.117590904,8.407505035,8.407505035,8.407505035,8.407505035,8.407505035,8.697419167,8.987333298,8.987333298,8.987333298,8.987333298,9.277247429,9.277247429,9.567160606,9.567160606,9.567160606,9.567160606,9.857074738,9.857074738,9.857074738,9.857074738,9.857074738,10.14698887,10.14698887,10.14698887,10.14698887,10.14698887,10.14698887,10.436903,10.436903,10.72681713
