Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,.,0,.,0,.,0,0,0,0,0,0,.,0,1.5,.,0,0,0,.,0,0,.,0,0,.,0,0,0,0,0,0,0,.,0,0,0,0,0,.,.25,0,0,.4285714328,0,0,.375,1,.,0,0,.0444444455,0,0,.0076335878,0,0,0,.0151515156,.0090090092,.0178571437,.0294117648,.0294117648,0,.0444444455,.0337078646,0,.0131578948,0,.0225563906,.0074074073,.0344827585,.0058479533,.0327868834,.0416666679,.0188679248,.0283018872,.0394736826,.0307692308,.1199999973,.0405405387,.0357142873,.0340909101,.0169491526,.0515463911,.027777778,.0101010101,.03125,.0305343512,.0215827338,.0223463681,.0203045681,.013888889,.008547009,.0119760484,.0171673819,.0132450331,.0173913036,.0236966833,.0189393945,.018779343,.0095465397,.0165289249,.0177304968,.0158730168,.0054945056,.0139211137,.0133333337,.0174216032,.0247933883,.0231023096,.0191387553,.016431924,.0178041551,.0239726026,.0196078438,.0135440184,.0204545446,.0230769236,.0267260578,.0107692303,.0150150154,.0093632955,.0133333337,.0154373925,.0102214655,.0114122685,.0083916085,.006904488,.0078636957,.01459854,.0087719299,.0092915213,.0071355761,.0090293456,.0113207549,.0071090045,.0050251256,.004393673,.0060869567,.0031225604,.0098814229,.0065252855,.0069686412,.0076408787,.0089385472,.0068317675,.0114449216,.0122699384,.0121951215,.0131795714,.0116279069,.0097560976,.0111524165,.0096463021,.0101936795,.0084348638,.0086767897,.0093023255,.0087548634,.0088731144,.0070422534,.0091240872,.0075503355,.0053380784,.0075400565,.005770816,.0058922558,.0065298509,.0095238099,.0062047569,.0043956046,.0048590866,.0064456724,.0078843627,.0080645159,.0067415731,.0090322578,.0084865633,.0088945366,.0059405942,.004056795,.0062047569,.0057670125,.0089955023,.0066577895,0,.0131736528,.0079051387,.006615215,.0063211126,.0072639226,.0038071065
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,.0357142873,0,0,0,.1666666716,0,.1111111119,0,0,0,.1428571492,.1666666716,0,0,0,.1176470593,0,0,0,0,0,0,0,.1666666716,0,.0909090936,0,0,0,0,0,0,.1000000015,0,0,0,0,0,.5,0,0,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5,0,0,0,.200000003,0,0,0,.5,0,0,0,.,.,0,1,.,.,.,0,.,0,.,0,0,.1666666716,.0588235296,0,0,0,.200000003,0,.200000003,0,0,0,.1428571492,0,0,0,0,.25,0,0,0,0,0,1,0,.125,0,0,0,0,0,0,0,0,0,.0399999991,0,0,.200000003,0,0,.1666666716,.0476190485,0,0,0,.1111111119,0,0,0,.1000000015,0,0,0,0,0,.0833333358,0,0,0,0,0,0,0,0,0,0,0,0,.125,0,0,0,0,0,.0666666701,0,0,0,0,0,.0526315793,0,0,0,0,0,0,.0666666701,0,0,0,.0714285746,0,.1000000015,0,0,0,0,0,0,0,.0434782617,.0769230798,0,0,0,0
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,.,0,0,.,.,0,.,.,.,.,.,0,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,0,.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,0,0,.,.,0,0,.,2,0,.,1,0,0,0,0,.25,.1111111119,.,0,0,0,.2666666806,0,.5,.5,.2631579041,.0384615399,.012820513,.0909090936,.0281690136,.0181818176,.0833333358,.048780486,0,.0493827164,.0721649453,.0151515156,.0259740259,.0217391308,.0065359478,.0125786159,.1111111119,0,.0109890113,.1052631587,0,0,.016260162,0,.0535714291,0,.0500000007,.0370370373,.0175438598,.0101522841,0,0,.0178571437,.0408163257,.0101010101,.0121951215,.009615385,.0186915882,.0138248848,.004950495,0,.0454545468,.0123456791,0,0,.0476190485,0,.0199999996,.0416666679,.012987013,.0441176482,.051282052,.0169491526,.0116279069,0
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,.,.,.,.,.,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,0,.,.,0,0,0,.1000000015,.0500000007,0,0,.1000000015,0,.3333333433,0,0,0,0,.1111111119,0,0,.1428571492,.0799999982,0,.0625,0,0,0,.,0,0,.0625,.012820513,.0434782617,0,0,0,.1666666716,0,0,0,.0500000007,0,.0645161271,0,0,0,.,0,0,0,.0298507456,0,0,0,.0199999996,.1730769277,0,.0172413792,.0140845068,.0131578948,.0862068981,.0227272734,.2222222239,0,.,.0232558139,.0090909088,.0112359552,.0454545468,.0113636367,.0144927539,.0869565234,0,.009708738,0,.0408163257,.0142857144,0,.0092592593,.0259740259,.008130081,.1636363566,.0983606577,0,.0126582282,.0140845068,0,0,0,.0799999982,0,0,0,.0181818176,.0094339624,0,0,.0545454547,.0166666675,.0151515156,0,0,0,0,.0338983051,0,.0333333351,0,.0199999996,0,0,0,0,0,0,.055555556,0,0,0,.0500000007,.1000000015,0,0,0,0,0,0,0,0,0,0
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,.,0,0,0,0,.,.1111111119,0,0,0,0,0,.0666666701,.1000000015,0,1,0,.1666666716,.0833333358,.1000000015,0,.0769230798,.0769230798,0,.0588235296,.2857142985,0,.2307692319,.0833333358,.,.1666666716,0,0,.03125,.1111111119,0,0,.0454545468,0,.03125,.0652173907,0,.0638297871,.095238097,0,0,.075000003,.051282052,.0133333337,.0102040814,0,0,.0399999991,.0470588244,.0547945201,.0579710156,0,.0425531901,.020833334,0,.0338983051,.0447761193,.0352941193,.0476190485,.05982906,.0409836061,.1384615451,.0845070407,.115384616,.092105262,.1029411778,.1176470593,.1111111119,.1348314583,.1149425283,.0963855386,.0909090936,.1018518507,.0655737668,.05982906,.0566037744,.0521739125,.0480000004,.0597014911,.0465116277,.0342465751,.0397351012,.0384615399,.0666666701,.0451977402,.0645161271,.0607734807,.0714285746,.0531400964,.0376569033,.0301886797,.0369127505,.0340909101,.0262172278,.0458333343,.0370370373,.0320000015,.032142859,.050193049,.0323740989,.030201342,.0441767052,.0282685515,.032894738,.0276923068,.0350877196,.0480769239,.0280000009,.0531561449,.0384615399,.0387811624,.018666666,.0178117044,.0174129345,.0265060235,.0186480191,.0220048893,.0148148146,.0170316305,.0202531647,.0179948583,.0149253728,.0191387553,.0175879393,.0202531647,.0214797128,.0205011386,.0164705887,.0191387553,.0138248848,.0112359552,.0089086862,.0176322423,.018666666,.0229226369,.0155763244,.0262295082,.0238907859,.0177935939,.0037174721,.0196078438,.0161943324,.012711864,.0227272734,.0148514854,.0158730168,.0228571426,.0259740259,.0347222239,.0229007639,.0327868834,.0306122452,.0106382975,.0219780225,.0595238097,.0416666679,.0303030312,0,0,.0476190485,.0816326514,.0439560451,.0581395365,.0588235296,.051282052,.077922076,.0246913582,.0506329127,.0533333346,.0465116277,.0412371121,.073170729,.0240000002,.0163265299,.0320512839,.,.0161943324,.0186915882,.,.0232558139,.0223463681,.0174418613,.0416666679,.0306122452,.,.0218579229,.0543478243
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,.1000000015,0,0,0,0,0,0,.25,0,0,0,0,0,0,0,.200000003,0,0,0,0,0,0,0,0,0,0,0,.,.200000003,.,0,0,.,.,0,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.0833333358,0,0,0,0,0,0,0,0,0,0,.6666666865,0,.1000000015,.0238095243,.1333333403,0,0,.1428571492,0,0,0,0,0,0,.0384615399,.0588235296,.2307692319,0,0,.048780486,.0070422534,.0043290043,.0108108111,.03125,.0666666701,.025641026,0,.0434782617,.055555556,.0238095243,.068965517,.0434782617,.0192307699,.0119047621,.0204081628,.0357142873,0,.09375,.0425531901,.0161290318,.0347222239,.0260869563,.0174418613,.0326086953,.2592592537,.0579710156,.0382513665,.03539823,.0990990996,.1826923043,.0948275849,.0673076957,.1269841343,.020833334,.0146627566,.0916030556,.0680272132,.08176101,.174999997,.09375,.0769230798,.0571428575,.1127819568,.0710659921,.0693069324,.0550458729,.0771929845,.02004008,.0404312685,.0394944698,.0389972143,.0560975596,.0406976752,.0297239907,.0208728649,.0160818715,.0152990269,.0410958901,.0424710438,.0379403792,.0207667723,.0217391308,.0430622026,.0463121794,.0415973365,.0364500806,.0305206459,.0428994074,.0274999999,.0194884297,.0258992799,.0172555465,.0341463424,.0173010379,.0267131235,.0197044332,.0198347103,.0238365494,.0283251237,.0324543603,.0327272713,.0204081628,.0205173958,.0331412107,.0325443782,.0225225221,.023762377,.0256756749,.0211267602,.0309555847,.0228091236,.0182481743,.0201149434,.0118110236,.0254010689,.0358744413,.0289193299,.0115273772,.0180790965,.01953125,.0219178088
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,.375,.200000003,.4727272689,1.333333373,.2872928083,.4591836631,.3391304314,.1782945693,.4615384638,.3425414264,.4370861053,.0523364469,.1928571463,.1832061112,.0641210377,.1181619242,.1138845533,.0799158812,.128166914,.0256070644,.192678228,.0759385675,.0925196856,.0871743485,.1074113846,.0620860942,.1032998562,.0634920672,.0792639777,.0588942319,.1702997237,.0355688296,.0571820661,.1192893386,.0501806512,.0401313379,.0407224968,.0275624469,.0621686764,.0244549196,.119806096,.0416557491,.0537486225,.0312752761,.0394459516,.0445075743,.0589005239,.0844884515,.0410874262,.0299034622,.03187529,.0336674377,.0343549177,.0439442657,.039849624,.036703296,.0363676436,.0389555693,0,.0542406328,.0903686062,.0427860692,.0339570343,.0326616839,.0347293168,.0305871498,.027213648,.0208972171,.0319971256,.0222741812,.2429906577,.0408496745,.0423607789,.0449747592,.0382594056,.0587865449,.0428217836,.0359740518,.0310142506,.,.0312028192,.0196951143,.0562039316,.0432276651,.0482409373,.0520114936,.0525869392,.053325519,.0522512496,.0732775778,.0520368703,.0484661013,.0506005622,.0489101559,.0548965521,.0551020391,.0668703318,.0684690997,.0575980395,1.102069736,.0525730178,0,0,.1926298141,.0542657338,.0561519414,0,.0641025677,0,.1639933586,.0518830642,.052350428,.0569001026,.051108215,.0569476075,0,.1034229845,.0498655587,.0510667264,0,.0466344021,.8515930176,.,.,.0149752833,.0378214829,.031172948,.,.0293728895,.,.0097387396,.0494117662,.0220913105,.0243082494,.0157996155,.0180722885,.,.0096119866,.0354276784,.0238277074,.,0,.0189955477,.,.0139896916,.0148871141,.0248783119,.0187787432,.0124189472,.0125014465,.0139875663,.0061075361,.0202420242,.016688481,.0165610593,.0206804536,.0110221608,.0172024108,.0090774754,0,0,.0390809104,.,.0128303627,0,.0153195215,.0191235058,.0387984999,.0156012997,.0101730945,.0098751886,.0112070274,0,.0195962861,.0216929968,.0192307699,.0148902824,.0156195154,.0197972767,.0127072679,.0086235488,.,0,.0256952345,0,.,.0097157247,.0110465121,.0178780779,.018009169,.0356092788,0,.0149984695,.
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,.0102040814,.0695652142,.0517241396,.0625,.0347826071,.0681818202,.0520833321,.,.0367647074,.0506329127,.0252525248,.046875,.0106951874,0,.0738255009,.0358422957,.0178571437,.0225225221,0,.0180722885,.1388888955,.0784313753,.0395480208,.0226415098,.030927835,.1111111119,.0257731955,.0157068055,.0245398767,.0115942033,.0348837227,.0149999997,.0248962659,.0165289249,.,.0168067235,.0259740259,.0212765951,.0108108111,.,.0373831764,.0092024542,.009615385,.0364963487,.0297029708,.0188679248,.036144577,.0476190485,.0479041934,.0310559012,.0344827585,.0466666669,.0883977935,.0445859879,.0416666679,.0354609936,.0909090936,.0359712243,.0198675506,.0258064512,.0229226369,.0428015552,.0340909101,.0462633446,.012406948,.0250000004,.0164271053,.0179775283,.053475935,.0581395365,.0214007776,.0390804596,.0262529831,.0314232893,.0285035633,.0372960381,.029023746,.0213414636,.0315638445,.0496000014,.0259433966,.0198675506,5.75,.053703703,.0314960629,.0265251994,.0260021668,.03164557,.0198019799,.0318559557,.0498220623,.0307262577,.017874876,.0437788032,.0438247025,.0243190657,.0282074604,.0418300666,.0230010953,.0374676995,.0540897101,.0253036432,.0162950251,.0236286912,.0282131657,.026041666,.0238341969,.0230547544,.0260465108,.0169100687,.0168831162,.0270855911,.0270270277,.0185840707,.0164251216,.0211019926,.0248550121,.0260960329,.0220082533,.0305444896,.0208562016,.0102040814,.0137772672,.0146648046,.018324608,.0268886052,.0172084123,.0184381772,.0140845068,.0168589167,.0130841117,.0139581254,.0134297516,.0161090456,.0134793594,.0157618206,.0155820353,.014268728,.0077605322,.0149532715,.0131434826,.014967259,.0177824274,.0095011881,.008627451,.0215588715,.0323886648,.0093361,.1089108884,.0242085662,.0137867648,.007746479,.0119658122,.015625,.015691869,.0166666675,.0249221176,.0252454411,.0137362638,.0163576882,.022807017,.0112781953,.0072289156,.0205278601,.0169252474,.0230352301,.0149532715,.0193003621,.0125984251,.022288261,.0308943093,.0112517579,.0127840908,.015250545,.0159235671,.0126182968,.0223214291,.0148448041,.0110803321,.0149501665,.0181219112,.0189873409,.0113314446,.0135869561,.0241134744,.0162481535,.0156599544,.0138504151,.019097222,.0161725059,.0200803205,.0161290318,.0086830677,.0078988941
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,.,.,.,.5,.,.,0,.,.,.,.,0,.,.,.,0,.,0,2,.,.,.,.,.,.,0,.,.,.,0,.,0,0,.,.,.,0,.,.,0,.,18,.,.,.,.,.,.,1.222222209,.,.,.,.,.,.,.0393013097,.,0,.,.,.,.,.0187500007,.,.,.,.,.,.,.0278551541,.,.,.,.,.,.,.0260115601,.,.,.,.,.,.,.0222841222,.,.,.,.,.,.,.0230547544,.,.,.,.,.,.,.0257879663,.,.,.,.,.,.,.0244648326,.,.,.,.,.,.,.0232558139,.,.,.,.,.,.,.0171232875,.,.,.,.,.,.,.0214592274,.,.,.,.,.,.,.0173913036,.,.,.,.,.,.,.018779343,.,.,.,.,.,.,.0153061226,.,.,.,.,.,.,.0163934417,.,.,.,.,.,.,.0114942528,.,.,.,.,.,.,.0133333337,.,.,.,.,.,.,0,.,.,.,.,.,.,.0089285718,.,.,.,.,.,.,.010309278,.,.,.,.,.
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,.6142857075,.3363636434,.4545454681,.7938931584,.2482758611,.2574257553,1.198347092,.6932515502,.75,.8539325595,.4158415794,.1818181872,.2804054022,.3901734054,.4116161764,.4884615242,.2803970277,.2373333275,.2104072422,.3314447701,.6129870415,.4397321343,.571111083,.3442906439,.3102893829,.1465968639,.211350292,.4842249751,.2818791866,.2359963208,.2340597212,.2865979373,.1580838263,.1819248796,.2730989456,.404966563,.2947368324,.3161716163,.1408450752,.1554591507,.1666666716,.4473214149,.2877563834,.225529775,.1946484745,.1878224909,.0966709331,.1816091985,.2353530228,.5864661932,.338729769,.256462872,.1614583284,.0906024128,.1466445774,.2196830064,.3149466217,.1974436641,.1702702641,.1273655742,.0973227173,.1766599566,.2112879902,.2223505676,.1975125819,.2004958093,.1341421157,.3312182724,.2739083469,.2038036436,.2420756668,.1656911373,.1654394865,.1675480157,.0766360536,.1577192396,.1543224603,.1517509669,.1417536587,.1252393723,.1496851742,.0658307225,.1400641948,.1946075261,.1586206853,.1289297044,.1322067529,.114267543,.0516563728,.1059646085,.132951647,.1064925492,.1094364375,.1352692544,.1310657561,.0730864182,.0791064352,.1684462428,.1390600204,.1065123901,.1093471795,.1054382399,.0653427318,.0697674453,.136465326,.0693352371,.0877747238,.0998403728,.1286511272,.061133422,.0567769483,.1215430424,.1348186731,.1278488934,.1094116047,.0912672356,.0549802296,.1363109052,.1350051016,.1224455908,.0743067041,.0812095627,.0940601379,.0390510932,.0534888394,.1041897908,.1229137704,.0808538198,.0595885552,.0673922151,.0465691313,.067128174,.1057254374,.1019710079,.0786039457,.0821795464,.1036181673,.0774680078,.0460597351,.1236912981,.0981563702,.0695970729,.0929156318,.0748620927,.0521582738,.062447492,.127678901,.0975483432,.0885608867,.090080969,.0649490878,.0549645387,.0643885881,.1279495507,.0569584221,.0333554596,.1071428582,.0761633739,.0569145083,.0548534542,.1005250141,.1221296489,.0825332627,.0653647482,.0631429031,.0405288264,.0496270806,.1046533361,.1082716882,.0856632963,.0697556883,.0683820918,.0471869335,.836281836,.0987214446,.0850585029,.1162790731,.0828341246,.028062705,.0392433666,.0562221445,.1014307067,.099874638,.0715606511,.0775782242,.0636999831,.0277920738,.0502941161,.1248313114,.1033049673,0,.1878533959,.0886284187,.0487607755
