Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0519566983,.0519566983,.0519566983,.0519566983,.0519566983,.1073771715,.1350874156,.1350874156,.1350874156,.1350874156,.0900582746,.0969858319,.1281598508,.1281598508,.1281598508,.1177685112,.0900582746,.0900582746,.1558700949,.1558700949,.1801165491,.1731889844,.2008992285,.2008992285,.2043630034,.1593338698,.1593338698,.1662614346,.1143047363,.1143047363,.0831307173,.1004496142,.0554204769,.0762031525,.0727393776,.0900582746,.1073771715,.1004496142,.0865944922,.0865944922,.1073771715,.0900582746,.1108409539,.0900582746,.0900582746,.1350874156,.1489425302,.1662614346,.1662614346,.1766527742,.1974354535,.2493921518,.214754343,.214754343,.245928362,.2251456827,.1939716637,.2182181329,.2182181329,.2390008122,.1974354535,.1454787552,.1454787552,.1454787552,.2528559268,.2112905681,.2112905681,.1697252095,.1697252095,.1385511905,.1385511905,.1385511905,.2493921518,.2493921518,.1108409539,.1108409539,.2874937356,.640799284,.640799284,.640799284,.640799284,.640799284,.5299583077,.5299583077,1.735353708,1.735353708,1.558700919,1.205395341,1.205395341,1.205395341,1.205395341,1.205395341,2.909574986,2.909574986,1.704179645,1.704179645,1.704179645,1.704179645,2.819516659,2.819516659,2.819516659,2.819516659,2.677501678,2.677501678,2.677501678,2.677501678,2.677501678,2.677501678,1.562164664,3.100082874,3.539983034,3.539983034,1.977818251,1.977818251,1.977818251,3.290590763,4.000665665,6.068542004,6.484195709,4.946277618,14.45435333,14.93581867,16.6261425,17.59946442,18.89838219,19.89941597,22.48339462,21.15330315,21.55510139,22.33791542,12.38994026,11.90847492,12.67050648,12.64972401,12.1059103,10.66844177
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18864727,1.797466636,1.971415043,2.493260145,2.696199894,3.015105247,3.565941811,4.348709583,5.566348076,5.97222805,5.015511513,4.696606159,4.725597858,4.696606159,4.841563225,4.870554924,4.725597858,4.174761295,3.073088169,2.667208433,2.87014842,2.899139643,3.073088169,3.073088169,3.160062313,2.84115696,2.580234289,2.667208433,2.783174038,3.305019379,3.015105247,3.218044996,2.986114025,2.551243067,2.261328936,2.84115696,3.218044996,3.073088169,3.247036457,2.928131104,2.899139643,2.551243067,2.667208433,2.986114025,2.899139643,2.464268684,2.087380648,2.087380648,1.826457977,1.91343224,2.058389187,2.058389187,2.058389187,2.058389187,2.058389187,2.203346252,2.319311857,2.493260145,2.464268684,2.928131104,2.725191355,2.638217211,2.493260145,2.174354792,2.319311857,2.319311857,2.406286001,2.203346252,2.203346252,1.681501031,2.087380648,2.116372108,2.406286001,2.580234289,2.493260145,2.290320396,2.058389187,2.174354792,2.319311857,2.203346252,1.739483833,1.652509689,1.217638731,1.014698863,.8987333179,.7827677131,.7537763119,.4928537607,.2319311798,.1159655899,.2319311798,.260922581,.3189053833,.3768881559,.6378107667,.7247849107,.8987333179,1.159655929,1.362595677,1.536544085,1.623518229,1.797466636,2.058389187,1.971415043,1.91343224,1.88444078,1.739483833,1.681501031,1.507552624,1.449569821,1.275621533,1.18864727,.9567161202,1.101673126,1.072681665,1.18864727,1.101673126,.927724719,.9857075214,1.072681665,1.304612875,1.478561282,1.88444078,2.029397726,2.058389187,2.232337475,2.928131104
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0719497949,.0719497949,.0719497949,0,0,0,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,.0719497949,.0719497949,.0719497949,0,0,0,0,0,.7914477587,1.079246998,1.079246998,1.151196718,1.295096278,1.367046118,1.367046118,1.438995957,1.438995957,1.510945678,1.151196718,1.510945678,2.302393436,2.230443716,2.446293116,2.446293116,2.806041956,2.734092236,3.597489834,3.597489834,3.957238674,3.669439554,3.237740755,3.669439554,3.597489834,3.525540113,3.165791035,3.165791035,2.374343157,2.518242836,1.726795077,1.367046118,1.007297158,.5755983591,.2877991796,.2877991796,.2877991796,.2877991796,.2158493847,0,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,0,0,0,0,0,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,.0719497949,0,0,0,0,0,0,0,0,0,0,0,0,.2877991796,.4316987693,.4316987693,.4316987693,.4316987693,.4316987693,.5755983591,.5755983591,.5755983591,.7914477587,.5036485791,.3597489893,.3597489893,.6475481391,.6475481391,.6475481391,.5036485791,.5036485791,.5036485791,.2877991796,.2877991796,.2877991796,.5036485791,.2877991796,.2877991796,.2877991796,.2877991796,.2877991796,.2877991796,.2877991796,.4316987693,.5755983591,.3597489893,.2877991796,.5036485791,.5036485791
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5208414793,.6944553256,.6944553256,.6944553256,.6944553256,1.041682959,1.041682959,1.041682959,1.041682959,1.041682959,.5208414793,.3472276628,.3472276628,.3472276628,.3472276628,0,.1736138314,.1736138314,.1736138314,.1736138314,.1736138314,.3472276628,.3472276628,.3472276628,.3472276628,.5208414793,.3472276628,.3472276628,.3472276628,.3472276628,.3472276628,.1736138314,.1736138314,.1736138314,.1736138314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77093935,6.77093935,6.77093935,11.28489876,11.28489876,11.28489876,16.84054184,21.35450172,21.35450172,25.17400551,22.22257042,23.09063911,24.82677841,21.70172882,24.82677841,26.5629158,23.61148071,20.83366013,23.43786812,21.18088722,20.13920403,23.26425362,37.15335846,40.79925156,41.49370575,44.09791183,43.92430115,42.18815994,44.96598053,46.35489273,48.78548813,46.18127823,33.85469818,30.55603409,29.68796539,30.38241959,36.45890427,42.36177444,43.05622864,45.31320953,48.61187363,53.64667511,56.4244957,61.63291168,65.27880096,60.24399948,65.10518646,73.26503754,72.91780853,73.43865204,73.78588104
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.031149039,.031149039,.0778725967,.0778725967,.1401706785,.2180432677,.2336177826,.2959158719,.3270649016,.3426394165,.3582139313,.4360865355,.4360865355,.5139591098,.5295336246,.4672355652,.4828101099,.4516610503,.6541298032,.7008533478,.7787259817,.7008533478,.7787259817,.7943004966,.8410240412,.9656202197,1.136939883,1.183663487,1.214812517,1.354983211,1.635324478,2.024687529,2.118134499,2.538646698,2.491923094,2.647668362,2.709966421,3.130478382,3.239500046,3.426394224,3.504266739,3.301798105,3.457543373,3.301798105,3.37967062,3.519841433,3.800182581,3.410819769,3.441968679,3.052605867,3.550990343,5.528954506,5.388783455,6.650319576,8.223345757,7.989728451,7.69381237,7.724961758,7.678237915,9.188966751,8.612709045,6.883937359,7.195427895,6.074062347,4.719079494,5.66912508,6.042913437,6.198658466,6.868362904,6.650319576,8.59713459,9.843095779,10.54394913,11.83663464,12.95800018,13.33178806,13.87689686,15.74583912,16.05732918,16.63358688,16.75818253,16.78933144,18.53367805,19.46814919,20.40262032,20.58951378,20.83870697,20.57394028,22.25598717,22.73879814,22.64535141,23.51752472,22.69207382,22.41173363,23.08143806,24.54544258,25.55778694,25.82255363,24.17165375,23.65769386,22.80109596,23.12816048,24.09378052,23.78229141,23.25275803,22.22483826,22.0535183,21.85105133,22.56747818,23.12816048,24.04705811,23.29948044,22.25598717,21.66415596,21.11904716,20.9165802,21.27479362,21.41496468,21.75760269,21.43053818,21.15019798,21.71088028,21.88220024
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0143759316,.0287518632,.0862555876,.1725111753,.1725111753,.1581352502,.2012630403,.2012630403,.2443908453,.2443908453,.2443908453,.2875186205,.2300149053,.1437593102,.1581352502,.2587667704,.2156389803,.2875186205,.3306464255,.4025260806,.5031576157,.575037241,.6469169259,.8050521612,.8913077712,.7906762362,.9056836963,.9631873965,.8769318461,.9631873965,.8913077712,.8194280863,.848179996,.747548461,.7187966108,.8194280863,.7906762362,.7187966108,.761924386,.747548461,.7906762362,.7763003111,.8050521612,.7763003111,.8338040113,.8050521612,.7763003111,.9631873965,1.078194857,1.106946707,1.236330152,1.308209777,1.667608023,1.768239617,2.170765638,2.645171404,2.731426954,2.630795479,2.630795479,3.220208645,3.17708087,3.220208645,2.875186443,2.932690144,2.400780678,1.926374793,2.012630463,2.487036228,2.731426954,1.983878613,2.041382313,1.955126762,1.940750718,1.955126762,1.998254538,2.257021189,2.400780678,1.955126762,1.638856173,1.969502687,2.472660303,3.55085516,3.881501436,4.010884762,4.226523876,4.35590744,4.514042377,4.801561356,5.002824306,4.873440742,4.284027576,3.32084012,2.947066069,2.688299179,2.731426954,2.731426954,2.400780678,2.127637863,2.113261938,2.142013788,2.400780678,2.285773039,2.400780678,2.587667704,2.501412153,2.472660303,2.860810518,4.140268326,6.196026325,9.905016899,13.15397739,15.03722477,16.04353905,17.16486168,18.51619911,19.27812386,20.34194374,20.47132683,20.06879997,17.98429108,15.51163006,17.8405304,20.05442429,21.26200294,23.76341438,28.2630825
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0031260496,.0031260496,.0031260496,.0031260496,.0031260496,.0031260496,.0031260496,.0031260496,.0031260496,.0437646955,.0468907431,.0468907431,.0468907431,.162554577,1.22853744,1.22853744,1.67556262,1.67556262,2.8540833,3.047898293,3.066654682,4.016973495,4.117007256,4.329578876,3.673108339,4.204536915,3.941948414,6.580334187,6.11142683,6.624099255,16.01475143,16.38049889,16.72749138,16.79626465,16.8775425,16.38987732,16.3461132,14.94251728,14.46423149,14.65804672,6.152065754,5.889477253,7.79949379,10.08463573,10.74423218,12.96372795,16.90254974,19.1564312,21.66664886,23.80799294,29.50678253,31.14483261,30.73844528,31.91383934,34.21148682,35.25246048,34.04267883,33.68005753,33.52375412,36.68106461,33.58940125,31.9888649,35.30560303,50.88583374,64.45601654,66.21285248,67.28508759,73.74663544,77.03836823,74.40623474,77.00710297,86.11641693,91.08058167,82.11194611,76.52256775,73.84041595,73.95920563,66.71614838,70.41114044,79.02340698,82.2401123,83.03412628,83.70623016,83.66871643,82.78404236,96.35422516,106.0418549,118.4022522,123.1819839,123.013176,125.6515656,132.7758331,132.5538788,130.1499481,133.141571,140.6284637,123.5977478,119.3744583,114.766655,112.569046,99.45839691,108.164444,110.6684036,115.0636292,111.4092789,98.52683258,113.4068298,114.9667282,116.9611435,118.8899155,133.5823517,118.2053146,115.3949966,114.8823242,114.5478363,112.8597717,112.2470627,109.4554977,109.8993988,105.1603088,101.4184265,104.3319016,103.2971802,104.2162399,106.7639694,107.6705246,108.1425629,109.8337555,109.214798,113.0442047,103.2315369,115.2136841,120.5560989,119.934021,119.0681,121.3970108,109.9400406,109.0397339,119.5463867,120.8780823,134.526413
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0239413548,.0239413548,.0478827097,.0478827097,.0478827097,.0957654193,.0957654193,.2154721916,.2154721916,.2154721916,.2154721916,.2872962356,.2633548975,.2633548975,.2872962356,.2872962356,.2872962356,.1675894707,.1915308386,.3351789415,.4548857212,1.149184942,1.41253984,1.484363914,2.011073828,2.537783623,2.968727827,3.567261696,4.477033138,4.979801655,5.793807507,6.176869392,6.368400097,6.296576023,8.547063828,7.97247076,9.265303612,9.839896202,10.00748634,9.815955162,8.858301163,7.709115982,11.61155701,12.47344589,10.31872368,10.31872368,95.14294434,98.42290497,97.32160187,128.8044891,129.9057922,130.2170258,125.8596954,124.9978104,124.3753357,124.3753357,40.53271103,36.07962036,37.30062866,6.081103802,5.075567245,4.764329433,4.764329433,7.158464909,31.07587814,31.07587814,32.22506332,77.09116364,78.26428986,77.5460434,77.45027924,77.56998444,79.96411896,79.96411896,65.57537079,67.96950531,68.49621582,27.46073341,35.02619934,35.02619934,101.6310501,101.5113373,99.28479767,96.89066315,87.52958679,85.13545227,80.94571686,90.92926025,80.9696579,80.9696579,21.66692543,22.38516617,24.6117115,24.75535965,35.81626511,38.21039963,40.41300583,29.59151268,33.18271637,37.97098923,42.63955307,53.89198685,71.03399658,76.27715302,66.2217865,80.34718323,95.74147797,115.9240341,136.0108337,149.0349274,157.8692932,166.9669952,165.3389893,177.9082031,186.8862152,186.5989075,192.129364,192.6082001,185.258194,189.2564087,193.5179596,189.3521729,192.4166565,191.7941895,198.4498901,205.0816345,207.9785461,211.4979248,216.7650146,217.6508484,214.4905853,220.4998627,224.7853699,237.0672913
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0618667044,.0618667044,.0618667044,.0618667044,.0618667044,.0618667044,.0928000584,.0928000584,.0928000584,.1082667336,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0464000292,.0154666761,.0154666761,.0154666761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96960187,2.96960187,2.96960187,2.96960187,2.96960187,2.96960187,2.96960187,5.614403248,5.614403248,5.614403248,2.644801617,2.644801617,2.644801617,2.644801617,2.644801617,2.644801617,2.644801617,0,0,0,0,9.017072678,9.017072678,9.017072678,9.017072678,9.017072678,9.017072678,9.017072678,13.42507458,13.42507458,13.42507458,4.408002853,4.408002853,4.408002853,4.408002853,4.408002853,4.408002853,4.408002853,0,0,0,0,0,0,0,0,0,0,0,11.67734051,11.67734051,11.67734051,11.67734051,11.67734051,11.67734051,11.67734051,16.14720917,16.14720917,16.14720917,4.469869614,4.469869614,4.469869614,4.469869614,7.717871666,7.717871666,7.717871666,3.248002052,3.248002052,3.248002052,3.248002052,3.248002052,3.248002052,3.248002052,0,0,0,0,6.511470795
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0007924509,.0007924509,.0007924509,.0007924509,.0007924509,.0007924509,.0007924509,.0031698034,.0031698034,.0031698034,.0023773527,.0023773527,.0023773527,.0023773527,.0023773527,.0023773527,.0023773527,0,0,0,0,0,0,0,0,0,0,.0245659761,.0245659761,.0245659761,.0245659761,.4984515905,.4984515905,.4984515905,.4984515905,.4984515905,.4984515905,.4738856256,.4738856256,.4738856256,1.376487136,.9588655829,1.054752111,1.182336688,1.182336688,1.182336688,1.182336688,1.580147028,1.580147028,1.580147028,.6775454879,.6212815046,.5253949165,3.981273174,4.9361763,5.51625061,7.368208408,6.970397949,6.970397949,7.726396084,7.726396084,8.574318886,8.574318886,7.655868053,7.470434189,6.890360355,7.045680523,8.242281914,8.242281914,8.497450829,10.74404907,10.73216248,11.90895176,10.80982208,11.14740658,12.32102585,11.94540405,12.28378105,13.1507225,13.5128727,12.88208103,13.81558895,14.66351128,15.05735874,15.7380743,16.24920464,16.3664875,17.17874908,18.09006882,18.71768951,19.63217735,20.06881905,20.36677933,20.05376244,20.70911789,21.39300346,21.97783279,22.68786812,23.37809372,23.89873314,23.95816803,24.66661835,24.88137245,25.78635216,27.30072403,27.39027214,27.52102661,27.37680054,28.28257179,29.26045609,29.55603981,30.51490593,31.35569572,32.64025879,31.75350571,32.83361816,33.45489883,33.65221786,34.63723373,34.61742401,34.89240265,35.16421509,36.21421051,37.43300247,37.68262482,38.03684998,38.60503769,39.36103439,39.21126175,40.27076721,40.67650223,40.53227615,40.22163773,39.70654297,41.56721878,41.88499069,43.39857101,45.10868073,27.98381805,29.90313339,29.75732231,27.92755318,28.01551628,29.75811577,28.88562584,29.74939728,31.38739395,29.24381447,47.22769547,45.17683029,47.31565475,51.28742218,53.15205765,55.51910782,54.38194275
