Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0069256788,.0069256788,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0138513576,.0069256788,.0069256788,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,.0207770355,0,.0277027152,.0277027152,.0277027152,.0277027152,.0277027152,.0484797508,.0554054305,.0554054305,.0554054305,.083108142,.0623311065,.0623311065,.0623311065,.0623311065,.0623311065,.041554071,.083108142,.083108142,.083108142
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0115261674,.0115261674,.0172892511,.0288154185,.0403415859,.0403415859,.1383140087,.1440770924,.1613663435,.1728925109,.1613663435,.1613663435,.1556032598,.1440770924,.132550925,.1498401761,.0518677533,.057630837,.0403415859,.0288154185,.0403415859,.0403415859,.0403415859,.0691570044,.0691570044,.0518677533,.1210247576,.1152616739,.2247602642,.2305233479,.2362864316,.2362864316,.3169696033,.3400219381,.3515481055,.397652775,.3342588544,.3573111892,.2478125989,.2420495152,.26510185,.26510185,.1844186783,.4725728631,.4898621142,.4668097794,.4610466957,.4610466957,1.066170454,1.262115359,1.221773744,1.221773744,1.221773744,.8817517757
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.006922856,.0207685679,.0207685679,.0536521338,.0536521338,.0536521338,.0536521338,.0536521338,.0865356997,.0865356997,.1574949771,.1436492652,.1436492652,.1107656956,.1107656956,.1107656956,.1107656956,.6559405923,.6230570674,.6230570674,.5451748967,.5451748967,.5451748967,1.398416877,1.398416877,1.398416877,1.398416877,1.116310596,1.116310596,1.116310596,1.839748979,1.839748979,1.839748979,.9865069985,.9865069985,2.024935484,2.024935484,1.761866808,2.296657562,2.585686684,1.862248302,2.20319891,2.20319891,2.907599449,2.907599449,1.869171143,3.305663824,3.634499311,3.4181602,3.12913084,3.800647974,5.070991993,5.775392532,5.75462389,6.668441296,7.173809528,6.883049488,8.26762104,7.949169636,9.94641304,9.274896622,9.387392998,10.09698582,10.83946228
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,.0035089336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0140357343,.0140357343,.0140357343,.0350893363,.0350893363,.0315803997,.0315803997,.0315803997
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0541917309,.0541917309,.0541917309,.0541917309,.3251504004,.5419173241,.5419173241,.5419173241,.8670676947,1.246409774,1.192218065,1.246409774,1.571560264,1.571560264,2.492819548,2.601203203,2.601203203,2.601203203,2.70958662,2.330244541,3.034736872,3.251503944,3.414079189,3.901804686,3.847612858,3.793421268,4.335338593,5.47336483,5.202406406,5.364981651,4.714680672,6.340432644,7.532650471,7.966184616,8.020376205,7.749417782,10.7299633,12.03056431,13.06020737,17.61231232,17.55812073,19.56321526,17.88327217,20.21351624,20.70124054,20.80962563,18.15423012,15.71560192,15.55302715,10.83834648,10.83834648,6.990733147,6.990733147,7.966184616,6.286241055,6.340432644,5.47336483,6.015282154,5.14821434,5.47336483,5.47336483
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0052333884,.0052333884,.006280066,.006280066,.006280066,.006280066,.006280066,.006280066,.006280066,.006280066,.0083734216,.0083734216,.0073267436,.0073267436,.0094200987,.0094200987,.0094200987,.0094200987,.0094200987,.0094200987,.0020933554,.0020933554,.0020933554,.0020933554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0010466777,.0010466777,.0010466777,.0010466777,.0010466777,.0041867108,.0041867108,.0052333884,.0094200987,.0408204272,.0429137833,.0481471717,.0607073046,.0711740777,.0764074698,.0732674375,.0785008222,.1067611203,.1057144403,.0764074698,.0900142789,.0847808942,.0722207576,.0638473406,.0826875344,.0847808942,.0858275667,.0785008222,.0785008222,.0774541497,.0732674375,.0753607899,.0826875344,.0816408545,.0533805601,.0565205924,.0502405278,.0282602962,.0219802316,.0209335536,.0052333884,.003140033,-.0041867108,-.0052333884,-.0010466777,.0073267436,.0073267436,.0083734216,.0198868755,.0198868755,.0230269078,.0314003304,.0345403627,.0345403627,.0429137833,.0293069743,.0293069743,.0282602962,.0230269078,.0230269078,.0230269078,.0177935194,.0157001652,.0157001652,.0073267436,.012560132,.012560132
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0519566983,.0519566983,.0519566983,.0519566983,.0519566983,.1073771715,.1350874156,.1350874156,.1350874156,.1350874156,.0900582746,.0969858319,.1281598508,.1281598508,.1281598508,.1177685112,.0900582746,.0900582746,.1558700949,.1558700949,.1801165491,.1731889844,.2008992285,.2008992285,.2043630034,.1593338698,.1593338698,.1662614346,.1143047363,.1143047363,.0831307173,.1004496142,.0554204769,.0762031525,.0727393776,.0900582746,.1073771715,.1004496142,.0865944922,.0865944922,.1073771715,.0900582746,.1108409539,.0900582746,.0900582746,.1350874156,.1489425302,.1662614346,.1662614346,.1766527742,.1974354535,.2493921518,.214754343,.214754343,.245928362,.2251456827,.1939716637,.2182181329,.2182181329,.2390008122,.1974354535,.1454787552,.1454787552,.1454787552,.2528559268,.2112905681
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0151720215,.0151720215,.0212408286,.0212408286,.0212408286,.03641285,.0758601055,.0758601055,.0758601055,.0910321251,.0758601055,.0758601055,.0697912946,.0940665305,.1062041447,.0910321251,.1244105697,.1820642501,.224545911,.2336491197,.300406009,.3823349178,.4976422787,.5674335957,.6645345092,.9558373094,1.165211201,1.444376349,1.583958983,1.820642471,2.002706766,2.233321428,2.421454668,2.642966032,2.646000385,2.594415665,2.491245747,2.300078392,2.378973007,2.409317017,2.39111042,2.31828475,2.375938416,2.275803089,2.269734383,2.354697704,2.242424726,2.297044039,2.218149424,1.993603587,1.929881096,1.793332934,1.635543823,1.492926836,1.489892483,1.271415353,1.462582827,1.383688331,1.301759362,1.3624475,1.283553004
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,.0009183088,0,0,.0006122058,.0006122058,.0006122058,.0006122058,.0009183088,.0009183088,.0009183088,.0012244117,.0012244117,.0012244117,.0006122058,.0006122058,.0006122058,.0006122058,.0003061029,.0003061029,.0003061029,0,.0003061029,.0003061029,.0015305147,.0015305147,.0015305147,.0015305147,.0030610294,.0030610294,.0299980864,.034895733,.0425483063,.0514252931,.0508130863,.0508130863,.1028505862,.1068299189,.2032523453,.260799706,.2960015237,.7787258625,1.682647824,2.096192837,2.539429903,2.700746059,2.864817381,4.374516964,5.132427692,5.727797985,6.333575726,6.39571476,6.050430298,6.66263628,6.97792244,7.34249115,10.33862591,10.13537407,10.60585403,10.750947,11.25907803,12.63623524,13.75228596,13.32741547,13.44832611,13.58423615,11.24040604,15.70797825,14.77742481,16.00459099,16.18641663,15.64063549,15.42238331,24.98350906,27.18530655,30.002985,30.59468079,26.96797371,27.371418,25.38266754,25.59387779,25.42399025,28.10453415,19.04633713,21.0347805,16.8065815,19.36958122,18.13170052,18.65880966,24.01867294,23.64002228,25.76927567,23.52645874,23.91980171,20.10637093,36.68582535,36.06167984,36.83091736,39.30667877,35.66894913
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18864727,1.797466636,1.971415043,2.493260145,2.696199894,3.015105247,3.565941811,4.348709583,5.566348076,5.97222805,5.015511513,4.696606159,4.725597858,4.696606159,4.841563225,4.870554924,4.725597858,4.174761295,3.073088169,2.667208433,2.87014842,2.899139643,3.073088169,3.073088169,3.160062313,2.84115696,2.580234289,2.667208433,2.783174038,3.305019379,3.015105247,3.218044996,2.986114025,2.551243067,2.261328936,2.84115696,3.218044996,3.073088169,3.247036457,2.928131104,2.899139643,2.551243067,2.667208433,2.986114025,2.899139643,2.464268684,2.087380648,2.087380648,1.826457977,1.91343224,2.058389187,2.058389187,2.058389187,2.058389187,2.058389187,2.203346252,2.319311857
