Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1731889844,.1731889844,.1731889844,0,0,.1847349256,.277102381,.277102381,.0923674628,0,.0230918657,.0461837314,.1500971317,.1270052642,.1039133966,.1500971317,.1500971317,.1500971317,.2193727195,.2193727195,.3232861161,.1039133966,.3001942635,.196280852,.2078267932,.0115459329,.0115459329,.0230918657,.0692755952,.0692755952,.0461837314,.0577296652,.1039133966,.1731889844,.1154593304,.1270052642,.1154593304,.1154593304,.0577296652,0,.0692755952,.0692755952,.1847349256,.1154593304,.1154593304,.2078267932,.3117401898,.3694698513,.1616430581,.0923674628,.1731889844,.3463779688,.3117401898,.1731889844,.1039133966,.2424645871,.2424645871,.277102381,.1385511905,.2424645871,.1039133966,.1039133966,0,0,.4618373215,.4618373215,.4618373215,0,0,0,0,0,.3694698513,.3694698513,.3694698513,0,.5888425708,1.766527653,1.766527653,1.177685142,0,0,0,0,4.01798439,4.01798439,4.01798439,0,0,0,0,0,5.680598736,5.680598736,5.680598736,0,0,0,3.717790365,3.717790365,3.717790365,0,5.207215786,5.207215786,5.207215786,0,0,0,0,5.126394272,6.592727661,6.592727661,1.466333508,0,0,4.375908375,6.742824554,13.63574696,10.6453495,8.2784338,34.54542923,34.76480484,40.39921951,10.48370647,13.20854664,15.28681469,23.02259064,21.1521492,16.16430664,7.793504715,5.334220886,2.609380722,8.174520493,11.34965229,13.86666489,8.613265991,8.567082405,9.790950775,10.30474472
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.962157726,5.991555214,6.571383476,4.348709583,2.995777607,3.478967667,3.575605631,5.508365631,8.504142761,8.020953178,6.184831619,3.09241581,2.415949821,3.285691738,3.478967667,3.962157726,3.672243595,3.285691738,2.512587786,1.159655929,1.836121798,2.512587786,3.768881559,3.962157726,4.348709583,3.189053774,2.029397726,1.642845869,2.319311857,3.575605631,2.995777607,3.962157726,2.705863714,2.415949821,1.159655929,2.705863714,4.252071381,4.348709583,3.672243595,2.60922575,2.415949821,1.642845869,1.836121798,2.705863714,2.319311857,2.029397726,1.256293893,1.642845869,1.546207905,2.029397726,2.319311857,2.415949821,2.319311857,2.705863714,2.319311857,2.512587786,2.12603569,3.09241581,2.415949821,4.058795452,3.09241581,2.995777607,.8697419167,.8697419167,1.256293893,1.932759762,2.899139643,2.705863714,2.029397726,1.642845869,2.705863714,2.705863714,3.285691738,2.512587786,2.512587786,1.546207905,1.159655929,1.642845869,2.12603569,2.12603569,1.256293893,.4831899405,0,.0966379941,0,.0966379941,.2899139822,.2899139822,.2899139822,0,.3865519762,.5798279643,.6764659286,.5798279643,1.256293893,1.449569821,2.029397726,2.029397726,2.415949821,2.12603569,1.932759762,2.029397726,2.415949821,1.739483833,1.642845869,.8697419167,1.256293893,1.256293893,1.159655929,1.159655929,.5798279643,.9663798809,.7731039524,1.159655929,1.256293893,1.642845869,1.256293893,.7731039524,.4831899405,1.063017845,1.836121798,2.60922575,3.478967667,3.575605631,3.189053774,2.802501678,4.252071381,5.2184515,5.411727428,4.493666649
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2398326546,.2398326546,.2398326546,-.2398326546,-.2398326546,-.2398326546,.2398326546,.2398326546,.2398326546,0,0,0,0,0,0,0,0,0,0,0,0,2.638159275,3.597489834,3.597489834,1.199163318,.7194979787,.9593306184,.7194979787,.4796653092,.2398326546,.4796653092,1.678828597,3.837322474,6.235649109,4.796653271,3.837322474,1.438995957,2.638159275,1.438995957,4.077155113,3.117824554,5.755983829,4.077155113,5.036485672,3.837322474,3.597489834,2.398326635,.9593306184,0,.2398326546,.9593306184,.9593306184,.7194979787,0,0,0,0,0,0,0,0,.2398326546,.2398326546,.2398326546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2398326546,.2398326546,.2398326546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.9593306184,1.438995957,1.438995957,.4796653092,0,0,.4796653092,.4796653092,.4796653092,.7194979787,.7194979787,.7194979787,0,.9593306184,.9593306184,.9593306184,0,0,0,0,0,0,.7194979787,.9593306184,.9593306184,.2398326546,0,0,0,0,.4796653092,.9593306184,.9593306184,.4796653092,.7194979787,.7194979787,.7194979787,0,0
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.736138344,2.314851046,2.314851046,.5787127614,0,1.157425523,1.157425523,1.157425523,0,0,0,0,0,0,0,0,.5787127614,.5787127614,.5787127614,0,0,.5787127614,.5787127614,.5787127614,0,.5787127614,.5787127614,.5787127614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56979752,22.56979752,22.56979752,15.04653168,15.04653168,15.04653168,18.51880836,33.56534195,33.56534195,27.7782135,25.46336174,28.35692596,21.41237259,13.31039333,20.83366013,20.83366013,24.88464928,20.25494766,23.14850998,19.67623329,23.14850998,27.7782135,74.65394592,82.17721558,81.59850311,43.9821701,35.30147934,22.56979752,26.0420742,27.7782135,45.13959503,31.82920265,32.98662949,21.41237259,26.62078667,32.40791702,54.97771454,64.81583405,68.28810883,57.29256439,65.97325897,67.1306839,70.02424622,64.81583405,65.39454651,45.13959503,66.55197144,91.43661499,110.5341415,85.07077789,67.70939636,76.96879578,126.7380981,145.8356171
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1038301289,.1038301289,.2595753074,.1557451934,.3634054363,.4672355652,.5191506147,.5191506147,.3634054363,.3634054363,.3114903867,.4672355652,.5710657239,.674895823,.674895823,.5710657239,.4153205156,.2595753074,.9863862395,1.090216398,1.401706696,.6229807734,.8306410313,.7268108726,1.142131448,1.194046497,1.557451963,1.401706696,1.817027211,1.817027211,2.90724349,3.322564125,3.374479055,3.737884521,2.699583292,2.959158659,2.128517628,3.530224323,3.78979969,4.205120087,4.153204918,3.530224323,3.478309393,3.062988758,2.959158659,3.166818857,3.78979969,3.634054422,3.530224323,1.713197112,4.620440483,10.48684311,11.26556873,13.39408684,11.94046497,11.83663464,7.268108845,1.972772479,2.491923094,6.697043419,7.57959938,7.839174747,4.620440483,4.931931019,4.724270821,6.748958111,7.164278984,6.904703617,6.489383221,8.721731186,15.57451916,17.75495148,17.59920692,15.73026466,15.10728359,16.04175568,13.96515179,16.19750023,15.57451916,17.91069794,18.9489975,20.19495964,23.93284416,24.76348495,27.1515789,22.89454269,18.53367805,16.76856613,21.12943077,24.24433517,25.85370255,24.40007973,23.77709961,23.98476028,25.69795609,29.07243538,29.02052116,25.90561676,19.88346863,17.91069794,15.78217983,20.9217701,25.23072052,27.25540924,26.11327744,22.84262848,23.25794792,21.23326111,21.02560043,21.492836,23.10220337,23.36177826,22.32347679,19.31240463,18.84516907,18.3779335,21.96007156,22.21964836,23.82901382,22.01198769,22.21964836,23.20603371,23.82901382,24.76348495,22.16773224,21.96007156
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0479197726,.0479197726,.0479197726,0,0,0,.0479197726,.2395988554,.5271174908,.4791977108,.2875186205,.1437593102,.1437593102,.2875186205,.1437593102,.1437593102,.1916790903,.1916790903,.1916790903,.0479197726,.3833581805,.3833581805,.575037241,.5271174908,.766716361,.8625559211,1.006315231,1.006315231,1.197994351,1.102154732,.8625559211,.7187966108,.8146361113,.8146361113,.9583954215,.6229570508,.8146361113,.6229570508,.7187966108,.766716361,.766716361,.8625559211,.8146361113,.6229570508,.8146361113,.8625559211,.8625559211,.8146361113,.670876801,.9583954215,.766716361,.8625559211,1.245914102,1.533432722,1.916790843,1.773031592,1.629272223,2.683507204,2.443908453,3.833581686,4.025260925,4.073180676,2.779346704,1.485512972,3.546063185,3.593982935,3.593982935,1.533432722,1.629272223,1.102154732,.8625559211,1.006315231,3.066865444,4.169020176,3.450223684,2.108469963,1.006315231,1.389673352,1.341753602,1.245914102,1.916790843,2.491828203,2.923106194,2.108469963,2.012630463,3.833581686,7.379644871,7.763002872,6.46916914,3.498143435,3.498143435,4.169020176,4.839897156,4.264859676,3.210624695,2.108469963,1.773031592,1.341753602,1.150074482,1.533432722,2.779346704,3.210624695,2.827266455,2.204309464,2.348068953,3.018945694,2.348068953,2.204309464,1.773031592,2.252229214,3.018945694,4.121100426,8.290120125,14.61553097,25.82875633,33.06464386,31.8187294,22.66605186,15.14264774,13.84881401,13.80089474,14.71137047,14.80720997,17.25111771,17.96991539,16.53232193,24.39116478,29.56649971,34.31055832,33.59175873,41.16308594,41.83396149,34.74183655,23.64840698
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.010420165,.010420165,.010420165,0,0,0,0,0,0,.13546215,.1563024819,.1563024819,.02084033,.385546118,3.938822508,3.938822508,5.043359756,1.490083575,5.418486118,4.709914684,4.793275833,4.032603741,3.584536791,4.595293045,2.792604208,4.230587006,3.751259565,11.18083763,11.77478695,13.65041637,36.24133301,38.2628479,37.26251221,7.200334072,4.449410439,3.105209351,2.250755787,4.730754852,5.355965137,8.023527145,6.939830303,9.680333138,14.40066814,20.30890274,20.63192749,20.31932259,24.97713661,32.77141953,34.36570358,31.04167175,41.44099808,41.27427292,37.50217438,28.33242989,30.85410881,35.36603928,32.07326889,30.99999237,28.6033535,39.83629227,41.13881302,36.15797424,32.91730118,85.98720551,139.0779419,138.390213,86.73745728,61.9687233,64.68838501,63.57342911,52.00704575,66.4181366,88.49846649,103.003334,107.0984573,80.92300415,59.56166458,29.28066444,53.25746536,80.45409393,103.7535858,108.4947586,104.107872,107.7653503,106.2648468,123.0829926,134.1387939,148.0080261,142.6833191,137.025177,127.9179459,140.4742432,135.9102173,122.759964,107.4840012,149.9982758,112.2981186,102.1176224,56.47729492,100.2628326,61.53107452,118.4668579,129.5747528,174.7774353,118.3001328,109.5263596,106.7754364,113.975769,117.9250107,118.5398026,123.5831604,122.6140823,117.9250107,112.4440002,106.1085434,101.0755997,97.99123383,97.00131989,108.0571136,94.9172821,96.79291534,104.0557709,111.714592,121.77005,114.2154312,115.6534119,111.0789642,107.2339172,113.2046738,111.2561035,74.78552246,124.0520706,136.7542419,177.4449921,127.0634918,118.4564362,77.76569366,73.80603027,107.0359344,147.7162628,159.7411346,127.5740814,127.6053467,123.1663513
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0798045099,.0798045099,.1596090198,.0798045099,.0798045099,.1596090198,.1596090198,.5586315989,.3990225792,.3990225792,.0798045099,.3192180395,.3192180395,.2394135445,.0798045099,.2394135445,.2394135445,.1596090198,.0798045099,.5586315989,1.037458658,3.511398554,3.910421133,3.671007633,2.952766895,3.990225554,5.18729353,5.34690237,6.543970108,7.262210846,8.459278107,9.177518845,8.539082527,5.34690237,10.85341358,9.337127686,15.08305264,9.656346321,13.32735348,9.097714424,5.18729353,1.516285777,14.52442169,17.39738464,19.55210495,5.027684212,290.6480408,303.3369446,303.3369446,121.3028564,110.1302261,111.1676865,4.708466053,1.037458658,.0798045099,.0798045099,9.097714424,9.017910004,13.08794022,6.464165688,6.783383846,2.713353395,.3192180395,7.980451107,87.78496552,87.78496552,92.65303802,162.4021912,170.3826294,157.5341034,7.980451107,.3990225792,8.379473686,16.35992432,47.80290222,47.80290222,54.4266777,35.35340118,60.57162476,45.9673996,255.2148285,222.0161591,222.5747833,.5586315989,1.197067738,.638436079,1.276872158,46.68563843,46.68563843,46.04720306,24.3403759,26.73451233,34.71496201,10.85341358,45.9673996,45.9673996,53.46902466,25.93646622,29.92669296,37.90714264,67.83383942,95.76541901,144.9250031,122.9787521,87.06672668,77.01135254,118.35009,191.6106415,215.4721832,215.5519867,207.6513367,198.952652,199.2718658,189.7751312,153.4640808,147.8777618,165.7539673,210.6839142,211.0031281,205.9754486,210.6839142,212.5992279,209.8060608,184.0292053,183.7897949,190.0943451,219.701828,254.1773682,249.9477386,238.2164764,220.6594849,225.0487213,233.5878143,259.2848511,299.5861511,284.5030823,278.6773682
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2062223554,.2062223554,.2062223554,0,0,0,.1031111777,.1031111777,.1031111777,.0515555888,.0515555888,.0515555888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.898673058,9.898673058,9.898673058,0,0,0,0,8.816005707,8.816005707,8.816005707,0,0,0,0,0,0,0,0,0,0,0,30.05690765,30.05690765,30.05690765,0,0,0,0,14.69334221,14.69334221,14.69334221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.92446899,38.92446899,38.92446899,0,0,0,0,14.89956474,14.89956474,14.89956474,0,0,0,0,10.82667351,10.82667351,10.82667351,0,0,0,0,0,0,0,0,0,0,0,21.70490265,21.70490265,21.70490265,0
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.002641503,.002641503,.002641503,0,0,0,0,.0079245083,.0079245083,.0079245083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0818865895,.0818865895,.0818865895,0,1.579618692,1.579618692,1.579618692,0,0,0,0,0,0,3.008671761,3.196218491,3.515840292,.9324505329,.7449038029,.4252819717,0,1.326034427,1.326034427,1.326034427,0,0,0,11.94487572,15.12788677,17.06146812,11.28978348,8.106772423,6.173192501,2.519993782,2.519993782,5.346401691,2.826408148,11.7097826,11.44827366,11.44827366,9.255825996,10.67959595,10.67959595,7.35922718,10.8592186,13.64600372,14.19807816,11.92902756,12.8324213,12.82185555,13.04109955,14.46751118,13.44524956,12.5841198,12.85355282,15.86222458,18.03354073,19.17995262,19.2407074,18.10750198,17.40486336,19.26976395,19.58146095,20.4214592,21.03164673,22.4580574,23.53050804,20.58523178,21.37504196,21.52824783,23.81843185,25.86559677,26.19842529,26.82446289,25.26597595,26.7531414,26.80597115,26.67918015,30.15539742,29.8912468,29.6006813,26.11918068,29.1727581,32.62256241,32.53010941,34.19425583,33.79010391,36.95990753,34.28406525,34.81764984,32.31614685,32.44822311,35.18481827,36.49764633,36.66405869,35.95085526,39.11273193,45.42856598,42.67876053,40.89310455,36.22293091,38.04292297,39.09952545,42.05008316,41.04895401,40.35424042,38.94895935,42.19536591,46.12856674,46.43762207,48.52968979,49.84780121,-7.237718105,-2.934709787,-10.12223911,40.16669464,32.6568985,42.19800949,49.32214355,52.21722794,53.96062088,51.04175949,51.02326965,43.0300827,50.11723328,53.69911194,59.24098587,69.54284668,59.63721085,50.81459045,31.35199738,31.17105484
