Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.023085596,.023085596,.0461711921,.023085596,.023085596,0,0,0,0,0,0,0,.0692567825,.0692567825,.0692567825,0,0,0,0,0,0,0,0,.0923423842,.0923423842,.0923423842,0,0,.0692567825,.0923423842,.0923423842,.023085596,.0923423842,.1154279783,.1154279783,.023085596,0,0,0,.1615991741,.1615991741,.1615991741,0,.0692567825,.0692567825,.0923423842,.023085596,.023085596,0,0,.0461711921,.0692567825
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.038420558,.038420558,.057630837,.057630837,.0960513949,.076841116,.3649953008,.3457850218,.4034158587,.1152616739,.0960513949,.038420558,0,0,0,.057630837,.057630837,.0960513949,.038420558,.038420558,.038420558,.038420558,.038420558,.0960513949,.0960513949,.0960513949,.2305233479,.2497336268,.6147289276,.4034158587,.4418364167,.076841116,.3265747428,.4418364167,.4802569747,.3649953008,.2113130689,.2689439058,.1152616739,.0960513949,.1344719529,.1344719529,.1344719529,1.133406401,1.229457855,1.306298971,.1728925109,.1728925109,2.113130569,2.766280174,2.67022872,.6531494856,0,0,8.51015377,8.51015377,8.51015377,0,0,2.554967165,2.554967165,2.554967165,0,0
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.023076186,.0692285597,.0692285597,.1557642668,.1096118912,.1096118912,0,0,.1096118912,.1096118912,.3692189753,.2596071064,.2596071064,0,0,0,0,1.817249656,1.817249656,1.817249656,0,0,0,2.844140053,2.844140053,2.844140053,0,.8768951297,.8768951297,.8768951297,2.411461592,2.411461592,2.411461592,0,0,3.461427927,3.461427927,3.461427927,1.78263545,2.746066332,2.746066332,2.099932909,1.136502147,3.484504223,2.348001957,2.348001957,4.78830862,5.884427547,6.945932388,2.157623529,3.29989481,7.609372616,9.957374573,9.997757912,7.672832012,7.009391785,8.54972744,11.21502686,9.530465126,12.3688364,6.657479763,12.40345001,10.45928192,15.21297646,13.56302929,14.15147114,13.56879807,15.37450981,14.07070446,12.68036461,12.67459583,16.57447052,23.19156837,25.94340324
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0116964448,.0116964448,.0116964448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0467857793,.0467857793,.0467857793,.0701786727,.0701786727,.058482226,-.0116964448,-.0116964448,0,.0116964448,.0116964448,.0350893363,.0350893363,.0350893363,.0233928896,.0350893363,.0350893363,.0350893363
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1806391031,.1806391031,.1806391031,0,.9031955004,1.625751972,1.625751972,.7225564122,1.083834648,2.348308325,2.348308325,1.445112824,1.264473677,1.264473677,5.057894707,5.057894707,5.057894707,1.083834648,1.445112824,1.445112824,3.793421268,3.251503944,4.877255917,4.154699326,7.044925213,6.322368622,6.503007889,6.503007889,6.141729355,4.877255917,1.264473677,7.044925213,12.1028204,14.99304581,12.64473724,7.044925213,15.71560192,19.8703022,23.84436226,27.81842232,19.68966293,28.72161865,13.00601578,23.84436226,16.43815804,16.79943657,8.851316452,3.251503944,6.322368622,3.432142973,3.432142973,.1806391031,.1806391031,14.27048969,14.08985043,14.63176727,.5419173241,2.348308325,2.348308325,3.432142973,1.625751972,1.625751972,1.806391001,1.806391001,6.322368622,5.057894707,5.057894707,0,7.586842537,7.586842537,11.38026333
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,0,0,0,0,0,.0034889255,.0034889255,.0034889255,0,0,0,0,0,0,0,.0174446274,.0174446274,.0209335536,.0034889255,.0034889255,0,0,0,0,0,.0244224779,.0244224779,.0244224779,0,.006977851,.006977851,.006977851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0034889255,.0034889255,.0034889255,0,0,.0104667768,.0104667768,.0139557021,.0174446274,.1221123934,.1290902495,.1325791776,.0697785094,.0942009911,.0942009911,.0523338839,.0348892547,.1151345447,.1256013215,.1151345447,.0732674375,.0628006607,.0558228083,.006977851,.0872231349,.0942009911,.1081566885,.1011788398,.1046677679,.0872231349,.0558228083,.0523338839,.0732674375,.0348892547,.0139557021,.006977851,.0034889255,.0174446274,-.0104667768,-.0104667768,-.0209335536,-.0104667768,-.0104667768,0,0,.0453560315,.0453560315,.0488449559,.0314003304,.0314003304,.0279114041,.0279114041,.0383781791,.0383781791,.0383781791,.0279114041,.0279114041,0,.0104667768,.0104667768,.0104667768,.0104667768,.0139557021,.0139557021,.0034889255,.0174446274,.0174446274,.0383781791,.0209335536,.0244224779,.0034889255,.0034889255,.0488449559,.0662895888,.0802452862,.0314003304,.0209335536
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1731889844,.1731889844,.1731889844,0,0,.1847349256,.277102381,.277102381,.0923674628,0,.0230918657,.0461837314,.1500971317,.1270052642,.1039133966,.1500971317,.1500971317,.1500971317,.2193727195,.2193727195,.3232861161,.1039133966,.3001942635,.196280852,.2078267932,.0115459329,.0115459329,.0230918657,.0692755952,.0692755952,.0461837314,.0577296652,.1039133966,.1731889844,.1154593304,.1270052642,.1154593304,.1154593304,.0577296652,0,.0692755952,.0692755952,.1847349256,.1154593304,.1154593304,.2078267932,.3117401898,.3694698513,.1616430581,.0923674628,.1731889844,.3463779688,.3117401898,.1731889844,.1039133966,.2424645871,.2424645871,.277102381,.1385511905,.2424645871,.1039133966,.1039133966,0,0,.4618373215,.4618373215,.4618373215,0,0,0,0,0,.3694698513,.3694698513,.3694698513,0
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0505734049,.0505734049,.0708027631,.020229362,.020229362,.0505734049,.1820642501,.1820642501,.1314908415,.0505734049,.0505734049,.0505734049,0,.0809174478,.1213761717,.1213761717,.2832110524,.4349312782,.5765367746,.4147019088,.445045948,.5765367746,.8799772263,.9710093737,1.062041521,1.648692966,2.275803089,3.034404278,2.670275688,2.599473,2.306147099,2.741078377,2.882683992,3.105206966,2.437638044,2.22522974,1.770069122,1.881330609,1.952133417,2.326376677,2.609587669,2.538784742,2.771422625,2.720849037,2.275803089,2.154427052,1.658807635,1.972362757,1.496972799,1.496972799,1.385711312,1.12272954,1.577890158,1.264335036,1.264335036,.9406653047,1.557660818,1.618348956,1.598119497,1.163188338,1.051926732,1.041812062,.8799772263,.9305506349,1.163188338,1.446399331,1.325023174,1.264335036,1.790298462,2.306147099,2.715791702
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0030610294,.0030610294,.0030610294,0,0,0,0,0,0,0,0,0,.0020406861,.0020406861,.0020406861,0,.001020343,.001020343,.001020343,.001020343,.001020343,.001020343,0,0,0,0,0,0,0,0,.001020343,.001020343,.0051017157,.0040813722,.0040813722,0,.0051017157,.0051017157,.0948919058,.1061156839,.1326446086,.072444357,.0581595562,.0316306353,.1754990071,.1867227852,.5132325888,.5315987468,.7254639268,2.024360657,4.872138023,6.07308197,5.927173138,3.425291777,2.737580538,6.303679466,8.61883831,10.07486725,7.25565958,6.235316753,5.947579861,7.169950962,7.867865562,7.732160091,14.99088097,16.82851791,19.49671555,11.44927025,11.00133896,13.00325203,15.95204353,14.06440926,10.57483578,7.171991348,8.034181595,24.36069107,23.47401237,27.3298893,12.59613514,15.88062,14.01135159,43.38805008,49.0570755,55.77399445,26.73809052,23.63624763,14.70212364,9.956507683,8.015815735,9.38919735,23.08424187,21.56291008,34.42637634,18.114151,27.81557274,13.95931339,20.8762188,25.45347786,26.37689018,33.09074783,21.44353104,22.49550438,15.5500288,61.97869873,68.28850555,69.70780182,29.61239624,24.14437866,25.27593994,21.25782776,21.98227119,25.46062088,45.67770004,52.83846664,48.37140656,35.20183563,27.31560516,32.34589767
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.962157726,5.991555214,6.571383476,4.348709583,2.995777607,3.478967667,3.575605631,5.508365631,8.504142761,8.020953178,6.184831619,3.09241581,2.415949821,3.285691738,3.478967667,3.962157726,3.672243595,3.285691738,2.512587786,1.159655929,1.836121798,2.512587786,3.768881559,3.962157726,4.348709583,3.189053774,2.029397726,1.642845869,2.319311857,3.575605631,2.995777607,3.962157726,2.705863714,2.415949821,1.159655929,2.705863714,4.252071381,4.348709583,3.672243595,2.60922575,2.415949821,1.642845869,1.836121798,2.705863714,2.319311857,2.029397726,1.256293893,1.642845869,1.546207905,2.029397726,2.319311857,2.415949821,2.319311857,2.705863714,2.319311857,2.512587786,2.12603569,3.09241581,2.415949821,4.058795452,3.09241581,2.995777607,.8697419167,.8697419167,1.256293893,1.932759762,2.60922575
Ukraine,UKR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ua/flat/64.png,44622516,44.62251663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0074700704,.0074700704,.0074700704,0,0,0,.0298802815,.0298802815,.0373503529,.0224102102,.0373503529,.0522904918,.0821707696,.0896408409,.0896408409,.0672306344,.0448204204,.0224102102,.0522904918,.1269911975,.2465123236,.3286830783,.3286830783,.2689225376,.2988028228,.4033837914,.6648362279,.9486989379,.9860492945,1.202681303,.8441179395,.6872464418,.5751954317,1.083160162,3.10007906,2.674285173,2.509943485,.6125457883,1.568714738,1.964628458,2.793806314,3.144899607,2.950677633,2.31572175,1.538834453,2.816216469,4.101068497,5.804244518,6.20762825,6.065697193,4.9601264,4.34758091,3.466112614,4.900366306,6.386909962,8.217077255,8.889383316,7.268378258,5.998466492,5.423271179,6.267388821,7.104036808,7.11897707,7.275848389,6.581131935,4.84807539,4.825665474,6.625952244,9.001434326,10.1518259,9.830612183,8.209607124,8.359008789,8.59058094,9.711091042,10.57014942,11.28354073
