Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,5.333333492,8,8,2.666666746,0,.6666666865,1.333333373,4.333333492,3.666666746,3,4.333333492,4.333333492,4.333333492,6.333333492,6.333333492,9.333333015,3,8.666666985,5.666666508,6,.3333333433,.3333333433,.6666666865,2,2,1.333333373,1.666666627,3,5,3.333333254,3.666666746,3.333333254,3.333333254,1.666666627,0,2,2,5.333333492,3.333333254,3.333333254,6,9,10.66666698,4.666666508,2.666666746,5,10,9,5,3,7,7,8,4,7,3,3,0,0,13.33333302,13.33333302,13.33333302,0,0,0,0,0,10.66666698,10.66666698,10.66666698,0,17,51,51,34,0,0,0,0,116,116,116,0,0,0,0,0,164,164,164,0,0,0,107.3333359,107.3333359,107.3333359,0,150.3333282,225.5
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.66666698,20.66666603,22.66666603,15,10.33333302,12,12.33333302,19,29.33333397,27.66666603,21.33333397,10.66666698,8.333333015,11.33333302,12,13.66666698,12.66666698,11.33333302,8.666666985,4,6.333333492,8.666666985,13,13.66666698,15,11,7,5.666666508,8,12.33333302,10.33333302,13.66666698,9.333333015,8.333333015,4,9.333333015,14.66666698,15,12.66666698,9,8.333333015,5.666666508,6.333333492,9.333333015,8,7,4.333333492,5.666666508,5.333333492,7,8,8.333333015,8,9.333333015,8,8.666666985,7.333333492,10.66666698,8.333333015,14,10.66666698,10.33333302,3,3,4.333333492,6.666666508,10,9.333333015,7,5.666666508,9.333333015,9.333333015,11.33333302,8.666666985,8.666666985,5.333333492,4,5.666666508,7.333333492,7.333333492,4.333333492,1.666666627,0,.3333333433,0,.3333333433,1,1,1,0,1.333333373,2,2.333333254,2,2
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,-.3333333433,-.3333333433,-.3333333433,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,3.666666746,5,5,1.666666627,1,1.333333373,1,.6666666865,.3333333433,.6666666865,2.333333254,5.333333492,8.666666985,6.666666508,5.333333492,2,3.666666746,2,5.666666508,4.333333492,8,5.666666508,7,5.333333492,5,3.333333254,1.333333373,0,.3333333433,1.333333373,1.333333373,1,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,2,2,1
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.333333373,1.333333373,.3333333433,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,8.666666985,8.666666985,8.666666985,10.66666698,19.33333397,19.33333397,16,14.66666698,16.33333397,12.33333302,7.666666508,12,12,14.33333302,11.66666698,12.5
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,4.333333492,5,5,.6666666865,12.33333302,126,126,161.3333282,47.66666794,173.3333282,150.6666718,153.3333282,129,114.6666641,147,89.33333588,135.3333282,120,357.6666565,376.6666565,436.6666565,1159.333374,1224,1192,230.3333282,142.3333282,99.33333588,72,151.3333282,171.3333282,256.6666565,222,309.6666565,460.6666565,649.666687,660,650,799,1048.333374,1099.333374,993,1325.666626,1320.333374,1199.666626,906.333313,987,1131.333374,1026,991.666687,915,1274.333374,1316,1156.666626,1053,2750.666748,4449,4427,2774.666748,1982.333374,2069.333252,2033.666626,1663.666626,2124.666748,2831,3295,3426,2588.666748,1905.333374,936.666687,1703.666626,2573.666748,3319,3470.666748,3330.333252,3447.333252,3399.333252,3937.333252,4291,4734.666504,4564.333496,4383.333496,4092,4493.666504,4347.666504,3927,3438.333252,4798.333496,3592.333252,3266.666748,1806.666626,3207.333252,1968.333374,3789.666748,4145,5591,3784.333252,3503.666748,3415.666748,3646,3781
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,.3333333433,1.666666627,3.666666746,3.333333254,2,1,1,2,1,1,1.333333373,1.333333373,1.333333373,.3333333433,2.666666746,2.666666746,4,3.666666746,5.333333492,6,7,7,8.333333015,7.666666508,6,5,5.666666508,5.666666508,6.666666508,4.333333492,5.666666508,4.333333492,5,5.333333492,5.333333492,6,5.666666508,4.333333492,5.666666508,6,6,5.666666508,4.666666508,6.666666508,5.333333492,6,8.666666985,10.66666698,13.33333302,12.33333302,11.33333302,18.66666603,17,26.66666603,28,28.33333397,19.33333397,10.33333302,24.66666603,25,25,10.66666698,11.33333302,7.666666508,6,7,21.33333397,29,24,14.66666698,7,9.666666985,9.333333015,8.666666985,13.33333302,17.33333397,20.33333397,14.66666698,14,26.66666603,51.33333206,54,45,24.33333397,24.33333397,29,33.66666794,29.66666603,22.33333397,14.66666698,12.33333302,9.333333015,9.5
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.6666666865,.3333333433,.3333333433,.6666666865,.6666666865,2.333333254,1.666666627,1.666666627,.3333333433,1.333333373,1.333333373,1,.3333333433,1,1,.6666666865,.3333333433,2.333333254,4.333333492,14.66666698,16.33333397,15.33333302,12.33333302,16.66666603,21.66666603,22.33333397,27.33333397,30.33333397,35.33333206,38.33333206,35.66666794,22.33333397,45.33333206,39,63,40.33333206,55.66666794,38,21.66666603,6.333333492,60.66666794,72.66666412,81.66666412,21,1214,1267,1267,506.6666565,460,464.3333435,19.66666603,4.333333492,.3333333433,.3333333433,38,37.66666794,54.66666794,27,28.33333397,11.33333302,1.333333373,33.33333206,366.6666565,366.6666565,387,678.333313,711.666687,658,33.33333206,1.666666627,35,68.33333588,199.6666718,199.6666718,227.3333282,147.6666718,253,192,1066,927.333313,929.666687,2.333333254,5,2.666666746,5.333333492,195,195,192.3333282,101.6666641,111.6666641,145,45.33333206,192,192,223.3333282,108.3333359,125,158.3333282,283.3333435,350
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.333333373,1.333333373,1.333333373,0,0,0,.6666666865,.6666666865,.6666666865,.3333333433,.3333333433,.3333333433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,64,0,0,0,0,57,57,57,0,0,0,0,0,0,0,0,0,0,0,194.3333282,194.3333282,194.3333282,0,0,0,0,95,95,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3333333433,.3333333433,.3333333433,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.33333302,10.33333302,10.33333302,0,199.3333282,199.3333282,199.3333282,0,0,0,0,0,0,379.6666565,403.3333435,443.6666565,117.6666641,94,53.66666794,0,167.3333282,167.3333282,167.3333282,0,0,0,1507.333374,1909,2153,1424.666626,1023,779,318,318,674.666687,356.6666565,1477.666626,1444.666626,1444.666626,1168,1347.666626,1347.666626,928.666687,1370.333374,1722,1791.666626,1505.333374,1619.333374,1618,1645.666626,1825.666626,1696.666626,1588,1622,2001.666626,2275.666748,2420.333252,2428,2285,2196.333252,2431.666748,2471,2577,2654,2834,2969.333252,2597.666748,2697.333252,2716.666748,3005.666748,3264,3306,3385,3188.333252,3376,3382.666748,3366.666748,3805.333252,3772,3735.333252,3296,3681.333252,4116.666504,4105,4315,4264,4664,4326.333496,4393.666504,4078,4094.666748,4440,4605.666504,4626.666504,4536.666504,4609.5
Jamaica,JAM,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/jm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6666666865,.6666666865,.6666666865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.666666627,2,2,.3333333433,.6666666865,1.333333373,1.666666627,1,.3333333433,2,2,2.666666746,.6666666865,2,1.333333373,2,.6666666865,.6666666865,0,.3333333433,.3333333433,.3333333433,0,.3333333433,.3333333433,.3333333433,0,.6666666865,1.333333373,3,2.333333254,7.666666508,6.333333492,6.666666508,2,1.666666627,10.66666698,9.333333015,12.66666698,7.666666508,9.333333015,7,2.666666746,3,3.333333254,8,14.66666698,16.66666603,15.33333302,9.666666985,10,15.66666698,22.33333397,22.66666603,15.33333302,7.333333492,3.666666746,9,11,22,16.66666603,15.33333302,9.666666985,14.33333302,12.33333302,6.666666508,.3333333433,.6666666865,1,4,4.333333492,4,4.333333492,9.666666985,10.33333302,9.333333015,3,3.666666746,19.33333397,19.33333397,18.66666603,1.666666627,3.333333254,7,10.33333302,8.666666985,4.666666508,.3333333433,1,2.333333254,3.5
