Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,14439018,14.43901825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0098938262,.0098938262,.0197876524,.0197876524,.0197876524,.0197876524,.0197876524,.0098938262,.0098938262,0,0,0,.0296814796,.0296814796,.0296814796,.0296814796,.0296814796,.0296814796,.0296814796,0,0,0,0,.0395753048,.0395753048,.0395753048
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,17351822,17.3518219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0164659526,.0164659526,.0246989299,.0411648825,.057630837,.057630837,.1975914389,.1893584579,.2140573859,.2222903669,.2058244199,.1893584579,.1893584579,.0493978597,.0411648825,.0411648825,.0246989299,.0411648825,.0411648825,.0411648825,.057630837,.057630837,.0329319052,.0740967914,.057630837,.057630837,.156426549,.1481935829,.3046201468,.3128530979,.2963871658,.2963871658,.4116488397,.3869498968,.3951828778,.3046201468,.3046201468,.3210860789
South Africa,ZAF,Africa,Sub-Saharan Africa,Southern Africa,.,.,.,Africa,https://www.countryflags.io/za/flat/64.png,57779622,57.77962112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0098897945,.0296693835,.0296693835,.0766459033,.0766459033,.0766459033,.0766459033,.0667561144,.0939530432,.0939530432,.1582367122,.1582367122,.1582367122,.1582367122,.1582367122,.1112601832,.1112601832,.7788212895,.7788212895,.7788212895,.7788212895,.7788212895,.7788212895,1.997738481,1.218917131,1.218917131,1.218917131,1.594729304,1.594729304,1.594729304,1.409295678,1.409295678,1.409295678,1.409295678,1.033483505,2.516952753,2.516952753,1.483469129,2.247455835,2.660354614,2.660354614,3.147427082,1.663957953,2.670244455,2.670244455,1.906257868,3.545491219,4.015256405
Yemen,YEM,Asia,Western Asia,,.,.,.,,,28498687,28.49868774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,.0050127623,0,0,0,0,0,0,0,0,0,0
Kosovo,XKX,Europe,,,.,.,.,,,1845300,1.845299959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0774167627,.0774167627,.0774167627,.0774167627,.4645005465,.7741675973,.7741675973,.6967508197,1.161251426,1.70316875,1.70316875,1.393501639,1.548335195,1.548335195,3.251503944,3.251503944,2.70958662,2.70958662,3.251503944,2.787003279,3.793421268,2.477336407,2.70958662,3.4063375,5.032089233,4.79983902,5.574006557,6.193340778,6.038507462,5.574006557,4.954672813,6.038507462,8.051342964,8.593259811,8.670677185,8.438426971,13.23826599,16.64460373,15.6381855,19.97352409,18.65743828,22.52827644,22.52827644,22.14119339,21.05735779
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,95540395,95.54039764,0,0,0,.0014952538,.0014952538,.0014952538,.0014952538,.0014952538,.0014952538,.0014952538,0,0,0,.0074762688,.0074762688,.0089715226,.0089715226,.0089715226,.0089715226,.0089715226,.0014952538,.0014952538,0,.0104667768,.0104667768,.0104667768,.0104667768,.0134572843,.0134572843,.0134572843,.0029905075,.0029905075,.0029905075,.0029905075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0014952538,.0014952538,.0014952538,.0014952538,.0014952538,.005981015,.005981015,.005981015,.0119620301,.0568196438,.0613054074,.0687816739,.0822389573,.0971914977,.1031725109,.0971914977,.0598101504,.0971914977,.0942009911,.0792484507,.0882199779,.0807437077,.0807437077,.0762579441,.0687816739,.0672864243,.0732674375,.0807437077,.0852294639,.0867247209,.1016772613,.0702769309,.0777532011,.0702769309,.0328955837,.0358860902,.034390837,.0164477918,.0089715226,-.0014952538,-.0074762688,-.0014952538,-.0089715226,-.0089715226,-.0089715226,.0149525376,.0149525376,.0209335536,.0328955837,.0328955837,.0328955837
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0742238536,.0742238536,.0742238536,.0742238536,.0742238536,.1533959657,.192982018,.1187581643,.1187581643,.1187581643,.1286546737,.1385511905,.1039133966,.0643273368,.0643273368,.1286546737,.1286546737,.1187581643,.2028785348,.1583442241,.2028785348,.2028785348,.2226715535,.2226715535,.2276198119,.1336029321,.1336029321,.0989651382,.1187581643,.0346377976,.0346377976,.0544308275,.0742238536,.1039133966,.0940168798,.0989651382,.1237064227,.1237064227,.0989651382,.079172112,.079172112,.079172112,.1039133966,.079172112,.079172112,.1682407409,.2127750516,.2078267932,.2078267932,.1731889844
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,32955400,32.95539856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0216743164,.0216743164,.0303440429,.0303440429,.0303440429,.0520183593,.1083715782,.0866972655,.0866972655,.0997018516,.0997018516,.0997018516,.078027539,.0563532226,.073692672,.073692672,.1560550779,.2384174764,.2991055548,.333784461,.3944725394,.494174391,.658899188,.689243257,.7629359365,1.118394732,1.48685801,1.872660875,2.015711308,2.223784685,2.444862843,2.735298634,2.752638102,2.800321579,2.479541779,2.561904192,2.444862843,2.297477484,2.223784685,2.206445456,2.08506918,2.267133474,2.440527916,2.49254632,2.436192989
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,326687501,326.6875,0,0,0,0,0,0,0,0,0,0,0,.0013118697,.0013118697,.0013118697,.0013118697,.0013118697,.0013118697,.0013118697,0,0,0,0,0,.0008745798,.0008745798,.0008745798,.0008745798,.0013118697,.0013118697,.0013118697,.0008745798,.0008745798,.0008745798,.0008745798,.0004372899,.0004372899,.0004372899,0,0,0,0,.0004372899,.0004372899,.0021864495,.0021864495,.0021864495,.0021864495,.004372899,.003935609,.0424171202,.0476645976,.0590341352,.0717155412,.0725901201,.0704036728,.1447429508,.1119462103,.2448823452,.3157233,.3918117583,1.08754003,2.390226603,2.919347286,3.54773283,3.63825202,3.864768028,5.938396931,6.464456558,6.094509125,6.445215702,6.59651804,7.175489902,8.344802856,7.266883373,6.79548502,10.45166588,11.36953735,12.47894192,12.80953312,13.01156044,14.67982197,16.33234024,12.61450195,11.99967194,11.05031586,11.15089226,17.7251091,15.53778458,16.02711105,17.09584808,17.81169128,18.9582653,32.24750519,28.39585686,32.80111694,31.99387741,33.12733459,32.2960434,30.25608826,17.96780396,15.29552555,16.24619484,15.7498703
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.698067546,2.567809343,2.816307068,3.561800241,3.851714134,4.307293415,5.094202518,4.514374733,5.38411665,5.715446949,5.301283836,5.425532818,5.259867668,5.177035332,4.555790901,3.313302517,3.313302517,3.313302517,3.064804792,2.7748909,2.692058325,2.650641918,2.692058325,2.816307068,3.106221199,2.981972218,3.189053774,3.023388624,2.899139643,3.106221199,2.60922575,2.733474493,2.899139643,2.7748909,2.526393175,3.064804792,3.064804792,3.106221199,2.940556049,3.023388624,3.106221199
Ukraine,UKR,Europe,Eastern Europe,,.,.,.,Europe,https://www.countryflags.io/ua/flat/64.png,44622516,44.62251663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0032014586,.0032014586,.0032014586,.0032014586,.0032014586,.0032014586,.016007293,.0128058344,.016007293,.0224102102,.0288131274,.0384175032,.0576262549,.0544247963,.0640291721,.0704320893,.0640291721,.0576262549,.0704320893,.0832379237,.1248568892,.172878772,.195288986,.2209006548,.2913327515,.345757544,.4514056742,.5922698379,.6274858713,.8259763122,.8387821913,.7939617634,.8996098638,1.018063903,1.715981841,1.623139501,1.578319073,1.61673665,2.000911713,2.173790455,2.349870682,2.020120382,2.292244434,2.266632795,2.417101383,2.826888084,3.182250023,3.707289219,4.139485836,4.517258167,4.840605736
Uganda,UGA,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/ug/flat/64.png,42723139,42.72314072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0133751538,.0133751538,.0234065186,.0267503075,.0401254594,.0668757707,.0668757707,.0601881929,.0802509189,.1036574394,.100313656,.1103450209,.0869385004,.0869385004,.0802509189,.0601881929,.0300940964,.0468130372,.0234065186,.0200627297,.0200627297,.0200627297,.0200627297,.0267503075,.0100313649,.0100313649,.0100313649,.0100313649,.0100313649,.0100313649
