Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020
Zimbabwe,ZWE,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zw/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,1,0,0,4,1,0,0,0,0,0,7,0,0,0,3,0,1,0,0,0,0,2,2,0,1,12,0,3,2,0,3,0,0,8,1,0,0,0,1,0,0,59,5,7,7,0,10,10,4,7,3,5,0,16,4,5,0,114,0,8,15,0,52,30,13,1,33,0,16,22,0,4,4,0,24,62,283,37,80,7,5,41,181,0,26,81,71,21,87,0,96,307,71,49,45,1756,257,337,83,62,42,243,78,11,40,9,33,13,5,160,20,9,13,82,0,0,110,22,65,93,25,15,3,12,93,40,18,42,31,10,0,55,28,36,14,10,39,6,10,181,9,10,5,32,65,16,1,5,28,18,12,1123,5,8,29,4,0,5,5,9,33,17,29,14,12,0,7
Zambia,ZMB,Africa,Sub-Saharan Africa,Eastern Africa,.,.,.,Africa,https://www.countryflags.io/zm/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,0,17,1,3,2,0,0,0,0,0,3,0,2,0,0,2,0,0,5,0,0,12,1,19,1,3,0,14,9,2,8,1,5,0,0,7,0,0,59,5,4,0,5,105,34,0,0,0,0,443,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,192,0,18,20,0,0,2,50,0,0,0,19,10,0,10,0,78,0,18,19,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,38,12,0,158,0,57,0,0,276,397,465,380,90,4,514,327,363,208,408,558,119,478,167,267,104,202,229,168,185,479,347,163,201,350,0,0,816,0,266,192,293,147,105,147,362,15,10,15,68,10,96,6,74,39,52,60,0,108,253,120,210,279,160,178,158,0,264,0,0,14,0,84,57,37,116,22,2,19,114,93,119,7,29,23,74,102,58,83,101,67,49,0,28,78,26,7,130,0,11,0,0,266,36
Yemen,YEM,Asia,Western Asia,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,-1,0,0,0,1,0,2,1,0,1,2,0,6,0,0,0,0,0,0,5,11,14,26,12,180,2,15,40,19,3,6,23,7,16,15,13,2,56,16,9,23,1,15,23,16,4,24,11,12,17,16,10,9,1,0,6,11,2,27,10,11,17,1,17,36,7,9,7,6,0,0,1,0,31,4,9,3,3,2,0,22,12,60,4,0,32,7,3,3,0,8,20,4,1,6,1,9,6,10,8,29,15,5,14,3,3,1,2,6,2,0,0,1,3,4,2,0,0,0,6,8,5,5,5,5,5,6,0,9,11,11,10,13,0,3,4,1,1,0,0,0,0,0,0,0,6,1,2,0,0,6,0,10,6,0,0,4
Western Sahara,ESH,Africa,Northern Africa,,.,.,.,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,VNM,Asia,South-eastern Asia,,.,.,.,Asia,https://www.countryflags.io/vn/flat/64.png,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,4,30,3,5,12,10,5,0,5,28,3,2,16,0,0,2,23,2,6,21,3,1,12,2,7,1,-4,5,0,0,-3,0,-3,0,0,0,0,13,0,1,8,0,0,8,3,0,8,0,0,0,3,0,0,3,1,0,0,5,0,6,0,1,0,0,14,5,4,0,5,0,0,9,0,4,1,2,0,0,0,2,0,0,1,1,0,1,1,0,0,1,0,0,5,0,1,4,0,0,0,1,1,5,0,3,0,0,2,0,1,3,0,1,0,3,5,0,0,0,0,0,0,4,0,4,0,0,0,1,4,3,11,3,0,0,4,52,-42,16,12,10,9,11,59,7,9,3,18,5,19,5,40,5,26,14,18,12,28,11,9,17,33,10,38,15,22,3,9,8,8,8,5,5,4,1,1,0,5,10,34,0,8,0,0,0,8,3,0,10,0,0,2,1,0,0,1,0,0,1,0,4,1,1,0,0,15,0,0,3,0,2,6,4,1
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,16,8,0,0,0,2,2,9,0,0,13,0,0,19,0,9,0,17,0,1,0,0,2,4,0,0,5,4,6,0,5,5,0,0,0,6,0,10,0,0,18,9,5,0,3,12,15,0,0,9,12,0,12,0,9,0,0,0,0,40,0,0,0,0,0,0,0,32,0,0,0,51,102,0,0,0,0,0,0,348,0,0,0,0,0,0,0,492,0,0,0,0,0,322,0,0,0,451,0,0,0,0,0,0,444,127,0,0,0,0,379,205,597,120,0,2872,139,488,281,375,668,951,213,236,226,0,0,708,275,218,253,271,324,0,886,0,3574,2776,1336,343,195,167,953,875,986,855,914,976,1147,1513,1114,935,916,1216,825,1203,916,1021,915,885,662,675,757,0,1747,682,883,807,835,769,915,727,990,913,1290,1654,937,941,630,1048,985,986,964,819,899,919,854,1025,1020,971,882,819,915,887,812,665,824,899,745,736,862,0,1427,605,553,847,0,622,1310,658,615,544,504,497,463
Uzbekistan,UZB,Asia,Central Asia,,.,.,.,Asia,https://www.countryflags.io/uz/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,5,13,0,0,5,0,0,0,8,4,0,24,19,14,8,22,27,38,31,36,96,93,111,60,86,82,103,100,104,37,79,59,48,86,96,76,79,119,71,35,107,22,66,60,22,55,34,67,24,34,35,85,40,33,42,29,32,26,34,55,54,22,49,106,73,160,21,86,3,102,73,105,121,116,69,76,77,35,35,107,17,87,73,110,125,192,161,202,89,167,186,165,187,217,174,159,44,183,249,227,243,193,129,178,297,328,128,220,124,152,108,134,351,277,323,359,274,569,352,911,743,784,835,534,1005,1213,732,508,768,947,1036,950,712,1955,1554,612,1503,1645,0,1089,882,317,728,587,411,564,318,533,798,673,377,405,620,263,126,417,311,382,451,306,63,618,297,348,502,507,509,567,480,548,557,744,661,437,698,582,581,649,443,507,495,646,396,469,120,899,427,352,425,107,672,384,483,365,237,307,338,340,333,132,324,524,306,158,590,299,76,476,367,168
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,21,6,18,7,11,19,27,42,14,8,10,7,17,12,12,14,8,4,0,15,11,13,17,15,1,5,11,8,18,5,18,5,2,5,21,18,6,14,7,4,6,9,13,2,6,5,6,5,10,9,6,9,13,2,11,9,12,4,26,2,3,4,2,7,11,12,5,4,8,16,4,14,8,4,4,4,9,9,4,0,1,-1,1,0,0,3,0,0,0,4,2,1,3,9,3,9,9,7,6,7,8,10,0,7,2,4,7,1,4,1,5,2,5,6,6,1,1,3,7,9,11,16,10,7,12,25,17,14,16,17,13,21,11,6,17,2,12,6,5,14,9,14,7,15,12,19,14,13,11,19,12,14,31,10,14,4,9,13,0,7,10,2,6,6,12,11,15,17,14,23,21,9,9,13,11,16,18,31,6,12,27,16,20,18,15,7,13,18,16,12,14,13,13,12,8,37,20,18,17,10,53,16,21,30,32,37,60,50,60,44
United States,USA,Americas,Northern America,,.,.,.,Americas,https://www.countryflags.io/us/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,5,0,88,16,26,29,2,0,170,13,320,188,203,1593,2979,1380,1450,527,706,4945,2796,2133,2182,1796,1851,3380,2480,1718,10494,4281,4333,2607,3842,6295,5497,1992,2875,2162,2837,18876,1293,6616,4436,4512,4784,33227,10068,11367,4770,7028,2611,119,5126,3957,13541,3635,16564,-2446,13143,2984,4333,17629,3889,10913,6214,4920,4106,51717,11104,5497,12421,5745,6606,8483,6455,10015,28297,13473,5637,15390,5744,6704,9143,5518,12155,6333,8649,6788,7094,9220,5210,14518,7169,8688,6924,7600,10745,4673,18065,7350,8613,7401,7247,8499,5856,20039,15428,9363,51976,8434,103921,12438,17385,12328,16986,15649,14074,12391,10750,25613,17159,26784,14763,16559,15516,8401,28966,21931,28831,22420,28355,17790,18449,27941,29559,34062,24730,24005,23725,6804,44757,15533,48872,20773,25246,19248,13746,13891,44205,38800,20888,21678,22201,14540,32513,32579,26890,21986,18021,20428,12277,23013,32925,30766,16861,17041,22247,13325,30886,17838,29094,35200,16497,18733,13808,17556,25560,28368,16032,14367,16780,16748,23164,20557,30446,14761,16131,20981,13225,25278,31010,23297,39927,17152,23124,15821,28328,18697,27383,19962,12719,23953,14377,23443,17248,47505,21357,17837,23894,12094,31651,17865,31201,21603,20142,23034,13565,38465,22545,28206,29702,22371,31229,16222,37577,27211
United Kingdom,GBR,Europe,Northern Europe,,.,.,.,Europe,https://www.countryflags.io/gb/flat/64.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,2,32,13,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,-344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
