Country,ISO3,region,subregion,intermediateregion,lac,lac_main,idb,region_map,image,Population total,population_million,1/22/2020,1/23/2020,1/24/2020,1/25/2020,1/26/2020,1/27/2020,1/28/2020,1/29/2020,1/30/2020,1/31/2020,2/1/2020,2/2/2020,2/3/2020,2/4/2020,2/5/2020,2/6/2020,2/7/2020,2/8/2020,2/9/2020,2/10/2020,2/11/2020,2/12/2020,2/13/2020,2/14/2020,2/15/2020,2/16/2020,2/17/2020,2/18/2020,2/19/2020,2/20/2020,2/21/2020,2/22/2020,2/23/2020,2/24/2020,2/25/2020,2/26/2020,2/27/2020,2/28/2020,2/29/2020,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020
Venezuela,VEN,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/ve/flat/64.png,28870195,28.87019539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.5195669532,.5195669532,.5195669532,.5195669532,.5195669532,1.073771715,1.350874186,1.350874186,1.350874186,1.350874186,1.420149684,1.489425302,1.801165462,1.801165462,1.801165462,2.251456976,2.251456976,2.251456976,2.909574986,2.909574986,3.221315145,3.221315145,3.810157776,3.810157776,3.844795704,3.844795704,3.844795704,3.914071083,4.052622318,4.052622318,4.052622318,4.225811481,4.364362717,4.572189331,4.572189331,4.745378494,4.918567181,4.918567181,4.918567181,4.918567181,5.126394272,5.126394272,5.472772121,5.472772121,5.472772121,6.096252441,6.40799284,6.581181526,6.581181526,6.685094833,7.100748539,7.620315552,7.620315552,7.620315552,7.93205595,8.347709656,8.347709656,8.763362885,8.763362885,9.075102806,9.075102806,9.075102806,9.075102806,9.075102806,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,10.46061516,11.56902504,11.56902504,11.56902504,11.56902504,13.33555222,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,16.86860847,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,28.92256165,45.96435928,45.96435928,45.96435928,45.96435928,45.96435928,45.96435928,57.11772919,57.11772919,57.11772919,57.11772919,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,72.73937988,88.11856079,92.51755524,92.51755524,92.51755524,92.51755524,92.51755524,105.6452866,112.7460327,133.4248047,137.5813293,137.5813293,237.0610962,241.8757477,258.7789917
Uruguay,URY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/uy/flat/64.png,3449299,3.449299097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8864727,17.9746666,19.71414948,24.93260193,26.96199989,30.15105247,35.65942001,43.48709488,55.66348267,59.72227859,62.04159164,64.94072723,66.97013092,71.89866638,75.37763214,78.8565979,82.91539764,85.23471069,86.3943634,86.3943634,90.74307251,93.93212891,97.70101166,102.6295471,106.9782562,107.2681732,108.7177429,111.9067917,114.2261047,119.4445572,120.8941269,126.1125793,127.562149,128.1419678,129.5915527,135.6797333,140.8981934,142.6376801,146.6964722,148.7258606,149.8855286,151.625,154.2342377,158.0031128,158.5829468,160.3224335,161.7720032,163.5114746,164.9610443,167.8601837,170.4694214,172.2088928,174.8181305,178.5870056,179.1668396,182.3558807,184.9651184,188.4440765,189.6037445,197.1414948,197.7213287,198.5910645,199.7507324,200.3305511,202.3599548,205.5490112,209.0279694,210.4775391,211.6371918,213.9565125,218.5951385,219.7547913,223.8135834,226.1329041,227.2925568,228.4522095,229.6118622,232.2210846,234.8303223,235.989975,235.989975,236.279892,235.989975,236.279892,236.279892,236.279892,237.1496277,237.1496277,237.1496277,237.1496277,238.3092804,238.8891144,239.1790314,240.0487671,242.6579895,243.5277405,246.1369629,248.7461853,250.775589,252.5150757,254.5444641,256.8637695,259.7629089,259.7629089,261.7923279,262.3721313,263.5317993,265.5611877,265.8511047,267.0107727,267.3006897,268.7502441,269.3300781,270.7796631
Trinidad and Tobago,TTO,Americas,Latin America and the Caribbean,Caribbean,1,3,1,Americas,https://www.countryflags.io/tt/flat/64.png,1389858,1.389858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.7194979787,.7194979787,.7194979787,0,0,0,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,.7194979787,8.633975983,11.51196766,11.51196766,12.23146534,13.67046165,14.38995934,14.38995934,15.10945702,15.10945702,15.8289547,20.14594269,26.62142372,34.53590393,34.53590393,38.13339233,38.85289001,42.45037842,42.45037842,51.0843544,51.80385208,59.71833038,63.31581879,66.91330719,71.2303009,74.10829163,74.10829163,74.10829163,74.10829163,74.82778931,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,76.98628235,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,77.70578003,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,78.42527771,81.30326843,82.74226379,82.74226379,82.74226379,82.74226379,82.74226379,84.18125916,84.18125916,84.18125916,86.3397522,86.3397522,86.3397522,86.3397522,89.21775055,89.21775055,89.21775055,89.21775055,89.21775055,89.21775055,89.21775055,89.21775055,89.21775055,91.37624359
Suriname,SUR,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/sr/flat/64.png,575991,.5759909749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.208415031,6.944553375,6.944553375,6.944553375,6.944553375,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,10.41683006,12.15296841,12.15296841,12.15296841,12.15296841,12.15296841,13.88910675,13.88910675,13.88910675,13.88910675,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,15.62524509,83.3346405,83.3346405,83.3346405,128.4742279,128.4742279,128.4742279,184.0306549,229.1702576,229.1702576,267.3652954,305.5603333,314.2410278,331.602417,345.4915161,376.7420044,394.1033936,420.1454773,437.5068665,463.5489197,479.1741638,506.9523926,546.8835449,703.1360474,753.4840088,791.6790771,835.0825195,859.3884888,859.3884888,913.2087402,942.7230835,994.807251,1008.69635,1041.682983,1059.044312,1088.558716,1138.906738,1223.977539,1283.006226
El Salvador,SLV,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/sv/flat/64.png,6420744,6.420743942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3114903867,.3114903867,.7787259817,.7787259817,1.401706696,2.180432796,2.336177826,2.959158659,3.270648956,3.426394224,3.893629789,4.672355652,5.139591217,5.918317318,6.697043419,6.852788448,7.164278984,7.475769043,9.811946869,10.43492794,11.68088913,11.68088913,12.92685127,13.8613224,15.10728359,16.50899124,18.53367805,19.31240463,21.96007156,23.98476028,28.03413391,31.92776489,34.10819626,39.24778748,40.02651596,42.985672,45.63334274,50.6171875,54.35507202,58.248703,63.0768013,64.94574738,68.6836319,72.26576996,73.8232193,78.18408966,83.63516998,84.72538757,88.77475739,88.77475739,98.58670807,120.2352905,122.5714645,138.7689667,156.0566864,158.0813751,160.573288,161.9750061,165.5571442,180.6644287,184.7137909,189.0746613,194.5257416,199.5095978,203.2474823,214.7726135,221.0024261,223.9615936,234.2407684,247.1676178,270.6851501,287.5056152,299.9652405,317.875946,332.8274841,348.0905151,359.7713928,381.4199829,394.8140564,413.503479,438.2669678,455.3989563,485.3020325,512.5574341,536.8536987,553.9856567,568.1584473,587.1593628,617.3739624,640.8914795,664.720459,690.5741577,712.2227783,736.6747437,767.6680298,799.4400635,823.7363281,845.3848877,859.0904541,877.4683838,892.7314453,921.8557739,953.1605835,974.4976807,1000.195618,1021.688477,1044.271484,1063.895386,1084.765259,1108.75
Paraguay,PRY,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/py/flat/64.png,6956071,6.9560709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1437593102,.1437593102,.1437593102,.1437593102,.1437593102,.1437593102,.2875186205,.8625559211,1.725111842,1.725111842,1.725111842,2.156389713,2.156389713,2.587667704,2.587667704,2.587667704,3.162704945,3.162704945,3.162704945,3.306464195,4.312779427,4.312779427,5.031576157,5.894132137,6.612928391,7.619243622,8.913077354,9.631874084,11.21322632,12.21954155,12.21954155,13.36961651,14.66345024,14.66345024,16.24480247,16.53232193,17.10735893,18.11367416,18.68871117,19.40750694,20.41382217,21.27637863,21.85141563,22.28269386,23.72028732,24.4390831,24.87036133,26.16419601,26.45171356,27.74554825,28.46434402,29.03938293,31.48328972,33.06464386,34.78975296,36.80238342,37.95246124,42.84027481,44.1341095,49.45320511,54.91605759,56.35365295,57.79124451,59.37259674,66.99184418,68.57319641,70.15454865,71.5921402,73.46101379,73.46101379,74.17980957,76.47995758,82.66160583,86.68686676,86.83062744,88.98701477,89.70581055,90.99964905,93.0122757,93.44355774,96.75002289,100.4877625,102.2128754,103.0754318,106.52565,113.713623,125.2143631,129.8146667,133.1211243,135.7088013,140.3090973,145.6281891,150.2284851,153.1036682,155.2600555,156.553894,158.42276,159.2853241,160.0041199,163.0230713,167.6233673,169.6359863,171.5048676,174.2362976,176.6802063,180.5617065,181.2805023,183.2931213,185.8807983,188.0371857,192.3499603,198.2440948,212.907547,236.1965637,275.7303772,312.1014709,331.6527405,343.7285156
Peru,PER,Americas,Latin America and the Caribbean,South America,1,1,1,Americas,https://www.countryflags.io/pe/flat/64.png,31989256,31.98925591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0312604941,.0312604941,.0312604941,.0312604941,.0312604941,.0312604941,.0312604941,.0312604941,.0312604941,.4376469553,.5001679063,.5001679063,.5001679063,1.656806231,12.31663513,12.31663513,16.78688622,16.78688622,28.57209396,30.91662979,31.16671371,40.66990662,41.67024231,44.95259476,49.04771805,54.36200333,56.20637131,82.59023285,89.68636322,97.15762329,191.3142395,204.4748993,208.9451599,212.9152374,217.8231354,218.260788,219.667511,232.0153961,234.3286743,243.7380829,252.8348846,263.3696899,286.940094,313.7615967,325.2654724,347.8980713,388.6929932,423.5797119,450.9951782,481.8180237,547.90271,574.8179932,594.3245239,632.9000244,667.3803101,700.4226685,729.119812,760.3803101,786.2327271,848.6286621,883.7967529,894.706665,947.3806152,1141.758301,1311.94043,1362.55127,1401.970703,1497.84668,1556.616333,1592.69104,1653.867798,1755.87085,1858.186401,1962.877808,2077.16626,2100.955322,2141.562744,2165.008057,2260.727783,2382.925049,2476.268799,2586.212158,2695.248779,2799.564941,2905.006592,3064.497559,3201.981445,3349.030762,3492.547607,3613.056885,3732.784424,3913.970459,4020.787598,4101.064453,4236.422363,4470.782227,4437.958984,4542.775391,4640.214355,4738.74707,4727.368652,4995.614746,5127.47168,5251.700684,5350.515137,5456.050781,5572.026855,5692.442383,5809.825684,5927.646484,6063.191895,6177.667969,6281.421387,6400.523926,6495.993652,6584.648438,6694.497559,6786.997559,6908.819824,6979.249512,7077.376465,7220.986816,7314.393555,7442.686523,7563.633301,7661.353516,7775.92334,7885.334961
Panama,PAN,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/pa/flat/64.png,4176873,4.176873207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.2394135445,.2394135445,.4788270891,.4788270891,.4788270891,.9576541781,.9576541781,2.154721975,2.154721975,2.154721975,2.394135475,3.112375975,3.112375975,3.112375975,3.351789474,3.830616713,3.830616713,3.830616713,4.070030212,5.506511211,6.942992687,14.60422611,17.2377758,17.95601463,23.46252632,29.20845222,33.51789474,39.50323486,48.84036255,55.30452728,64.881073,76.37291718,80.92177582,80.92177582,108.9331589,108.9331589,126.1709366,137.9022064,148.9152222,153.4640808,153.4640808,153.4640808,197.0373383,205.6562347,212.1203918,212.1203918,1077.600342,1122.131226,1122.131226,1441.508911,1452.521973,1455.634277,1455.634277,1455.634277,1455.873779,1455.873779,1482.92749,1482.92749,1495.137573,1502.319946,1503.277588,1503.277588,1503.277588,1527.218994,1766.632568,1766.632568,1805.178101,2253.839111,2277.780518,2277.780518,2277.780518,2278.977539,2302.918945,2326.860107,2422.38623,2446.327637,2490.140137,2528.446289,2628.04248,2628.04248,3294.09082,3294.09082,3295.766846,3295.766846,3297.682129,3297.682129,3299.597412,3437.739014,3437.739014,3437.739014,3510.760254,3517.942627,3541.883789,3543.320313,3655.844727,3679.786133,3703.727539,3733.654053,3769.566162,3817.448975,3937.155762,4056.862549,4252.224121,4306.091797,4318.0625,4483.257813,4661.14209,4892.894531,5129.674316,5307.79834,5515.848633,5726.532227,5905.61377,6085.173828,6186.924805,6349.24707,6582.436035,6818.976563,6982.256348,7200.362305,7451.02832
Nicaragua,NIC,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/ni/flat/64.png,6465513,6.465513229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.6186670661,.6186670661,.6186670661,.6186670661,.6186670661,.6186670661,.9280005693,.9280005693,.9280005693,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,1.082667351,30.77868652,30.77868652,30.77868652,30.77868652,30.77868652,30.77868652,30.77868652,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,57.22670364,147.3974304,147.3974304,147.3974304,147.3974304,147.3974304,147.3974304,147.3974304,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,191.4774475,308.2508545,308.2508545,308.2508545,308.2508545,308.2508545,308.2508545,308.2508545,352.9495544,352.9495544,352.9495544,352.9495544,352.9495544,352.9495544,352.9495544,385.4295654,385.4295654
Mexico,MEX,Americas,Latin America and the Caribbean,Central America,1,2,1,Americas,https://www.countryflags.io/mx/flat/64.png,126190788,126.1907883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0079245083,.0079245083,.0079245083,.0079245083,.0079245083,.0079245083,.0079245083,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.0316980332,.2773578167,.2773578167,.2773578167,.2773578167,5.016213894,5.016213894,5.016213894,5.016213894,5.016213894,5.016213894,5.016213894,5.016213894,5.016213894,14.04222965,14.60486984,15.56373501,16.83958054,16.83958054,16.83958054,16.83958054,20.81768417,20.81768417,20.81768417,20.81768417,20.81768417,20.81768417,56.65231323,66.20134735,72.00208282,90.52165985,90.52165985,90.52165985,98.08164215,98.08164215,106.5608673,106.5608673,133.2109985,140.9056854,140.9056854,160.9784698,172.9444733,172.9444733,183.0561523,205.5221405,213.8824921,225.6503906,241.3092194,252.3797607,264.1159363,280.4325256,295.7822876,304.4516907,318.1848755,334.3429565,352.0383606,372.2854919,391.8828125,409.760498,426.6080017,444.0973816,467.5697937,485.3523865,505.3617554,530.6647339,552.7265625,575.9533081,592.4204102,616.8516846,640.5380249,663.8757324,694.4484863,719.1333008,744.3491211,770.2463989,799.3927612,824.7670288,850.2839355,889.8589478,914.4407349,939.0859985,968.2164917,1001.959045,1036.953613,1065.806763,1104.541748,1138.323975,1176.686523,1207.394043,1242.776978,1273.63501,1304.738647,1348.331421,1383.12793,1414.730835,1456.18396,1500.466064,1551.016602,1584.220215,1623.145386,1659.685303,1698.348999,1740.44397,1785.835571,1821.49585,1861.506714,1902.682495,1948.082031,1999.892456,2041.995361,2093.671143,2149.435791,2020.282227,2084.866943,2119.069092,2140.782227
