Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21,20May21,21May21,22May21,23May21,24May21,25May21,26May21,27May21,28May21,29May21,30May21,31May21,01Jun21
ZWE,Zimbabwe,https://www.countryflags.io/zw/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0150366379,.0259267725,.0380472057,.0529354364,.0706033409,.0905314833,.1113441363,.131228745,.1506711096,.1692180783,.1853539199,.1986086816,.2125213742,.2230919451,.2309387326,.2362428159,.2411481738,.2454470396,.2495223135,.2516415715,.2553903461,.2590569854,.2629976869,.2683443129,.2741332054,.2804355621,.2862867713,.2918738127,.3040293753,.3228128254,.3485120237,.3794015348,.4154249728,.4530571401,.4932943285,.5328567624,.5786849856,.6351698041,.6940222383,.7531487346,.8163703084,.8923222423,.9789298177,1.066361547,1.146948814,1.235813141,1.319507003,1.407630324,1.49244225,1.574275017,1.665500045,1.762950301,1.851171613,1.941159964,2.022696972,2.098535061,2.168650627,2.233868837,2.29450202,2.354060888,2.428830624,2.522444963,2.630220413,2.753910065,2.878372431,3.011302948,3.15792942,3.290685892,3.41525507,3.539757013,3.65672183,3.785102129,3.924031258,4.060110092,4.218454838,4.369965553,4.518368244,4.670863628,4.813992977,4.947043896,5.081078529,5.192585945,5.314878464,5.435763359,5.548868656,5.663019657,5.774510384,5.884096146,5.99697113,6.096565247,6.191581726,6.282957077,6.368036747,6.455961227,6.553308487,6.653176785,6.757217407,6.848327637
ZMB,Zambia,https://www.countryflags.io/zm/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0068737119,.0142883305,.0245276839,.0348381139,.0452196263,.0556722134,.0676377416,.0807218626,.091353111,.1029097363,.1185534894,.1383687556,.1623555273,.1863071769,.213064909,.2435787767,.2743956447,.3062123954,.3389446437,.3687945306,.3982019126,.4265262187,.4528174102,.4788611829,.5033078194,.5283706188,.5546132326,.5820356011,.6078052521,.6319221258,.6571533084,.6814965606,.7037602067,.7259254456,.747640729,.7695379853,.7901113629,.8064439297,.8201962709,.8302207589,.8374921083,.8423413634,.844768405
ZAF,South Africa,https://www.countryflags.io/za/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0145318164,.0225215331,.0325792059,.0450371318,.0591607466,.0732262582,.0868590921,.0992183685,.1100284085,.1203536019,.1300905943,.1391229481,.1475960314,.1552719921,.162391156,.1700599492,.1812643558,.192633912,.2037685812,.2146401852,.225784868,.2371363789,.2495559752,.2593285739,.2690356672,.2783735991,.2883270681,.2987042964,.3095053136,.3186461926,.328386426,.338981837,.3508543074,.3621789813,.3738031983,.3857269585,.3999311626,.4137941897,.4259025156,.435487479,.4450883567,.4538577795,.4617957771,.4669214189,.4706377387,.4742294848,.4788279235,.483270824,.4877194762,.4921738803,.4971645176,.5006464124,.5030524135,.5043779016,.5057851076,.5071128011,.5083608627,.5089989305,.5096369982,.5102750659,.5109131336,.5115512013,.5121892095,.5128272772,.5134653449,.5141034126,.5169838071,.52226156,.5276988745,.5343341827,.5421674848,.5558640361,.5726638436,.5889931321,.6046968699,.6204735637,.6365373135,.6528881192,.6680172682,.683996439,.7041550875,.7271851897,.7509137988,.7731356621,.7987764478,.8246795535,.8561884165,.8913557529,.9329087138,.9735790491,1.015425205,1.053177595,1.098117948,1.145650029,1.195722938,1.246917486,1.3102144,1.388317347,1.467153788,1.552255511
YEM,"Yemen, Rep.",https://www.countryflags.io/ye/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1101182327,.1251215488,.1401248723,.1551281959,.1701315194,.185134843,.2001381665,.2151414901,.2301448137,.2451481372,.2601514459,.2751547694,.290158093,.3051614165,.3201647401,.3330247402,.3437413871,.3523147106
WSM,Samoa,https://www.countryflags.io/ws/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.770451069,5.101062775,5.47396183,5.889148712,6.346623421,6.846385956,7.388435841,7.972773075,8.599398613,9.218604088,9.830391884,10.43475914,11.03170872,11.62123871,12.20334911,12.77804089,13.31416988,13.81173706,14.27074051,14.69118214,15.07306194,15.41637802,15.72113228
VNM,Vietnam,https://www.countryflags.io/vn/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0028003112,.0045355535,.0068514026,.009867778,.0133216651,.017203493,.0210497361,.0243871417,.0277194642,.0307424199,.0333166495,.0356736146,.0378684998,.0398166664,.0415985584,.0432805717,.0448257662,.0463726074,.0478567965,.0492011793,.0504109859,.051615715,.0527032129,.0536679514,.0545197949,.0553284287,.0560974367,.0569865145,.05787066,.0587685592,.0597226806,.0606476441,.0616759323,.0627822727,.064027667,.0654542893,.0685590357,.0717899799,.0787862688,.0857943743,.0954913944,.1118899956,.1315051913,.1510107666,.1777577251,.2094366252,.2567974329,.3132918775,.3646127284,.418084383,.4755422473,.5310884714,.5833845139,.625284493,.6606834531,.6997446418,.7388058305,.7778670192,.8169281483,.8541156054,.8894293308,.9217275381,.9500178099,.9738246799,.9923812747,1.007761836,1.021840096,1.032819867,1.041843057,1.049901843,1.057471871,1.064981461,1.070356369,1.073596597,1.07649827,1.08080256,1.086509466,1.093618989,1.102469683,1.113061428,1.12338376
VGB,British Virgin Islands,https://www.countryflags.io/vg/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.26398849,52.87324905,53.39546967,53.83065796,54.1788063,54.4399147
VEN,"Venezuela, RB",,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0009063722,.0021753032,.0040243184,.0064534177,.0094626015,.0130518684,.0172212198,.0213905722,.0255599245,.0297292769,.0333486423,.0364180245,.0389374197,.0409068316,.0423262566,.0431956947,.0435151532,.043834608,.0441540629,.0444735177,.0447929725,.0451124273,.0454318821,.045751337,.0460707918,.0463902466,.0467097014,.0470291562,.0473486111,.0476680659,.0479875207,.0483069755,.0545029379,.066575408,.0845243931,.1083498746,.1380518675,.1736303717,.2150853872,.2581396103,.302793026,.3490456641,.3968974948,.4463485479,.4973987937,.5500482321,.6026976705,.6553471684,.7079966068,.7540073395,.793379426,.8261128068,.8522075415,.8716635704,.8844808936,.8906595111,.8968381286,.903016746,.9091954231,.9153740406,.9215526581,.9277313352,.9339099526,.9400885701,.9462671876,.9524458647,.9586244822,.9648030996,.9709817767,.9771603942,.9833390117,.9895176291,.9956963062,1.001874924,1.008053541,1.014232159,1.020410776,1.026589513,1.03276813,1.038946748,1.045125365,1.051303983,1.0574826,1.063661218,1.069839954,1.076018572,1.081314564,1.085727811,1.089258432,1.091906428,1.093671799,1.094554424,1.094554424,1.094554424,1.094554424,1.094554424,1.094554424,1.094554424,1.094554424
VCT,St. Vincent and the Grenadines,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.640304565,8.801351547,8.955500603,9.102751732,9.242836952,9.37575531,9.501507759,9.620094299,9.731513977,9.835767746,9.932855606,10.02994251,10.12703037,10.22411728,10.32120514,10.41829205,10.51537991,10.61246681,10.70955467,10.8046236,10.89767361,10.98870659,11.07771969,11.16471481,11.24969196,11.33265018,11.42390537,11.52345562,11.63130093,11.7474432,11.87188148,12.00461483,12.14564419,12.26756382,12.37037277,12.46988583,12.56739902,12.66893959,12.77450848,12.86187458,12.97412777,13.11126804,13.25748253,13.41147423,13.56721592,13.7247076,13.90617943,14.08765125,14.26912212,14.45059395,14.63206577,14.81282425,14.99287033,15.17220402,15.3508234,15.52873039,15.70592499,15.92511654,16.13846588,16.34597397,16.54763985,16.74346161,16.93344307,17.11758041,17.2531662,17.36938095,17.46622849,17.54370499,17.60181427,17.64055252,17.65992165
UZB,Uzbekistan,https://www.countryflags.io/uz/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0531020723,.0781265423,.1104747877,.1501468122,.1971426308,.2514622211,.3189043105,.3994688988,.4858321846,.596437633,.7078495622,.8200680614,.9330931306,1.041126013,1.144166708,1.239009976,1.307212353,1.37220943,1.434001327,1.492587805,1.552618265,1.614092708,1.687240481,1.772061586,1.868556023,1.97672379,2.096565008,2.223430157,2.357319593,2.491208792,2.625098228,2.758987665,2.892876863,3.0267663,3.160655499,3.299527645,3.44338274,3.577293158,3.701258898,3.815280199,3.919356585,4.01348877,4.092693329,4.164103985,4.242647648,4.328324795,4.421135426,4.521079063,4.620995045,4.720884323,4.804457664,4.871715546,4.92265749,4.957283497,4.975594044,4.984749317,4.984749317
