Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21,20May21,21May21,22May21,23May21,24May21,25May21,26May21,27May21,28May21,29May21,30May21,31May21,01Jun21,02Jun21,03Jun21,04Jun21,05Jun21,06Jun21,07Jun21,08Jun21,09Jun21,10Jun21,11Jun21,12Jun21,13Jun21,14Jun21,15Jun21,16Jun21,17Jun21,18Jun21,19Jun21,20Jun21,21Jun21,22Jun21,23Jun21,24Jun21
ZWE,Zimbabwe,https://www.countryflags.io/zw/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.9013519,121.2043228,148.882309,176.6790161,199.2814636,208.1265411,198.8461304,194.423584,185.4696808,161.3584137,132.5475922,139.1269836,105.7056427,78.46794128,53.04080582,49.05359268,42.98867798,41.50460434,21.9445076,38.23963928,37.41845322,40.15904236,54.21817017,58.64070892,63.02367401,58.51208878,55.87043762,121.5555496,187.8343048,256.992157,308.8951721,360.2342224,376.3215942,402.3720398,395.6244507,458.2820435,564.8484497,588.5244141,591.2649536,632.2155151,759.5194092,866.0759277,874.3174438,805.8719482,888.6437378,836.9385986,881.2332153,848.1185913,818.3283081,912.2504272,974.5023804,882.2127686,899.8831177,815.3700562,758.3815918,701.1557007,652.1812744,606.333252,595.588562,747.6962891,936.1439819,1077.754395,1236.896484,1244.623657,1329.304932,1466.265137,1327.563599,1245.692139,1245.019409,1169.648193,1283.803223,1389.291138,1360.786987,1583.447632,1515.110962,1484.024536,1524.955322,1431.290405,1330.511963,1340.346436,1115.073853,1222.926514,1208.847534,1131.052368,1141.510132,1114.90564,1095.860107,1128.747192,995.9423218,950.1635742,913.7542725,850.7998657,879.2446289,973.4733887,998.6828613,1040.405151,1021.943237,1020.785645,941.0513306,785.9854126,588.5441895,555.3800659,533.2080078,470.2337952,433.0429077,405.666687,401.8476563,410.0694275,385.3744507,338.6854858,343.0090942,364.9832764,361.9260864,341.7624512,301.9793701,313.3869629,323.0235596,325.506897,454.8786011,605.8287354
ZMB,Zambia,https://www.countryflags.io/zm/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.14618683,102.3935318,103.1043091,103.8150864,104.5258713,119.6553345,130.8412018,106.3124237,115.5662918,156.4375305,198.1526489,239.8677673,239.5164948,267.5772095,305.1387939,308.1685486,318.1674805,327.3225708,298.4989014,294.0736694,283.2431946,262.9118652,260.4378662,244.4658966,250.6282806,262.4261169,274.223999,257.6962891,241.1685791,252.3119202,243.4326477,222.6361542,221.6523132,217.1529846,218.9724731,205.7338409,163.3257904,137.5236359,100.4505463,72.8824234,48.82978439,24.77714348,15.78261566,8.870715141,5.375500202,2.93410635,3.518331051,4.102555752,4.686780453,5.271005154,5.271005154,5.271005154,5.271005154,5.271005154,5.271005154,5.271005154,5.156517506,5.042029858,4.92754221,4.813054562,4.698566914,4.584079266,4.469591618,4.469591618,4.469591618
ZAF,South Africa,https://www.countryflags.io/za/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.89717865,100.5767365,124.5792694,141.236145,140.6551208,136.3283386,123.5927582,108.1003952,103.2519226,97.3699646,90.32348633,84.73081207,80.20375824,74.63580322,80.13205719,115.4880753,117.1396713,114.7908401,112.1601563,111.4468536,113.5150604,124.1960373,97.72599792,97.07080078,93.37943268,99.5345993,103.772377,108.0101471,91.4088974,97.40210724,105.9543076,118.7245102,113.2467957,116.2421646,119.2375412,142.0421753,138.630188,121.0832214,95.84990692,96.00863647,87.69429016,79.37994385,51.2563324,37.16337585,35.91725922,45.98457718,44.42891312,44.48651886,44.54412842,49.90637207,34.81866837,24.06022072,13.25479698,14.07235241,13.27663612,12.48091984,6.380565166,6.380565166,6.380565166,6.380565166,6.380565166,6.380565166,6.380565166,6.380565166,6.380565166,28.80402565,52.77770996,54.37326431,66.35310364,78.33293915,136.9654083,167.9979401,163.2928619,157.0375671,157.7669373,160.6374512,163.5079651,151.2915955,159.7918854,201.5861511,230.3011627,237.2858276,222.2187347,207.1516266,259.725769,315.7835999,352.3684082,416.2243652,419.8514404,428.1687622,549.3063965,600.2214966,667.6452026,745.5643921,794.8773804,792.0142822,788.2660522,851.0167847,879.3658447,902.8096313,909.7077637,921.4098511,927.4500732,939.0285645,960.8577881,1008.022217,1052.420044,1046.174561,1065.29895,1063.113281,1055.841797,1083.567871,1089.214966,877.9368286,937.8491821,913.9554443,910.3728638,1009.117554,883.2946167,915.8740845,1159.941772,1189.005493
YEM,"Yemen, Rep.",https://www.countryflags.io/ye/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,150.0332336,179.9328308,209.8324127,239.7320099,269.6315918,299.531189,329.4307861,359.3303833,359.3303833,359.3303833,350.0144348,340.6985168,331.3825684,292.1429443,252.9033203,213.6636963,174.4240723,144.5003967,114.5767059,92.02178192,99.39054108,106.7593002,114.128067,121.4968262,128.8655853,136.2343445,136.2343445
WSM,Samoa,https://www.countryflags.io/ws/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3306.116211,3728.992676,4151.869141,4574.745605,4997.622559,5420.499023,5843.375488,6266.251953,6192.061035,6117.870605,6043.679688,5969.489258,5895.29834,5821.10791,5746.916992,5361.291992,4975.666992,4590.041992,4204.416504,3818.791748,3433.166504,3047.541504,3208.825684,3370.109619,3531.393799,3692.677979,3853.962158,4015.246094,4176.530273,3774.360596,3372.190674,2970.020996,2567.851318,2165.681396,1763.511719,1361.341919,1767.535156,2173.728271,2579.921631,2986.114746,3392.307861,3798.501221,4204.694336,4204.694336,4204.694336
VUT,Vanuatu,https://www.countryflags.io/vu/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419.7660828,652.3109741,884.855835,1125.698364,1366.540894,1607.383545,1848.226074,2089.068604,1979.525024,1869.981323,1760.437744,1650.894043,1541.350464,1431.806763,1322.263184,1322.263184,1322.263184
VNM,Vietnam,https://www.countryflags.io/vn/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.35242081,23.15849304,30.16375542,34.53886795,38.81828308,38.46241379,33.3740654,33.32322693,30.22954559,25.7422905,23.56968689,21.94883156,19.48166275,17.81893921,16.82011032,15.45195293,15.46840096,14.84188938,13.44382763,12.09809875,12.04726028,10.87498093,9.647377968,8.518461227,8.086333275,7.690090656,8.890779495,8.841436386,8.978999138,9.541214943,9.249640465,10.28286076,11.0633831,12.453969,14.26621723,31.04745102,32.30944443,69.96292877,70.08105469,96.97019958,163.9859772,196.151886,195.0558624,267.4695129,316.7889709,473.6081848,564.9442749,513.2084961,534.7165527,574.5787964,555.4622803,522.9602661,419.0000305,353.9896851,390.6117249,390.6117249,390.6117249,390.6117249,371.8743896,353.137085,322.9819946,282.9029236,238.068924,185.5657806,153.805542,140.7826385,109.7979813,90.23109436,80.58820343,75.7002182,75.09613037,53.74914169,32.4021492,29.01689529,43.04297638,57.06905746,71.09513855,88.50646973,105.9178085,109.2133484,112.5088882,161.1025391,233.0311279,251.348877,239.1006622,355.868927,371.9458923,418.3361206,382.0253906,341.0913086,315.3744507,373.4605713,317.8206787,438.4323425,573.2952881,866.5160522,1177.48999,1353.436523,1382.093018,1410.395996,1377.254395,1275.511353,1389.373413
VGB,British Virgin Islands,https://www.countryflags.io/vg/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6092.591797,6328.845215,6565.098145,6801.351563,7037.604492,7273.85791,7510.11084,7746.364258,7746.364258,7746.364258,7746.364258,7746.364258,7746.364258,7746.364258,7746.364258,7149.225586,6552.087402,5954.949219,5357.810547,4760.671875,4163.533691,3566.395264,3566.395264,3566.395264,3566.395264,3566.395264,3566.395264,3566.395264
VEN,"Venezuela, RB",,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.68930912,18.49015045,24.29099274,30.09183311,35.89267349,41.69351578,41.69351578,41.69351578,41.69351578,36.19366455,30.69381142,25.19395828,19.69410706,14.19425392,8.694401741,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,3.194549561,61.95962906,120.7247086,179.4897919,238.2548676,297.0199585,355.7850342,414.5501099,430.5421753,446.5342407,462.5263062,478.5183716,494.510437,510.5025024,526.4945679,526.4945679,526.4945679,526.4945679,460.107666,393.7207947,327.3338928,260.9470215,194.5601196,128.173233,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,61.78634262,144.1716003,226.556839,308.9420776,391.3273315,473.7125854,556.0978394,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,638.4830933,945.2736816,1252.064209,1558.854858,1865.645386,2172.436035,2479.226563,2786.01709,2786.01709,2786.01709,2786.01709,2786.01709,2786.01709,2786.01709
VCT,St. Vincent and the Grenadines,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1610.469116,1541.491333,1472.51355,1400.850708,1329.187866,1257.525024,1185.862305,1114.199463,1042.536621,970.8737793,970.8737793,970.8737793,970.8737793,970.8737793,970.8737793,970.8737793,970.8737793,970.8737793,950.6896973,930.5055542,910.3214722,890.1373901,869.9533081,849.769165,829.585083,912.5435791,995.5021362,1078.460571,1161.419189,1244.377686,1327.336182,1410.294678,1219.193848,1028.093018,995.1317749,975.1328125,1015.408447,1055.684082,873.6567383,1122.532349,1371.407837,1462.143677,1539.917358,1557.416382,1574.915405,1814.717407,1814.717407,1814.717407,1814.717407,1814.717407,1807.588135,1800.458862,1793.32959,1786.200439,1779.071167,1771.941895,2191.919434,2133.496582,2075.07373,2016.651001,1958.228149,1899.80542,1841.38269,1355.853149,1726.018433,2096.183838,2466.349121,2442.202148,2418.05542,2393.908447,2369.761719,1975.449463,1656.762939,1338.076294,1413.701904,1489.327393,1564.953003,1640.578491,1716.204102,1559.434692,1402.665405,1245.895996,1089.126709,932.3572998,806.6541748,680.9510498,712.0172729,743.0835571,774.1497803,805.2160034,836.2822266,836.2822266,836.2822266
