Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21
ZWE,Zimbabwe,https://www.countryflags.io/zw/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0150366379,.0259267725,.0380472057,.0529354364,.0706033409,.0905314833,.1113441363,.131228745,.1506711096,.1692180783,.1853539199,.1986086816,.2125213742,.2230919451,.2309387326,.2362428159,.2411481738,.2454470396,.2495223135,.2516415715,.2553903461,.2590569854,.2629976869,.2683443129,.2741332054,.2804355621,.2862867713,.2918738127,.3040293753,.3228128254,.3485120237,.3794015348,.4154249728,.4530571401,.4932943285,.5328567624,.5786849856,.6351698041,.6940222383,.7531487346,.8163703084,.8923222423,.9789298177,1.066361547,1.146948814,1.235813141,1.319507003,1.407630324,1.49244225,1.574275017,1.665500045,1.762950301,1.851171613,1.941159964,2.022696972,2.098535061,2.168650627,2.233868837,2.29450202,2.354060888,2.428830624,2.522444963,2.630220413,2.753910065,2.878372431,3.011302948,3.15792942,3.290685892,3.41525507,3.539757013,3.65672183,3.785102129,3.924031258,4.060110092,4.218454838,4.369965553,4.518368244,4.670863628,4.813992977,4.947043896,5.081078529,5.192585945,5.314878464,5.435763359,5.548868656
ZMB,Zambia,https://www.countryflags.io/zm/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0068737119,.0142883305,.0245276839,.0348381139,.0452196263,.0556722134,.0676377416,.0807218626,.091353111,.1029097363,.1185534894,.1383687556,.1623555273,.1863071769,.213064909,.2435787767,.2743956447,.3062123954,.3389446437,.3687945306,.3982019126,.4265262187,.4528174102,.4788611829,.5033078194,.5283706188,.5546132326,.5820356011,.610045433,.6341623068
ZAF,South Africa,https://www.countryflags.io/za/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0145318164,.0225215331,.0325792059,.0450371318,.0591607466,.0732262582,.0868590921,.0992183685,.1100284085,.1203536019,.1300905943,.1391229481,.1475960314,.1552719921,.162391156,.1700599492,.1812643558,.192633912,.2037685812,.2146401852,.225784868,.2371363789,.2495559752,.2593285739,.2690356672,.2783735991,.2883270681,.2987042964,.3095053136,.3186461926,.328386426,.338981837,.3508543074,.3621789813,.3738031983,.3857269585,.3999311626,.4137941897,.4259025156,.435487479,.4450883567,.4538577795,.4617957771,.4669214189,.4706377387,.4742294848,.4788279235,.483270824,.4877194762,.4921738803,.4971645176,.5006464124,.5030524135,.5043779016,.5057851076,.5071128011,.5083608627,.5089989305,.5096369982,.5102750659,.5109131336,.5115512013,.5121892095,.5128272772,.5134653449,.5141034126,.5169838071,.52226156,.5276988745,.5343341827,.5421674848,.5558640361,.5726638436,.5889931321,.6046968699,.6204735637,.6365373135,.6528881192,.6680172682,.683996439,.7041550875,.7271851897,.7509137988,.7731356621,.7987764478,.8246795535,.8561884165
YEM,"Yemen, Rep.",https://www.countryflags.io/ye/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.065108262,.065108262,.065108262,.065108262,.065108262
WSM,Samoa,https://www.countryflags.io/ws/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.770451069,5.101062775,5.47396183,5.889148712,6.346623421,6.846385956,7.388435841,7.972773075,8.599398613,9.136506081
VNM,Vietnam,https://www.countryflags.io/vn/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0028003112,.0045355535,.0068514026,.009867778,.0133216651,.017203493,.0210497361,.0243871417,.0277194642,.0307424199,.0333166495,.0356736146,.0378684998,.0398166664,.0415985584,.0432805717,.0448257662,.0463726074,.0478567965,.0492011793,.0504109859,.051615715,.0527032129,.0536679514,.0545197949,.0553284287,.0560974367,.0569865145,.05787066,.0587685592,.0597226806,.0606476441,.0616759323,.0627822727,.064027667,.0654542893,.0685590357,.0717899799,.0787862688,.0857943743,.0954913944,.1118899956,.1315051913,.1510107666,.1777577251,.2094366252,.2567974329,.3132918775,.3646127284,.418084383,.4755422473,.5310884714,.5833845139,.625284493,.6606834531,.6997446418,.7388058305,.7778670192,.8169281483,.8541156054,.8894293308,.9217275381,.9500178099,.9738246799,.9923812747,1.007761836,1.021840096,1.0322119
VEN,"Venezuela, RB",,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0009063722,.0021753032,.0040243184,.0064534177,.0094626015,.0130518684,.0172212198,.0213905722,.0255599245,.0297292769,.0333486423,.0364180245,.0389374197,.0409068316,.0423262566,.0431956947,.0435151532,.043834608,.0441540629,.0444735177,.0447929725,.0451124273,.0454318821,.045751337,.0460707918,.0463902466,.0467097014,.0470291562,.0473486111,.0476680659,.0479875207,.0483069755,.0545029379,.066575408,.0845243931,.1083498746,.1380518675,.1736303717,.2150853872,.2581396103,.302793026,.3490456641,.3968974948,.4463485479,.4973987937,.5500482321,.6026976705,.6553471684,.7079966068,.7540073395,.793379426,.8261128068,.8522075415,.8716635704,.8844808936,.8906595111,.8968381286,.903016746,.9091954231,.9153740406,.9215526581,.9277313352,.9339099526,.9400885701,.9462671876,.9524458647,.9586244822,.9648030996,.9709817767,.9771603942,.9833390117,.9895176291,.9956963062,1.001874924,1.008053541,1.014232159,1.020410776,1.026589513,1.03276813,1.038946748,1.045125365,1.051303983,1.0574826,1.063661218,1.069839954,1.076018572
VCT,St. Vincent and the Grenadines,,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.640304565,8.801351547,8.955500603,9.102751732,9.242836952,9.37575531,9.501507759,9.620094299,9.731513977,9.835767746,9.932855606,10.02994251,10.12703037,10.22411728,10.32120514,10.41829205,10.51537991,10.61246681,10.70955467,10.8046236,10.89767361,10.98870659,11.07771969,11.16471481,11.24969196,11.33265018,11.42390537,11.52345562,11.63130093,11.7474432,11.87188148,12.00461483,12.14564419,12.26756382,12.37037277,12.46988583,12.56739902,12.66893959,12.77450848,12.86187458,12.97412777,13.11126804,13.25748253,13.41147423,13.56721592,13.7247076,13.90617943,14.08765125,14.26912212,14.45059395,14.63206577,14.81282425,14.99287033,15.17220402,15.3508234,15.52873039,15.70592499,15.8571949
UZB,Uzbekistan,https://www.countryflags.io/uz/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0531020723,.0781265423,.1104747877,.1501468122,.1971426308,.2514622211,.3189043105,.3994688988,.4858321846,.596437633,.7078495622,.8200680614,.9330931306,1.041126013,1.144166708,1.239009976,1.307212353,1.37220943,1.434001327,1.492587805,1.552618265,1.614092708,1.687240481,1.772061586,1.868556023,1.97672379,2.096565008,2.223430157,2.357319593,2.491208792,2.625098228,2.758987665,2.892876863,3.0267663,3.160655499,3.299527645,3.44338274,3.568110704,3.673711538,3.760185242,3.827532053,3.875751734,3.899861574,3.899861574
USA,United States,https://www.countryflags.io/us/flat/64.png,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.3448737562,.4095776081,.475740701,.5478845835,.6260091662,.7113432884,.8038870692,.9036403298,1.006781459,1.113310456,1.217193127,1.327049494,1.44283402,1.571376681,1.712570548,1.879897356,2.073357105,2.269729614,2.48713541,2.715819359,2.960305929,3.208760262,3.461182594,3.717572927,3.9965837,4.269750595,4.549501896,4.848117352,5.171786785,5.515289783,5.86003828,6.20258522,6.557986259,6.936124325,7.31992054,7.71522665,8.120797157,8.535705566,8.93975544,9.343182564,9.737181664,10.12788105,10.54155922,10.98268127,11.4285078,11.88439751,12.36068058,12.84985828,13.35673523,13.8641634,14.37462997,14.88340569,15.40877342,15.91217518,16.40839005,16.89703941,17.36264801,17.80895805,18.25172043,18.6807766,19.12607384,19.5868187,20.06210899,20.56572151,21.09682655,21.65316963,22.24786186,22.8633709,23.48863983,24.12507248,24.78565025,25.44664574,26.11088371,26.76948547,27.43332672,28.11685753,28.82176399,29.59975433,30.33040047,31.07344437,31.81881714,32.57604218,33.34244156,34.09395981,34.78216553,35.54397583,36.30607986,37.07042694,37.83289337,38.60144424,39.40478516,40.22423172,41.05426407,41.89836884,42.74606705,43.61187744,44.50071716,45.41560745,46.35611725,47.30027008,48.23497772,49.15283585,50.08003616,51.00920486,51.9376297,52.89001465,53.85176468,54.83584976,55.87182236,56.89137268,57.91625977,58.94149399,59.92120743,60.89897156,61.85616684,62.77908707,63.70439529,64.60655212,65.48284912,66.34731293,67.18929291,68.02832794,68.86003113,69.67721558,70.48239136,71.2624054,72.04178619,72.78211975,73.4822998,74.15403748,74.80680084,75.44582367,76.08512115,76.69224548,77.30994415,77.95796967,78.62979889,79.29071808,79.93016052,80.52746582,81.11715698,81.69474792,82.25502777,82.79737854,83.34877014
