Iso3,Country,image,idb,02Dec20,03Dec20,04Dec20,05Dec20,06Dec20,07Dec20,08Dec20,09Dec20,10Dec20,11Dec20,12Dec20,13Dec20,14Dec20,15Dec20,16Dec20,17Dec20,18Dec20,19Dec20,20Dec20,21Dec20,22Dec20,23Dec20,24Dec20,25Dec20,26Dec20,27Dec20,28Dec20,29Dec20,30Dec20,31Dec20,01Jan21,02Jan21,03Jan21,04Jan21,05Jan21,06Jan21,07Jan21,08Jan21,09Jan21,10Jan21,11Jan21,12Jan21,13Jan21,14Jan21,15Jan21,16Jan21,17Jan21,18Jan21,19Jan21,20Jan21,21Jan21,22Jan21,23Jan21,24Jan21,25Jan21,26Jan21,27Jan21,28Jan21,29Jan21,30Jan21,31Jan21,01Feb21,02Feb21,03Feb21,04Feb21,05Feb21,06Feb21,07Feb21,08Feb21,09Feb21,10Feb21,11Feb21,12Feb21,13Feb21,14Feb21,15Feb21,16Feb21,17Feb21,18Feb21,19Feb21,20Feb21,21Feb21,22Feb21,23Feb21,24Feb21,25Feb21,26Feb21,27Feb21,28Feb21,01Mar21,02Mar21,03Mar21,04Mar21,05Mar21,06Mar21,07Mar21,08Mar21,09Mar21,10Mar21,11Mar21,12Mar21,13Mar21,14Mar21,15Mar21,16Mar21,17Mar21,18Mar21,19Mar21,20Mar21,21Mar21,22Mar21,23Mar21,24Mar21,25Mar21,26Mar21,27Mar21,28Mar21,29Mar21,30Mar21,31Mar21,01Apr21,02Apr21,03Apr21,04Apr21,05Apr21,06Apr21,07Apr21,08Apr21,09Apr21,10Apr21,11Apr21,12Apr21,13Apr21,14Apr21,15Apr21,16Apr21,17Apr21,18Apr21,19Apr21,20Apr21,21Apr21,22Apr21,23Apr21,24Apr21,25Apr21,26Apr21,27Apr21,28Apr21,29Apr21,30Apr21,01May21,02May21,03May21,04May21,05May21,06May21,07May21,08May21,09May21,10May21,11May21,12May21,13May21,14May21,15May21,16May21,17May21,18May21,19May21,20May21,21May21,22May21,23May21,24May21,25May21,26May21,27May21,28May21,29May21,30May21,31May21,01Jul21,01Jun21,02Jul21,02Jun21,03Jul21,03Jun21,04Jul21,04Jun21,05Jul21,05Jun21,06Jul21,06Jun21,07Jul21,07Jun21,08Jul21,08Jun21,09Jun21,10Jun21,11Jun21,12Jun21,13Jun21,14Jun21,15Jun21,16Jun21,17Jun21,18Jun21,19Jun21,20Jun21,21Jun21,22Jun21,23Jun21,24Jun21,25Jun21,26Jun21,27Jun21,28Jun21,29Jun21,30Jun21
CHL,Chile,https://www.countryflags.io/cl/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.037040025,.0433182418,.0459527895,.0461900048,.0461900048,.0464989208,.0479084849,.0494744182,.0510403477,.0526062809,.0541722104,.0557381436,.0569951572,.0571515225,.0579394437,.0640010387,.0726796389,.0814268813,.0901741311,.1073421687,.1392740309,.1775154024,.2128155828,.245813027,.2787418067,.3116706014,.3372617066,.3485588431,.3527852595,.3546791673,.3562626541,.3578468859,.3594311178,.3599322438,.3700219393,.5100312829,.784386456,1.187925339,1.612709045,2.044080019,2.65336132,3.452314138,4.335474014,5.278208733,6.266767979,7.256623268,8.243298531,9.254852295,10.23451233,11.14344597,11.97688484,12.74371338,13.4953537,14.24447346,14.87328339,15.4061451,15.8613863,16.26385307,16.61769485,16.97179794,17.32528496,17.70117378,18.13581848,18.74251938,19.52039146,20.46562004,21.42900085,22.39818001,23.52985764,24.81802559,26.17438316,27.61197472,29.10790062,30.61654091,32.12413406,33.6924057,35.28616333,36.85364914,38.35786438,39.79820633,41.22609711,42.65202713,43.95267487,45.12183762,46.17716217,47.13910294,48.04494858,48.93669128,49.82643509,50.71645355,51.63722992,52.60538101,53.64305496,54.52059555,55.38866425,56.25651932,57.13811874,57.99014664,58.8062973,59.57375336,60.502388,61.44834137,62.39530182,63.30569077,64.2124939,65.11595154,65.99393463,66.85062408,67.70443726,68.55838776,69.37867737,70.16197968,70.90532684,71.64402771,72.37695313,73.10639191,73.83462524,74.56559753,75.28476715,75.99816132,76.6774826,77.28397369,77.87877655,78.47389984,79.03510284,79.59519196,80.15991974,80.72676849,81.33926392,81.96942902,82.59955597,83.24629211,83.91047668,84.58084869,85.25067139,85.92919159,86.58940887,87.24888611,87.9068985,88.55815887,89.1966095,89.86025238,90.40982819,90.98324585,91.55960083,92.1857605,92.85993958,93.58189392,94.31349182,95.17982483,96.05724335,96.93907928,97.8045578,121.1384964,98.65058899,121.7586746,99.47763062,122.3674393,100.2746887,122.9752884,101.0403976,123.675705,101.7987442,124.2783432,102.553215,124.7313232,103.2816162,125.0491333,103.9821777,104.6745834,105.3968811,106.1447983,106.8887711,107.6305237,108.4029617,109.1951904,110.0122833,110.8137589,111.5602341,112.3097153,113.0606079,113.6572876,114.322937,115.0031128,115.732605,116.5377655,117.3546524,118.1727448,118.9805298,119.7419968,120.4666748
ARG,Argentina,https://www.countryflags.io/ar/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.062956892,.0808996409,.0992691666,.118065469,.1417064369,.1685457677,.1985834837,.2318195552,.2634093463,.2933528721,.3232890666,.3532179594,.3823687732,.4107415378,.4383362234,.4651528001,.4911913574,.5174956918,.5428096056,.5678111315,.5910546184,.6113854051,.6330194473,.6555262208,.6755207181,.6962077022,.7213536501,.7467482686,.7735460997,.7993363142,.824549377,.8617992401,.8982937932,.9320055246,.9737553,1.017334104,1.058100462,1.102645516,1.144034266,1.187035322,1.230334997,1.265155673,1.296687365,1.328148961,1.352877259,1.372993708,1.39772296,1.430119514,1.465649486,1.501751184,1.545238376,1.599220395,1.661587358,1.73712182,1.826297283,1.924137831,2.029105902,2.150948524,2.279644012,2.41533637,2.560998201,2.707707167,2.868585825,3.028326273,3.196195841,3.386635542,3.600662947,3.838448048,4.112286091,4.386911392,4.66222477,4.948746204,5.235672474,5.520163059,5.790231705,6.037172318,6.274248123,6.511275768,6.735819817,6.947990894,7.128008366,7.299795628,7.46244669,7.624731541,7.786428928,7.94819355,8.128953934,8.339952469,8.548239708,8.743588448,8.939189911,9.136562347,9.348340988,9.566630363,9.806851387,10.0742588,10.40257359,10.7490387,11.11158562,11.48649597,11.86635017,12.24005032,12.60510159,12.93432426,13.24742889,13.55069447,13.8272171,14.08267403,14.32613659,14.5555048,14.80927849,15.08094501,15.36353207,15.66967201,15.99312115,16.32111359,16.66073799,16.96709824,17.24416351,17.50907135,17.76925278,18.03687096,18.31814194,18.62491417,18.95570183,19.30396271,19.65166664,19.98557472,20.30421066,20.60936928,20.89308739,21.169487,21.4408474,21.72340965,22.03046608,22.35152626,22.67516518,23.0137043,23.3656044,23.7315464,24.09969521,24.43644333,24.74053764,25.04682159,25.3415451,25.64592934,25.9838047,26.33949089,44.97468185,26.74238777,45.65027618,27.21437263,46.38301468,27.72028351,47.16335678,28.26524162,47.96363068,28.850811,48.79574203,29.48414612,49.686409,30.15160179,50.59001541,30.84726524,31.55734444,32.28751755,33.04400253,33.80564499,34.51019669,35.16706085,35.80276108,36.40119171,36.9852829,37.54577255,38.1026268,38.68006134,39.2633934,39.82105637,40.38939667,40.95096207,41.50636673,42.04001236,42.57429504,43.13702393,43.72811508,44.33703232
BLZ,Belize,https://www.countryflags.io/bz/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.1575612426,.2034684271,.2459819913,.2851019502,.3528253138,.5063216686,.7467843294,1.009479642,1.294407606,1.601568103,1.956071615,2.30863595,2.615069151,2.897075891,3.167335272,3.425847769,3.672612906,3.907929182,4.140597343,4.36981678,4.571382999,4.770433426,4.96696806,5.160986423,5.32708025,5.471961975,5.585355759,5.667260647,5.746889114,5.824240208,5.899314404,5.972111702,6.042632103,6.166382313,6.343362331,6.520648003,6.69823885,6.876135349,7.109256744,7.392736435,7.673344612,7.930998802,8.194384575,8.463500023,8.7383461,8.964004517,9.170512199,9.356825829,9.545825005,9.734413147,9.922592163,10.11036015,10.29771805,10.48429298,10.64888763,10.78870487,10.93108082,11.07601452,11.22350693,11.38362312,11.53156281,11.683321,11.85471058,12.02353191,12.18978596,12.35347271,12.50452614,12.66208744,12.84346008,13.03283215,13.21574879,13.39221191,13.56221962,14.12365913,14.72388363,15.3558073,16.01942825,16.68656921,17.35722733,18.03140259,18.31120872,18.5565567,18.76347351,18.93856239,19.1152916,19.29366302,19.47367477,29.79131126,19.65532684,30.33754539,19.82840157,30.87383461,19.99674034,31.40017509,20.17865372,31.91657066,20.39118004,32.52047729,20.63431549,33.22166824,20.9080658,33.86235428,21.21242714,21.53121376,21.86058807,22.17563629,22.49119186,22.8072567,23.1238308,23.44091415,23.78761292,24.16209984,24.54507065,24.93601418,25.33493423,25.74182701,26.15669441,26.5504303,26.93187332,27.32032776,27.71579552,28.1182766,28.52776909,28.9442749,29.36779404
BRA,Brazil,https://www.countryflags.io/br/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0288913753,.0655673146,.1068014503,.1545069665,.2116181552,.2867291868,.3763693869,.473359704,.5733018517,.6735099554,.7706056237,.869063139,.963984549,1.074615002,1.170563102,1.265917778,1.366827369,1.467846632,1.572032094,1.681057811,1.772020817,1.882588029,2.000151873,2.114949703,2.230100632,2.3521595,2.472409248,2.595157862,2.720578194,2.835696459,2.952580929,3.070864677,3.185925722,3.299691916,3.408287525,3.515130997,3.618035555,3.719159365,3.817165375,3.922463179,4.040151596,4.172504425,4.313498497,4.442108154,4.565748692,4.689855099,4.790980816,4.864988804,4.933269024,5.0001297,5.078856945,5.159071445,5.268900394,5.402919292,5.561129093,5.716110706,5.865208149,6.009584904,6.155498981,6.306970119,6.506131649,6.728576183,6.970257759,7.222400665,7.497921467,7.780595303,8.051047325,8.256556511,8.475614548,8.703221321,8.948740005,9.183189392,9.412553787,9.67708683,9.992730141,10.33659267,10.68350792,11.03149223,11.41286945,11.79963779,12.17282867,12.71507835,13.22698212,13.70666695,14.15611553,14.57127666,14.9945097,15.42568302,15.63065052,15.79123878,15.99653339,16.32302666,16.67045975,17.01691628,17.37371254,17.80757523,18.2812233,18.75623322,19.13719749,19.49903297,19.8500042,20.1893158,20.53747559,20.89088821,21.20136261,21.48620415,21.75917816,22.03393364,22.26602936,22.46514702,22.66994476,22.92676544,23.28261566,23.66472626,24.04457092,24.47143173,24.89009285,25.29317284,25.67864037,26.0484848,26.48705864,27.02288437,27.60668182,28.24832535,28.89415359,29.52898407,30.13705826,30.67324638,31.11379242,31.47513008,46.77479172,31.78227806,47.41638184,32.0790329,48.02692032,32.42424011,48.60640717,32.7182579,49.28808212,33.02481079,49.88828659,33.33873749,50.52240753,33.69671631,51.1155777,34.07372284,34.47562027,34.85479355,35.26501846,35.67537689,36.1147728,36.53587341,36.97889328,37.43772888,37.99778748,38.58651352,39.20232773,39.8042984,40.44857025,41.11752319,41.80316162,42.40434647,43.00600815,43.62205505,44.29341888,44.87726593,45.4740448,46.10214996
CRI,Costa Rica,https://www.countryflags.io/cr/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0155017329,.0203022696,.0251028072,.0299033429,.0347038805,.0429882333,.0547564067,.0700083971,.0887442082,.1109638363,.1386648864,.1718473732,.20702748,.2442051768,.2833805084,.3245534301,.3677239716,.4090420604,.4485076964,.4861208797,.5252162814,.5657938719,.607853651,.6513956785,.6982723475,.7484836578,.8020296693,.8518339992,.8978967071,.940217793,.9787971973,1.01363492,1.04473114,1.072085619,1.102640033,1.136394382,1.173348784,1.213503003,1.256857276,1.303411484,1.353165627,1.404725194,1.458090305,1.513260961,1.57023716,1.629018903,1.689606071,1.751998782,1.807206988,1.855230689,1.896070004,1.929724693,1.956194997,1.975480914,1.987582207,2.017805576,2.066151142,2.132618427,2.217207909,2.319919348,2.440752983,2.579708338,2.729860306,2.891208172,3.063752651,3.247493029,3.422158241,3.587748289,3.744262934,3.8962605,4.043741226,4.186705112,4.32515192,4.458879471,4.587887287,4.712175369,4.836198807,4.9599576,5.083451748,5.206680775,5.350119591,5.513767719,5.697625637,5.906097889,6.139184475,6.366761684,6.588828564,6.805386066,7.016433239,7.221970558,7.419694901,7.609606743,7.82183075,8.056365967,8.313213348,8.592372894,8.893844604,9.195315361,9.49270916,9.786025047,10.07526302,10.36042309,10.64150524,10.91851044,11.19797516,11.48397636,11.77651501,12.07559109,12.38120365,12.69335365,13.01204014,13.33441353,13.66047192,13.99021626,14.32364559,14.66076183,15.00156307,15.34605026,15.6949501,16.04826355,16.4059906,16.76812935,17.1346817,17.50564766,17.88102722,18.26143265,18.64686203,19.03731728,19.43279839,19.83330536,20.23883629,20.64939499,21.06578445,21.4880085,21.91606522,22.34995651,22.78968048,23.23523712,23.68662834,24.15758514,24.64810944,25.15819931,25.68785667,26.23708153,26.80587196,27.39422798,27.97028732,28.53404617,29.08550644,29.62466621,30.1515274,30.66609192,31.16835403,48.70007324,31.67061806,48.98924255,32.21899796,49.25956345,32.81348801,49.51103592,33.45409775,49.74365997,34.14081955,49.9430542,34.87365723,50.10921478,35.65260696,50.24214554,36.45954895,37.24836731,38.01906204,38.77163315,39.50608063,40.22240448,40.92060471,41.58353806,42.21120453,42.80360031,43.36072922,43.88259125,44.3691864,44.82051086,45.27183533,45.71076584,46.1373024,46.55144119,46.95318604,47.34253311,47.71948624,48.06519699,48.39205933
URY,Uruguay,https://www.countryflags.io/uy/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.005206347,1.304356098,1.603510022,1.944560766,2.315004587,2.701493025,3.143595219,3.641688108,4.182911873,4.724131584,5.19542408,5.603883743,5.940730572,6.335987091,6.787519932,7.247609138,7.707773209,8.281442642,8.978218079,9.788755417,10.62847424,11.48822689,12.3507576,13.21323967,14.14028549,15.13220501,16.21729851,17.32085228,18.45727348,19.59033203,20.72339439,21.79034805,22.82429886,23.80961609,24.79781342,25.74735641,26.75768471,27.7694931,28.84297943,29.97084427,31.14676857,32.38434982,33.71706009,35.08252335,36.51134872,37.88069534,39.20234299,40.47739029,41.70117188,42.87696075,44.00052643,45.06135178,46.14848709,47.23266602,48.30780029,49.36176682,50.40188217,51.34976196,52.29623795,53.19062424,54.0394249,54.83905792,55.59916306,56.24040985,56.91090012,57.58211136,58.30121231,59.05776978,59.86403656,60.77810287,61.8632164,63.00762939,64.15266418,65.33558655,66.5552063,67.7733078,68.93006897,70.04152679,71.12498474,72.21247864,73.25107574,74.23597717,75.19762421,76.12500763,77.00143433,77.92047882,78.8391571,79.77723694,111.6753082,80.74407196,112.8425064,81.73788452,114.0299225,82.75212097,115.2159042,83.79424286,116.3859406,84.79405212,117.5304565,85.79204559,118.6674042,86.76554871,119.7053833,87.70582581,88.66137695,89.6155777,90.55417633,91.52726746,92.50145721,93.54597473,94.65958405,95.7911911,96.92301941,98.08487701,99.21088409,100.3359451,101.4403458,102.5104828,103.537735,104.5564804,105.5406036,106.5185165,107.4973755,108.4844666,109.5056381,110.5677032
COL,Colombia,https://www.countryflags.io/co/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0568402335,.0713726282,.0875497237,.1048213616,.1280997843,.1542121172,.1841271669,.2190781683,.2596362829,.3000108302,.3456221521,.3906151652,.4391913116,.4872277081,.5544071198,.6374967098,.7476227283,.8781509995,1.025440216,1.181912184,1.353944302,1.518829107,1.675388575,1.815598965,1.941773772,2.056809664,2.16379118,2.257103443,2.350235462,2.454149961,2.569206238,2.702799082,2.85956502,3.033315182,3.242440462,3.478879213,3.725724697,3.962970495,4.175853729,4.364068985,4.533609867,4.68168354,4.815211296,4.944151402,5.091454506,5.266995907,5.456988335,5.65822506,5.857888699,6.077901363,6.297608376,6.501832485,6.687098026,6.87869215,7.069182873,7.268725872,7.449811935,7.644299984,7.846310139,8.055845261,8.255360603,8.451529503,8.644670486,8.830490112,8.998421669,9.17089653,9.363148689,9.568039894,9.789327621,10.03599644,10.30804825,10.60484409,10.92058182,11.24002361,11.55979919,11.88525581,12.1969347,12.51421833,12.83217621,13.15537548,13.47559071,13.80659866,14.12538338,14.43008327,14.73069096,15.0217762,15.29923248,15.56183815,15.8095932,16.05270958,16.30817032,16.56567955,16.84753227,17.16588783,17.53018951,17.94043732,18.37823105,18.85775185,35.48325729,19.36696815,36.10588455,19.90081024,36.70762634,20.43733978,37.29375458,20.97146225,37.83044434,21.49647522,38.37007904,22.01137733,38.92164612,22.48366737,39.38790894,22.9425602,23.37658691,23.80207253,24.22410965,24.63615799,25.04172897,25.45420456,25.88225746,26.3304882,26.79189682,27.27632141,27.7970047,28.35207176,28.96549225,29.60339355,30.25797272,30.92078781,31.58223915,32.24314117,32.89743805,33.55117416,34.20131683,34.84668732
PRY,Paraguay,https://www.countryflags.io/py/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0126206987,.0157436989,.0184566416,.0206869654,.0221204516,.0228762142,.0234060697,.0239372961,.024570521,.025305748,.0259177517,.0283657666,.0345125049,.0470010825,.0637346655,.0839287415,.1049176008,.1279088259,.1507295966,.1708949208,.1851106584,.1950896084,.201511547,.2070955634,.2192822397,.2414807379,.2748575509,.3182728589,.3665287495,.4167253971,.4737341702,.52697438,.57120502,.6032962203,.6251702309,.6425096989,.6579104066,.6675833464,.6737095714,.6798912287,.6903671622,.7055378556,.7245921493,.7471048236,.7780357003,.8246712089,.884700954,.9549807906,1.031419635,1.106135488,1.178064466,1.245616913,1.30055356,1.342872143,1.373899579,1.396566272,1.417257309,1.437490463,1.454653263,1.477734923,1.512136459,1.563162804,1.628370047,1.694495201,1.761501431,1.841992259,1.927208662,2.012813091,2.090605497,2.163327217,2.236903191,2.310994625,2.393966436,2.490287066,2.601801157,2.737838745,2.880959272,3.025305986,3.172223806,3.318915844,3.479061604,3.648494482,3.820095778,4.007026196,4.207699776,4.404421806,4.594254017,4.752736568,4.881735802,4.982065201,5.060288906,5.123867512,5.187973976,5.247319698,9.531605721,5.302502632,9.634322166,5.351699352,9.785870552,5.397377968,9.997271538,5.441596031,10.21722126,5.490127087,10.43681145,5.540182114,10.62639236,5.599581242,10.81332493,5.669773102,5.753660679,5.855787277,5.973963261,6.132618427,6.340641975,6.574743748,6.835533619,7.114406109,7.421753407,7.74136734,8.013955116,8.236371994,8.446685791,8.631011963,8.794774055,8.90881443,8.986699104,9.069128036,9.153270721,9.232111931,9.322669983,9.42766571
SLV,El Salvador,https://www.countryflags.io/sv/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0608147904,.0889972523,.1219262406,.1533632129,.1833081692,.211761117,.2387220412,.2594444454,.2739283144,.2821736336,.2904189825,.2986643016,.3069096506,.3151549697,.3234003186,.3316456378,.3398909867,.3481363058,.3563816547,.3646269739,.3798525035,.4020581841,.4312440455,.4715158343,.5161631107,.5651859641,.6185842752,.6704993844,.7209311128,.7698796391,.8132390976,.8577198982,.9033221006,.9500456452,1.012236238,1.089893699,1.183018208,1.315348268,1.469602704,1.629050255,1.793690681,1.948057175,2.092149734,2.225968122,2.336155653,2.439993143,2.554212332,2.678812981,2.934295177,3.281666994,3.729932785,4.26571846,4.889956474,5.584163666,6.306797981,6.937359333,7.631802559,8.251057625,8.798116684,9.327659607,9.799864769,10.25627613,10.69689178,11.06458664,11.49657822,11.98246288,12.46562004,12.95584011,13.45312309,13.95746803,14.4090395,14.84496593,15.275177,15.71753597,16.14750099,16.56507492,16.9702549,17.36304092,17.77295303,18.20046616,18.63589478,19.13152313,19.65522385,20.20699883,20.83946037,21.46942139,22.09981155,22.74190903,23.39128685,24.0394783,24.68648148,25.3310833,25.97690582,26.6184063,27.1897068,27.71601105,28.23790741,28.7553978,42.99176407,29.26623154,43.47212219,29.77325058,43.94137955,30.23947144,44.39954376,30.71231461,44.84660721,31.19178391,45.28256989,31.67787933,45.82400131,32.17060089,46.47089386,32.65573883,33.13623047,33.6465683,34.18675995,34.71168137,35.22133636,35.71572113,36.15988922,36.59617996,36.98746872,37.33374786,37.66608047,37.98447037,38.2889061,38.63908768,38.99299622,39.40139008,39.86427689,40.36133957,40.89258957,41.45801926,41.99794388,42.51203537
HND,Honduras,https://www.countryflags.io/hn/flat/64.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0366309471,.0395096876,.042388428,.0452671722,.0481459126,.051024653,.0539033972,.0567821376,.059660878,.0625396222,.0654183626,.0998768434,.1404407322,.1871100217,.2376563698,.2920798063,.3472036421,.4030279219,.427972883,.4475128651,.461647898,.4726062715,.4803880155,.4881697893,.4959515333,.5037332773,.5115150213,.5192967653,.5270785093,.5349572301,.5429329872,.5510056615,.5591753721,.5674420595,.5758057237,.5853998065,.5961272717,.6079881787,.6209824681,.6351102591,.6503713727,.6667659879,.6831605434,.699555099,.7159496546,.7323442698,.7487388253,.7651333809,.7815279961,.7979225516,.8143171072,.8307117224,.8471062779,.8635008335,.8798953891,.8962900043,.9126845598,.9290791154,.9454737306,.9618682861,.9782628417,.9946574569,1.011052012,1.027446628,1.043841124,1.060235739,1.076630354,1.09302485,1.109419465,1.125813961,1.142208576,1.16858685,1.204948902,1.251294613,1.307623982,1.37393713,1.450233936,1.540946007,1.636089444,1.735664487,1.839671016,1.953696609,2.077741623,2.21180582,2.3606143,2.524167538,2.702465057,7.856832027,2.916149139,8.037380219,3.145246983,8.312925339,3.367994547,8.562678337,3.584391832,8.78663826,3.785282135,8.984806061,3.970665455,9.157180786,4.134415627,9.303762436,4.255890369,4.349474907,4.436933041,4.52809763,4.617874146,4.706263065,4.78925705,4.866857052,4.939062595,5.014369011,5.135876656,5.26143837,5.391055107,5.534858227,5.692849159,5.915016651,6.192865849,6.430604935,6.675475597,6.927477837,7.186611652,7.452876568,7.67628336
